,block,block_timestamp,b_price,price_volatility,combined_USDT,rolling_USDT,liquidity_volatility,rolling_USDT_Vola,TOKEN_ADDRESS,OLD_COLLATERAL,NEW_COLLATERAL
40,12678000,2021-06-21,2095.97,1.923381226321872,7561862.834115341,18326109.4800238,5.0266273934703465,,,,
41,12684000,2021-06-22,2269.83,1.9387968914817009,16661698.647174079,18605837.57812785,6.0271372165972075,,,,
42,12690000,2021-06-23,2313.71,1.0709722648994824,13917069.51492885,18638234.381119583,5.892780761651884,,,,
43,12696000,2021-06-24,2236.38,1.0569567410585987,9755291.543413907,18331302.92407347,5.854651608671379,,,,
44,12702000,2021-06-25,1965.75,1.0909274109793943,7145152.301945299,17481676.742229946,5.543122354869978,,,,
45,12708000,2021-06-26,2007.19,1.090303278552563,8022378.810498847,16769246.870054286,5.544708975944922,,,,
46,12714000,2021-06-27,2128.59,1.0615751215535072,7602174.3332221545,16244888.460920123,5.510174442201869,,,,
47,12720000,2021-06-28,2215.17,1.0633359827644413,7945596.189367289,15773677.455483643,5.506761291847474,,,,
48,12726000,2021-06-29,2428.15,1.076036170896029,8612712.587690715,15426986.706499247,5.4889534152898305,,,,
49,12738000,2021-06-30,2680.61,1.0899630434572467,13011155.163566792,15353906.737733608,5.6186202296207295,,,,
50,12744000,2021-07-01,2503.33,1.102943062178146,13659985.128979662,15286543.338378377,5.618330649275052,,,,
51,12750000,2021-07-02,2583.55,1.1095043133986344,11627490.250715423,14873430.230781792,5.4561850204706825,,,,
52,12756000,2021-07-03,2639.23,1.1080001884682855,13970349.849126615,14824507.180003641,5.3523094389268895,,,,
53,12762000,2021-07-04,2803.29,1.1243836648823182,14981615.243135065,14749551.129605008,5.3489055640908,,,,
54,12768000,2021-07-05,2745.11,1.1192512549715634,14136708.738528034,14702120.887529427,5.340799286759089,,,,
55,12774000,2021-07-06,2745.1,1.1174760960537016,15641412.04231147,14684979.58567678,5.343495432600661,,,,
56,12780000,2021-07-07,2862.71,1.1010723527737547,15679440.517166063,14693681.47920636,5.33789703842808,,,,
57,12786000,2021-07-08,2654.67,1.1187066333454492,13445120.968265364,14602890.339924008,5.3672293727838145,,,,
58,12792000,2021-07-09,2707.02,1.1166924721643385,12565007.706608012,14422333.551401589,5.372436650829613,,,,
59,12798000,2021-07-10,2674.71,1.1019047375009017,13593280.420916459,14485740.01373991,5.245479297998949,0.35435777064612706,,,
60,12804000,2021-07-11,2667.9,1.0881375091996421,12485492.827100962,14468738.931758596,5.256541283698263,0.3464120560214908,,,
61,12810000,2021-07-12,2602.98,1.0901822629970142,12135831.13928183,14477240.86126439,5.246570399043644,0.34337262630645554,,,
62,12816000,2021-07-13,2523.54,1.0712835801506615,12144305.821024552,14455349.254466537,5.24758893241369,0.3398454545670211,,,
63,12822000,2021-07-14,2514.06,1.0691958705704654,11173005.424431207,14400061.902107298,5.25892958073862,0.3351657009397071,,,
64,12834000,2021-07-15,2566.89,1.0716143021896614,11030859.542985968,14336098.54091957,5.260540256714686,0.3310525631130155,,,
65,12840000,2021-07-16,2419.6,1.0680042983183113,10441977.714385659,14012524.593878608,5.035177393516905,0.3206782284012981,,,
66,12846000,2021-07-17,2422.94,1.067853908707815,11606527.31730633,13317311.908112576,4.725954601853704,0.30939894687560837,,,
