,block,block_timestamp,b_price,price_volatility,combined_USDT,rolling_USDT,liquidity_volatility,rolling_USDT_Vola,TOKEN_ADDRESS,OLD_COLLATERAL,NEW_COLLATERAL
288,14262000,2022-02-23,13.35,0.7754221395682388,10880128.076734236,8355929.0262648715,4.305011642842179,0.21943712634587054,0xface851a4921ce59e912d19329929ce6da6eb0c7,65.0,70.0
289,14268000,2022-02-24,13.27,0.7754267297311761,8740609.332545893,8388975.279174808,4.358077182456561,0.21890328567750048,0xface851a4921ce59e912d19329929ce6da6eb0c7,65.0,70.0
290,14274000,2022-02-25,14.36,0.8133228340979621,7415091.541404535,8441412.482814165,4.31394368869085,0.21883924049334047,0xface851a4921ce59e912d19329929ce6da6eb0c7,65.0,70.0
291,14280000,2022-02-26,14.72,0.8167434474791567,7054628.082520214,8510422.332098536,4.287129393496066,0.219063042641725,0xface851a4921ce59e912d19329929ce6da6eb0c7,65.0,70.0
292,14286000,2022-02-27,13.64,0.8225259130668006,7129609.160424324,8614619.76381246,4.229754448838704,0.21838645156643557,0xface851a4921ce59e912d19329929ce6da6eb0c7,65.0,70.0
293,14292000,2022-02-28,15.13,0.885835188730452,7317834.97454437,8702130.144564578,4.213063826066177,0.21817388620274786,0xface851a4921ce59e912d19329929ce6da6eb0c7,65.0,70.0
294,14298000,2022-03-01,15.35,0.839797372467275,8564354.216733461,8668811.426746162,3.0065692712628436,0.21433236863293592,0xface851a4921ce59e912d19329929ce6da6eb0c7,70.0,75.0
295,14310000,2022-03-02,15.28,0.8345365388642768,9705771.60891886,8680120.12657674,3.0249960415381665,0.21072325932739128,0xface851a4921ce59e912d19329929ce6da6eb0c7,70.0,75.0
296,14316000,2022-03-03,14.89,0.8369629294420146,7760895.407320869,8630144.645996274,3.089497500368958,0.2087145936364275,0xface851a4921ce59e912d19329929ce6da6eb0c7,70.0,75.0
297,14322000,2022-03-04,13.73,0.8422883236870622,7198849.006571932,8606901.788262652,3.0636653172698156,0.2091207047936957,0xface851a4921ce59e912d19329929ce6da6eb0c7,70.0,75.0
298,14328000,2022-03-05,14.03,0.8387462396023176,8374024.952853929,8611365.553323584,3.093353618536218,0.20738298764158494,0xface851a4921ce59e912d19329929ce6da6eb0c7,70.0,75.0
299,14334000,2022-03-06,13.32,0.8162856320936904,7508590.732807568,8481954.857412541,2.9104430499231317,0.2074672678087567,0xface851a4921ce59e912d19329929ce6da6eb0c7,70.0,75.0
300,14340000,2022-03-07,12.68,0.8214692779092189,7832030.251062448,8384279.70898473,2.9077954767546097,0.20545862471326434,0xface851a4921ce59e912d19329929ce6da6eb0c7,70.0,75.0
