,block,block_timestamp,b_price,price_volatility,combined_USDT,rolling_USDT,liquidity_volatility,rolling_USDT_Vola,TOKEN_ADDRESS,OLD_COLLATERAL,NEW_COLLATERAL
203,13722000,2021-12-01,7.551,0.911879522324762,60819.863614037604,224751.79634683233,4.594066193129142,0.2733763704354509,0x4b0181102a0112a2ef11abee5563bb4a3176c9d7,45.0,55.0
204,13728000,2021-12-02,7.37,0.9069422671110393,50021.69229118842,204104.15844702764,4.6086376027772555,0.3165186655129884,0x4b0181102a0112a2ef11abee5563bb4a3176c9d7,45.0,55.0
205,13734000,2021-12-03,6.821,0.8432012401860377,59168.309805096695,178764.2163138526,4.589100180424055,0.3943765492457509,0x4b0181102a0112a2ef11abee5563bb4a3176c9d7,45.0,55.0
206,13740000,2021-12-04,5.832,0.9159441083940176,43140.1798356962,156190.25535615493,4.629949024031171,0.45293658718889,0x4b0181102a0112a2ef11abee5563bb4a3176c9d7,45.0,55.0
207,13746000,2021-12-05,5.276,0.9328616017226268,47075.28564365533,138024.99699997343,4.632985027643463,0.4852390879322197,0x4b0181102a0112a2ef11abee5563bb4a3176c9d7,45.0,55.0
208,13752000,2021-12-06,6.309,1.1324418863380863,35878.56795222404,124135.64912366284,4.633798316815412,0.5013723577669736,0x4b0181102a0112a2ef11abee5563bb4a3176c9d7,45.0,55.0
209,13758000,2021-12-07,5.866,1.135666706749702,33183.845343055094,115721.72562829818,4.532493512379106,0.4981278887420209,0x4b0181102a0112a2ef11abee5563bb4a3176c9d7,45.0,55.0
210,13764000,2021-12-08,6.627,1.2131753845079507,44004.37522977597,106991.43248511873,4.643372737943758,0.49937054122368074,0x4b0181102a0112a2ef11abee5563bb4a3176c9d7,45.0,55.0
211,13770000,2021-12-09,5.487,1.293089997817099,50005.80670646122,101348.78435229993,4.601073894231513,0.49535804846020765,0x4b0181102a0112a2ef11abee5563bb4a3176c9d7,45.0,55.0
212,13776000,2021-12-10,5.083,1.292986522800491,46054.39199565358,96050.83817662425,4.60261831415718,0.4901178747271751,0x4b0181102a0112a2ef11abee5563bb4a3176c9d7,45.0,55.0
213,13782000,2021-12-11,5.731,1.3624648914604576,135299.8575233812,94308.93915451919,7.282347061935434,0.4961643306639306,0x4b0181102a0112a2ef11abee5563bb4a3176c9d7,45.0,55.0
214,13788000,2021-12-12,5.579,1.3626164728586105,87814.80995162136,90596.8634814245,7.376249349985301,0.4921025557678151,0x4b0181102a0112a2ef11abee5563bb4a3176c9d7,45.0,55.0
215,13794000,2021-12-13,5.639,1.360917442025506,159245.81765115992,90383.87984343922,7.67744943096809,0.5071045944487458,0x4b0181102a0112a2ef11abee5563bb4a3176c9d7,45.0,55.0
216,13800000,2021-12-14,5.74,1.3650162127828211,157283.91190657875,88688.2998224834,7.661139295924225,0.5141320714107793,0x4b0181102a0112a2ef11abee5563bb4a3176c9d7,45.0,55.0
217,13812000,2021-12-15,5.946,1.366665609898222,128699.07442069678,87842.82566342904,7.635733786136829,0.5293117698277469,0x4b0181102a0112a2ef11abee5563bb4a3176c9d7,45.0,55.0
