,index,blocknum,p0vs1,p1vs0,SUSHI-slippagemap_01,SUSHI-slippagemap_2,SUSHI-slippagemap_3,SUSHI-slippagemap_4,SUSHI-slippagemap_5,SUSHI-slippagemap_6,SUSHI-slippagemap_7,SUSHI-slippagemap_8,SUSHI-slippagemap_9,SUSHI-slippagemap_10,SUSHI-slippagemap_11,WETH-slippagemap_01,WETH-slippagemap_2,WETH-slippagemap_3,WETH-slippagemap_4,WETH-slippagemap_5,WETH-slippagemap_6,WETH-slippagemap_7,WETH-slippagemap_8,WETH-slippagemap_9,WETH-slippagemap_10
103,103,12512251.0,0.004518252282850022,221.32451607355137,504.4016186804959,939.9072824514853,1371.0798079261403,1797.9623102796259,2220.5974694305664,2639.0275495165793,3052.3432201252917,3461.546536112479,3866.678414138457,4267.779363202212,4664.889491816345,4.580600457571547,6.526666735460697,8.453370301742641,10.360577950323941,12.248809490200761,14.118253761201844,15.936885540899949,16.34368594043446,16.74643880778994,17.145184416765147
104,104,12513235.0,0.004577370039576108,218.46606050067257,172.67021581607491,608.1758795870644,1039.3484050617194,1466.230907415205,1888.8660665661455,2307.2961466521583,2720.611817260871,3129.815133248058,3534.9470112740355,3936.047960337791,4333.158088951924,6.089308304059524,8.035374581948675,9.962078148230619,11.869285796811917,13.757517336688739,15.626961607689822,17.445593387387927,17.85239378692244,18.255146654277915,18.653892263253123
105,105,12513808.0,0.004493471344366913,222.54509339502428,137.40703795085986,645.332735333591,1080.8383991045805,1512.0109245792355,1938.893426932721,2361.5285860836616,2779.9586661696744,3193.274336778387,3602.4776527655736,4007.6095307915516,4408.710479855307,5.8897115387740735,7.816415105056017,9.723622753637317,11.611854293514137,13.48129856451522,15.299930344213324,15.706730743747839,16.109483611103315,16.508229220078523,16.903007436936623
106,106,12515617.0,0.004437211599041083,225.36675965962678,459.3055375214009,967.231234904132,1402.7368986751214,1833.9094241497764,2260.791926503262,2683.4270856542025,3101.8571657402154,3515.172836348928,3924.376152336115,4329.5080303620925,4730.608979425849,4.452289188111936,6.37899275439388,8.28620040297518,10.174431942852001,12.043876213853084,13.862507993551187,14.269308393085703,14.672061260441179,15.070806869416387,15.465585086274487
107,107,12516242.0,0.004448317949884683,224.8040745437101,395.0104890836027,902.9361864663338,1338.4418502373233,1769.6143757119783,2196.4968780654635,2619.1320372164046,3037.562117302417,3450.8777879111294,3860.0811038983165,4265.212981924295,4666.31393098805,4.737956796254611,6.664660362536555,8.571868011117854,10.460099550994675,12.329543821995758,14.148175601693863,14.554976001228377,14.957728868583853,15.356474477559061,15.751252694417161
108,108,12517078.0,0.004489878184402036,222.72319179483048,142.61173981015867,601.765933780755,988.9853544045981,1372.3520689899913,1751.9044123613382,2127.680332345124,2499.717407086119,2867.101667629658,3230.830575934806,3590.9405016290966,3947.467451981783,5.212052037994752,6.924927388993639,8.620434341036622,10.2990715388842,11.961006861080001,13.574194340172209,13.777594539939466,13.978970973617203,14.178343778104807,14.375732886533857
109,109,12518123.0,0.004461236148374948,224.15311961557123,291.1117398021659,750.2659337727622,1137.4853543966053,1520.8520689819984,1900.4044123533454,2276.1803323371314,2648.217407078126,3015.6016676216655,3379.3305759268133,3739.440501621104,4095.96745197379,4.547424013070313,6.260299364069201,7.955806316112184,9.63444351395976,11.296378836155563,12.90956631524777,13.112966515015028,13.314342948692765,13.513715753180369,13.711104861609419
110,110,12519294.0,0.004430118091471347,225.72761704144014,452.6915905080229,911.8457844786192,1299.0652051024622,1682.4319196878555,2061.9842630592025,2437.7601830429885,2809.7972577839832,3177.1815183275226,3540.9104266326704,3901.0203523269606,4257.547302679647,3.8290720826867353,5.541947433685623,7.237454385728606,8.916091583576181,10.578026905771985,12.191214384864193,12.39461458463145,12.595991018309187,12.79536382279679,12.99275293122584
111,111,12520564.0,0.0044318904045327415,225.63734856287155,444.4251299539698,903.5793239245662,1290.7987445484093,1674.1654591338024,2053.7178025051494,2429.4937224889354,2801.53079722993,3168.9150577734695,3532.6439660786173,3892.7538917729075,4249.280842125594,3.8657020826887067,5.578577433687594,7.2740843857305775,8.952721583578153,10.614656905773957,12.227844384866163,12.43124458463342,12.63262101831116,12.831993822798763,13.029382931227811
112,112,12521226.0,0.004489878184402036,222.72319179483048,141.16802488335694,600.3222188539532,987.5416394777964,1370.9083540631896,1750.4606974345365,2126.2366174183226,2498.2736921593173,2865.6579527028566,3229.3868610080044,3589.4967867022947,3946.023737054981,5.218534492527493,6.931409843526381,8.626916795569363,10.30555399341694,11.967489315612742,13.58067679470495,13.784076994472207,13.985453428149945,14.184826232637548,14.382215341066598
113,113,12521961.0,0.004438986749931144,225.2766354879324,407.26799367057214,866.4221876411684,1253.6416082650114,1637.0083228504047,2016.5606662217517,2392.3365862055375,2764.3736609465323,3131.7579214900716,3495.4868297952194,3855.59675548951,4212.123705842197,4.030512052450029,5.743387403448916,7.438894355491899,9.117531553339475,10.77946687553528,12.392654354627485,12.596054554394742,12.797430988072481,12.996803792560085,13.194192900989133
114,114,12523098.0,0.004439430648606137,225.2541100769247,404.26799367073363,863.42218764133,1250.641608265173,1634.0083228505662,2013.5606662219132,2389.3365862056994,2761.3736609466937,3128.757921490233,3492.486829795381,3852.5967554896715,4209.123705842358,4.043830000536202,5.756705351535089,7.452212303578072,9.130849501425649,10.792784823621451,12.405972302713659,12.609372502480916,12.810748936158653,13.010121740646257,13.207510849075307
115,115,12524278.0,0.004419057181177437,226.292613786354,39.92943470662014,503.26799415834046,962.4221881289368,1349.6416087527798,1733.008323338173,2112.56066670952,2488.336586693306,2860.3736614343006,3227.75792197784,3591.4868302829877,3951.5967559772785,5.013796960777007,6.7093039128199905,8.387941110667565,10.04987643286337,11.663063911955577,11.866464111722834,12.067840545400571,12.267213349888175,12.464602458317225,12.660027613826891
116,116,12525033.0,0.004352833972302395,229.73538764931536,341.02918688594804,804.3677463376683,1263.5219403082647,1650.7413609321077,2034.108075517501,2413.6604188888477,2789.4363388726338,3161.4734136136285,3528.857674157168,3892.5865824623156,4252.696508156606,3.693120036792859,5.388626988835842,7.067264186683418,8.729199508879221,10.342386987971429,10.545787187738686,10.747163621416423,10.946536425904027,11.143925534333077,11.339350689842743
117,117,12525563.0,0.004327229140611144,231.09476468786391,61.38592427496849,459.9630291867758,923.3015886384961,1382.4557826090925,1769.6752032329355,2153.041917818329,2532.5942611896758,2908.370181173462,3280.4072559144565,3647.791516457996,4011.5204247631436,4.872423497917203,6.551060695764779,8.212996017960581,9.826183497052789,10.029583696820046,10.230960130497785,10.430332934985389,10.627722043414437,10.823147198924104,11.01662793595602
118,118,12526284.0,0.004408023887243634,226.85902471942057,89.53870042646254,552.8772598781828,1012.0314538487792,1399.2508744726222,1782.6175890580155,2162.1699324293622,2537.9458524131483,2909.982927154143,3277.3671876976823,3641.09609600283,4001.206021697121,4.794825249910955,6.490332201953938,8.168969399801513,9.830904721997317,11.444092201089525,11.647492400856782,11.84886883453452,12.048241639022123,12.245630747451173,12.441055902960839
119,119,12527995.0,0.004407142414689272,226.90439879295474,93.3701644711629,556.7087239228832,1015.8629178934796,1403.0823385173226,1786.4490531027159,2166.001396474063,2541.777316457849,2913.8143911988436,3281.198651742383,3644.9275600475307,4005.037485741821,4.777936178959885,6.473443131002868,8.152080328850444,9.814015651046248,11.427203130138453,11.63060332990571,11.83197976358345,12.031352568071053,12.228741676500102,12.42416683200977
120,120,12529427.0,0.004361984070387446,229.25347361737997,298.9494951195701,762.2880545712904,1221.4422485418868,1608.6616691657298,1992.028383751123,2371.58072712247,2747.356647106256,3119.3937218472506,3486.77798239079,3850.5068906959377,4210.616816390228,3.876492646984826,5.5719995990278095,7.250636796875385,8.912572119071188,10.525759598163395,10.729159797930652,10.930536231608391,11.129909036095995,11.327298144525043,11.522723300034711
121,121,12531995.0,0.004362856510821364,229.20762979934378,295.16662413166364,758.505183583384,1217.6593775539802,1604.8787981778232,1988.2455127632165,2367.7978561345635,2743.5737761183495,3115.6108508593443,3482.9951114028836,3846.7240197080314,4206.833945402322,3.892996359779027,5.58850331182201,7.267140509669586,8.92907583186539,10.542263310957596,10.745663510724853,10.947039944402592,11.146412748890196,11.343801857319244,11.539227012828912
122,122,12532791.0,0.004366348017874194,229.02434618275373,279.2239568852516,742.562516336972,1201.7167103075683,1588.9361309314113,1972.3028455168046,2351.8551888881516,2727.6311088719376,3099.668183612932,3467.0524441564717,3830.781352461619,4190.89127815591,3.9625845504684585,5.658091502511442,7.336728700359018,8.99866402255482,10.611851501647028,10.815251701414285,11.016628135092024,11.216000939579628,11.413390048008676,11.608815203518343
123,123,12533834.0,0.004454104234180071,224.5120337162662,327.0126202084671,786.1668141790634,1173.3862348029065,1556.7529493882996,1936.3052927596466,2312.081212743433,2684.118287484427,3051.502548027967,3415.2314563331142,3775.341382027405,4131.8683323800915,4.387383810369849,6.1002591613687365,7.7957661134117195,9.474403311259296,11.136338633455098,12.749526112547306,12.952926312314563,13.1543027459923,13.353675550479904,13.551064658908954
124,124,12535629.0,0.004481355940651968,223.14674693180373,185.5013782076634,644.6555721782597,1031.8749928021027,1415.241707387496,1794.794050758843,2170.569970742629,2542.6070454836236,2909.991306027163,3273.7202143323107,3633.8301400266014,3990.357090379288,5.019656815128554,6.7325321661274415,8.428039118170425,10.106676316018001,11.768611638213804,13.381799117306011,13.585199317073268,13.786575750751005,13.98594855523861,14.18333766366766
125,125,12536581.0,0.004368531628561599,228.90986835530003,269.2383235622773,732.5768830139976,1191.731076984594,1578.950497608437,1962.3172121938303,2341.869555565177,2717.645475548963,3089.682550289958,3457.066810833497,3820.795719138645,4180.905644832936,4.006199170451318,5.701706122494301,7.3803433203418765,9.04227864253768,10.655466121629887,10.858866321397144,11.060242755074881,11.259615559562485,11.457004667991535,11.652429823501201
126,126,12538367.0,0.004389111021956467,227.8365698651763,175.7553463932191,639.0939058449394,1098.2480998155359,1485.4675204393789,1868.834235024772,2248.386578396119,2624.162498379905,2996.1995731208995,3363.583833664439,3727.3127419695866,4087.4226676638773,4.415568741354032,6.111075693397015,7.789712891244591,9.451648213440395,11.0648356925326,11.268235892299858,11.469612325977597,11.6689851304652,11.866374238894249,12.061799394403916
127,127,12539540.0,0.004467932688925937,223.8171587675359,255.74292617395145,714.8971201445478,1102.116540768391,1485.483255353784,1865.035598725131,2240.811518708917,2612.8485934499117,2980.232853993451,3343.961762298599,3704.071687992889,4060.5986383455756,4.70533473165695,6.418210082655837,8.113717034698821,9.792354232546396,11.4542895547422,13.067477033834406,13.270877233601663,13.472253667279402,13.671626471767006,13.869015580196054
128,128,12540670.0,0.004467932688925937,223.8171587675359,228.5526223558612,638.9353129143227,977.8684903910193,1313.4293940871507,1645.6515784763592,1974.5682592929904,2300.212328688967,2621.6651791673335,2939.919679790442,3255.0076531530453,3566.9606047946627,4.1730328120885,5.672079947804331,7.155886203308998,8.624929059127329,10.079355432517852,11.487098611004162,11.487098611004162,11.48709861100416,11.48709861100416,11.48709861100416
129,129,12543020.0,0.00457188076421171,218.72836400894664,165.25027228701595,504.1834497637126,839.744353459844,1171.9665378490524,1500.8832186656837,1826.5272880616603,2147.980138540027,2466.234639163135,2781.3226125257384,3093.2755641673557,3402.1246881525253,4.801783765937331,6.315895812458558,7.814942948174389,9.298749203679055,10.767792059497387,12.22221843288791,13.62996161137422,13.62996161137422,13.629961611374219,13.629961611374219
130,130,12543983.0,0.004600773083684175,217.354775341197,35.614407062088254,374.5475845387849,710.1084882349163,1042.3306726241246,1371.2473534407561,1696.8914228367325,2018.344273315099,2336.5987739382076,2651.6867473008106,2963.639698942428,3272.4888229275975,5.39635671381055,6.910468760331777,8.409515896047608,9.893322151552274,11.362365007370606,12.81679138076113,14.22453455924744,14.22453455924744,14.224534559247438,14.224534559247438
131,131,12546063.0,0.004572337952288131,218.70649335961068,162.25103199134165,501.18420946803826,836.7451131641697,1168.967297553378,1497.8839783700093,1823.528047765986,2144.9808982443524,2463.235398867461,2778.3233722300643,3090.2763238716816,3399.1254478568508,4.815497246084115,6.329609292605341,7.828656428321172,9.312462683825839,10.78150553964417,12.235931913034694,13.643675091521004,13.643675091521004,13.643675091521002,13.643675091521002
132,132,12547036.0,0.004563659191543027,219.12240989710892,201.66717245093065,540.6003499276273,876.1612536237586,1208.383438012967,1537.3001188295984,1862.944188225575,2184.3970387039412,2502.6515393270497,2817.739512689653,3129.6924643312705,3438.54158831644,4.635434053156246,6.1495460996774725,7.648593235393304,9.13239949089797,10.6014423467163,12.055868720106826,13.463611898593134,13.463611898593134,13.463611898593134,13.463611898593133
133,133,12547569.0,0.004517800502799742,221.34664852515877,409.89583286041074,748.8290103371074,1084.3899140332387,1416.6120984224472,1745.5287792390786,2071.1728486350553,2392.6256991134214,2710.88019973653,3025.9681730991333,3337.9211247407507,3646.77024872592,3.689902750134317,5.204014796655543,6.703061932371375,8.186868187876042,9.655911043694372,11.110337417084896,12.518080595571206,12.518080595571206,12.518080595571206,12.518080595571204
134,134,12548452.0,0.004517800502799742,221.34664852515877,409.976902291366,748.990437918027,1084.6309002269272,1416.931851647187,1745.926515788318,2071.6477926006896,2393.1770823068264,2711.5072616125963,3026.670160679942,3338.6231123215593,3647.4722363067285,3.690632917795395,5.205104394256079,6.704507383703127,8.188665952314201,9.658057615835736,11.112829326410107,12.52091440608486,12.521252905472892,12.52125290547289,12.52125290547289
135,135,12551186.0,0.00455044441130779,219.75875532398862,261.63412923518905,600.6476648618501,936.2881271707503,1268.58907859101,1597.583742732141,1923.3050195445126,2244.8343092506493,2563.164488556419,2878.327387623765,3190.2803392653823,3499.1294632505515,4.363250446905777,5.877721923366461,7.377124912813508,8.861283481424584,10.330675144946118,11.78544685552049,13.193531935195242,13.193870434583273,13.193870434583273,13.193870434583271
136,136,12552513.0,0.004609983376567512,216.9205219010089,334.05148550251266,669.6919478114129,1001.9928992316726,1330.9875633728036,1656.7088401851752,1978.2381298913117,2296.568309197082,2611.7312082644276,2923.684159906045,3232.533283891214,3538.309459069601,3.4398017926992273,5.273840892243878,6.7883123687045615,8.287715358151608,9.771873926762684,11.241265590284218,12.69603730085859,14.104122380533342,14.104460879921374,14.104460879921373
