,index,blocknum,p0vs1,p1vs0,WBTC-slippagemap_01,WBTC-slippagemap_2,WBTC-slippagemap_3,WBTC-slippagemap_4,WBTC-slippagemap_5,WBTC-slippagemap_6,WBTC-slippagemap_7,WBTC-slippagemap_8,WBTC-slippagemap_9,WBTC-slippagemap_10,WBTC-slippagemap_11,WBTC-slippagemap_12,WBTC-slippagemap_13,WBTC-slippagemap_14,WBTC-slippagemap_15,WBTC-slippagemap_16,WBTC-slippagemap_17,WBTC-slippagemap_18,WBTC-slippagemap_19,WBTC-slippagemap_20,DAI-slippagemap_01,DAI-slippagemap_2,DAI-slippagemap_3,DAI-slippagemap_4,DAI-slippagemap_5,DAI-slippagemap_6,DAI-slippagemap_7,DAI-slippagemap_8,DAI-slippagemap_9,DAI-slippagemap_10,DAI-slippagemap_11,DAI-slippagemap_12,DAI-slippagemap_13,DAI-slippagemap_14,DAI-slippagemap_15,DAI-slippagemap_16,DAI-slippagemap_17,DAI-slippagemap_18,DAI-slippagemap_19,DAI-slippagemap_20
57,57,12820443.0,32551.485251470058,3.0720564431229413e-05,0.00883089498186885,0.016932539058039927,0.02418946636419869,0.02418946636419869,0.02418946636419869,0.02418946636419869,0.02418946636419869,0.02418946636419869,0.02418946636419869,0.02418946636419869,0.02418946636419869,0.02418946636419869,0.02418946636419869,0.02418946636419869,0.02418946636419869,0.02418946636419869,0.02418946636419869,0.02418946636419869,0.02418946636419869,0.02418946636419869,295.7511472191028,559.4453256086248,821.8243858650859,1082.894887965949,1342.6633554227699,1601.1362979669736,1858.3201587798499,2114.221379214247,2368.846345834159,2622.201430361853,2874.292961789817,3125.1272410500096,3374.710547428579,3623.0491101375756,3870.1491495084992,4116.016822082706,4360.6582886069655,4604.07966787712,4846.287034127372,5087.286450486833
58,58,12820945.0,32392.381052427838,3.0871457037427296e-05,0.008792020605983303,0.016913942946170317,0.024995358971454534,0.028216629040841705,0.028216629040841705,0.028216629040841705,0.028216629040841705,0.028216629040841705,0.028216629040841705,0.028216629040841705,0.028216629040841705,0.028216629040841705,0.028216629040841705,0.028216629040841705,0.028216629040841705,0.028216629040841705,0.028216629040841705,0.028216629040841705,0.028216629040841705,0.028216629040841705,296.9879479701181,560.0237399369,821.7477105801245,1082.1663854355832,1341.2862771566713,1599.1138750986802,1855.6556091527684,2110.9179062947446,2364.907137472419,2617.629657632822,2869.091777744233,3119.2997881799765,3368.259947863095,3615.978473100382,3862.4615525893605,4107.715362900645,4351.746022015787,4594.559631110846,4836.162272586636,5076.559962788239
59,59,12821623.0,32522.203557542718,3.074822400120163e-05,0.00879536776258727,0.0169010633386485,0.024966333433539295,0.024966333433539295,0.024966333433539295,0.024966333433539295,0.024966333433539295,0.024966333433539295,0.024966333433539295,0.024966333433539295,0.024966333433539295,0.024966333433539295,0.024966333433539295,0.024966333433539295,0.024966333433539295,0.024966333433539295,0.024966333433539295,0.024966333433539295,0.024966333433539295,0.024966333433539295,296.9023565899865,560.4647155112064,822.7126258669938,1083.652637611487,1343.2912638459989,1601.6350035102653,1858.690313979534,2114.463616886821,2368.9613041442467,2622.1897527615947,2874.155279667448,3124.864181993312,3374.322734978537,3622.5371635236684,3869.5136834004074,4115.258464022607,4359.777652412774,4603.077353189038,4845.163652916466,5086.042600039355
60,60,12822133.0,32479.95427333147,3.0788220684814096e-05,0.0081589498189805,0.016272754704650234,0.024346093751971394,0.02595592343348603,0.02595592343348603,0.02595592343348603,0.02595592343348603,0.02595592343348603,0.02595592343348603,0.02595592343348603,0.02595592343348603,0.02595592343348603,0.02595592343348603,0.02595592343348603,0.02595592343348603,0.02595592343348603,0.02595592343348603,0.02595592343348603,0.02595592343348603,0.02595592343348603,317.555956091613,580.85490702213,842.8407059964393,1103.5199155947812,1362.8990530413228,1620.9845874063867,1877.7829875996815,2133.300652589466,2387.543993613464,2640.519346836466,2892.233039015237,3142.6913769694506,3391.90060181548,3639.8669647146503,3886.596637337293,4132.095814668404,4376.370607116488,4619.427144275068,4861.271492866031,5101.909698832899
61,61,12822888.0,31247.05220592526,3.2003018825896596e-05,0.008907124618695108,0.017176557932491437,0.02540474922797096,0.033591904212806334,0.04173822776081417,0.0498439233368754,0.0579091934317662,0.0579091934317662,0.0579091934317662,0.0579091934317662,0.0579091934317662,0.0579091934317662,0.0579091934317662,0.0579091934317662,0.0579091934317662,0.0579091934317662,0.0579091934317662,0.0579091934317662,0.0579091934317662,0.0579091934317662,293.0832420331666,551.4269816974331,808.4822921667018,1064.2555950739886,1318.7532823314143,1571.9817309487626,1823.9472578546158,2074.6561601804797,2324.114713165705,2572.329141710836,2819.3056615875753,3065.0504422097742,3309.5696305999422,3552.869331376206,3794.9556311036336,4035.834578226523,4275.512198733087,4513.994484935863,4751.287393102477,4987.3968502531125
62,62,12823691.0,32476.706602671202,3.079129950688258e-05,0.008243806518929036,0.016357611404598772,0.02443095045191993,0.02604078013343457,0.02604078013343457,0.02604078013343457,0.02604078013343457,0.02604078013343457,0.02604078013343457,0.02604078013343457,0.02604078013343457,0.02604078013343457,0.02604078013343457,0.02604078013343457,0.02604078013343457,0.02604078013343457,0.02604078013343457,0.02604078013343457,0.02604078013343457,0.02604078013343457,314.79969688033196,578.098647810849,840.0844467851583,1100.7636563835001,1360.142793830042,1618.2283281951056,1875.0267283884004,2130.5443933781853,2384.787734402183,2637.763087625185,2889.476779803956,3139.93511775817,3389.144342604199,3637.110705503369,3883.840378126012,4129.339555457123,4373.614347905207,4616.670885063787,4858.51523365475,5099.153439621618
63,63,12824309.0,31891.00587011251,3.1356803359318816e-05,0.008531761017667555,0.016718916002502932,0.024865239550510766,0.032970935126571996,0.04103620522146279,0.04103620522146279,0.04103620522146279,0.04103620522146279,0.04103620522146279,0.04103620522146279,0.04103620522146279,0.04103620522146279,0.04103620522146279,0.04103620522146279,0.04103620522146279,0.04103620522146279,0.04103620522146279,0.04103620522146279,0.04103620522146279,0.04103620522146279,305.17178180114075,566.1117935456342,825.7504197801459,1084.0941594444123,1341.149469913681,1596.922772820968,1851.4204600783937,2104.6489086957417,2356.6144356015952,2607.323337927459,2856.781890912684,3104.9963194578154,3351.9728393345545,3597.7176199567534,3842.2368083469214,4085.536509123185,4327.622808850613,4568.501755973502,4808.179376480066,5046.661662682842
64,64,12824862.0,32528.708323476265,3.0742075278725126e-05,0.008608645996516468,0.016714341572577698,0.024779611667468494,0.024779611667468494,0.024779611667468494,0.024779611667468494,0.024779611667468494,0.024779611667468494,0.024779611667468494,0.024779611667468494,0.024779611667468494,0.024779611667468494,0.024779611667468494,0.024779611667468494,0.024779611667468494,0.024779611667468494,0.024779611667468494,0.024779611667468494,0.024779611667468494,0.024779611667468494,302.97568673410166,566.5380456553215,828.785956011109,1089.7259677556024,1349.364593990114,1607.7083336543806,1864.763644123649,2120.536947030936,2375.0346342883618,2628.26308290571,2880.2286098115633,3130.937512137427,3380.396065122652,3628.610493667784,3875.5870135445225,4121.331794166722,4365.85098255689,4609.150683333153,4851.236983060581,5092.1159301834705
65,65,12825739.0,32649.28143843359,3.062854543631196e-05,0.008789751128876441,0.016879252224306012,0.021713574577669727,0.021713574577669727,0.021713574577669727,0.021713574577669727,0.021713574577669727,0.021713574577669727,0.021713574577669727,0.021713574577669727,0.021713574577669727,0.021713574577669727,0.021713574577669727,0.021713574577669727,0.021713574577669727,0.021713574577669727,0.021713574577669727,0.021713574577669727,0.021713574577669727,0.021713574577669727,297.1063418738706,561.1963307702249,823.9692311868736,1085.4316169432882,1345.5900178565992,1604.4509337897305,1862.020840697449,2118.3061798900503,2373.31335552595,2627.048732050205,2879.5186746794398,3130.729469839193,3380.687408646892,3629.398741685651,3876.8696851904115,4123.106427443457,4368.115117617694,4611.90188108471,4854.472808289797,5095.833970360185
66,66,12826399.0,32895.05927539845,3.0399702022968527e-05,0.008357452981010396,0.015614380287169157,0.015614380287169157,0.015614380287169157,0.015614380287169157,0.015614380287169157,0.015614380287169157,0.015614380287169157,0.015614380287169157,0.015614380287169157,0.015614380287169157,0.015614380287169157,0.015614380287169157,0.015614380287169157,0.015614380287169157,0.015614380287169157,0.015614380287169157,0.015614380287169157,0.015614380287169157,0.015614380287169157,311.35614721742843,576.3720213212091,840.066199710731,1102.4452599671922,1363.5157620680552,1623.284229524876,1881.7571720690798,2138.9410328819563,2394.8422533163534,2649.4672199362653,2902.822304463959,3154.913835891923,3405.748115152116,3655.3314215306855,3903.6699842396815,4150.770023610606,4396.637696184813,4641.279162709071,4884.700541979227,5126.907908229478
