,index,blocknum,p0vs1,p1vs0,DAI-slippagemap_01,DAI-slippagemap_2,DAI-slippagemap_3,DAI-slippagemap_4,DAI-slippagemap_5,DAI-slippagemap_6,DAI-slippagemap_7,DAI-slippagemap_8,DAI-slippagemap_9,DAI-slippagemap_10,DAI-slippagemap_11,DAI-slippagemap_12,DAI-slippagemap_13,DAI-slippagemap_14,DAI-slippagemap_15,DAI-slippagemap_16,DAI-slippagemap_17,DAI-slippagemap_18,DAI-slippagemap_19,DAI-slippagemap_20,USDC-slippagemap_01,USDC-slippagemap_2,USDC-slippagemap_3,USDC-slippagemap_4,USDC-slippagemap_5,USDC-slippagemap_6,USDC-slippagemap_7,USDC-slippagemap_8,USDC-slippagemap_9,USDC-slippagemap_10,USDC-slippagemap_11,USDC-slippagemap_12,USDC-slippagemap_13,USDC-slippagemap_14,USDC-slippagemap_15,USDC-slippagemap_16,USDC-slippagemap_17,USDC-slippagemap_18,USDC-slippagemap_19,USDC-slippagemap_20
189,189,16768190.0,1.0071275699233588,0.9929228727956467,107.9617710807528,122.4605396076764,136.8725692858372,144.0462216275863,158.32914053368032,172.52662092685324,179.59348554452257,193.6637601010696,207.64987981237127,214.611525779959,228.472339821778,242.25024068104977,249.1082594696654,262.7627208314016,276.33549759679056,283.0914139747431,296.5425979169624,309.91332626713876,316.56865566420055,329.81959235905936,409.41111312894554,423.90122244916785,431.1137355096396,445.47401863853094,459.74840181995637,466.8535481781855,481.00004958136304,495.06192275886116,502.0612857058103,515.9971840115034,529.8497196514783,536.7448841703634,550.0043172663818,562.7168615389792,569.0445820810813,581.6432182136573,594.166497530808,600.4000297035303,612.8111079651353,625.1479440273284
190,190,16769141.0,1.0006027954406922,0.9993975677027499,188.45702160739773,273.4701520492088,287.92548229393816,295.1206933689562,309.4465209172807,323.6866547442686,330.77474500997226,344.8872991073583,358.9154336519114,365.89800389549026,379.8004561506185,393.61975401068776,400.4983647641688,414.1938556597811,427.8074134336964,434.5836216799096,448.07521963581246,461.48610859326385,468.1614503502578,481.4521828770162,235.72640086633749,250.17309999458024,257.3640055886132,271.6812759720705,285.9129126631262,292.99677487433155,307.10089268140297,321.12065019075095,328.09904799384924,341.99320802112896,355.80424865530415,362.67876179619486,375.4294913736956,388.10394656602205,394.4127151153264,406.9736138622069,419.45939418847104,425.6742412201921,438.0481459825809,450.34803310658924
191,191,16784660.0,1.0041108653655546,0.9959059646625196,185.41638900592008,199.91515753284366,214.32718721100446,221.50083955275358,235.7837584588476,249.9812388520205,257.04810346968986,271.1183780262369,285.1044977375385,292.0661437051263,305.9269577469453,319.70485860621704,326.5628773948327,340.2173387565689,353.79011552195783,360.54603189991036,373.9972158421297,387.367944192306,394.0232735893678,407.2742102842266,331.51651696729215,346.0066262875145,353.2191393479862,367.5794224768776,381.85380565830303,388.9589520165321,403.10545341970965,417.16732659720776,424.1666895441569,438.10258784984995,451.95512348982487,458.8502880087101,472.10972110472846,484.82226537732583,491.149985919428,503.7486220520039,516.2719013691546,522.505433541877,534.916511803482,547.2533478656751
192,192,16803276.0,1.0013034275591122,0.9986982691527487,267641.3763236337,800259.4543647207,1065344.7906228472,1065351.9858339222,1065366.3116614707,1065380.5517952975,1065387.6398855632,1065401.7524396607,1065415.7805742053,1065422.7631444489,1065436.665596704,1065450.484894564,1065457.3635053174,1065471.0589962131,1065484.672553987,1065491.4487622331,1065504.9403601892,1065518.3512491465,1065525.0265909035,1065538.3173234304,249.87403183110064,264.3207309593434,271.51163655337643,285.8289069368337,300.06054362788933,307.14440583909476,321.2485236461661,335.2682811555141,342.2466789586124,356.1408389858921,369.9518796200673,376.8263927609581,389.57712233845876,402.2515775307852,408.56034608008963,421.12124482697004,433.6070251532342,439.8218721849552,452.1957769473441,464.49566407135245
193,193,16803788.0,1.0136948914409163,0.9864901248328778,301281.9293422429,566367.2656003693,566381.6344637861,566388.7866389927,566403.0267728197,566417.1817277031,566424.2274171828,566438.2555517274,566452.1997679385,566459.140574226,566472.9598720861,566486.6965016281,566493.5339737352,566507.147531509,566520.6796561333,566527.4153377112,566540.8262266687,566554.1568978227,566560.7923009524,566574.003544864,771280.7205737332,771295.2542202513,771302.488406319,771316.8918249736,771331.209095357,771338.3355856899,771352.5245942593,771366.6287120663,771373.6491066287,771387.6268673788,771401.5210274061,771408.4369035214,771422.2065811811,771434.9573107586,771441.3040454088,771453.9405345003,771466.5014332471,771472.7536814007,771485.2020606052,771497.5759653675
194,194,16804351.0,1.0205091086464688,0.9799030616457008,265090.48595737416,265104.89798705233,265119.2238146007,265126.35455830017,265140.55203869333,265154.6645927907,265161.68917786755,265175.67529757885,265189.577749834,265196.4977575883,265210.2756584475,265223.9711493432,265230.7881385979,265244.3609153633,265257.8525133192,265264.56801568344,265277.9387440336,265291.2294765604,265297.84501012554,265311.01667922665,1077516.152496719,1077652.5110240404,1077659.766947293,1077674.2136464212,1077688.5739295501,1077695.7218223987,1077709.9534590896,1077724.099960493,1077731.141439108,1077745.1611966174,1077759.097094923,1077766.0337544477,1077779.8447950818,1077793.1042281778,1077799.4700378003,1077812.1444929927,1077824.743129125,1077831.0141602887,1077843.499940615,1077855.9110188766
195,195,16804953.0,1.0176558222691823,0.9826504974640512,392813.659357257,395256.89899412525,397685.5249738539,398894.3842418452,401301.2518111523,403693.7220126554,404884.5844432453,407255.620501853,409612.4726009627,410785.60626847885,413121.34344387695,415443.1098397122,416598.7790079854,418899.74194770376,421186.9428227137,422325.4071420546,424592.11725912144,426845.26586050156,427966.7826895942,430199.74673075444,953546.7803385964,956139.8204710226,956147.0763942752,956161.5230934034,956175.8833765322,956183.0312693808,956197.262906072,956211.4094074751,956218.4508860902,956232.4706435995,956246.4065419052,956253.3432014299,956267.1542420641,956280.4136751601,956286.7794847825,956299.4539399748,956312.0525761074,956318.323607271,956330.8093875973,956343.2204658588
196,196,16805604.0,1.0142018402662634,0.9859970277094599,276522.80161181465,544044.2628262088,546480.1845818923,547692.6770860543,550106.7755980165,552506.4339113449,553700.8741248559,556079.032865572,558442.9651161291,559619.6247131631,561962.3798308951,564291.1203708268,565450.2619519127,567758.1384061524,570052.2096779393,571194.0949349141,573467.6133912452,575727.532700113,576852.417972702,579092.0910442913,802569.9522160746,803810.9845293222,803818.21871539,803832.6221340444,803846.9394044279,803854.0658947608,803868.2549033302,803882.3590211372,803889.3794156996,803903.3571764497,803917.251336477,803924.1672125923,803937.936890252,803950.6876198296,803957.0343544798,803969.6708435712,803982.231742318,803988.4839904716,804000.9323696761,804013.3062744384
197,197,16806256.0,1.019285293341872,0.9810795922713235,398879.8186606778,1536165.0549580252,1601313.068573167,1602521.9278411584,1604928.7954104654,1607321.2656119687,1608512.1280425584,1610883.1641011662,1613240.0162002759,1614413.1498677921,1616748.8870431902,1619070.6534390254,1620226.3226072986,1622527.285547017,1624814.486422027,1625952.9507413679,1628219.6608584346,1630472.8094598148,1631594.3262889073,1633827.2903300677,1269012.224313861,1335425.6818763902,1335432.9377996428,1335447.384498771,1335461.7447818997,1335468.8926747483,1335483.1243114395,1335497.2708128428,1335504.3122914578,1335518.332048967,1335532.2679472729,1335539.2046067975,1335553.0156474316,1335566.2750805276,1335572.64089015,1335585.3153453423,1335597.913981475,1335604.1850126386,1335616.6707929648,1335629.0818712264
198,198,16807263.0,1.0101533377297571,0.9899487163477815,2149.669035259385,4600.249321771812,7036.17107745531,8248.663581617267,10662.76209357939,13062.420406907871,14256.860620418773,16635.019361134997,18998.95161169206,20175.611208726048,22518.366326458035,24847.10686638979,26006.24844747558,28314.124901715375,30608.196173502285,31750.08143047706,34023.59988680818,36283.51919567601,37408.404468264926,39648.07753985425,4450.390601548355,5691.422914795935,5698.657100863707,5713.060519518211,5727.377789901669,5734.504280234495,5748.693288803929,5762.797406611001,5769.8178011734,5783.795561923447,5797.689721950726,5804.605598066017,5818.375275725793,5831.126005303294,5837.472739953518,5850.109229044924,5862.670127791805,5868.922375945346,5881.37075514979,5893.744659912179
