,index,blocknum,p0vs1,p1vs0,WBTC-slippagemap_01,WBTC-slippagemap_2,WBTC-slippagemap_3,WBTC-slippagemap_4,WBTC-slippagemap_5,WBTC-slippagemap_6,WBTC-slippagemap_7,WBTC-slippagemap_8,WBTC-slippagemap_9,WBTC-slippagemap_10,WBTC-slippagemap_11,USDC-slippagemap_01,USDC-slippagemap_2,USDC-slippagemap_3,USDC-slippagemap_4,USDC-slippagemap_5,USDC-slippagemap_6,USDC-slippagemap_7,USDC-slippagemap_8,USDC-slippagemap_9,USDC-slippagemap_10
1093,1093,16777219.0,22276.773866042142,4.488980343443543e-05,0.32999443402173895,0.6778762544096082,1.022296760273365,1.3632903999895953,1.7008912575631263,2.0351331018399366,2.3660493492545194,2.693673088934255,3.0180370848801403,3.339173759555985,3.6571152315459288,24903.518357916073,35458.259797236235,45907.98493196709,56253.738639308074,66496.55562973992,76474.86616269774,86353.89583825972,96134.63226608951,105818.05368524762,115405.12828640292
1094,1094,16779301.0,22214.48925254547,4.5015664714659775e-05,0.397340598850615,0.7452224192384843,1.089642925102241,1.4306365648184713,1.7682374223920025,2.1024792666688126,2.4333955140833954,2.761019253763131,3.0853832497090163,3.406519924384861,3.724461396374805,23405.31617340846,33960.05761272862,44409.78274745948,54755.53645480046,64998.35344523231,74976.66397819012,84855.69365375211,94636.4300815819,104319.85150074001,113906.92610189531
1095,1095,16781672.0,22214.48925254547,4.5015664714659775e-05,0.39830791885694444,0.7461897392448137,1.0906102451085704,1.431603884824801,1.769204742398332,2.103446586675142,2.434362834089725,2.7619865737694607,3.086350569715346,3.40748724439119,3.725428716381134,23383.827014682567,33938.56845400273,44388.293588733584,54734.04729607457,64976.86428650641,74955.17481946423,84834.20449502622,94614.94092285601,104298.36234201411,113885.43694316942
1096,1096,16786611.0,22125.81319959874,4.5196078940869635e-05,0.007742474574749168,0.49421699574581923,0.8420988161336884,1.1865193219974453,1.5275129617136756,1.8651138192872068,2.199355663564017,2.5302719109785996,2.8578956506583353,3.1822596466042206,3.503396321280065,31812.15487241664,42261.8800071475,52607.63371448848,62850.450704920324,72828.76123787815,82707.79091344013,92488.52734126993,102171.94876042803,111759.02336158333,121250.70967773571
1097,1097,16790151.0,21866.275862125884,4.573252465601968e-05,0.2981027861279303,0.7845773072990003,1.1324591276868696,1.4768796335506262,1.8178732732668568,2.1554741308403877,2.489715975117198,2.820632222531781,3.1482559622115165,3.4726199581574018,3.7937566328332464,25425.086094786122,35874.81122951698,46220.56493685796,56463.38192728981,66441.69246024762,76320.72213580961,86101.4585636394,95784.8799827975,105371.95458395281,114863.64090010518
1098,1098,16790651.0,21835.686023268652,4.579659182378676e-05,0.33290147612605725,0.8193759972971273,1.1672578176849966,1.5116783235487532,1.8526719632649837,2.1902728208385147,2.524514665115325,2.8554309125299078,3.1830546522096435,3.5074186481555287,3.8285553228313733,24664.673957513995,35114.39909224485,45460.152799585834,55702.96979001768,65681.2803229755,75560.30999853749,85341.04642636728,95024.46784552539,104611.54244668069,114103.22876283305
1099,1099,16791927.0,21672.53910097517,4.614134021587735e-05,0.0260403772845433,0.5174037980861872,1.0038783192572573,1.3517601396451266,1.6961806455088833,2.0371742852251136,2.3747751427986445,2.709016987075455,3.0399332344900376,3.3675569741697737,3.6919209701156586,31100.595127829863,41446.348835170844,51689.16582560269,61667.47635856051,71546.50603412249,81327.2424619523,91010.66388111039,100597.73848226569,110089.42479841807,119486.67214463268
1100,1100,16792432.0,21551.518107991098,4.6400443578460004e-05,0.16375966727713065,0.6551230880787746,1.1415976092498445,1.4894794296377138,1.8338999355014707,2.174893575217701,2.512494432791232,2.846736277068042,3.177652524482625,3.5052762641623607,3.829640260108246,28124.02857688257,38469.782284223555,48712.5992746554,58690.909807613214,68569.9394831752,78350.67591100499,88034.0973301631,97621.1719313184,107112.85824747078,116510.1055936854
1101,1101,16792975.0,20920.88086810054,4.7799134572998145e-05,0.4102772112561266,0.9065786772371504,1.3979420980387942,1.8844166192098644,2.2322984395977334,2.57671894546149,2.917712585177721,3.255313442751252,3.589555287028062,3.920471534442645,4.248095274122381,22696.11977608931,32938.936766521154,42917.24729947897,52796.27697504096,62577.013402870754,72260.43482202885,81847.50942318415,91339.19573933653,100736.44308555115,110040.19066648917
1102,1102,16794242.0,20197.311564808257,4.951154002804994e-05,0.2936157012013228,0.7999426120526704,1.3012317412081746,1.7975332071891983,2.2888966279908423,2.7753711491619124,3.1232529695497817,3.4676734754135383,3.8086671151297686,4.1462679727033,4.48050981698011,24601.862173705606,34480.891849267595,44261.628277097385,53945.04969625549,63532.12429741079,73023.81061356317,82421.05795977778,91724.80554071581,100935.98404360845,110055.51424740991
1103,1103,16795413.0,20080.512043633953,4.9799526915800246e-05,0.4421157011933304,0.948442612044678,1.4497317412001822,1.9460332071812059,2.43739662798285,2.92387114915392,3.2717529695417893,3.616173475405546,3.957167115121776,4.294767972695308,4.629009816972117,21610.95997514292,31489.989650704905,41270.726078534695,50954.1474976928,60541.222098848106,70032.90841500048,79430.1557612151,88733.90334215312,97945.08184504576,107064.61204884722
1104,1104,16796214.0,19982.363103259082,5.004413115868673e-05,0.05610571829324294,0.567521038628674,1.0738479494800215,1.5751370786355259,2.0714385446165497,2.5628019654181933,3.0492764865892634,3.3971583069771327,3.7415788128408893,4.08257245255712,4.420173310130651,28813.468356924608,38594.2047847544,48277.62620391251,57864.700805067805,67356.38712122018,76753.63446743481,86057.38204837283,95268.56055126547,104388.09075506692,113416.88464454215
1105,1105,16797217.0,19948.423639645862,5.012927427571679e-05,0.09888996826111897,0.61030528859655,1.1166321994478976,1.6179213286034018,2.1142227945844256,2.6055862153860696,3.0920607365571398,3.4399425569450086,3.7843630628087657,4.1253567025249955,4.462957560098527,27959.189313878625,37739.92574170842,47423.34716086652,57010.421762021826,66502.1080781742,75899.35542438882,85203.10300532685,94414.28150821949,103533.81171202094,112562.60560149617
1106,1106,16798044.0,19884.693892408828,5.0289936843421036e-05,0.18022894496228553,0.6916442652977166,1.1979711761490641,1.6992603053045685,2.195561771285592,2.686925192087236,3.173399713258306,3.5212815336461754,3.865702039509932,4.206695679226162,4.544296536799694,26339.054412515976,36119.79084034577,45803.212259503875,55390.28686065917,64881.97317681155,74279.22052302618,83582.9681039642,92794.14660685684,101913.67681065829,110942.47070013352
1107,1107,16798941.0,20098.59173514457,4.9754729743148685e-05,0.4208771935747503,0.9272041044260978,1.428493233581602,1.924794699562626,2.41615812036427,2.90263264153534,3.250514461923209,3.594934967786966,3.9359286075031963,4.273529465076727,4.607771309353538,22037.658609166556,31916.68828472854,41697.424712558335,51380.84613171644,60967.92073287174,70459.60704902411,79856.85439523874,89160.60197617677,98371.7804790694,107491.31068287086
1108,1108,16800967.0,20195.292035604696,4.9516491182052745e-05,0.2980322770393563,0.8043591878907038,1.305648317046208,1.801949783027232,2.293313203828876,2.779787724999946,3.127669545387815,3.472090051251572,3.8130836909678023,4.150684548541333,4.484926392818144,24512.658609299775,34391.68828486176,44172.42471269156,53855.846131849656,63442.92073300496,72934.60704915733,82331.85439537195,91635.60197630998,100846.78047920261,109966.31068300408
1109,1109,16801485.0,20480.000196070006,4.8828124532532684e-05,0.44694303926892953,0.9482321684244338,1.4445336344054576,1.9358970552071015,2.4223715763781715,2.7702533967660408,3.1146739026297974,3.455667542346028,3.793268399919559,4.127510244196369,4.458426491610952,21803.37613273322,31781.68666569104,41660.71634125303,51441.45276908282,61124.87418824092,70711.94878939622,80203.6351055486,89600.88245176322,98904.63003270124,108115.80853559388
1110,1110,16802187.0,21324.289814729913,4.6894879439747746e-05,0.42760201892239796,0.9189654397240419,1.405439960895112,1.7533217812829813,2.0977422871467377,2.4387359268629685,2.7763367844364994,3.1105786287133097,3.4414948761278925,3.769118615807628,4.0934826117535135,22467.498592493746,32813.25229983473,43056.069290266576,53034.37982322439,62913.40949878638,72694.14592661617,82377.56734577427,91964.64194692958,101456.32826308194,110853.57560929657
1111,1111,16802698.0,22013.264422943488,4.5427156135813396e-05,0.133980847867169,0.6204553690382391,0.9683371894261082,1.312757695289865,1.6537513350060955,1.9913521925796265,2.3255940368564367,2.6565102842710195,2.984134023950755,3.3084980198966405,3.629634694572485,29025.988011678313,39475.71314640917,49821.46685375016,60064.283844182,70042.59437713982,79921.62405270181,89702.3604805316,99385.7818996897,108972.85650084501,118464.54281699737
1112,1112,16803204.0,23188.17847133759,4.312542277678596e-05,0.2315381000279385,0.5725317397441689,0.9101325973177,1.2443744415945104,1.575290689009093,1.9029144286888289,2.227278424634714,2.5484150993105583,2.866356571300502,3.1811346304324655,3.492780749082353,18399.625465099038,29167.575842621074,39828.38884410673,50383.13028342689,60832.85541815775,71178.60912549873,81421.42611593058,91399.7366488884,101278.76632445038,111059.50275228018
1113,1113,16803744.0,22455.693836812978,4.453213546938547e-05,0.135219149372679,0.4831009697605483,0.827521475624305,1.1685151153405353,1.5061159729140665,1.8403578171908768,2.1712740646054596,2.4988978042851953,2.8232618002310805,3.1443984749069247,3.4623399468968685,29259.9431906394,39814.684629959556,50264.40976469042,60610.163472031396,70852.98046246325,80831.29099542106,90710.32067098306,100491.05709881285,110174.47851797094,119761.55311912624
1114,1114,16804251.0,22366.05494064071,4.471061180230443e-05,0.11399369613232707,0.21751901802119586,0.32001429556952443,0.4214897801876029,0.5219556148532019,0.6214218487567251,0.7198984262152784,0.8173951941434243,0.9139219027021387,1.0094882004151606,1.1041036453754023,13353.130396053853,18552.937921210174,23701.00902307212,28797.858461793265,33843.9959888796,38677.33233342172,43462.578595501094,48200.213157672166,52890.70986351689,57534.537689334684
1115,1115,16804850.0,22256.734790436378,4.493022042162697e-05,0.17260947126466158,0.2761347931535304,0.37863007070185895,0.4801055553199374,0.5805713899855364,0.6800376238890596,0.778514201347613,0.8760109692757588,0.9725376778344732,1.0681039755474953,1.162719420507737,12045.244583650838,17245.052108807162,22393.123210669106,27489.97264939025,32536.110176476588,37369.446521018705,42154.69278309808,46892.32734526915,51582.82405111387,56226.65187693167
1116,1116,16806250.0,21685.545875750104,4.6113665098845936e-05,0.005859716656942709,0.24793056488754703,0.4875928901585986,0.5911182120474674,0.6936134895957959,0.7950889742138744,0.8955548088794733,0.9950210427829965,1.09349762024155,1.1909943881696958,1.28752109672841,15472.838359597865,20569.687798319006,25615.82532540535,30449.16166994746,35234.407932026836,39972.042494197914,44662.53920004263,49306.36702586043,53903.99026992811,58455.86876550017
1117,1117,16807190.0,21519.216678002405,4.647009298541198e-05,0.09926973664487089,0.3413405848754752,0.5810029101465267,0.6845282320353956,0.7870235095837241,0.8884989942018026,0.9889648288674014,1.0884310627709248,1.1869076402294783,1.284404408157624,1.3809311167163383,13454.899683489255,18551.7491222104,23597.88664929674,28431.222993838852,33216.46925591823,37954.1038180893,42644.600523934016,47288.42834975182,51886.051593819495,56437.93008939156
1118,1118,16810328.0,21326.422243711386,4.689019042070567e-05,0.20959878923378922,0.45166963746439354,0.6913319627354451,0.7948572846243139,0.8973525621726425,0.9988280467907209,1.0992938814563198,1.198760115359843,1.2972366928183965,1.3947334607465423,1.4912601693052567,11091.24758436204,16188.097023083183,21234.23455016952,26067.570894711636,30852.817156791014,35590.45171896208,40280.948424806804,44924.77625062461,49522.399494692276,54074.277990264345
1119,1119,16813463.0,21616.266498977093,4.626145777983081e-05,0.04503402057726685,0.28710486880787117,0.5267671940789227,0.6302925159677915,0.73278779351612,0.8342632781341985,0.9347291127997974,1.0341953467033207,1.1326719241618741,1.2301686920900199,1.3266954006487344,14624.671966788328,19721.521405509473,24767.658932595812,29600.995277137925,34386.2415392173,39123.87610138838,43814.37280723309,48458.200633050896,53055.82387711857,57607.70237269063
1120,1120,16814906.0,22301.290573196813,4.4840454265093834e-05,0.14905817091388146,0.2525834928027503,0.3550787703510788,0.4565542549691573,0.5570200896347562,0.6564863235382795,0.7549629009968328,0.8524596689249787,0.9489863774836931,1.0445526751967151,1.1391681201569568,12569.973680845147,17769.78120600147,22917.852307863413,28014.701746584557,33060.8392736709,37894.17561821301,42679.421880292386,47417.056442463465,52107.55314830818,56751.38097412598
1121,1121,16815582.0,22473.664680734375,4.4496525787236356e-05,0.05633630162697626,0.15986162351584507,0.2623569010641736,0.36383238568225207,0.464298220347851,0.5637644542513742,0.6622410317099277,0.7597377996380735,0.8562645081967879,0.9518308059098098,1.0464462508700516,14645.889721602174,19845.697246758496,24993.76834862044,30090.617787341584,35136.75531442792,39970.091658970035,44755.33792104942,49492.97248322049,54183.4691890652,58827.297014883006
1122,1122,16817737.0,22559.2227861377,4.432776826932552e-05,0.010991801229577493,0.11451712311844629,0.21701240066677482,0.31848788528485333,0.4189537199504522,0.5184199538539755,0.616896531312529,0.7143932992406747,0.8109200077993891,0.906486305512411,1.0011017504726527,15666.965948364877,20866.7734735212,26014.844575383144,31111.694014104287,36157.83154119063,40991.16788573274,45776.41414781212,50514.04870998319,55204.54541582791,59848.373241645706
1123,1123,16818363.0,22473.664680734375,4.4496525787236356e-05,0.05637296685859027,0.15989828874745907,0.2623935662957876,0.36386905091386607,0.464334885579465,0.5638011194829883,0.6622776969415417,0.7597744648696875,0.8563011734284018,0.9518674711414239,1.0464829161016656,14645.065654264248,19844.87317942057,24992.944281282515,30089.793720003658,35135.93124709,39969.26759163211,44754.51385371149,49492.14841588256,54182.64512172728,58826.47294754508
1124,1124,16819589.0,22561.478708416314,4.4323335935731946e-05,0.009651880953866725,0.11317720284273552,0.21567248039106407,0.31714796500914255,0.4176137996747415,0.5170800335782647,0.6155566110368181,0.7130533789649639,0.8095800875236784,0.9051463852367003,0.999761830196942,15697.197574105196,20897.005099261518,26045.076201123466,31141.92563984461,36188.063166930944,41021.39951147306,45806.64577355244,50544.28033572351,55234.777041568224,59878.60486738603
1125,1125,16821192.0,23963.718449743537,4.1729750835505335e-05,0.0025557925208594882,0.10302162718645841,0.20248786108998168,0.3009644385485351,0.3984612064766809,0.4949879150353953,0.5905542127484172,0.685169657708659,0.7788437101752524,0.8715857359375413,0.9634050090005483,7094.00496581693,9431.79224115377,14736.637435652103,19988.70125816295,25188.50878331927,30336.579885181218,35433.42932390236,40479.5668509887,45312.90319553082,50098.14945761019
1126,1126,16821833.0,24282.120443653163,4.1182564855507874e-05,0.03691644252169127,0.13638267642521454,0.23485925388376797,0.33235602181191376,0.42888273037062813,0.5244490280836501,0.6190644730438918,0.7127385255104853,0.8054805512727742,0.8972998243357811,0.9882055275045968,6327.435875043846,8688.717149902632,11026.504425239471,16331.349619737804,21583.41344224865,26783.220967404974,31931.292069266918,37028.14150798806,42074.2790350744,46907.615379616516
1127,1127,16823664.0,24282.120443653163,4.1182564855507874e-05,0.038408911347269245,0.14189639548939365,0.2443542130639238,0.34579260907938786,0.4462217278791455,0.545651608060299,0.6440921941331594,0.737766246599753,0.8305082723620418,0.9223275454250488,1.0132332485938644,6583.243318672729,9039.987169295056,11472.28719805397,16870.70477422265,22215.40996562145,27506.93710869629,32745.815247587158,37932.56822232306,43067.7147759377,47989.17453606743
