,index,blocknum,p0vs1,p1vs0,UNI-slippagemap_01,UNI-slippagemap_2,UNI-slippagemap_3,UNI-slippagemap_4,UNI-slippagemap_5,UNI-slippagemap_6,UNI-slippagemap_7,UNI-slippagemap_8,UNI-slippagemap_9,UNI-slippagemap_10,UNI-slippagemap_11,UNI-slippagemap_12,UNI-slippagemap_13,UNI-slippagemap_14,UNI-slippagemap_15,UNI-slippagemap_16,UNI-slippagemap_17,UNI-slippagemap_18,UNI-slippagemap_19,UNI-slippagemap_20,USDC-slippagemap_01,USDC-slippagemap_2,USDC-slippagemap_3,USDC-slippagemap_4,USDC-slippagemap_5,USDC-slippagemap_6,USDC-slippagemap_7,USDC-slippagemap_8,USDC-slippagemap_9,USDC-slippagemap_10,USDC-slippagemap_11,USDC-slippagemap_12,USDC-slippagemap_13,USDC-slippagemap_14,USDC-slippagemap_15,USDC-slippagemap_16,USDC-slippagemap_17,USDC-slippagemap_18,USDC-slippagemap_19,USDC-slippagemap_20
53,53,16758780.0,6.189235075984175,0.16157085451161118,3937.541192846387,7825.656212390875,11694.380070265299,15543.809736472595,19374.04087458908,23185.170181598995,26977.29182307011,30750.501478983846,34504.892846042676,38240.56043791292,41957.596773776946,45656.09510009006,49336.14874943338,52997.84850045564,56641.286236292566,60266.55330429519,63873.7404883635,67462.93701753693,71034.23394694457,74587.71926943987,24484.705870482692,48549.16407980496,72493.60722825833,96318.63188524714,120024.83161365012,143612.8048180778,167083.13848595347,190436.41998341822,213673.23281793346,236794.15639299547,259799.76989699085,278578.7276945954,278578.7276945954,278578.7276945954,278578.7276945954,278578.7276945954,278578.7276945954,278578.7276945954,278578.7276945954,278578.7276945954
54,54,16759300.0,6.175634405062568,0.16192668386914794,3935.3751537594476,7827.769214943886,11700.75123258068,15554.417303329303,19388.8640475464,23204.18734056063,27000.48229721175,30777.844384843236,34536.36821843275,38276.14646044635,41997.27366572655,45699.8428925376,49383.94626591405,53049.676008591945,56697.12335303476,60326.38054569752,63937.53726106426,67530.68411744367,71105.91111021923,74663.30759159448,24497.926515301744,48535.93064220784,72454.05050978181,96252.88331525198,119933.02322546106,143495.06519168572,166939.59669472722,190267.2055719991,213478.4716719735,236573.97475202987,259554.2984733741,273287.44059369096,273287.44059369096,273287.44059369096,273287.44059369096,273287.44059369096,273287.44059369096,273287.44059369096,273287.44059369096,273287.44059369096
55,55,16759805.0,6.260192496908958,0.15973949690744516,3916.2802297482713,7782.296740328313,11629.03295760694,15456.584521259663,19265.046361636567,23054.51495800523,26825.08423399487,30576.84843464489,34309.90203512582,38024.33751281108,41720.248591274605,45397.726443462336,49056.86441944201,52697.75277632473,56320.48330965747,59925.1462382948,63511.83170004478,67080.629217405,70631.62814543457,74164.91761910521,24617.663627315367,48819.67456598941,72900.98202587255,96862.19026943971,120703.89690213051,144426.69656703091,168031.1887881795,191517.95361432366,214887.58765418592,238140.67158112113,261277.78193067852,284299.50325970777,306292.3296139832,306292.3296139832,306292.3296139832,306292.3296139832,306292.3296139832,306292.3296139832,306292.3296139832,306292.3296139832
56,56,16760317.0,6.257063339470315,0.15981938263144607,3921.44374520773,7788.427205362393,11636.12490043332,15464.633297124034,19274.047529724543,23064.463135664166,26835.97539632872,30588.67762924525,34322.66452805297,38038.02877788419,41734.86377416758,45413.261422763644,49073.313718951125,52715.11267443103,56338.748757349196,59944.31289845828,63531.89494398589,67101.58509546482,70653.47194517775,74187.64437444002,24585.326787165966,48781.288760063195,72856.57874955943,96811.79415029263,120647.54153400392,144364.41665162824,167963.00400851367,191443.90076605967,214807.69245471375,238054.9648207544,261186.2913325612,284202.2575502506,305047.0176776887,305047.0176776887,305047.0176776887,305047.0176776887,305047.0176776887,305047.0176776887,305047.0176776887,305047.0176776887
57,57,16760878.0,6.258940646190314,0.15977144640422164,3897.7661821916677,7764.169802382822,11611.290455326405,15439.22448449323,19248.0674842815,23037.914854014645,26808.86118251946,30561.000790560192,34294.427681985886,38009.23442706063,41705.51483877265,45383.360694836,49042.86437986174,52684.11726067372,56307.20969401363,59912.2329934773,63499.27736424114,67068.43191782106,70619.78609163199,74153.4286383768,24733.53559633669,48933.126708139745,73012.02535028382,96970.83619448828,120810.16125487868,144530.59163882805,168132.7192258819,191617.1405924623,214984.43660280347,238235.19234339075,261369.99296525214,284389.411126602,305922.9751005463,305922.9751005463,305922.9751005463,305922.9751005463,305922.9751005463,305922.9751005463,305922.9751005463,305922.9751005463
58,58,16761593.0,6.303535017792027,0.15864114297413318,3890.2296723612562,7742.932731875183,11576.421176551721,15390.790674377049,19186.136713633154,22962.5551094792,26720.13858339492,30458.982383550156,34179.17972745886,37880.823471721276,41564.00554908894,45228.819027031284,48875.35542369097,52503.704753820966,56113.95901598113,59706.20810580062,63280.5413349758,66837.04834980832,70375.818115694,73896.93935813959,24781.929503199925,49067.577214365934,73232.10339133017,97276.11741947218,121200.21827750267,145004.99812298213,168691.06207256674,192258.992010405,215709.38646247337,239042.82821577668,262259.89607766405,285361.1769957337,308347.24540020863,323226.6752592589,323226.6752592589,323226.6752592589,323226.6752592589,323226.6752592589,323226.6752592589,323226.6752592589
59,59,16762215.0,6.295975690234364,0.1588316170837654,3909.878081524582,7764.893330642888,11600.682504743238,15417.341195144138,19214.965398357304,22993.649725254218,26753.48854408017,30494.57647707571,34217.006156924515,37920.87095964385,41606.26435990765,45273.27676352781,48922.00124987672,52552.52880911848,56164.94941291997,59759.35445046492,63335.832734179865,66894.47439058658,70435.36791576655,73958.60205790384,24658.05695346146,48929.137219513046,73079.1722031132,97108.76201676727,121018.51208703755,144809.01712418435,168480.87276923875,192034.66738055597,215470.9979541729,238790.44160492416,261993.58364672455,285081.009402456,308053.29161947605,320182.1085264115,320182.1085264115,320182.1085264115,320182.1085264115,320182.1085264115,320182.1085264115,320182.1085264115
60,60,16762827.0,6.295346155618803,0.15884750024547376,3893.6224432692875,7748.829884935948,11584.8105559439,15401.660659421337,19199.474478088803,22978.347829782982,26738.374553190177,30479.649319984685,34202.265349043686,37906.31603759665,41591.8927878684,45259.089209642334,48907.99581431087,52538.7046760321,56151.306295062044,59745.89061713407,63322.54796527415,66881.36753365617,70422.43833299194,73945.84868233869,24760.39513201165,49030.26222062351,73179.08941308342,97207.47702478406,121116.03068809907,144905.3453212053,168576.02079902252,192128.63766671706,215563.79307601962,238882.07246653846,262084.05733001992,285170.3249632695,308141.46065277484,320041.13419509184,320041.13419509184,320041.13419509184,320041.13419509184,320041.13419509184,320041.13419509184,320041.13419509184
61,61,16763348.0,6.269589361705683,0.15950007924090637,3888.025881938995,7751.144479563309,11594.996711237987,15419.678190338074,19225.28554200306,23011.9128546721,26779.655709215935,30528.60714663866,34258.86212512559,37970.51303664329,41663.65298496366,45338.37462949707,48994.76861754825,52632.92769153663,56252.94250305897,59854.902675526886,63438.899701302136,67005.0215256492,70553.35881074808,74083.99915305813,24794.877040096326,49015.04294248946,73114.41909555218,97093.60266596661,120953.19602232634,144693.79869171092,168315.99504172805,191820.38616193132,215207.54941550124,238478.07861611864,261632.547278148,284671.5410256442,307595.6328253047,310110.29288001085,310110.29288001085,310110.29288001085,310110.29288001085,310110.29288001085,310110.29288001085,310110.29288001085
62,62,16763882.0,6.303535017792027,0.15864114297413318,3890.2296723612562,7742.932731875183,11576.421176551721,15390.790674377049,19186.136713633154,22962.5551094792,26720.13858339492,30458.982383550156,34179.17972745886,37880.823471721276,41564.00554908894,45228.819027031284,48875.35542369097,52503.704753820966,56113.95901598113,59706.20810580062,63280.5413349758,66837.04834980832,70375.818115694,73896.93935813959,24781.929503199925,49067.577214365934,73232.10339133017,97276.11741947218,121200.21827750267,145004.99812298213,168691.06207256674,192258.992010405,215709.38646247337,239042.82821577668,262259.89607766405,285361.1769957337,308347.24540020863,323226.6752592589,323226.6752592589,323226.6752592589,323226.6752592589,323226.6752592589,323226.6752592589,323226.6752592589
63,63,16764616.0,6.361792199293888,0.1571884099123817,3888.53757412792,7723.559905665901,11539.455599436902,15336.319910334329,19114.24900353542,22873.335932037513,26613.67571746446,30335.3608284197,34038.48554472422,37723.14157475796,41389.42075100779,45037.41596974116,48667.21704735109,52278.91531063841,55872.601480998324,59448.3646964989,63006.294916052815,66546.48047615871,70069.00997208327,73573.9717251053,24793.368684559195,49190.980073345905,73466.91515278674,97621.77949763283,121656.17631233527,145570.7102004255,169365.97103848273,193042.56160923777,216601.06947932133,240042.08677843784,263366.1938330376,286573.9792378333,309666.01929614914,332642.89414154843,345688.40206754394,345688.40206754394,345688.40206754394,345688.40206754394,345688.40206754394,345688.40206754394
64,64,16765124.0,6.345908376025079,0.15758185286412463,3883.9594963955765,7723.777613337007,11544.446385551226,15346.059771439512,19128.71330178837,22892.502225025422,26637.51981124302,30363.86013234109,34071.616337582826,37760.88065296755,41431.74593264948,45084.30299958057,48718.64423932625,52334.8599598386,55933.040424269384,59513.27626873279,63075.65604687692,66620.2695753115,70147.20502573371,73656.55033555486,24822.315460548187,49189.4506930651,73435.06293723156,97559.75524700961,121564.1282140134,145448.78772728617,169214.32491858717,192861.33980233097,216390.42111167233,239802.15399919872,263097.1279743896,286275.92043042585,309339.116837072,332287.2900477104,339606.50591137016,339606.50591137016,339606.50591137016,339606.50591137016,339606.50591137016,339606.50591137016
65,65,16765641.0,6.378353551386874,0.1567802712633522,3887.309167151002,7717.349138800811,11528.287931541056,15320.22025212327,19093.24060521133,22847.444898832837,26582.925369384062,30299.775611633606,33998.089355515556,37677.958825374575,41339.47580833625,44982.731114559116,48607.81707222806,52214.823916707464,55803.84132633613,59374.95935038465,62928.26691030748,66463.85366480504,69981.80716088654,73482.21606162075,24801.234499931987,49230.580195652765,73538.09247621306,97724.37924161484,121790.03819653856,145735.6803029121,169561.8939886236,193269.2805806757,216858.43429405987,240329.9419014211,263684.3905512761,286922.36353102536,310044.4400213751,333051.2031244603,352059.65212232334,352059.65212232334,352059.65212232334,352059.65212232334,352059.65212232334,352059.65212232334
66,66,16766179.0,6.297864671827001,0.15878397712694922,3896.2412321461334,7750.677919201532,11585.89185552463,15401.977905595017,19199.032523601392,22977.150186169143,26736.42513305153,30476.951863350107,34198.82343153114,37902.133077374994,41586.973099320596,45253.43640128919,48901.613336483715,52531.596326605875,56143.47521252624,59737.34077243272,63313.28267655663,66871.39091480197,70411.75338927569,73934.45920070187,24743.949209480546,49018.67184322492,73172.32518728389,97205.52447725995,121118.85871192497,144912.93386525492,168588.33696155463,192145.66778736076,215585.5106231456,238908.45411869054,262115.07894380277,285205.9656877621,308181.6905653928,320998.00976400863,320998.00976400863,320998.00976400863,320998.00976400863,320998.00976400863,320998.00976400863,320998.00976400863
67,67,16766834.0,6.2921994266226235,0.15892693988193507,3879.4182577448064,7735.589846485822,11572.529320138405,15390.333698929013,19189.0968912065,22968.914931283063,26729.882419551064,30472.092557578573,34195.638801414614,37900.61530725658,41587.11419369684,45255.227170273894,48905.04651752493,52536.662976279265,56150.16727317343,59745.65054191455,63323.20231302483,66882.91150815126,70424.86734923007,73949.1588145756,24849.714439086416,49113.512890604594,73256.30626081393,97278.68806990258,121181.2649801585,144964.63695445572,168629.38888639235,192176.12242570386,215605.41966849045,238917.8711097789,262114.05517946766,285194.55429457675,308159.94651932793,318914.075520954,318914.075520954,318914.075520954,318914.075520954,318914.075520954,318914.075520954,318914.075520954
68,68,16767397.0,6.301644335435764,0.15868874007641834,3904.331321001546,7757.6119135629915,11591.675190599206,15406.61693900735,19202.532760687627,22979.517453484816,26737.66500092268,30477.06965654429,34197.82477936826,37900.02336149531,41583.7585097985,45249.12131130044,48896.20446309148,52525.09859197556,56135.894307049144,59728.682135689254,63303.551508896875,66860.59218729712,70399.89278208079,73921.54214361683,24693.02745912932,48975.02990317363,73135.93474773467,97176.340221729,121096.84984140462,144898.06438906016,168580.5736495973,192144.97214803056,215591.84693427902,238921.78540924052,262135.37518496538,285233.1874494562,308215.80955526716,322407.43320340646,322407.43320340646,322407.43320340646,322407.43320340646,322407.43320340646,322407.43320340646,322407.43320340646
69,69,16767911.0,6.360520031682352,0.15721984916624826,3855.2395455580026,7690.645061926541,11506.922605684304,15304.166918117751,19082.473118666603,22841.93660863482,26582.65024571252,30304.70769518657,34008.202242129984,37693.22675113118,41359.873114065595,45008.23276174881,48638.396631530464,52250.45661497747,55844.502025090325,59420.622586853686,62978.908342824114,66519.44817289672,70042.32981420563,73547.64258178929,25005.166237277735,49400.33827920386,73673.84826976413,97826.29830049243,121858.29198190686,145770.43034644536,169563.31563367465,193237.53910069654,216793.68867985744,240232.36093488912,263554.1366281338,286759.6006927223,309849.33394127036,332823.91281464766,345411.052551526,345411.052551526,345411.052551526,345411.052551526,345411.052551526,345411.052551526
70,70,16768583.0,6.357340725521943,0.15729847481438855,3892.8189166469638,7729.18366920997,11546.414748363446,15344.608863891579,19123.859607258848,22884.262612058086,26625.91150410048,30348.900136275068,34053.32091028766,37739.26638557524,41406.829201115346,45056.10098640143,48687.17286852035,52300.135442740415,55895.079716722445,59472.09462270554,63031.26993134993,66572.69473345164,70096.4574245389,73602.64614183293,24766.126976418345,49155.203318192354,73422.64349809775,97569.05455330008,121595.04116871573,145501.2054644364,169288.14277486206,192956.44534985442,216506.71021416417,239939.5228812211,263255.473250977,286455.1350474089,309539.0982672924,332507.93212769117,343949.3550505413,343949.3550505413,343949.3550505413,343949.3550505413,343949.3550505413,343949.3550505413
71,71,16769198.0,6.307318084459034,0.15854599159410684,3890.4199110989857,7741.967122238179,11574.30572790623,15387.531131947235,19181.739140624213,22957.024176829917,26713.481528015585,30451.20339403647,34170.28495885789,37870.818278917875,41552.8960953761,45216.61017570113,48862.052330549835,52489.31384533441,56098.484960724134,59689.65633540784,63262.917996296695,66818.35837944385,70356.06669566515,73876.1314423458,24780.806652135645,49073.73999162143,73245.51968355525,97296.74597691576,121228.02048063869,145039.9460457793,168733.11458625,192308.1187707088,215765.5478317898,239105.98733013583,262330.0230136239,285438.2324317133,308431.197006988,324686.55531282397,324686.55531282397,324686.55531282397,324686.55531282397,324686.55531282397,324686.55531282397,324686.55531282397
72,72,16769874.0,6.386650387944111,0.15657659950945021,3884.632892369027,7712.1844560217505,11520.646296398654,15310.114892767318,19080.684168756958,22832.44836940698,26565.501969887915,30279.937447573167,33975.848526036694,37653.326378224425,41312.4643542041,44953.352711086816,48576.08324441956,52180.74617305689,55767.43163480687,59336.22915216709,62887.22808019666,66420.51755386729,69936.18553091069,73434.31970846209,24818.320484899596,49263.55301618413,73586.87024815417,97788.8811868282,121870.18864671135,145831.39689027853,169673.1035229693,193395.9031878697,217000.39540901833,240487.16023516248,263856.79427502473,287109.87820195995,310246.9885515173,333268.70988054655,355261.53623482207,355261.53623482207,355261.53623482207,355261.53623482207,355261.53623482207,355261.53623482207
73,73,16770587.0,6.432154679611034,0.15546889803036767,3841.637797516615,7655.626047043667,11450.592665908242,15226.633388527063,18983.84141428482,22722.3113469217,26442.136872354637,30143.41022711873,33826.22432536554,37490.67109967031,41136.842518781086,44764.829520071515,48374.7225102083,51966.612307096075,55540.588135582366,59096.739558638925,62635.155924982915,66155.92495122654,69659.13457449515,73144.8733156548,25094.597055064096,49626.758794768066,74036.5714729781,98324.64845862814,122491.59320712734,146538.0107376844,170464.49955941402,194271.66335527174,217960.094879706,241530.3836125468,264983.1195874511,288318.89325661876,311538.28714909835,334641.8755228887,357630.24058052397,372968.26936351677,372968.26936351677,372968.26936351677,372968.26936351677,372968.26936351677
