,index,blocknum,p0vs1,p1vs0,AAVE-slippagemap_01,AAVE-slippagemap_2,AAVE-slippagemap_3,AAVE-slippagemap_4,AAVE-slippagemap_5,AAVE-slippagemap_6,AAVE-slippagemap_7,AAVE-slippagemap_8,AAVE-slippagemap_9,AAVE-slippagemap_10,AAVE-slippagemap_11,AAVE-slippagemap_12,AAVE-slippagemap_13,AAVE-slippagemap_14,AAVE-slippagemap_15,AAVE-slippagemap_16,AAVE-slippagemap_17,AAVE-slippagemap_18,AAVE-slippagemap_19,AAVE-slippagemap_20,USDC-slippagemap_01,USDC-slippagemap_2,USDC-slippagemap_3,USDC-slippagemap_4,USDC-slippagemap_5,USDC-slippagemap_6,USDC-slippagemap_7,USDC-slippagemap_8,USDC-slippagemap_9,USDC-slippagemap_10,USDC-slippagemap_11,USDC-slippagemap_12,USDC-slippagemap_13,USDC-slippagemap_14,USDC-slippagemap_15,USDC-slippagemap_16,USDC-slippagemap_17,USDC-slippagemap_18,USDC-slippagemap_19,USDC-slippagemap_20
89,89,12790284.0,280.6534944599019,0.003563112591647684,1.9686482840415997,4.114241526304488,6.247000322406522,7.308590884847184,9.422241922524119,11.523249674794426,12.569035999085708,14.651220433187708,16.720949861270363,17.751167149580038,19.802353471308905,21.841270143106684,22.85615031979398,24.87679994333206,26.885362612569438,27.885133929815467,29.798028379919355,31.62203993081711,32.5299500925295,34.3376200640407,959.6794712612392,1559.4439586101257,1857.9795043432239,2227.229395862996,2361.5862126537063,2428.462935364302,2561.6160280623644,2592.466720547171,2596.484062887236,2600.689072246891,2600.689072246891,2600.6890722468906,2600.6890722468906,2600.6890722468906,2600.6890722468906,2600.68907224689,2600.68907224689,2600.68907224689,2600.6890722468897,2600.6890722468897
90,90,12791209.0,299.59079528923905,0.0033378862626088127,2.0359434936089302,4.111891088456648,6.175420858765797,7.202552361200601,9.247594609160055,11.28040402897974,12.29224422601916,14.306841323706914,16.30938763900123,17.306164279583644,19.135655814192603,20.954203801715263,21.859394491976094,23.661649797813105,25.453124504063855,26.344839264344884,28.120263828375467,29.885068262523568,30.634505268605515,32.126651498693526,952.5553235036502,1572.4412045391593,1880.9922657266204,2495.3244741071508,3105.981937574427,3409.9394805664656,4015.1259430856494,4616.692345467501,4916.124781790768,5516.428917493812,5651.189389180435,5718.2670358343485,5851.820165293042,5945.118131987158,5949.147543727813,5957.2701949628845,5957.369895427533,5957.369895427533,5957.369895427533,5957.369895427532
91,91,12791808.0,294.4527040613676,0.003396131148422354,1.9166353172130186,4.011349812748392,6.093534246850392,7.1299511929335715,9.19348096324272,11.24466728497159,12.26565471363698,14.298464133456664,16.319113756994742,17.32490142818384,19.327447743478153,21.24034219358204,22.15371591866953,23.97226390619219,25.77993387770338,26.67970990229003,28.471184608540778,30.251943155485517,31.13832393285239,32.90312836700049,984.5588168533785,1598.8910252339087,1904.6777284297755,2513.5060316932236,3118.6924942124074,3419.9268455686392,4019.691332917526,4619.995468620571,4687.476770170397,4821.833586961106,4955.3867164198,5021.863402369765,5052.714094854571,5060.8367460896425,5060.936446554291,5060.936446554291,5060.936446554291,5060.936446554291,5060.93644655429,5060.93644655429
92,92,12792748.0,292.95489282496345,0.003413494788760829,1.761855736138569,3.862863488408876,5.951303598037619,6.990834246802157,9.060563674884813,11.11791246562929,12.141967284923355,14.180883956721132,16.20760433044785,17.21641375694651,19.224976426183886,21.221524384012334,22.137642193533807,23.961653744431562,25.77475459640478,26.677233877655148,28.474090777577366,30.260199368773574,31.149243155437283,32.91934970032305,1028.6229954478931,1641.1150846274468,1945.9858448988564,2552.990496955159,3156.3642017663105,3456.6962527919295,4054.664234848295,4423.914126368068,4491.1932965048645,4625.147665869374,4758.300758567436,4785.122039311587,4793.168793392308,4797.373802751962,4797.373802751962,4797.373802751962,4797.373802751962,4797.373802751962,4797.373802751962,4797.373802751962
93,93,12793571.0,300.4608260296233,0.0033282208972606865,1.5274090624640335,3.6033566573117515,5.666886427620901,6.694017930055705,8.73906017801516,10.771869597834844,11.783709794874264,13.798306892562017,15.800853207856331,16.79762984843875,18.627121383047708,20.445669370570368,21.350860060831195,23.15311536666821,24.94459007291896,25.83630483319999,27.611729397230572,29.376533831378673,30.12597083746062,31.618117067548628,1105.129940171297,1725.015821206806,2033.5668823942672,2647.8990907747975,3258.556554242074,3562.5140972341123,4167.700559753296,4769.266962135147,5068.699398458415,5669.003534161459,5803.764005848082,5870.841652501995,6004.394781960689,6097.692748654805,6101.7221603954595,6109.844811630531,6109.94451209518,6109.94451209518,6109.94451209518,6109.94451209518
94,94,12794364.0,306.37701168440947,0.003263952456818374,1.2418206400857699,3.2991694308302466,5.344211678789701,6.362140921922088,8.388861295648805,10.40345839333656,11.406233391384841,13.40278134921329,15.232272883822251,16.142910709632517,17.956011561605738,19.75826686744275,20.655347742778325,22.44145633397453,24.216880898005112,25.10060666552401,26.73112233823516,28.223268568323167,28.96599125709777,30.44476906994486,1198.3677113562203,1823.8574685761896,2135.1978847678997,2755.083765803409,3371.261649387713,3677.9670353714,4288.624498838676,4895.629150894979,5197.768504349899,5799.3349067317495,6397.3028887881155,6699.071478758062,6833.8319504446845,6967.786319809194,7034.462726557292,7127.760693251407,7135.807447332128,7139.912756227133,7140.012456691782,7140.012456691782
95,95,12795016.0,300.1605303909681,0.0033315506162568073,1.6902082728254453,3.7661558676731635,5.829685637982313,6.8568171404171165,8.901859388376572,10.934668808196255,11.946509005235676,13.961106102923429,15.963652418217745,16.96042905880016,18.78992059340912,20.60846858093178,21.51365927119261,23.31591457702962,25.10738928328037,25.9991040435614,27.774528607591982,29.539333041740086,30.28877004782203,31.780916277910038,1056.237179406259,1676.123060441768,1984.6741216292291,2599.0063300097595,3209.663793477036,3513.6213364690743,4118.807798988259,4720.374201370109,5019.806637693377,5620.110773396422,5754.8712450830435,5821.948891736957,5955.502021195651,6048.799987889767,6052.829399630422,6060.952050865493,6061.051751330142,6061.051751330142,6061.051751330142,6061.051751330141
96,96,12795852.0,301.3635167330001,0.0033182516943017124,2.046960413184064,4.11668984126672,6.174038632011197,7.198093451305262,9.237010123103039,11.263730496829755,12.272539923328416,14.281102592565793,16.277650550394238,17.193768359915712,19.017779910813466,20.830880762786688,21.733360044037056,23.530216943959275,25.31632553515548,26.20536932181919,27.975475866704958,29.605991539416113,30.353183722437887,31.84086045827872,950.2589320944134,1572.0071675276172,1881.4852293216322,2497.663112905937,3110.1552020854906,3415.0259623569,4022.0306144132023,4625.404319224354,4925.736370249973,5523.7043523063385,5892.954243826111,5960.233413962908,6094.1877833274175,6227.34087602548,6254.162156769631,6262.2089108503515,6266.413920210006,6266.413920210006,6266.413920210006,6266.413920210006
97,97,12796356.0,304.8490261709164,0.0032803122665687667,1.0833773593748917,3.146907129684041,5.198093451412909,6.2190808800783,8.251890299897983,10.272539923436064,11.278327594625157,13.280873909919473,15.19376836002336,16.107142085110848,17.925690072633508,19.733360044144703,20.63313606873135,22.4246107749821,24.205369321926838,25.091750099293712,26.856554533441813,28.353183722545534,29.098137769611768,30.581358386044162,1244.195047098483,1867.8112570387548,2178.219076280249,2796.248199261725,3410.580407642255,3716.367110838122,4325.19541410157,4930.381876620754,5231.616227976986,5831.380715325872,6431.684851028917,6499.166152578743,6633.522969369453,6767.076098828146,6833.552784778111,6864.4034772629175,6872.526128497989,6872.625828962638,6872.625828962638,6872.625828962638
98,98,12796934.0,301.54438005359515,0.0033162614399322066,1.9321003597824296,4.001829787865085,6.059178578609562,7.083233397903626,9.122150069701403,11.148870443428121,12.157679869926781,14.166242539164157,16.162790496992606,17.078908306514077,18.902919857411835,20.716020709385052,21.61849999063542,23.41535689055764,25.201465481753846,26.090509268417556,27.860615813303323,29.491131486014478,30.23832366903625,31.726000404877084,984.8850717752757,1606.6333072084797,1916.1113690024945,2532.289252586799,3144.781341766353,3449.6521020377622,4056.656754094065,4660.030458905217,4960.362509930836,5558.330491987202,5927.580383506974,5994.859553643771,6128.81392300828,6261.967015706342,6288.788296450493,6296.835050531214,6301.040059890868,6301.040059890868,6301.040059890868,6301.040059890868
