,index,blocknum,p0vs1,p1vs0,UNI-slippagemap_01,UNI-slippagemap_2,UNI-slippagemap_3,UNI-slippagemap_4,UNI-slippagemap_5,UNI-slippagemap_6,UNI-slippagemap_7,UNI-slippagemap_8,UNI-slippagemap_9,UNI-slippagemap_10,UNI-slippagemap_11,USDC-slippagemap_01,USDC-slippagemap_2,USDC-slippagemap_3,USDC-slippagemap_4,USDC-slippagemap_5,USDC-slippagemap_6,USDC-slippagemap_7,USDC-slippagemap_8,USDC-slippagemap_9,USDC-slippagemap_10
10,10,12447623.0,40.13376645181682,0.02491667462112146,247.88371072284744,493.9157115137935,787.2718838649099,1077.7092578587838,1316.470273594524,1552.8556938065421,1786.8891586351067,1786.8891586351067,1786.8891586351067,1786.8891586351067,1786.8891586351067,9998.339918285496,9998.339918285496,9998.339918285496,9998.339918285496,9998.339918285496,9998.339918285496,9998.339918285496,9998.339918285496,9998.339918285496,9998.339918285496
11,11,12463335.0,40.13376645181682,0.02491667462112146,248.00114894841255,494.0331497393586,787.389322090475,1077.826696084349,1316.5877118200892,1552.9731320321073,1787.0065968606718,1787.0065968606718,1787.0065968606718,1787.0065968606718,1787.0065968606718,9993.626467810298,9993.626467810298,9993.626467810298,9993.626467810298,9993.626467810298,9993.626467810298,9993.626467810298,9993.626467810298,9993.626467810298,9993.626467810298
12,12,12487155.0,40.13376645181682,0.02491667462112146,248.00114894841255,494.0331497393586,737.6172143518623,978.7776968663883,1217.5387126021285,1453.9241328141466,1687.957597642711,1687.957597642711,1687.957597642711,1687.957597642711,1687.957597642711,9993.626467810298,9993.626467810298,9993.626467810298,9993.626467810298,9993.626467810298,9993.626467810298,9993.626467810298,9993.626467810298,9993.626467810298,9993.626467810298
13,13,12507578.0,40.13376645181682,0.02491667462112146,248.48512448015666,494.5171252711027,738.1011898836065,979.2616723981323,1218.0226881338726,1454.4081083458907,1688.4415731744552,1688.4415731744552,1688.4415731744552,1688.4415731744552,1688.4415731744552,9974.202300261803,9974.202300261803,9974.202300261803,9974.202300261803,9974.202300261803,9974.202300261803,9974.202300261803,9974.202300261803,9974.202300261803,9974.202300261803
14,14,12558932.0,40.13376645181682,0.02491667462112146,265.2505210596206,527.882405135848,787.9011897429988,1045.3328721416601,1284.0938878774004,1520.4793080894185,1754.512772917983,1754.512772917983,1754.512772917983,1754.512772917983,1754.512772917983,11313.38179189955,11972.969003655093,11972.969003655093,11972.969003655093,11972.969003655093,11972.969003655093,11972.969003655093,11972.969003655093,11972.969003655093,11972.969003655093
15,15,12585142.0,38.56017607544565,0.02593349153913174,0.0,0.0,248.50453947051417,494.53654026146023,738.120604873964,979.2810873884898,1218.0421031242302,1454.4275233362482,1688.4609881648128,1688.4609881648128,1688.4609881648128,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
16,16,12645432.0,38.56017607544565,0.02593349153913174,0.05966037460672213,0.11872715007274906,248.68174570132723,494.7716437253363,738.4130295127846,979.6302628752362,1218.4474648067967,1454.888512180008,1688.9770506982316,1689.0315764223274,1689.0855596335223,4.578140002042265,6.833103674781524,6.833103674781524,6.833103674781524,6.833103674781524,6.833103674781524,6.833103674781524,6.833103674781524,6.833103674781524,6.833103674781524
17,17,12727223.0,38.56017607544565,0.02593349153913174,0.0,0.0,248.50453947051417,494.53654026146023,738.120604873964,979.2810873884898,1218.0421031242302,1454.4275233362482,1688.4609881648128,1688.4609881648128,1688.4609881648128,0.502499854783068,1.0000000051098223,1.4925501841707771,1.4925501841707771,1.4925501841707771,1.4925501841707771,1.4925501841707771,1.4925501841707771,1.4925501841707771,1.4925501841707771
18,18,12743287.0,37.79289193656587,0.026460002099825203,6.556253402867816e-05,0.013360380252161989,0.013360380252161989,0.013360380252161989,248.51789985076636,494.5499006417124,738.1339652542162,979.294447768742,1218.0554635044823,1454.4408837165004,1688.474348545065,1.4900722602093044,1.4900722602093044,1.4900722602093044,1.4900722602093044,1.4900722602093044,1.4900722602093044,1.4900722602093044,1.4900722602093044,1.4900722602093044,1.4900722602093044
19,19,12754654.0,37.428091267947224,0.026717900008339,0.0065593601555781166,0.019854177873711427,0.019854177873711427,0.019854177873711427,248.5243936483879,494.5563944393339,738.1404590518376,979.3009415663636,1218.0619573021038,1454.447377514122,1688.4808423426864,1.2458392941214675,1.2458392941214675,1.2458392941214675,1.2458392941214675,1.2458392941214675,1.2458392941214675,1.2458392941214675,1.2458392941214675,1.2458392941214675,1.2458392941214675
