,index,blocknum,p0vs1,p1vs0,AAVE-slippagemap_01,AAVE-slippagemap_2,AAVE-slippagemap_3,AAVE-slippagemap_4,AAVE-slippagemap_5,AAVE-slippagemap_6,AAVE-slippagemap_7,AAVE-slippagemap_8,AAVE-slippagemap_9,AAVE-slippagemap_10,AAVE-slippagemap_11,AAVE-slippagemap_12,AAVE-slippagemap_13,AAVE-slippagemap_14,AAVE-slippagemap_15,AAVE-slippagemap_16,AAVE-slippagemap_17,AAVE-slippagemap_18,AAVE-slippagemap_19,AAVE-slippagemap_20,WETH-slippagemap_01,WETH-slippagemap_2,WETH-slippagemap_3,WETH-slippagemap_4,WETH-slippagemap_5,WETH-slippagemap_6,WETH-slippagemap_7,WETH-slippagemap_8,WETH-slippagemap_9,WETH-slippagemap_10,WETH-slippagemap_11,WETH-slippagemap_12,WETH-slippagemap_13,WETH-slippagemap_14,WETH-slippagemap_15,WETH-slippagemap_16,WETH-slippagemap_17,WETH-slippagemap_18,WETH-slippagemap_19,WETH-slippagemap_20
213,213,12784971.0,0.13452574283838953,7.433521487417727,8.59543057539512,16.707105027737988,24.778324735433404,32.80929072172008,40.800204252496094,48.7512650070326,56.662671595409115,64.53462149250174,72.3673125701112,80.16093926362126,87.9156973176273,87.92001999036859,87.92432110456338,87.92860076792837,87.93285908754581,87.93709616956407,87.94131212024385,87.94550704483356,87.94968104833448,87.9538342346861,1.3522978841344593,2.5080108762962614,3.73436142036757,5.068911912725254,6.4680012269025084,7.708311184507415,8.923642765817348,10.133615788975122,11.306161988197248,12.441371719353132,13.570919883643356,14.69483465070887,15.813144145138764,16.925876343118862,18.03305906159373,18.728939782992896,18.81419925639044,18.910757253555772,18.99516843510319,19.07833116698963
214,214,12785716.0,0.12957468747779982,7.717556719334794,10.864447969900764,19.623749306254098,28.339366059042867,36.61872425352099,45.182227981608825,53.28174447300316,61.3408666663444,69.3597963514045,77.33873322567231,85.27787656049831,93.17742563269114,101.03757743346193,108.85852827713038,116.64047422899452,122.0660314818434,122.07034767571223,122.07464234343398,122.07891559240028,122.08316752963722,122.08739826122117,1.5638329751885016,2.8626930019776036,4.079848924718142,5.291373976799681,6.484658652864571,7.621572463903075,8.752816114628716,9.878417944386422,10.998406064140948,12.112808533479251,13.221653161356619,14.22344656114353,14.30883401788365,14.401615351678613,14.490057233015014,14.573593845357998,14.656466030670408,14.738924914366114,14.820972549657977,14.902610993199463
215,215,12786428.0,0.13002897070210775,7.690593831515964,9.910373530765971,18.65654706156443,27.309915649647774,35.47856818795527,44.02987144367761,52.11724863287823,60.16429230668402,68.17120271797137,76.13818087626508,84.06542504522191,91.95313405134348,99.80150496283191,107.61073412646458,115.3810165594554,118.4808639144219,118.48517363906727,118.48946187009273,118.49372871428154,118.49797427887333,118.50219866933021,1.6043950451105398,2.961893257439313,4.180876109695303,5.393955575637266,6.601686848649721,7.746630162296781,8.879571833925674,10.006863255984715,11.128532525145923,12.24460778342817,13.355116831092179,14.46008749399242,14.748797790032476,14.835843319464743,14.930275434613938,15.014186483150455,15.09718306312995,15.179765720645513,15.261936510001465,15.343697496791368
216,216,12786959.0,0.13107332208697536,7.629317576435862,8.795502439383425,17.506762809258397,25.732797355317405,34.2922319768742,42.38770063101332,50.4427947422244,58.45771579968546,66.43266432752938,74.36783925758004,82.26343953231941,90.11966235283188,97.9367042176146,105.71476031147645,110.36469337561499,110.36900741204258,110.37329993302662,110.37757104603654,110.3818208578942,110.38604947474344,110.39025700254686,1.5618924126671898,2.9280783545228326,4.246474749145243,5.464239276618571,6.676282256992178,7.876486666780525,9.013968966708864,10.145778354263438,11.271943070202594,12.392491314602568,13.50745114378758,14.616850268833906,15.720716614950758,15.806146769342858,15.897017126063924,15.98745475582053,16.071116118545355,16.15402975042154,16.236529867956584,16.31861853993596
217,217,12787468.0,0.13216570315272005,7.566259446631782,9.384371051856025,17.66372924633415,26.227232974421984,34.32674946581631,42.38587165915756,50.40480134421765,58.383738218485476,66.32288155331148,74.2224306255043,82.0825824262751,89.90353326994354,97.68547922180768,103.11103647465656,103.11535266852539,103.11964733624714,103.12392058521344,103.12817252245038,103.13240325403432,103.13661288587177,103.14080152311767,1.31339351738868,2.649947196259991,3.9798351755963575,5.189968503499133,6.318840226274836,7.442521376088428,8.548400253549287,9.598344176424261,10.64305168620933,11.682548954389695,12.71686194154067,13.74601656078998,14.770038493806128,15.687432232196434,15.688840952814989,15.698062374614643,15.703361082131243,15.70416917402093,15.704725431701943,15.70527891520489
218,218,12788029.0,0.14123895078814913,7.080199862854734,8.235082928857915,16.15044594555044,24.026333188576665,31.862940713258766,39.66046544450719,47.419101359187486,48.19672517036415,48.20102843558158,48.20531023927319,48.209570688447904,48.21380988972784,48.2180279487708,48.222224971304854,48.226401062021175,48.230556325583684,48.23469086556003,48.23880478540659,48.24289818816023,48.246971176156094,48.251023850770096,1.3085768533448607,2.425863843908454,3.537578650524372,4.672451881100376,5.80179399114946,6.942956446966694,8.098091692049168,9.34294400164984,10.676827369847523,12.004058411401708,13.13632160848447,14.26293794697294,15.384725689833282,16.463134862999706,17.510981031855614,18.55360130119311,19.591021777254305,20.62326835098853,21.650366773910648,22.672342824657452
219,219,12788928.0,0.14211730846114018,7.036440605497639,8.050961486087798,15.942615257775003,23.794911295244887,31.608045756467273,39.38221401245959,43.25691042315635,43.261222303176936,43.265512678689205,43.26978165668144,43.27402934432502,43.2782558475546,43.28246127212823,43.28664572304795,43.29080930479265,43.29495212178117,43.29907427756107,43.30317587479685,43.30725701621703,43.31131780406372,43.315358339589245,1.3351683067854123,2.4558121168510545,3.5708668979816833,4.680360571175693,5.841712305066135,6.946747974793891,8.10535372022699,9.25818112633218,10.576947812779046,11.9081661841407,13.157293075469017,14.287294213625174,15.411923451486986,16.5315578679824,17.58255212025919,18.628304799852216,19.66884206848138,20.70418979111963,21.734374047525616,22.759420426778266
220,220,12789526.0,0.13945664681149386,7.170687255600793,8.077329760910152,16.044307919203863,23.9715520881607,31.859261094282264,39.70763200577069,47.51686116940336,55.28714360239418,58.38699095736069,58.391300682006055,58.39558891303151,58.39985575722033,58.40410132181211,58.408325712269,58.412529034681164,58.41671139409924,58.420872894787195,58.425013640953885,58.4291337361892,58.43323328319132,58.43731238495179,1.329584055417609,2.439632683050406,3.601536470360517,4.700540431919946,5.859725611841183,7.0131295908911895,8.31343150422818,9.645315638797618,10.913953961140974,12.044520100409228,13.169623803438553,14.28981807855404,15.347660960865813,16.393936598956625,17.43499421159908,18.470859746169086,19.501559191920542,20.527118222492483,21.547562535159866,21.75216803250218
221,221,12790060.0,0.13409596995293074,7.4573456633410515,8.359100859338003,16.90634124055045,24.989675962807162,33.03269667884979,41.03560505008678,48.9986006071819,56.92188295825169,64.80564947335073,72.65009743728469,80.45542286248407,88.22182095687117,90.54720691588295,90.55151448645951,90.55580057369544,90.56006528528778,90.5643087274452,90.56853100650875,90.57273222808234,90.57691249675239,90.58107191735282,1.3465611845379837,2.5005419219142437,3.782369907417829,5.114920147088522,6.403079591436642,7.534211134388449,8.65978949224742,9.780543959786536,10.845238870964838,11.892037715401761,12.933616015592415,13.969999628458242,15.001214451607726,16.027286417811048,17.048241047373686,17.35452072485249,17.355925225894204,17.369046452318823,17.370188306331574,17.370745677596965
222,222,12790580.0,0.13499738424766955,7.407550935693504,8.980948652342171,17.07641730648129,25.131511417692373,33.14643247515343,41.121381002997346,49.05655593304801,56.95215620778738,64.80837902829985,72.62542089308258,80.40347698694443,85.05341005108296,85.05772408751055,85.06201660849459,85.06628772150451,85.07053753336217,85.07476615021142,85.07897367801483,85.08316022145688,85.08732588548777,85.09147077447624,1.274382145331537,2.4324087203440334,3.584660003183772,4.9218820458227635,6.252435100405186,7.482060415996604,8.611496599463297,9.735651742414744,10.848406641992568,11.898875566366609,12.944105536112772,13.984122631671209,15.018952895911992,16.048622238949708,17.07315625206124,18.092580724275994,18.093990149319588,18.101258805421292,18.108511677191885,18.10940314703523
