,index,blocknum,p0vs1,p1vs0,WBTC-slippagemap_01,WBTC-slippagemap_2,WBTC-slippagemap_3,WBTC-slippagemap_4,WBTC-slippagemap_5,WBTC-slippagemap_6,WBTC-slippagemap_7,WBTC-slippagemap_8,WBTC-slippagemap_9,WBTC-slippagemap_10,WBTC-slippagemap_11,WBTC-slippagemap_12,WBTC-slippagemap_13,WBTC-slippagemap_14,WBTC-slippagemap_15,WBTC-slippagemap_16,WBTC-slippagemap_17,WBTC-slippagemap_18,WBTC-slippagemap_19,WBTC-slippagemap_20,WETH-slippagemap_01,WETH-slippagemap_2,WETH-slippagemap_3,WETH-slippagemap_4,WETH-slippagemap_5,WETH-slippagemap_6,WETH-slippagemap_7,WETH-slippagemap_8,WETH-slippagemap_9,WETH-slippagemap_10,WETH-slippagemap_11,WETH-slippagemap_12,WETH-slippagemap_13,WETH-slippagemap_14,WETH-slippagemap_15,WETH-slippagemap_16,WETH-slippagemap_17,WETH-slippagemap_18,WETH-slippagemap_19,WETH-slippagemap_20
250,250,15187781.0,14.894064096796942,0.0671408417139185,0.001596773030464775,0.003178057847253632,0.0047514563086923775,0.006317007843976252,0.007874751546776896,0.009424726269059509,0.010966970995814576,0.012501524047993942,0.014028423850783825,0.015547708622030029,0.017059416268845475,0.018563584650810858,0.020060251291917235,0.021549453637926003,0.023031229034923953,0.02450561428866807,0.02548933652050013,0.02548933652050013,0.02548933652050013,0.02548933652050013,0.024031763858485298,0.047583520843487596,0.0710178197599409,0.09433524432565189,0.11753637766362769,0.14062180213945974,0.16359209259385465,0.18644782429915427,0.20918956782418996,0.23181789212106935,0.2543333626567309,0.27673654287353683,0.2990279922949728,0.32120826799377594,0.3432779261064119,0.36523751476408345,0.3870875858948197,0.4088286847190178,0.4304613546982901,0.44597004179025296
251,251,15188609.0,14.731135289258292,0.0678834305954127,0.0016070368126339576,0.003197042218904417,0.004779117799180978,0.006353303067552099,0.007919637526700756,0.0094781602424413,0.01102891014090111,0.012571926086987824,0.01410724657556117,0.015634910011258923,0.017154954595033235,0.01866741822042197,0.02017233882644722,0.021669754014150992,0.023159701130710614,0.024642217517545636,0.026117340146551184,0.027248169377302147,0.027248169377302147,0.027248169377302147,0.02387848332061065,0.047301068995636485,0.07060683804000843,0.09379637562394262,0.11687025961518188,0.13982906850273227,0.16267337628857054,0.18540375222860142,0.20802076559633303,0.23052498217052003,0.252916964003484,0.2751972708858009,0.297366460147353,0.31942508473558723,0.34137369814559754,0.3632128473512873,0.38494307947924133,0.40656493641482383,0.4199162987064669,0.41991629870646996
252,252,15191376.0,14.650340474242075,0.06825779931587114,0.0016160393546434894,0.0032104231020314705,0.004796855110565295,0.006375375242171388,0.00794602283408771,0.009508837109359314,0.011063857255527372,0.012611122106975802,0.014150670334041375,0.015682540426941633,0.017206770588009575,0.018723399091357545,0.02023246370848033,0.021734002250740708,0.02322805210128366,0.024714650822934663,0.026193835438050324,0.02766564294322461,0.02813506937725439,0.02813506937725439,0.023745849807134272,0.047104114092368185,0.07034588284365575,0.09347173944365231,0.11648226148246153,0.13937802377615874,0.16215959815090533,0.1848275548947477,0.20738246089376713,0.22982487940246757,0.25215536980927694,0.27437449422096105,0.2964828036730029,0.3184808549409939,0.3403691949592626,0.36214837261632055,0.38381892991963046,0.4053814122317474,0.4068867522757327,0.40688675227573573
253,253,15193320.0,14.602076443286899,0.06848341082748789,0.001618861957900681,0.0032158783780549378,0.004804930078251093,0.006386056767397075,0.007959297952398128,0.009524692924238732,0.011082280844456832,0.01263210062843535,0.014174191031377735,0.015708590726704996,0.01723533781670732,0.01875447067498147,0.0202660271734752,0.02177004513810503,0.02326656214872429,0.024755615703132762,0.026237242854240984,0.02771148072038623,0.02866579033384896,0.02866579033384896,0.023704453822388467,0.047024209985097605,0.07022766429618263,0.09331539708487938,0.11628798441828085,0.13914600116445303,0.16189001914980755,0.18452060693740202,0.2070383296004255,0.2294437501826032,0.2517374278040431,0.27391992254674447,0.2959917867504285,0.31795357158057574,0.3398058268591897,0.36154910089161596,0.3831839332811991,0.3991242152475638,0.3991242152475668,0.3991242152475698
254,254,15202799.0,14.559793875050039,0.06868229101193668,0.0016121517326640733,0.003211485376644524,0.004802842783722989,0.006386263649325138,0.007961787475228856,0.009529453858557486,0.011089301758521304,0.01264137029992291,0.014185698345969588,0.01572232429849762,0.017251286760702488,0.018772623847362477,0.020286373556992303,0.021792573842545702,0.023291262233644867,0.024782476362561406,0.026266253329057295,0.02774263030368976,0.029123710333824302,0.029123710333824302,0.023802015599651113,0.0470879843438861,0.07025781913213842,0.09331210129070029,0.11625140289783616,0.1390763030120421,0.16178736767381463,0.1843851662066948,0.20687026272732398,0.22924322095356056,0.2515045972407768,0.2736549522335133,0.2956948370734082,0.3176248016614493,0.3394453962245025,0.3611571659467883,0.3827606524588201,0.3924470394026342,0.39244703940263725,0.39244703940264025
255,255,15203724.0,14.098458929455868,0.07092973813688977,0.0016389391299587797,0.0032642292645063717,0.004881413552887222,0.006490532481225412,0.008091626273798265,0.00968473498904677,0.01126989850256174,0.01284715638841351,0.01441654801389176,0.01597811262606267,0.017531889332081264,0.019077916886921575,0.020616234073220538,0.02214687920034125,0.02366989057481899,0.0251853062901048,0.026693164214411022,0.02819350197964871,0.029686357233432655,0.031171767180331614,0.023413104528987493,0.046327190509729686,0.06912699533253822,0.09181309439486023,0.11438604974530435,0.13684642816754178,0.15919478928398542,0.18143169546048324,0.2035576980282352,0.22557335236052412,0.2474792091826358,0.2692758160538386,0.29096371714864155,0.31254345478988615,0.3174915518299228,0.3174915518299258,0.3174915518299288,0.3174915518299318,0.3174915518299347,0.3174915518299359
256,256,15209442.0,14.49007780261729,0.06901274193430305,0.0016148254161975782,0.0032180019300684353,0.00481318296088824,0.006400408318176605,0.007979717830586283,0.00955115090802801,0.011114746844626468,0.012670544600956417,0.014218583287134979,0.015758901451859382,0.017291537567900642,0.01881653010294935,0.02033391703337025,0.021843736304247213,0.02334602571520377,0.024840822815839433,0.026328164983052488,0.027808089321408446,0.029280632907599195,0.02989690913915006,0.023762350243124467,0.04699250110963823,0.07010679928730813,0.09310581948528072,0.11599013687744143,0.13876032363905946,0.1614169503991141,0.18396058101248888,0.2063917823847987,0.22871111081964998,0.2509191286776649,0.2730163889490743,0.2950034434964174,0.3168808428863067,0.3386491327346644,0.36030885869337675,0.3812155785968613,0.3812155785968643,0.38121557859686733,0.38121557859687033
257,257,15216948.0,14.907474117598419,0.06708044515867985,0.0016000840343359177,0.003180657425832389,0.004753348132689484,0.006318195321911398,0.007875238234675985,0.009424515761949434,0.01096606653791121,0.012499929214954826,0.014026142154292147,0.015544743419251977,0.017055770950575807,0.018559262637120825,0.020055256028384958,0.02154378850512092,0.023024897179249226,0.024498619222723825,0.025350007936558686,0.025350007936558686,0.025350007936558686,0.025350007936558686,0.023982511205275284,0.04754486760972832,0.07098971213401066,0.09431763149633882,0.11752920862795271,0.1406250224297451,0.16360565247185208,0.1864716705756179,0.2092236488026073,0.23186215931592155,0.2543877624586529,0.2768010266071319,0.29910250953406314,0.3212927682480486,0.34337235711650527,0.3653418311091917,0.38720173526897056,0.4089526200067981,0.43059502533543836,0.448046227436388
258,258,15219678.0,15.147899960323652,0.06601575153118676,0.0015894054045253185,0.0031573852335705335,0.004717545200484605,0.006269924196136699,0.00781456105798128,0.009351494450505793,0.010880762661938081,0.0124024039739361,0.013916456543215609,0.015422958023800145,0.016921946195385285,0.01841345857836433,0.019897532253765286,0.021374204544766413,0.02281419806491838,0.02281419806491838,0.02281419806491838,0.02281419806491838,0.02281419806491838,0.02281419806491838,0.024143768853441886,0.04789537220378231,0.07152851859109677,0.09504380031351034,0.11844180464121251,0.1417231167968198,0.1648883197554214,0.1879379907511673,0.21087270594388688,0.23369304024630624,0.2563995638080872,0.2789928434287025,0.30147344401528625,0.3238419283917404,0.34609885369739757,0.36824477794852634,0.3902802564789125,0.41220583654496573,0.43402206740756827,0.45572949500524007
259,259,15221213.0,14.711998212015384,0.0679717320236821,0.0016020816156172213,0.0031931207391557932,0.004776224907751413,0.006351433758703227,0.007918786611041971,0.009478322659359734,0.011030080856370902,0.012574099998929606,0.014110418711255087,0.015639075429463193,0.01716010829496169,0.01867355533030718,0.02017945442032507,0.021677843117982383,0.023168758989379826,0.024652239242676535,0.026128320980455488,0.027450499377291254,0.027450499377291254,0.027450499377291254,0.023951247451883654,0.047358613234191625,0.07064923901605277,0.09382370938272572,0.11688260158122174,0.13982649179658216,0.16265595663976118,0.18537156300019555,0.20797388107263304,0.23046347586921814,0.25284090863918257,0.2751067383339182,0.2972615231182498,0.31930581505074707,0.34124016670188073,0.36306512581677863,0.38478123854540003,0.4063890457554492,0.4169374996228318,0.4169374996228348
260,260,15226358.0,14.361694681504135,0.06962966573073447,0.0016313731707240286,0.0032416993974075567,0.004843994458256742,0.006438298358168025,0.008024651136001735,0.009603092316734518,0.011173661327037404,0.012736397574135284,0.014291339925032431,0.015838527495596506,0.01737799874191771,0.018909792141014316,0.02043394616153605,0.021950498778480154,0.023459488022837253,0.024960951416722634,0.02645492668364088,0.02794145101651926,0.029420561684062322,0.030892295663446104,0.02352261412027222,0.046649626266071366,0.069661298197453,0.09255820618469451,0.11534092021136773,0.13801001035938443,0.16056604330621996,0.18300958378420046,0.20534119099356918,0.22756142514443495,0.24967084048280133,0.27166999189140756,0.2935594261070816,0.3153396918181993,0.3370113343280052,0.35857489357306166,0.36029532558176763,0.36029532558177063,0.36029532558177363,0.3602953255817766
261,261,15228061.0,14.054823558274997,0.0711499504674489,0.0016386122989941114,0.00326642337042381,0.004886116155673151,0.006497731030244014,0.008101308338734625,0.009696888261204174,0.011284510480725917,0.01286421491536672,0.014436040856430708,0.016000027688671765,0.017556214459208904,0.019104640068712497,0.020645343349898208,0.022178362665866622,0.02370373647559155,0.02522150274828078,0.026731699604521212,0.028234364564935804,0.029729535444258853,0.031217249437970978,0.0234171701127722,0.04629576769807367,0.06906026337750941,0.0917112271145625,0.11424922375818215,0.13667481784111965,0.15898856833283007,0.18119103347890114,0.2032827706414252,0.22526432923793363,0.24713626079951298,0.2688991101760276,0.2905534222309402,0.31037999510921643,0.31037999510921943,0.31037999510922243,0.3103799951092254,0.3103799951092284,0.31037999510923137,0.31037999510923164
262,262,15230795.0,14.129508128262739,0.070773872021754,0.0016381903134214308,0.0032616936859783015,0.004877100039228756,0.006484450125500479,0.008083783769480931,0.009675141176559396,0.011258562042161543,0.012834085868065262,0.014401752251393892,0.01596160015135771,0.017513668692759318,0.019057996738805993,0.020594622691334025,0.022123585153538895,0.023644922240198884,0.02515867194982871,0.02666487223538211,0.028163560626481274,0.029654774755397812,0.0311385517218937,0.023423994556230003,0.04636329616336586,0.0691881962775718,0.09189926093934433,0.11449705947222448,0.13698215599285368,0.15935511421909027,0.1816164905063065,0.20376684549904306,0.22580673033893792,0.24773669492697903,0.2695572894900322,0.29126905921231805,0.3128725457243498,0.32255893266816393,0.32255893266816693,0.32255893266816993,0.3225589326681729,0.3225589326681759,0.3225589326681777
