,index,blocknum,p0vs1,p1vs0,USDC-slippagemap_01,USDC-slippagemap_2,USDC-slippagemap_3,USDC-slippagemap_4,USDC-slippagemap_5,USDC-slippagemap_6,USDC-slippagemap_7,USDC-slippagemap_8,USDC-slippagemap_9,USDC-slippagemap_10,USDC-slippagemap_11,USDC-slippagemap_12,USDC-slippagemap_13,USDC-slippagemap_14,USDC-slippagemap_15,USDC-slippagemap_16,USDC-slippagemap_17,USDC-slippagemap_18,USDC-slippagemap_19,USDC-slippagemap_20,WETH-slippagemap_01,WETH-slippagemap_2,WETH-slippagemap_3,WETH-slippagemap_4,WETH-slippagemap_5,WETH-slippagemap_6,WETH-slippagemap_7,WETH-slippagemap_8,WETH-slippagemap_9,WETH-slippagemap_10,WETH-slippagemap_11,WETH-slippagemap_12,WETH-slippagemap_13,WETH-slippagemap_14,WETH-slippagemap_15,WETH-slippagemap_16,WETH-slippagemap_17,WETH-slippagemap_18,WETH-slippagemap_19,WETH-slippagemap_20
2144,2144,16415774.0,0.0006457905076671131,1548.4897782292458,182915.87188700022,364215.5681008404,544613.2055437105,724109.2929206077,896926.7000369864,1064159.3697812187,1230558.005618952,1396147.7781195254,1561310.5046874702,1725649.1231661127,1778641.3434175448,1824410.1300012085,1870032.186850311,1916282.9109801345,1966826.6452192834,2017095.7528504871,2067145.1395155813,2117173.1563742044,2170300.40871538,2235080.2033004435,117.86430220332815,217.96252227572558,311.80387743883335,403.97179536273893,495.6791614567449,586.9277621478002,677.7225691731118,768.0632757826171,857.9534285762468,943.1393139817203,1025.6142567334462,1107.6778737799486,1189.3578914814468,1270.6209661167343,1351.463032110385,1431.905843953853,1511.9423484103088,1591.5789319075109,1670.818346178841,1749.662572064975
2145,2145,16416276.0,0.0006383429892617843,1566.5559375163753,178105.78733838128,360491.6678163259,541936.4533524843,722478.0492387344,902118.1423119832,1076759.7545253611,1244126.2584456985,1410658.0591199638,1576359.3187344884,1741607.4819194537,1906078.1053238495,1978389.1169220973,2023757.3689883105,2069415.9364998739,2114846.7934772437,2165406.413658822,2215740.762897706,2265785.68893008,2315853.145711415,2367533.7253986564,100.52188040074681,193.7216487069729,285.81455374813993,377.4485877380691,468.62422227092424,559.3464269145928,649.6148941188059,739.4331665252876,823.5020056787711,905.910998545624,987.9089950868512,1069.5311516928716,1150.7218968394359,1231.499099082222,1311.8774439318827,1391.849949194441,1471.4228514658585,1550.59890185382,1629.3800804723583,1706.0850540886306
2146,2146,16416509.0,0.0006354135009716257,1573.778332488807,165522.23490017472,337547.2672710374,508692.05399231927,678978.7198046347,848418.3183665499,1017011.0035428171,1184764.3532220267,1351679.5982392132,1517762.393406097,1683197.437135346,1848046.7891488497,1975985.4830109351,2020200.4126752329,2065964.1108731562,2111499.5727614015,2159694.7808719673,2210161.3751768805,2260317.0675213635,2310375.2438982297,2360310.1690765526,97.16230368595828,189.5086186568584,281.38984988974926,372.8125125838536,463.77887889786984,554.2924915860876,644.3535897668692,732.1960446200593,814.8278307223584,897.0475103852332,978.8782517547305,1060.300393607472,1141.2961967893896,1221.890247577571,1302.0813818939607,1381.8694120971495,1461.2595165679447,1540.253680744311,1618.59306355035,1694.1428372042524
2147,2147,16417009.0,0.0006368128794579518,1570.3199986331763,169817.1802006117,341657.72772737686,512609.7728782415,682709.8715115614,851962.6364795181,1020371.4611467649,1187938.913809478,1354670.6636385033,1520570.8741193255,1685916.4728118805,1850584.599876122,1951902.7876742908,1996669.637727274,2042383.025663327,2087868.4290263294,2137187.0610580067,2187598.4170416594,2237700.8587698974,2287763.538597475,2337644.1229296695,98.23053908589405,190.68029295459007,282.6617723237915,374.18592000092843,465.2522150249811,555.8656251510555,646.0258393161508,735.4085756654101,818.1313441691874,900.4415096589175,982.3422387717478,1063.873491150027,1144.9589599610565,1225.6387714211294,1305.9213779816105,1385.7973324791085,1465.2748095970667,1544.3559112462394,1623.0426134490976,1699.0083894960128
2148,2148,16417512.0,0.0006348419146520147,1575.1952996804641,164434.80565911438,336530.3275976222,507759.06469322415,678122.3721556177,847638.2011892124,1016306.7676640537,1184135.620011491,1351125.9887755371,1517283.5335248013,1682755.197508611,1847678.7439750645,1986516.0878021114,2030505.057273512,2076289.3529029703,2121845.309173988,2169580.579030162,2220069.8592279092,2270247.078968879,2320303.796850472,2370260.610489639,96.32426121842968,188.62829263107622,280.4687227146543,371.8497231989303,462.77571761729047,553.2480588226655,643.2686404357297,730.4814515296298,813.0760642214848,895.2587540329988,977.0572446393156,1058.4382126911055,1139.3975782483924,1219.9576344838897,1300.1102683619486,1379.862403472945,1459.2167918875934,1538.1754194075415,1616.2687798527654,1691.7525497076606
2149,2149,16418014.0,0.0006386622245970979,1565.7728944761893,173055.15969237886,344646.7673411656,515351.1235371438,685206.0848729619,854212.4009451509,1022377.2244451253,1189701.8935303611,1356192.0695034235,1521851.912401841,1687079.9358479194,1851509.2974135114,1917781.5266597872,1963274.9795466145,2008922.1347961978,2054609.191175272,2105165.0285349833,2155477.880604959,2205524.201229472,2255579.329892513,2307712.118681242,100.28544323119917,193.6857972096158,285.8021363216046,377.4590800442024,468.65751103827876,559.402397874654,649.6934320168644,739.5341627343633,823.9519814760026,906.3815777039854,988.4000759925981,1070.0395337337507,1151.2536340891222,1232.0511627187022,1312.4496025953001,1392.4421022569923,1472.0348991869062,1551.230745424626,1630.031620573951,1706.8907049328275
2150,2150,16418521.0,0.0006480546211275507,1543.0798074707027,171474.34769074435,341786.5558364525,511251.5632498981,679869.538485668,847648.0505419688,1014588.3334518475,1180696.0403551531,1346143.2889086031,1511017.370299619,1642588.402048265,1686728.0236572116,1732498.5861352843,1778040.878835292,1826082.796998932,1876556.9519597916,1926719.8189024637,1976777.509543739,2026719.7343906513,2083007.179787525,2159192.158387866,112.97002873915484,217.99133623620742,313.2366585624069,405.5688773373965,497.4365277902828,588.8452789967321,679.7981866889961,770.2980402697882,860.3456304332765,947.9781724966109,1030.5975654846723,1112.8049136290358,1194.626116515222,1276.0333186734533,1357.0169737419303,1437.5997928344486,1517.777990622349,1597.5540523776924,1676.9322504628328,1755.9145679981957
2151,2151,16419021.0,0.0006470833164209258,1545.3960481180184,196274.71569525544,385205.21550166205,554797.3098588029,723541.7909649826,891446.1778228285,1058511.7080023328,1224744.0336118361,1390252.3354222872,1555250.1094731903,1704991.0089061405,1748753.916957509,1794558.8187472806,1840135.2789676946,1887410.0574130097,1937920.5778338022,1988121.5926995098,2038176.3955682178,2088155.1575399342,2143089.123530446,2214388.8494181917,121.27562199837111,224.18772360738714,318.8310456005432,411.0928144764813,502.8919286333399,594.2318176205068,685.1174595831544,775.5485468817207,865.5286314059774,952.1120809539611,1034.6695366459526,1116.815255027341,1198.576957694073,1279.9213220081306,1360.8442658049587,1441.367917281974,1521.4844929799065,1601.2007491057107,1680.5194381380893,1759.4425432747641
2152,2152,16419521.0,0.0006489624875627911,1540.921115110284,196199.44422260564,378000.0320567085,547346.3692116438,715846.3606569475,883507.4750352756,1050330.9471815382,1216322.425843611,1381712.7331435531,1546471.447181254,1661096.2289144418,1705587.194715657,1751325.7312073843,1796836.1566333137,1845593.2314469558,1896032.1263884509,1946161.5046250604,1996221.5007327134,2046129.525564235,2103679.388146792,2184228.1978699765,125.78559376719093,232.7769203481456,328.5845190143204,420.9825383332717,512.9135796471878,604.3872720941091,695.4034958760583,785.9670862648704,876.0777288944162,964.6901218514462,1047.3673768135657,1129.6322876445483,1211.498012751003,1292.9746820653618,1374.015318172961,1454.6505690586803,1534.889152972095,1614.7210761386539,1694.154854364812,1773.1924757662036
2153,2153,16420047.0,0.0006472127395550433,1545.0870152640953,196047.50248600863,384485.9411993303,554061.0855439682,722788.6938428103,890676.292767347,1057725.1161536023,1223940.8220965213,1389440.9809871113,1554422.2564499287,1701739.71959713,1745552.871914147,1791353.1940901494,1836925.0969561387,1884302.2247796739,1934809.4252902393,1985003.7220075594,2035058.9790232654,2085032.818055954,2140147.3567734044,2212098.6610233067,121.73019184012911,224.92343146714154,319.64699428471766,411.91815292543583,503.7264467894267,595.0754698324694,685.9700774718605,776.4103313425488,866.3994123742546,953.1226972042534,1035.6884077314448,1117.8423410790238,1199.612217412849,1280.9647140894692,1361.8957503999022,1442.4274895871881,1522.5520780411769,1602.2763057572959,1681.6029267465262,1760.533924294637
