,index,blocknum,p0vs1,p1vs0,LINK-slippagemap_01,LINK-slippagemap_2,LINK-slippagemap_3,LINK-slippagemap_4,LINK-slippagemap_5,LINK-slippagemap_6,LINK-slippagemap_7,LINK-slippagemap_8,LINK-slippagemap_9,LINK-slippagemap_10,LINK-slippagemap_11,WETH-slippagemap_01,WETH-slippagemap_2,WETH-slippagemap_3,WETH-slippagemap_4,WETH-slippagemap_5,WETH-slippagemap_6,WETH-slippagemap_7,WETH-slippagemap_8,WETH-slippagemap_9,WETH-slippagemap_10
1725,1725,16102170.0,0.005870924762297716,170.33091727249933,216.78440329999137,455.3906888280508,691.6229223726173,925.5047233945066,1157.0594759669996,1386.310334452649,1613.2802228633848,1837.9918356359126,2060.48221619109,2280.7588924565393,2498.843886009169,1.8113153714698804,2.0659307402006712,2.3180127683419847,2.5675866631439455,2.814677379425855,3.059309624059509,3.3015078589553717,3.541296299989936,3.7786989263465434,4.013739473639393
1726,1726,16105943.0,0.005855095436098835,170.79140910917167,1.448060724496103,242.45293338835748,481.05988534787093,717.2927786931234,951.1752329509003,1182.7306322597947,1411.9821310470297,1638.9526533885623,1863.6648937844845,2086.1558957184084,2306.4331871800946,0.7630782137615235,1.01516406933942,1.2647417534962269,1.5118362214301428,1.7564721803880956,1.9986740926519615,2.2384661744659105,2.475872405377367,2.710916521360915,2.943622025723036
1727,1727,16108232.0,0.005811348663081663,172.07709569257136,18.117522623362262,259.12239528722364,497.72934724673706,733.9622405919896,967.8446948497665,1199.4000941586607,1428.6515929458958,1655.6221152874286,1880.3343556833506,2102.825357617274,2323.102649078961,0.6658357018443554,0.9179215574222518,1.1674992415790588,1.4145937095129746,1.6592296684709276,1.9014315807347932,2.1412236625487426,2.378629893460199,2.6136740094437467,2.846379513805868
1728,1728,16121493.0,0.005795679967370539,172.54230834517477,24.19602362303508,265.20089628689647,503.8078482464099,740.0407415916624,973.9231958494393,1205.4785951583337,1434.7300939455686,1661.7006162871014,1886.4128566830236,2108.903858616947,2329.1811500786334,0.6305563759369887,0.882642231514885,1.1322199156716921,1.3793143836056079,1.6239503425635609,1.8661522548274265,2.1059443366413757,2.3433505675528323,2.57839468353638,2.811100187898501
1729,1729,16127407.0,0.005781209586471505,172.97418214002835,29.843844922731083,270.84871758659244,509.4556695461059,745.6885628913584,979.5710171491353,1211.1264164580298,1440.3779152452646,1667.3484375867974,1892.0606779827194,2114.551679916643,2334.8289713783297,0.5978623856423254,0.8499482412202217,1.0995259253770289,1.3466203933109446,1.5912563522688974,1.8334582645327633,2.0732503463467125,2.3106565772581686,2.5457006932417166,2.7784061976038377
1730,1730,16128025.0,0.005704261925989411,175.30751795317477,15.301321330033362,60.08104597913609,301.08591864299746,539.6928706025109,775.9257639477635,1009.8082182055404,1241.3636175144347,1470.6151163016696,1697.5856386432024,1922.2978790391246,2144.7888809730484,0.6763026589533563,0.9258803431101634,1.1729748110440792,1.4176107700020322,1.6598126822658978,1.899604764079847,2.1370109949913036,2.372055110974851,2.6047606153369722,2.835150775674802
1731,1731,16128762.0,0.005684332901818542,175.92213849404882,23.22132132960706,68.0010459787098,309.0059186425712,547.6128706020846,783.8457639473371,1017.728218205114,1249.2836175140085,1478.5351163012433,1705.5056386427761,1930.2178790386981,2152.708880972622,0.6312034774541698,0.880781161610977,1.1278756295448928,1.3725115885028456,1.6147135007667115,1.8545055825806607,2.091911813492117,2.3269559294756648,2.559661433837786,2.7900515941756154
1732,1732,16134842.0,0.005602508823991468,178.4914636310304,10.88752944711825,56.1172753192782,100.89699996838094,341.9018726322423,580.5088245917558,816.7417179370083,1050.6241721947852,1282.1795715036794,1511.4310702909145,1738.4015926324473,1963.1138330283693,0.6951382614970177,0.9422327294309336,1.1868686883888864,1.4290706006527523,1.6688626824667014,1.9062689133781578,2.1413130293617058,2.374018533723827,2.6044086940616564,2.8325065498897586
1733,1733,16136060.0,0.005602508823991468,178.4914636310304,10.88752944711825,56.1172753192782,100.89699996838094,145.34402706600537,189.34882058824164,232.91578127169305,276.04926511852443,318.7535847197229,361.0330103020388,402.8917696099737,444.3340480487827,0.6951382614970177,0.9422327294309336,1.1868686883888864,1.4290706006527523,1.6688626824667014,1.9062689133781578,2.1413130293617058,2.374018533723827,2.6044086940616564,2.8325065498897586
1734,1734,16140854.0,0.005602508823991468,178.4914636310304,10.88752944711825,258.1680538334671,502.98821763461376,745.4853475300481,985.5697092432713,1223.2653126139826,1458.5959234166728,1691.585070580161,1922.2560518995658,2150.6319333924484,2376.735550079013,0.6951382614970177,0.9422327294309336,1.1868686883888864,1.4290706006527523,1.6688626824667014,1.9062689133781578,2.1413130293617058,2.374018533723827,2.6044086940616564,2.8325065498897586
1735,1735,16142267.0,0.005499820342141219,181.82412111495896,7.409760805233452,53.09405057221402,300.3745749585629,545.1947387597095,787.6918686551438,1027.7762303683671,1265.4718337390784,1500.8024445417686,1733.791591705257,1964.4625730246617,2192.838454517544,0.7079368329594127,0.9525727919173655,1.1947747041812313,1.4345667859951805,1.671973016906637,1.9070171328901848,2.139722637252306,2.3701127975901355,2.5982106534182376,2.8240390093273273
1736,1736,16143767.0,0.005499820342141219,181.82412111495896,7.409760805233452,53.09405057221402,98.32379644437397,143.1035210934767,187.55054819110114,231.5553417133374,275.1223023967888,318.2557862436202,360.96010584481866,403.2395314271346,445.0982907350695,0.7079368329594127,0.9525727919173655,1.1947747041812313,1.4345667859951805,1.671973016906637,1.9070171328901848,2.139722637252306,2.3701127975901355,2.5982106534182376,2.8240390093273273
1737,1737,16148775.0,0.005495422465143032,181.96963133278825,9.285898682618916,256.7817054303607,501.81500901728504,744.4103111331948,984.7047159829341,1222.608269053789,1458.144762091846,1691.337744994951,1922.2105329666686,2150.7862121763683,2377.0876391212155,0.6976218471850446,0.9422578061429975,1.1844597184068633,1.4242518002208124,1.6616580311322688,1.8967021471158165,2.129407651477938,2.3597978118157674,2.5878956676438696,2.8137240235529593
1738,1738,16149625.0,0.005420652261122192,184.47964411444804,40.96589868091371,288.4617054286555,533.4950090155799,776.0903111314897,1016.3847159812289,1254.2882690520837,1489.8247620901407,1723.0177449932457,1953.8905329649633,2182.4662121746633,2408.7676391195105,0.5247072180924874,0.7693431770504402,1.011545089314306,1.2513371711282553,1.4887434020397117,1.7237875180232594,1.9564930223853807,2.1868831827232103,2.4149810385513124,2.640809394460402
1739,1739,16154052.0,0.005420652261122192,184.47964411444804,48.731655252293606,304.8876668262521,558.495009004748,809.5790408240384,1049.8734456737777,1287.7769987446327,1523.3134917826894,1756.5064746857945,1987.3792626575123,2215.954941867212,2442.2563688120595,0.6241740590054795,0.915184767866299,1.2033000166448646,1.4430920984588138,1.6804983293702702,1.9155424453538181,2.1482479497159392,2.378638110053769,2.606735965881871,2.8325643217909606
1740,1740,16156569.0,0.005420652261122192,184.47964411444804,40.96589868091371,288.4617054286555,533.4950090155799,776.0903111314897,1016.3847159812289,1254.2882690520837,1489.8247620901407,1723.0177449932457,1953.8905329649633,2182.4662121746633,2408.7676391195105,0.5247072180924874,0.7693431770504402,1.011545089314306,1.2513371711282553,1.4887434020397117,1.7237875180232594,1.9564930223853807,2.1868831827232103,2.4149810385513124,2.640809394460402
