,index,blocknum,p0vs1,p1vs0,USDC-slippagemap_01,USDC-slippagemap_2,USDC-slippagemap_3,USDC-slippagemap_4,USDC-slippagemap_5,USDC-slippagemap_6,USDC-slippagemap_7,USDC-slippagemap_8,USDC-slippagemap_9,USDC-slippagemap_10,USDC-slippagemap_11,ZRX-slippagemap_01,ZRX-slippagemap_2,ZRX-slippagemap_3,ZRX-slippagemap_4,ZRX-slippagemap_5,ZRX-slippagemap_6,ZRX-slippagemap_7,ZRX-slippagemap_8,ZRX-slippagemap_9,ZRX-slippagemap_10
82,82,14284949.0,1.8151489821124227,0.5509189658009374,15910.153294903357,43819.20574629218,71450.57196737331,98807.01526007618,125891.27091427891,152706.04709721063,179254.0255579589,179254.0255579589,179254.0255579589,179254.0255579589,179254.0255579589,123149.60079901005,172875.18516843911,222106.0149111404,270847.01523750613,319103.0591219873,366878.97026432696,366878.97026432696,366878.97026432696,366878.97026432696,366878.97026432696
83,83,14285515.0,1.833023992902059,0.545546596156001,2226.629671954859,30135.68212334368,57767.04834442482,85123.49163712768,112207.74729133042,139022.52347426213,165570.5019350104,165570.5019350104,165570.5019350104,165570.5019350104,165570.5019350104,148110.4845105169,197836.06887994593,247066.89862264725,295807.898949013,344063.94283349416,391839.8539758338,391839.8539758338,391839.8539758338,391839.8539758338,391839.8539758338
84,84,14286378.0,1.8858254664573717,0.5302717657528274,18133.49158996434,45489.9348826672,72574.19053686994,99388.96671980165,125936.94518054993,125936.94518054993,125936.94518054993,125936.94518054993,125936.94518054993,125936.94518054993,125936.94518054993,120845.70422070575,171575.76156246994,221801.07065427376,271526.6550237028,320757.48476640414,369498.48509276984,417754.52897725103,465530.44011959067,465530.44011959067,465530.44011959067
85,85,14287344.0,1.8767956446107612,0.5328230608758661,24750.943553608162,52107.38684631103,79191.64250051376,106006.41868344547,132554.39714419376,132554.39714419376,132554.39714419376,132554.39714419376,132554.39714419376,132554.39714419376,132554.39714419376,108395.46263157525,159125.51997333943,209350.82906514328,259076.4134345723,308307.2431772736,357048.24350363936,405304.28738812055,453080.1985304602,453080.1985304602,453080.1985304602
86,86,14287946.0,1.8534828730304058,0.53952481274619,14551.931501588753,42183.29772266989,69539.74101537275,96623.99666957548,123438.7728525072,149986.7513132555,149986.7513132555,149986.7513132555,149986.7513132555,149986.7513132555,149986.7513132555,126610.39503382817,176835.704125632,226561.28849506108,275792.11823776236,324533.1185641281,372789.1624486093,420565.0735909489,420565.0735909489,420565.0735909489,420565.0735909489
87,87,14289155.0,1.834857841975759,0.5450013494904916,833.1900254361611,28742.242476824984,56373.60869790612,83730.05199060899,110814.30764481172,137629.08382774342,164177.06228849172,164177.06228849172,164177.06228849172,164177.06228849172,164177.06228849172,150665.9943702753,200391.57873970436,249622.40848240565,298363.4088087714,346619.4526932526,394395.3638355922,394395.3638355922,394395.3638355922,394395.3638355922,394395.3638355922
88,88,14289676.0,1.862028105960222,0.5370488215505823,8159.37295440761,35790.73917548875,63147.18246819162,90231.43812239435,117046.21430532607,143594.19276607435,143594.19276607435,143594.19276607435,143594.19276607435,143594.19276607435,143594.19276607435,138486.64409473937,188711.9531865432,238437.53755597226,287668.36729867355,336409.3676250393,384665.4115095205,432441.3226518601,432441.3226518601,432441.3226518601,432441.3226518601
89,89,14290222.0,1.8704256929652356,0.5346376516111011,1846.621113809635,29477.987334890775,56834.43062759364,83918.68628179637,110733.46246472809,137281.44092547637,137281.44092547637,137281.44092547637,137281.44092547637,137281.44092547637,137281.44092547637,150268.24626884406,200493.5553606479,250219.13973007695,299449.96947277826,348190.96979914396,396447.0136836252,444222.9248259648,444222.9248259648,444222.9248259648,444222.9248259648
90,90,14291673.0,1.8986921333972109,0.5266783289457058,8710.08538924738,36066.52868195024,63150.78433615298,89965.5605190847,116513.53897983297,116513.53897983297,116513.53897983297,116513.53897983297,116513.53897983297,116513.53897983297,116513.53897983297,138678.24844999268,189408.30579175687,239633.61488356072,289359.1992529898,338590.02899569104,387331.0293220568,435587.073206538,483362.9843488776,483362.9843488776,483362.9843488776
91,91,14293425.0,1.8958463723371457,0.5274688996910801,10773.074205394132,38129.517498097,65213.773152299735,92028.54933523145,118576.52779597972,118576.52779597972,118576.52779597972,118576.52779597972,118576.52779597972,118576.52779597972,118576.52779597972,134763.90609294715,185493.96343471133,235719.27252651515,285444.8568959442,334675.68663864554,383416.68696501123,431672.7308494924,479448.64199183206,479448.64199183206,479448.64199183206
92,92,14295186.0,1.864263769035662,0.53640478166739,6487.876907056422,34119.24312813756,61475.68642084043,88559.94207504316,115374.71825797488,141922.69671872316,141922.69671872316,141922.69671872316,141922.69671872316,141922.69671872316,141922.69671872316,141600.98580736303,191826.29489916685,241551.87926859592,290782.7090112972,339523.70933766296,387779.75322214415,435555.66436448373,435555.66436448373,435555.66436448373,435555.66436448373
93,93,14295688.0,1.8202382664756354,0.5493786271926975,11983.752273306312,39892.80472469513,67524.17094577628,94880.61423847915,121964.86989268188,148779.6460756136,175327.62453636187,175327.62453636187,175327.62453636187,175327.62453636187,175327.62453636187,130287.16141843244,180012.7457878615,229243.5755305628,277984.57585692854,326240.6197414097,374016.53088374936,374016.53088374936,374016.53088374936,374016.53088374936,374016.53088374936
94,94,14297389.0,1.7701579910331449,0.5649213262689363,23394.22353479371,51583.752271174904,79492.80472256373,107124.17094364486,134480.61423634773,161564.86989055047,188379.64607348217,214927.62453423045,214927.62453423045,214927.62453423045,214927.62453423045,108925.33810514153,158156.16784784282,206897.16817420855,255153.21205868977,302929.1232010294,302929.1232010294,302929.1232010294,302929.1232010294,302929.1232010294,302929.1232010294
95,95,14297933.0,1.722144261384716,0.5806714468832797,5762.432881166479,34521.399095313165,62994.2235326623,91183.7522690435,119092.80472043231,146724.17094151344,174080.6142342163,201164.86988841905,227979.64607135075,254527.62453209906,254527.62453209906,137753.7251457325,186009.7690302137,233785.68017255332,233785.68017255332,233785.68017255332,233785.68017255332,233785.68017255332,233785.68017255332,233785.68017255332,233785.68017255332
96,96,14298634.0,1.7274909243122836,0.5788742423628659,1236.0307219863219,29994.996936133008,58467.82137348214,86657.35010986334,114566.40256125215,142197.7687823333,169554.21207503616,196638.46772923888,223453.2439121706,250001.22237291888,250001.22237291888,145561.17362021655,193817.21750469776,241593.12864703735,241593.12864703735,241593.12864703735,241593.12864703735,241593.12864703735,241593.12864703735,241593.12864703735,241593.12864703735
97,97,14299376.0,1.751844657965373,0.570826868383079,9880.613338058196,38353.43777540733,66542.96651178853,94452.01896317734,122083.38518425848,149439.82847696135,176524.08413116407,203338.8603140958,229886.83877484407,229886.83877484407,229886.83877484407,131812.5533420288,180553.55366839454,228809.59755287576,276585.50869521534,276585.50869521534,276585.50869521534,276585.50869521534,276585.50869521534,276585.50869521534,276585.50869521534
98,98,14301494.0,1.7458987971073967,0.5727708854927896,14671.539682800332,43144.36412014947,71333.89285653066,99242.94530791948,126874.31152900062,154230.75482170348,181315.01047590622,208129.78665883793,234677.7651195862,234677.7651195862,234677.7651195862,123433.52303780222,172174.52336416795,220430.56724864917,268206.4783909888,268206.4783909888,268206.4783909888,268206.4783909888,268206.4783909888,268206.4783909888,268206.4783909888
99,99,14304161.0,1.739451229286817,0.5748939568774254,20011.45807225134,48484.282509600474,76673.81124598166,104582.86369737049,132214.22991845163,159570.6732111545,186654.92886535721,213469.70504828895,240017.68350903722,240017.68350903722,240017.68350903722,114127.1726893067,162868.17301567242,211124.2169001536,258900.12804249322,258900.12804249322,258900.12804249322,258900.12804249322,258900.12804249322,258900.12804249322,258900.12804249322
100,100,14305229.0,1.756405152128637,0.5693447202589174,6148.7226563819595,34621.5470937311,62811.075830112284,90720.1282815011,118351.49450258225,145707.9377952851,172792.19344948785,199606.96963241955,226154.94809316783,226154.94809316783,226154.94809316783,138358.79346143093,187099.79378779666,235355.83767227788,283131.74881461746,283131.74881461746,283131.74881461746,283131.74881461746,283131.74881461746,283131.74881461746,283131.74881461746
101,101,14306105.0,1.7687425016848348,0.5653734215395623,24550.515100557554,52740.04383693875,80649.09628832756,108280.46250940871,135636.90580211158,162721.1614563143,189535.93763924603,216083.9160999943,216083.9160999943,216083.9160999943,216083.9160999943,106879.23968294465,156110.06942564595,204851.06975201168,253107.1136364929,300883.0247788325,300883.0247788325,300883.0247788325,300883.0247788325,300883.0247788325,300883.0247788325
102,102,14307537.0,1.7868750875744834,0.5596362090186209,10004.760520999262,38194.28925738046,66103.34170876928,93734.70792985041,121091.15122255328,148175.40687675602,174990.18305968773,201538.161520436,201538.161520436,201538.161520436,201538.161520436,132739.6746758512,181970.50441855247,230711.5047449182,278967.5486293994,326743.459771739,326743.459771739,326743.459771739,326743.459771739,326743.459771739,326743.459771739
103,103,14308236.0,1.7737016723342318,0.5637926690817048,20539.98998943222,48729.51872581341,76638.57117720223,104269.93739828338,131626.38069098623,158710.63634518898,185525.41252812068,212073.39098886895,212073.39098886895,212073.39098886895,212073.39098886895,113983.10228891537,163213.93203161666,211954.93235798238,260210.9762424636,307986.8873848032,307986.8873848032,307986.8873848032,307986.8873848032,307986.8873848032,307986.8873848032
104,104,14309454.0,1.70517999307294,0.58644835387605,20076.598532671247,48835.56474681793,77308.38918416707,105497.91792054827,133406.9703719371,161038.33659301823,188394.77988572107,215479.03553992382,242293.81172285555,268841.7901836038,268841.7901836038,113223.4970360176,161479.5409204988,209255.4520628384,209255.4520628384,209255.4520628384,209255.4520628384,209255.4520628384,209255.4520628384,209255.4520628384,209255.4520628384
105,105,14310717.0,1.7410173617417533,0.5743768109236873,18671.933605229056,47144.75804257819,75334.28677895939,103243.33923034821,130874.70545142934,158231.14874413222,185315.40439833494,212130.18058126667,238678.15904201494,238678.15904201494,238678.15904201494,116458.43873442883,165199.43906079454,213455.48294527575,261231.39408761536,261231.39408761536,261231.39408761536,261231.39408761536,261231.39408761536,261231.39408761536,261231.39408761536
