,index,blocknum,p0vs1,p1vs0,FEI-slippagemap_01,FEI-slippagemap_2,FEI-slippagemap_3,FEI-slippagemap_4,FEI-slippagemap_5,FEI-slippagemap_6,FEI-slippagemap_7,FEI-slippagemap_8,FEI-slippagemap_9,FEI-slippagemap_10,FEI-slippagemap_11,FEI-slippagemap_12,FEI-slippagemap_13,FEI-slippagemap_14,FEI-slippagemap_15,FEI-slippagemap_16,FEI-slippagemap_17,FEI-slippagemap_18,FEI-slippagemap_19,FEI-slippagemap_20,WETH-slippagemap_01,WETH-slippagemap_2,WETH-slippagemap_3,WETH-slippagemap_4,WETH-slippagemap_5,WETH-slippagemap_6,WETH-slippagemap_7,WETH-slippagemap_8,WETH-slippagemap_9,WETH-slippagemap_10,WETH-slippagemap_11,WETH-slippagemap_12,WETH-slippagemap_13,WETH-slippagemap_14,WETH-slippagemap_15,WETH-slippagemap_16,WETH-slippagemap_17,WETH-slippagemap_18,WETH-slippagemap_19,WETH-slippagemap_20
13,13,12605544.0,0.000362095044616542,2761.705841788026,0.0003177836867438665,0.0006062224824430112,0.0008932227343350784,0.0011787916578728582,0.0014629363585811623,0.001745663940573777,1679.941110729771,18433.214379794154,26778.492327638873,26778.49260476838,26778.49288051573,26778.493154887845,26778.493427891597,26778.49369953381,26778.493969821266,26778.494238760723,26778.494506358908,26778.494772622504,26778.495037558176,26778.495301172537,1.1591454705679e-07,2.2035679286755e-07,3.2427815444505e-07,4.2768123387112e-07,5.3056861468462e-07,6.3294286675363e-07,7.3480655431717e-07,8.3616221702646e-07,1.14026739055806e-06,1.49354276193e-06,1.84505625639091e-06,2.19481665725558e-06,2.54283270830845e-06,2.88911309960541e-06,3.23366650807163e-06,3.57650152840453e-06,3.9176267357188e-06,0.00028767898496077904,0.0012296921149966365,0.004703327568991848
14,14,12606063.0,0.00038834853861119325,2575.0064711874193,18306.496589158985,26651.77453700371,26651.774814133212,26651.775089880564,26651.77536425268,26651.775637256433,26651.775908898646,26651.776179186098,26651.776448125558,26651.776715723743,26651.77698198734,26651.777246923008,26651.777510537373,26651.777772837024,26651.778033828512,26651.77829351836,26651.778551913067,26651.77880901909,26651.779064842856,26651.779319390764,0.7016136041248946,0.7016137122871557,0.7016138199099863,0.7016139269960826,0.7016140335480978,0.7016141395687207,0.7016142450605926,0.7016143500263377,0.7016144544685835,0.7016145583899451,0.7016146617930246,0.7016147646804053,0.7016148670546574,0.701614968918345,0.7016150702740077,0.7016153743791812,0.7016157276545526,0.701616079168047,0.7016164289284479,0.701616776944499
15,15,12606598.0,0.0003867596484964628,2585.5851402480157,77194.27045575953,93905.71488620828,93905.71516403146,93905.71544046902,93905.7157155279,93905.71598921498,93905.7162615371,93905.71653250109,93905.7168021137,93905.71707038168,93905.71733731174,93905.71760291055,93905.71786718474,93905.71813014093,93905.71839178567,93905.71865212554,93905.718911167,93905.71916891656,93905.71942538065,93905.71968056569,299.7540064383031,524.023239423257,524.0232395306111,524.0232396374298,524.0232397437159,524.0232398494718,524.0232399547002,524.0232400594039,524.0232401635853,524.0232402672473,524.0232403703922,524.0232404730227,524.0232405751414,524.0232406767507,524.0232408541692,524.0232412083288,524.0232415607221,524.023241911358,524.0232422602452,524.0232426073923
16,16,12607240.0,0.0003939415377073001,2538.447724552985,2669.6751163230138,2669.6753928988264,2669.6756680952585,2669.67594191921,2669.6762143775313,2669.6764854770267,2669.67675522447,2669.677023626615,2669.6772906901674,2669.6775564217946,2669.6778208281494,2669.6780839158405,2669.678345691439,2669.6786061614866,2669.678865332504,2669.679123210966,2669.679379803316,2669.6796351159705,2669.679889155315,2669.6801419276903,7.4711062011405165,85.40177863463383,335.65110932590113,534.9516746497826,534.9516747570831,534.9516748638484,534.9516749700813,534.9516750757844,534.9516751809603,534.9516752856115,534.9516753897409,534.951675493351,534.9516755964444,534.9516756990236,534.9516758010911,534.9516759026498,534.9516761054309,534.9516764594135,534.9516768116307,534.9516771620913
17,17,12607833.0,0.0003941779617290346,2536.9251888501544,1668.442269255024,1668.4425458308365,1668.4428210272688,1668.44309485122,1668.4433673095414,1668.4436384090368,1668.4439081564803,1668.4441765586255,1668.4444436221777,1668.4447093538047,1668.4449737601592,1668.4452368478505,1668.4454986234493,1668.445759093497,1668.4460182645141,1668.4462761429759,1668.4465327353262,1668.4467880479806,1668.447042087325,1668.4472948597004,7.865690906133549,85.79636333962685,336.04569403089414,535.3462593547756,535.3462594620761,535.3462595688414,535.3462596750743,535.3462597807774,535.3462598859533,535.3462599906046,535.346260094734,535.3462601983441,535.3462603014374,535.3462604040166,535.3462605060843,535.3462606076428,535.3462608104239,535.3462611644065,535.3462615166237,535.3462618670843
18,18,12614942.0,0.0004127327078665942,2422.8755825264657,358988.60960883007,715061.2314868466,1069358.026138244,1069358.0264058423,1069358.0266721058,1069358.0269370414,1069358.0272006558,1069358.0274629556,1069358.027723947,1069358.0279836368,1069358.0282420316,1069358.0284991376,1069358.0287549614,1069358.0290095094,1069358.0292627877,1069358.0295148029,1069358.0297655612,1069358.030015069,1069358.0302633324,1069358.030395957,43.92489208503024,43.92489219648636,43.92489230738662,43.92489241773381,47.863845183267614,54.40256467196094,54.40256478066535,54.40256488882763,54.40256499645046,54.40256510353656,54.402565210088575,54.4025653161092,54.40256542160107,54.40256552656681,54.40256563100906,54.40256573493042,54.4025658383335,54.40256594122088,54.40256604359513,54.40256614545882
19,19,12615482.0,0.00041413831697553933,2414.6522043722507,379908.1207760977,735269.3418888978,947634.8189460157,947634.8192130793,947634.8194788109,947634.8197432172,947634.8200063049,947634.8202680806,947634.8205285505,947634.8207877215,947634.8210456001,947634.8213021924,947634.821557505,947634.8218115444,947634.8220643168,947634.8223158285,947634.8225660858,947634.8228150952,947634.8230464951,947634.8231298014,94.25285535159732,94.25285546327656,94.25285557439884,94.25285568496692,95.56715312680262,102.11896259712705,104.73052804855458,104.73052815693339,104.73052826477168,104.73052837207214,104.73052847883747,104.73052858507033,104.73052869077338,104.73052879594927,104.7305289006006,104.73052900473,104.7305291083401,104.73052921143343,104.73052931401263,104.73052941608023
20,20,12616073.0,0.0004197668096823347,2382.27505589774,360282.74010352977,466385.8435165321,466385.84378319536,466385.8440485287,466385.84431253874,466385.8445752321,466385.8448366154,466385.84509669506,466385.84535547765,466385.8456129696,466385.84586917737,466385.8461241073,466385.84637776593,466385.8466301595,466385.8468812942,466385.8471311765,466385.84737981256,466385.8475617878,466385.84764496924,466385.8477277358,176.39105778197978,294.9174074218225,294.91740753366935,294.9174076449584,294.91740775569247,294.9174078658743,300.82141024126366,305.39508011977307,305.3950802283146,305.3950803363147,305.3950804437763,305.3950805507019,305.3950806570942,305.3950807629559,305.39508086828965,305.39508097309806,305.3950810773838,305.3950811811494,305.3950812843975,305.3950813871307
21,21,12616573.0,0.0004248341009816662,2353.8600072105683,39760.84287693055,39760.84314332731,39760.84340839547,39760.84367214167,39760.8439345725,39760.8441956945,39760.84445551423,39760.844714038154,39760.84497127276,39760.84522722446,39760.84548189966,39760.84573530473,39760.845987446,39760.84623832977,39760.84648796231,39760.84673634987,39760.84688541646,39760.84696851475,39760.84705119861,39760.8471334701,177.88193072997512,326.8569948409783,475.089080810751,475.0890809227098,475.0890810341102,475.08908114495506,475.08908125524704,479.68337802394876,485.5667535093647,485.5667536180148,485.566753726123,485.566753833692,485.5667539407246,485.56675404722336,485.56675415319097,485.5667542586301,485.5667543635434,485.56675446793344,485.56675457180285,485.56675467515424
22,22,12627517.0,0.0004248765843917644,2353.6246447460935,61.743105573761845,122.99988859258792,183.95116758986984,244.59846597633373,304.943299876179,364.9871762306487,424.731598913939,484.1780588461494,543.3280440087664,602.1830323281467,660.7444937985467,719.0138936349218,776.9926891674609,834.6823270025934,892.0842520358048,949.1998973864946,971.9663677373554,971.9664508356486,971.9665335195075,971.9666157910007,0.03129971061241378,0.057302871029621755,0.08317634679182935,0.10892078440146669,0.13453682722246987,0.1600251158746544,0.18538628800209134,0.21062097675027278,0.23572981307705806,0.2607134255375753,0.2855724368005126,0.3103074705578194,0.33491914348093094,0.3594080708505552,0.3837748656998111,0.40802013659427094,0.4321444900553984,0.45614852832727115,0.48003285251283206,0.5037980582960377
