,index,blocknum,p0vs1,p1vs0,USDC-slippagemap_01,USDC-slippagemap_2,USDC-slippagemap_3,USDC-slippagemap_4,USDC-slippagemap_5,USDC-slippagemap_6,USDC-slippagemap_7,USDC-slippagemap_8,USDC-slippagemap_9,USDC-slippagemap_10,USDC-slippagemap_11,USDC-slippagemap_12,USDC-slippagemap_13,USDC-slippagemap_14,USDC-slippagemap_15,USDC-slippagemap_16,USDC-slippagemap_17,USDC-slippagemap_18,USDC-slippagemap_19,USDC-slippagemap_20,USDT-slippagemap_01,USDT-slippagemap_2,USDT-slippagemap_3,USDT-slippagemap_4,USDT-slippagemap_5,USDT-slippagemap_6,USDT-slippagemap_7,USDT-slippagemap_8,USDT-slippagemap_9,USDT-slippagemap_10,USDT-slippagemap_11,USDT-slippagemap_12,USDT-slippagemap_13,USDT-slippagemap_14,USDT-slippagemap_15,USDT-slippagemap_16,USDT-slippagemap_17,USDT-slippagemap_18,USDT-slippagemap_19,USDT-slippagemap_20
83,83,12698709.0,1.0,1.0,11888.515281972586,13027.518412464808,13055.517312454422,13055.849838709119,13056.181368904507,13056.181368904507,13056.181368904507,13056.181368904507,13056.181368904507,13056.181368904507,13056.181368904507,13056.181368904507,13056.181368904507,13056.181368904507,13056.181368904507,13056.181368904507,13056.181368904507,13056.181368904507,13056.181368904507,13056.181368904507,18123.034589922438,19202.302754634344,19739.513456936944,20809.112273701696,21872.313023144732,22401.52609960396,23455.201447420888,24502.57399282539,25023.9085031623,25530.64532823606,25530.975662558376,25531.14008798938,25531.46746279019,25531.792879318906,25531.954856895078,25532.27735796061,25532.597929908166,25532.757496074813,25533.0751959617,25533.390995452224
84,84,12699537.0,1.0,1.0,13856.780895801325,14995.784026293544,15023.782926283158,15024.115452537855,15024.446982733243,15024.446982733243,15024.446982733243,15024.446982733243,15024.446982733243,15024.446982733243,15024.446982733243,15024.446982733243,15024.446982733243,15024.446982733243,15024.446982733243,15024.446982733243,15024.446982733243,15024.446982733243,15024.446982733243,15024.446982733243,20110.478613851054,21189.746778562956,21726.95748086556,22796.556297630308,23859.757047073348,24388.970123532574,25442.645471349504,26490.018016754002,27011.352527090916,27518.089352164672,27518.41968648699,27518.584111917997,27518.911486718804,27519.23690324752,27519.39888082369,27519.721381889223,27520.04195383678,27520.201520003426,27520.519219890313,27520.835019380836
85,85,12725309.0,1.0,1.0,13855.347805050933,14994.350935543154,15022.349835532768,15022.682361787465,15023.013891982851,15023.013891982851,15023.013891982851,15023.013891982851,15023.013891982851,15023.013891982851,15023.013891982851,15023.013891982851,15023.013891982851,15023.013891982851,15023.013891982851,15023.013891982851,15023.013891982851,15023.013891982851,15023.013891982851,15023.013891982851,20111.911788474375,21191.17995318628,21728.39065548888,22797.989472253634,23861.19022169667,24390.4032981559,25444.078645972826,26491.451191377328,27012.785701714238,27519.522526787998,27519.852861110314,27520.01728654132,27520.34466134213,27520.670077870847,27520.832055447016,27521.15455651255,27521.475128460104,27521.63469462675,27521.95239451364,27522.268194004162
86,86,12743686.0,1.0,1.0,14541.347817630898,16023.504191721944,16051.503091711558,16051.835617966255,16052.167148161643,16052.167148161643,16052.167148161643,16052.167148161643,16052.167148161643,16052.167148161643,16052.167148161643,16052.167148161643,16052.167148161643,16052.167148161643,16052.167148161643,16052.167148161643,16052.167148161643,16052.167148161643,16052.167148161643,16052.167148161643,21147.870158795784,22227.13832350769,22764.34902581029,23833.947842575042,24897.14859201808,25426.361668477308,26480.037016294234,27527.409561698736,28048.744072035646,28555.480897109406,28555.811231431722,28555.975656862727,28556.303031663538,28556.628448192256,28556.790425768424,28557.112926833957,28557.433498781513,28557.59306494816,28557.910764835047,28558.22656432557
87,87,12747109.0,1.0021021013305984,0.9979023082300623,11543.1418654566,13025.298239547648,13053.297139537262,13053.62966579196,13053.961195987345,13053.961195987345,13053.961195987345,13053.961195987345,13053.961195987345,13053.961195987345,13053.961195987345,13053.961195987345,13053.961195987345,13053.961195987345,13053.961195987345,13053.961195987345,13053.961195987345,13053.961195987345,13053.961195987345,13053.961195987345,24149.397053151784,25228.66521786369,25765.87592016629,26835.474736931043,27898.67548637408,28427.88856283331,29481.56391065024,30528.936456054736,31050.270966391647,31557.007791465407,31557.338125787723,31557.50255121873,31557.829926019538,31558.155342548256,31558.317320124424,31558.639821189958,31558.960393137513,31559.11995930416,31559.437659191048,31559.75345868157
88,88,12747647.0,1.0021021013305984,0.9979023082300623,11543.146413790864,13025.30278788191,13053.301687871524,13053.634214126223,13053.96574432161,13053.96574432161,13053.96574432161,13053.96574432161,13053.96574432161,13053.96574432161,13053.96574432161,13053.96574432161,13053.96574432161,13053.96574432161,13053.96574432161,13053.96574432161,13053.96574432161,13053.96574432161,13053.96574432161,13053.96574432161,24149.40083054093,25228.668995252836,25765.879697555436,26835.478514320188,27898.679263763224,28427.892340222454,29481.56768803938,30528.940233443882,31050.274743780792,31557.011568854552,31557.341903176868,31557.506328607873,31557.833703408684,31558.159119937398,31558.32109751357,31558.643598579103,31558.96417052666,31559.123736693306,31559.441436580193,31559.757236070716
89,89,12747647.0,1.0021021013305984,0.9979023082300623,11543.146413790864,13025.30278788191,13053.301687871524,13053.634214126223,13053.96574432161,13053.96574432161,13053.96574432161,13053.96574432161,13053.96574432161,13053.96574432161,13053.96574432161,13053.96574432161,13053.96574432161,13053.96574432161,13053.96574432161,13053.96574432161,13053.96574432161,13053.96574432161,13053.96574432161,13053.96574432161,24149.40083054093,25228.668995252836,25765.879697555436,26835.478514320188,27898.679263763224,28427.892340222454,29481.56768803938,30528.940233443882,31050.274743780792,31557.011568854552,31557.341903176868,31557.506328607873,31557.833703408684,31558.159119937398,31558.32109751357,31558.643598579103,31558.96417052666,31559.123736693306,31559.441436580193,31559.757236070716
90,90,12760324.0,1.0021021013305984,0.9979023082300623,11052.104141125033,12534.260515216081,12562.259415205695,12562.591941460392,12562.923471655778,12562.923471655778,12562.923471655778,12562.923471655778,12562.923471655778,12562.923471655778,12562.923471655778,12562.923471655778,12562.923471655778,12562.923471655778,12562.923471655778,12562.923471655778,12562.923471655778,12562.923471655778,12562.923471655778,12562.923471655778,23442.610533277155,24521.878697989057,25059.08940029166,26128.68821705641,27191.88896649945,27721.102042958675,28774.777390775605,29822.149936180103,30343.484446517017,30850.221271590774,30850.55160591309,30850.716031344098,30851.043406144905,30851.368822673623,30851.53080024979,30851.853301315325,30852.17387326288,30852.333439429527,30852.651139316415,30852.966938806938
91,91,12767674.0,1.0021021013305984,0.9979023082300623,11057.412744325115,12546.00458015368,12580.40044681832,12583.917092563697,12590.588277932415,12596.890010457531,12600.026727367067,12606.272001670708,12612.479918800109,12615.569937716842,12621.72223705407,12627.837734861336,12630.881751715466,12636.942459837775,12642.966914180533,12645.965614226066,12651.936094172504,12657.870860513105,12660.824917913535,12663.770126665037,23453.474121596642,24539.15847162817,25079.56285973969,26155.520378123183,27225.04179305366,27757.401009909827,28817.340395265666,29870.939508422023,30395.373321546882,30905.20016589072,30905.530500213037,30905.694925644042,30906.02230044485,30906.347716973567,30906.509694549735,30906.832195615272,30907.152767562824,30907.312333729475,30907.63003361636,30907.945833106885
92,92,12770428.0,1.0021021013305984,0.9979023082300623,9580.69187443742,10172.848802411692,10207.244669076332,10210.76131482171,10217.432500190427,10223.734232715546,10226.87094962508,10233.11622392872,10239.324141058121,10242.414159974855,10248.566459312082,10254.681957119348,10257.72597397348,10263.786682095788,10269.811136438546,10272.809836484079,10278.780316430517,10284.71508277112,10287.669140171547,10290.61434892305,20431.49508330378,21517.17943333531,22057.583821446828,23133.54133983032,24203.0627547608,24735.421971616965,25795.361356972808,26848.96047012916,27373.394283254023,27883.22112759786,27883.551461920175,27883.71588735118,27884.04326215199,27884.36867868071,27884.530656256877,27884.85315732241,27885.173729269965,27885.333295436612,27885.6509953235,27885.966794814023
