,index,blocknum,p0vs1,p1vs0,BAT-slippagemap_01,BAT-slippagemap_2,BAT-slippagemap_3,BAT-slippagemap_4,BAT-slippagemap_5,BAT-slippagemap_6,BAT-slippagemap_7,BAT-slippagemap_8,BAT-slippagemap_9,BAT-slippagemap_10,BAT-slippagemap_11,BAT-slippagemap_12,BAT-slippagemap_13,BAT-slippagemap_14,BAT-slippagemap_15,BAT-slippagemap_16,BAT-slippagemap_17,BAT-slippagemap_18,BAT-slippagemap_19,BAT-slippagemap_20,USDC-slippagemap_01,USDC-slippagemap_2,USDC-slippagemap_3,USDC-slippagemap_4,USDC-slippagemap_5,USDC-slippagemap_6,USDC-slippagemap_7,USDC-slippagemap_8,USDC-slippagemap_9,USDC-slippagemap_10,USDC-slippagemap_11,USDC-slippagemap_12,USDC-slippagemap_13,USDC-slippagemap_14,USDC-slippagemap_15,USDC-slippagemap_16,USDC-slippagemap_17,USDC-slippagemap_18,USDC-slippagemap_19,USDC-slippagemap_20
85,85,15290453.0,0.4374661188004224,2.2858913114051074,27686.849675426914,73923.54303675752,97223.62382424908,97508.28635920616,98075.05696448793,98638.43666973863,98918.86136425314,99477.19270384549,100032.18514605082,100308.43522083512,100858.45559325747,101405.18521080473,101677.32321095109,102219.15464471091,102757.74527466342,103025.83111126683,103559.59665929856,104090.16922832155,104354.26445370591,104880.08317597824,38548.51325431993,58618.372324214346,68608.21278803321,78691.72352274654,78937.73960105437,79060.19514936097,79304.0077056451,79546.36105496247,79666.99419217143,79907.17636811327,80145.92238459487,80264.75913436092,80501.36568013717,80736.5573091758,80853.62497845922,81086.70911157397,81318.39920230028,81433.72427298067,81663.33851254814,81891.57914137356
86,86,15291671.0,0.4370725960810953,2.287949436698287,31006.527782969828,77243.22114430043,100543.301931792,100827.96446674908,101394.73507203085,101958.11477728155,102238.53947179604,102796.8708113884,103351.86325359372,103628.11332837804,104178.13370080039,104724.86331834765,104997.001318494,105538.83275225383,106077.42338220634,106345.50921880975,106879.27476684148,107409.84733586447,107673.94256124883,108199.76128352116,37096.81718416304,57166.67625405746,67156.51671787632,77240.02745258965,77486.04353089748,77608.49907920408,77852.31163548821,78094.66498480558,78215.29812201454,78455.48029795638,78694.22631443798,78813.06306420403,79049.66960998028,79284.86123901891,79401.92890830233,79635.01304141709,79866.70313214339,79982.02820282379,80211.64244239125,80439.88307121667
87,87,15292399.0,0.4258557206433762,2.3482131424446187,39588.60415479608,86383.47578715156,132898.3621384941,156051.41276523797,202149.6189214982,202719.79882227335,203003.60930856722,203568.6818394137,204130.37382732032,204409.95837584833,204966.6184687715,205519.9476839023,205795.37079531216,206343.74334744204,206888.83567401828,207160.1573259975,207700.3666980838,208237.34357433402,208504.62659468086,209036.79342000445,33155.3776279827,33402.1330519721,33524.9565396527,33769.5013860417,34012.58309450711,34133.5779935608,34374.48229044088,34613.94502127707,34733.1393231932,34970.4566895476,35206.35481346216,35323.77424777413,35557.558838269375,35789.94514134507,35905.616140898615,36135.92042142428,36364.84693958055,36478.79607997188,36705.67166777151,36931.19005387377
88,88,15294555.0,0.429104391000676,2.3304352529881815,33081.90362293846,79736.60816348216,126112.1904836905,149195.83321827723,172495.9140057688,173064.38702701975,173347.34714600764,173910.72685125834,174470.73609430087,174749.4828853652,175304.47532757054,175856.1485137647,176130.7457747772,176677.47539232444,177220.93504445005,177491.44482623064,178030.03545618313,178565.4043131334,178831.88684081828,179362.45940984128,35994.00301760734,46077.51375232067,46200.7063429479,46445.9853789351,46689.79793521922,46811.15638548291,47052.78442174556,47292.966597687395,47412.51831225287,47650.549363935046,47887.15590971129,48004.92810443796,48239.415208033344,48472.4993411481,48588.518432320874,48819.5145025548,49049.12874212227,49163.42023055635,49390.97738024419,49617.17336668315
89,89,15295117.0,0.43039357252111915,2.323454772203715,44732.816000283536,91247.70235162608,137484.3957129567,160498.95913463016,161069.13903540533,161635.90964068708,161918.02205254568,162479.7140404523,163038.04538004464,163315.9586819035,163869.2878970343,164419.30826945664,164693.083560574,165238.17588715025,165780.00732091008,166049.70691121576,166586.683787466,167120.44933549772,167386.13363313643,167915.1171299051,31037.29057511423,50987.07894028426,51110.64177364643,51356.65785195427,51601.20269834326,51722.92595654498,51965.27930586236,52206.183602742436,52326.09461901315,52564.84063549476,52802.158001849166,52920.283931037055,53155.47556007568,53389.26015057094,53505.62736247386,53737.31745320017,53967.621733725835,54082.25676344803,54310.497392273435,54537.372980073065
90,90,15296652.0,0.4299634155704071,2.3257792728094295,25103.25676689676,71757.96130744046,118133.5436276488,141217.18636223554,164517.2671497271,165085.74017097804,165368.70028996596,165932.07999521663,166492.08923825916,166770.83602932352,167325.82847152883,167877.501657723,168152.0989187355,168698.82853628276,169242.28818840833,169512.79797018893,170051.38860014145,170586.75745709168,170853.2399847766,171383.81255379957,39421.284562338515,49504.79529705184,49627.98788767907,49873.26692366627,50117.07947995039,50238.43793021408,50480.06596647673,50720.24814241856,50839.79985698404,51077.83090866621,51314.437454442465,51432.20964916913,51666.69675276452,51899.78088587927,52015.79997705205,52246.79604728597,52476.41028685344,52590.70177528752,52818.258924975366,53044.454911414316
91,91,15297368.0,0.43142770585300394,2.317885445077837,35379.71645607609,81894.60280741863,128131.29616874924,151145.8595904227,151716.03949119788,152282.81009647963,152564.92250833823,153126.61449624485,153684.9458358372,153962.85913769604,154516.18835282684,155066.2087252492,155339.98401636656,155885.0763429428,156426.90777670263,156696.6073670083,157233.58424325855,157767.34979129027,158033.03408892898,158562.01758569764,35067.734356613575,55017.5227217836,55141.08555514577,55387.10163345361,55631.6464798426,55753.36973804433,55995.7230873617,56236.62738424178,56356.538400512494,56595.2844169941,56832.60178334851,56950.7277125364,57185.91934157503,57419.70393207028,57536.071143973204,57767.761234699516,57998.06551522518,58112.70054494737,58340.94117377278,58567.81676157241
92,92,15298056.0,0.4315139957084516,2.317421937516114,34356.61733070815,80871.5036820507,127108.1970433813,150122.76046505477,150692.94036582994,151259.7109711117,151541.8233829703,152103.5153708769,152661.84671046925,152939.7600123281,153493.0892274589,154043.10959988125,154316.88489099863,154861.97721757487,155403.8086513347,155673.50824164037,156210.4851178906,156744.25066592233,157009.93496356104,157538.9184603297,35509.194599764895,55458.98296493492,55582.54579829709,55828.56187660493,56073.10672299392,56194.829981195646,56437.18333051302,56678.0876273931,56797.998643663814,57036.74466014542,57274.06202649983,57392.18795568772,57627.37958472635,57861.1641752216,57977.53138712452,58209.221477850835,58439.5257583765,58554.16078809869,58782.4014169241,59009.27700472373
93,93,15298725.0,0.43043661187837123,2.3232224499587195,44447.67543956245,90962.56179090499,137199.2551522356,160213.81857390905,160783.99847468422,161350.769079966,161632.8814918246,162194.57347973122,162752.90481932356,163030.8181211824,163584.1473363132,164134.16770873556,164407.94299985294,164953.03532642918,165494.866760189,165764.56635049466,166301.5432267449,166835.30877477664,167100.99307241535,167629.976569184,31160.021061606683,51109.80942677671,51233.37226013888,51479.38833844671,51723.93318483571,51845.656443037435,52088.00979235481,52328.91408923489,52448.8251055056,52687.57112198721,52924.88848834161,53043.0144175295,53278.206046568135,53511.99063706338,53628.35784896631,53860.047939692624,54090.35222021829,54204.98724994048,54433.22787876589,54660.10346656552
94,94,15299240.0,0.43328674610993323,2.307940432007308,41876.07862985659,88251.66095006492,134349.86710632514,134635.38447214323,135203.85749339417,135768.93002424066,136050.19731763276,136610.2065606753,137166.86665359847,137443.94579394496,137995.61898013912,138543.991532269,138816.94585869886,139360.40551082446,139900.61488291074,140169.50592255755,140704.8747795078,141237.0416048314,141501.9298762157,142029.3285252883,32309.896238964408,52319.595419036516,62279.54332038767,62526.298744377076,62771.57778036427,62893.66707844668,63136.74878691208,63378.37682317473,63498.647982845854,63738.11071368204,63976.14176536422,64094.62238195258,64330.520505867134,64565.00760946252,64681.72453067435,64914.11083375005,65145.10690398397,65260.08611382925,65489.012631985526,65716.56978167337
