,index,blocknum,p0vs1,p1vs0,WETH-slippagemap_01,WETH-slippagemap_2,WETH-slippagemap_3,WETH-slippagemap_4,WETH-slippagemap_5,WETH-slippagemap_6,WETH-slippagemap_7,WETH-slippagemap_8,WETH-slippagemap_9,WETH-slippagemap_10,WETH-slippagemap_11,ZRX-slippagemap_01,ZRX-slippagemap_2,ZRX-slippagemap_3,ZRX-slippagemap_4,ZRX-slippagemap_5,ZRX-slippagemap_6,ZRX-slippagemap_7,ZRX-slippagemap_8,ZRX-slippagemap_9,ZRX-slippagemap_10
23,23,13221947.0,3286.226194313744,0.0003043004166086711,0.46331180252059057,5.0608880190688685,9.612719795003079,14.119262428848732,18.58096640294753,22.99827788775778,27.37163856883177,31.701485781126706,35.98825244905401,40.23236713829453,44.43425435371186,43446.65801747067,58139.64787395807,72686.44735913105,87088.5109511495,101347.27882633569,115464.17640140922,129440.61565458121,143277.99401033288,156977.69473963667,170541.08820261483
24,24,13226851.0,3261.99908267504,0.00030656047860686046,2.194100719747835,6.791676936296113,11.343508712230323,15.850051346075976,20.311755320174775,24.729066804985024,29.102427486059014,33.43227469835395,37.71904136628125,41.96315605552177,46.16504327093911,37779.55602371945,52472.545880206846,67019.34536537982,81421.40895739828,95680.17683258448,109797.07440765799,123773.51366083,137610.89201658164,151310.59274588546,164873.98620886361
25,25,13227475.0,3264.6095954836173,0.0003063153405489702,2.0120798174878156,6.609656034036094,11.161487809970303,15.668030443815956,20.129734417914758,24.547045902725003,28.920406583798993,33.25025379609393,37.53702046402123,41.78113515326175,45.98302236867909,38373.55602375142,53066.54588023882,67613.34536541179,82015.40895743025,96274.17683261645,110391.07440768996,124367.51366086197,138204.89201661362,151904.5927459174,165467.98620889557
26,26,13229624.0,3303.358218598162,0.00030272224016454613,3.877547210876256,8.429378986810466,12.935921620656119,17.39762559475492,21.814937079565166,26.188297760639156,30.518144972934092,34.8049116408614,39.04902633010192,43.250913545519246,47.410993315914254,32505.081104001958,47345.73035295741,62038.72020944481,76585.51969461779,90987.58328663623,105246.35116182243,119363.24873689596,133339.68799006793,147177.06634581962,160876.7670751234
27,27,13231671.0,3385.2859150733047,0.00029539602417255384,2.8090612197822065,7.315603853627859,11.777307827726661,16.194619312536908,20.567979993610898,24.897827205905834,29.184593873833137,33.428708563073656,37.630595778490985,41.790675548886,45.909363860681665,36310.527513281035,51300.320610703784,66140.96985965924,80833.95971614664,95380.75920131961,109782.82279333807,124041.59066852427,138158.48824359776,152134.9274967698,165972.30585252144
28,28,13233727.0,3373.1214032527873,0.00029646131296539593,3.6368572060217144,8.143399839867367,12.605103813966169,17.022415298776416,21.395775979850406,25.725623192145342,30.012389860072645,34.25650454931316,38.45839176473049,42.61847153512551,46.73715984692117,33513.187590228335,48502.980687651085,63343.629936606536,78036.61979309394,92583.41927826691,106985.48287028537,121244.25074547157,135361.1483205451,149337.5875737171,163174.96592946874
29,29,13234424.0,3234.067564786016,0.0003092081349469783,4.193270026410631,8.79084624295891,13.34267801889312,17.849220652738772,22.310924626837572,26.72823611164782,31.10159679272181,35.43144400501675,39.71821067294405,43.96232536218457,48.1642125776019,31286.062538481412,45979.05239496881,60525.85188014179,74927.91547216024,89186.68334734644,103303.58092241995,117280.02017559196,131117.3985313436,144817.0992606474,158380.49272362556
30,30,13235952.0,3134.100536935716,0.00031907081097587366,2.2385851364512637,6.929033892349189,11.57281418672462,16.170390403272897,20.722222179207108,25.228764813052763,29.690468787151563,34.10778027196181,38.4811409530358,42.810988165330734,47.09775483325804,37030.997104903414,51433.060696921864,65691.82857210806,79808.72614718157,93785.16540035358,107622.54375610524,121322.24448540904,134885.6379483872,148314.08005368419,148314.08005368419
31,31,13236796.0,3110.6838759608995,0.00032147271785729016,4.018874053675844,8.70932280957377,13.3531031039492,17.95067932049748,22.50251109643169,27.00905373027734,31.470757704376144,35.88806918918639,40.26142987026038,44.591277082555315,48.87804375048262,31472.14810094301,45874.211692961464,60132.97956814766,74249.87714322118,88226.31639639317,102063.69475214483,115763.39548144864,129326.7889444268,142755.23104972378,142755.23104972378
32,32,13238317.0,3005.801674810551,0.00033268994703818165,2.7132016748806347,7.498398948744726,12.23598502259742,16.926433778495348,21.570214072870776,26.167790289419056,30.719622065353267,35.22616469919892,39.68786867329772,44.10518015810796,48.47854083918195,35005.88120072886,49122.77877580238,63099.21802897437,76936.59638472603,90636.29711402983,104199.69057700799,117628.13268230497,117628.13268230497,117628.13268230497,117628.13268230497
