,index,blocknum,p0vs1,p1vs0,WETH-slippagemap_01,WETH-slippagemap_2,WETH-slippagemap_3,WETH-slippagemap_4,WETH-slippagemap_5,WETH-slippagemap_6,WETH-slippagemap_7,WETH-slippagemap_8,WETH-slippagemap_9,WETH-slippagemap_10,WETH-slippagemap_11,WETH-slippagemap_12,WETH-slippagemap_13,WETH-slippagemap_14,WETH-slippagemap_15,WETH-slippagemap_16,WETH-slippagemap_17,WETH-slippagemap_18,WETH-slippagemap_19,WETH-slippagemap_20,ZRX-slippagemap_01,ZRX-slippagemap_2,ZRX-slippagemap_3,ZRX-slippagemap_4,ZRX-slippagemap_5,ZRX-slippagemap_6,ZRX-slippagemap_7,ZRX-slippagemap_8,ZRX-slippagemap_9,ZRX-slippagemap_10,ZRX-slippagemap_11,ZRX-slippagemap_12,ZRX-slippagemap_13,ZRX-slippagemap_14,ZRX-slippagemap_15,ZRX-slippagemap_16,ZRX-slippagemap_17,ZRX-slippagemap_18,ZRX-slippagemap_19,ZRX-slippagemap_20
4546,4546,16651643.0,6446.943614304627,0.00015511226091402086,2.017506439699422,5.9527769981813865,9.864507816840286,11.811589839053456,15.688274828567137,19.50027620467228,21.377001495677884,25.11360447899346,28.827856110196883,30.67664198241648,34.35761699518581,38.01657336016756,39.83783575131443,43.46401088128601,46.93409921438792,48.59331610545442,51.896854922363225,55.18063284897739,56.81514844863638,60.069506453952314,50486.95427109955,75635.1523914092,88169.63719354267,113126.08390302185,137933.24764064958,150281.12761428166,174866.0394055033,199303.8907935886,211467.9441312593,233919.48914672015,256304.60874019554,267446.9050533349,289633.2014275973,311872.071575551,323034.0758630014,345257.88195844076,367348.7511027833,378344.58285046724,400237.5361353998,421999.5311901467
4547,4547,16652962.0,6480.553350223488,0.00015430781076210322,2.271818004962919,6.195301060664983,10.095314850157434,12.036564729798554,15.901637611568992,19.660726506781867,21.531830320020436,25.25724084638379,28.96036699352046,30.803615085931572,34.47356425910075,38.121560762418405,39.93736782740318,43.55268125390323,46.8770411165584,48.53128803999898,51.82493162314432,55.09887345974036,56.72849312165476,59.90997470748603,48950.581986045254,74174.33388108548,86729.57295299272,111760.99747659008,136642.6907158041,149027.6682022331,173686.44183465297,198197.7132815404,210398.3113551721,233804.97517570565,256223.25736603924,267399.02930177905,289651.11276423297,311770.9531389994,322966.49213713454,345257.0664806146,367414.3041382616,378443.1716643668,400401.89874439803,422229.27492302493
4548,4548,16654270.0,6516.29280010553,0.00015346148963469002,2.4487808553078314,6.36051167396673,10.24884357582102,12.184278685693581,15.996280061798723,19.7441091660429,21.6096083361199,25.32385996732333,29.015893931954036,30.853620852312254,34.51257721729401,38.14964667342564,39.960014738412454,43.43010307151437,46.74356688602144,48.39285877948967,51.67663670610383,54.94077196767722,56.56551031107876,59.67433383289526,47899.79813811952,73199.33106992375,85792.29011832616,110882.01399236688,135838.46070184605,148260.6469530448,172993.50441310587,197578.4162043275,209815.6695187811,234180.32093008352,256631.86594554433,267841.2136032799,290159.2818521591,312345.57822642155,323388.9093762401,345746.45266182564,367970.25875726494,379032.2603755023,401056.9596492914,422949.91293422395
4549,4549,16654779.0,6547.644622161524,0.00015272667618754752,2.8414027646815483,6.741416554174,10.61810154368768,12.547739315585558,16.306828210798432,20.043431194114003,21.903342550400357,25.606468697537025,29.287443710306356,31.119665963117317,34.76766246643497,38.39383759640655,40.198782957919796,43.52314282057497,46.82668163748377,48.47103332716089,51.744975163756926,54.999333169072855,56.55607641150259,59.655178218478774,45423.32378478151,70798.8655717149,83429.65841835272,108577.85653866235,133609.28106225972,146068.788050275,170875.95178790274,195534.72542032262,207808.74355275647,232246.59494084175,255653.2587613753,266862.1932939733,289247.3128874487,311499.3963499026,322575.9055748505,344629.4894300659,366551.15452462115,377462.76428635535,399188.0293050008,420783.3392119429
4550,4550,16655579.0,6549.609111984059,0.00015268086734676479,2.7332923156768856,6.633306105169337,10.509991094683018,12.439628866580895,16.19871776179377,19.93532074510934,21.795232101395694,25.498358248532362,29.179333261301693,31.011555514112654,34.65955201743031,38.285727147401886,40.090672508915134,43.415032371570305,46.71857118847911,48.362922878156226,51.636864714752264,54.89122272006819,56.447965962497925,59.54706776947411,46131.311146741275,71506.85293367464,84137.64578031248,109285.84390062212,134317.26842421948,146776.77541223477,171583.9391498625,196242.71278228238,208516.73091471623,232954.58230280151,256361.24612333506,267570.18065593304,289955.30024940846,312207.3837118624,323283.89293681027,345337.47679202567,367259.1418865809,378170.7516483151,399896.01666696055,421491.3265739027
4551,4551,16656150.0,6513.686934484465,0.00015352288343884713,2.572451646251147,6.484182464910046,10.372514366764335,12.307949476636896,16.11995085274204,19.86777995698622,21.733279127063216,25.447530758266645,29.13956472289735,30.97729164325557,34.636248008237324,38.27331746436896,40.08368552935577,43.55377386245768,46.867237676964756,48.516529570432986,51.80030749704714,55.06444275862054,56.689181102022076,59.79800462383857,47094.05522967667,72393.5881614809,84986.5472098833,110076.27108392403,135032.7177934032,147454.90404460195,172187.761504663,196772.67329588466,209009.92661033824,233374.57802164066,255826.1230371015,267035.47069483704,289353.53894371627,311539.8353179787,322583.16646779724,344570.69216773444,366426.69402948354,377305.6194000789,398965.80966025154,420496.43432912254
4552,4552,16657002.0,6488.983126264294,0.0001541073509580383,3.830752608913352,7.742483427572251,11.63081532942654,13.566250439299102,17.378251815404244,21.126080919648423,22.991580089725424,26.70583172092885,30.397865685559555,32.23559260591777,35.89454897089953,39.53161842703116,41.34198649201797,44.812074825119886,48.12553863962696,49.77483053309519,53.058608459709355,56.32274372128274,57.94748206468428,61.05630558650078,38913.16659798468,64212.69952978891,76805.6585781913,101895.38245223204,126851.82916171121,139274.01541290997,164006.87287297103,188591.78466419267,200829.03797864626,225193.68938994867,247645.2344054095,258854.58206314506,281172.6503120243,303358.9466862867,314402.27783610526,336389.80353604245,358245.80539779156,369124.7307683869,390784.92102855956,412315.54569743056
4553,4553,16658566.0,6550.919099302547,0.0001526503357531108,2.6468399190001075,6.546853708492559,10.42353869800624,12.353176469904115,16.11226536511699,19.84886834843256,21.708779704718914,25.411905851855582,29.092880864624913,30.925103117435874,34.57309962075353,38.19927475072511,40.00422011223836,43.32857997489353,46.632118791802334,48.27647048147945,51.55041231807548,54.804770323391416,56.36151356582115,59.46061537279733,46697.633793070396,72073.17558000376,84703.96842664159,109852.16654695124,134883.5910705486,147343.0980585639,172150.26179619163,196809.0354286115,209083.05356104535,233520.90494913064,256927.56876966418,268136.50330226216,290521.6228957376,312773.7063581915,323850.2155831394,345903.7994383548,367825.46453291003,378737.07429464423,400462.3393132897,422057.6492202318
4554,4554,16659697.0,6533.909681925139,0.00015304772313677923,3.520429498465756,7.420443287958207,11.297128277471888,13.226766049369765,16.985854944582638,20.722457927898212,22.582369284184562,26.28549543132123,29.96647044409056,31.798692696901522,35.44668920021918,39.07286433019076,40.877809691704,44.20216955435917,47.50570837126798,49.150060060945094,52.42400189754113,55.67835990285707,57.2351031452868,60.33420495226298,40981.89308203723,66357.43486897061,78988.22771560843,104136.42583591807,129167.85035951543,141627.35734753072,166434.52108515846,191093.29471757833,203367.31285001218,227805.16423809747,251211.828058631,262420.762591229,284805.8821847044,307057.96564715833,318134.4748721062,340188.0587273216,362109.7238218769,373021.33358361106,394746.5986022565,416341.90850919863
4555,4555,16660438.0,6577.173937651722,0.00015204098439230794,3.2927740962517267,7.181105998106016,11.046178879876452,12.928542484083719,16.6763715883279,20.40178211469125,22.256122389608326,25.948156354239032,29.61810552740821,31.444839639579005,35.08190909571064,38.697222522210694,40.362365493799366,43.67582930830644,46.96947289145179,48.60889912838883,51.873034389962214,55.054515975793485,56.60659625518026,59.69600543277516,42532.65005380455,67984.42937582672,80653.16946099311,105876.92135603333,130966.64523007406,143463.58495153795,168345.278190752,193078.13565081306,205389.02930960085,229900.3007564883,254264.9521677907,265507.56265065353,287925.8448409871,310243.9130898663,321353.7002391808,343473.54061394726,365461.0663138845,376405.4584138994,398195.993546229,419856.18380640156
