,index,blocknum,p0vs1,p1vs0,WBTC-slippagemap_01,WBTC-slippagemap_2,WBTC-slippagemap_3,WBTC-slippagemap_4,WBTC-slippagemap_5,WBTC-slippagemap_6,WBTC-slippagemap_7,WBTC-slippagemap_8,WBTC-slippagemap_9,WBTC-slippagemap_10,WBTC-slippagemap_11,WBTC-slippagemap_12,WBTC-slippagemap_13,WBTC-slippagemap_14,WBTC-slippagemap_15,WBTC-slippagemap_16,WBTC-slippagemap_17,WBTC-slippagemap_18,WBTC-slippagemap_19,WBTC-slippagemap_20,LINK-slippagemap_01,LINK-slippagemap_2,LINK-slippagemap_3,LINK-slippagemap_4,LINK-slippagemap_5,LINK-slippagemap_6,LINK-slippagemap_7,LINK-slippagemap_8,LINK-slippagemap_9,LINK-slippagemap_10,LINK-slippagemap_11,LINK-slippagemap_12,LINK-slippagemap_13,LINK-slippagemap_14,LINK-slippagemap_15,LINK-slippagemap_16,LINK-slippagemap_17,LINK-slippagemap_18,LINK-slippagemap_19,LINK-slippagemap_20
31,31,15451889.0,3977.0013689880016,0.0002514457268729738,9.2229631669605e-07,1.9975909741802e-06,3.06645349163244e-06,3.59848472285716e-06,4.65777111716838e-06,5.71072113420415e-06,6.23483186438996e-06,7.27834831944265e-06,8.3156227332149e-06,8.8319308542003e-06,9.8599121286423e-06,1.0881744301723e-05,1.139036598168664e-05,1.240304338489721e-05,1.340966321203458e-05,1.391071287450918e-05,1.490831422259153e-05,1.589994817358269e-05,1.639353854428138e-05,1.7376288282646e-05,0.007066360565795557,0.011322757711586202,0.013441398997314627,0.017659662313818138,0.021852693058996456,0.023939793523984267,0.02809525822102503,0.0322258660211012,0.03428189504682314,0.038375495998859165,0.04244461012523754,0.04447003037016475,0.04850268854053717,0.052511224527604254,0.05450649169886245,0.05847911436289436,0.062427973979877864,0.0643935369251421,0.06830701799274713,0.07219708959729798
32,32,15484770.0,3965.881895646274,0.00025215072619731694,6.3400472837996e-07,1.71252994926119e-06,2.78460371898089e-06,3.31823336930234e-06,4.38070223147445e-06,5.43681568545255e-06,5.96250101187405e-06,7.00915255765246e-06,8.04954331265601e-06,8.5674026108848e-06,9.59847230897275e-06,1.062337444007237e-05,1.11335241793929e-05,1.214924402870701e-05,1.315888810550485e-05,1.366144308970448e-05,1.466204158024682e-05,1.565665477036616e-05,1.615172805125259e-05,1.71374303101376e-05,0.00819775122634795,0.012441398997260801,0.014553694184425548,0.018759322363224692,0.02293979352393044,0.025020642251237155,0.0291636598686317,0.033281895046769316,0.03533176551355268,0.03941310470514593,0.04347003037011092,0.045489383838435184,0.04950996277110971,0.053506491698808625,0.05549578235654959,0.059456505661286595,0.06339353692508828,0.06535321247664803,0.06925497120038815,0.07313339064753197
33,33,15590412.0,3965.881895646274,0.00025215072619731694,0.055605598302438386,0.16631743841674126,0.2763670297345657,0.3311447200312914,0.4402083566693986,0.5486196034308349,0.602581799847215,0.710021770974574,0.8168190648109099,0.8699779105357843,0.9758183872824898,1.0810257562658483,1.1333932070036816,1.2376580043222891,1.341299116684468,1.3928869571745546,1.4955995298235494,1.5976977045793486,1.648517539718279,1.7497009972519082,0.00819775122634795,0.012441398997260801,0.014553694184425548,0.018759322363224692,0.02293979352393044,0.025020642251237155,0.0291636598686317,0.033281895046769316,0.03533176551355268,0.03941310470514593,0.04347003037011092,0.045489383838435184,0.04950996277110971,0.053506491698808625,0.05549578235654959,0.059456505661286595,0.06339353692508828,0.06535321247664803,0.06925497120038815,0.07313339064753197
34,34,15592766.0,3965.881895646274,0.00025215072619731694,6.3400472838106e-07,1.71252994926446e-06,2.78460371898633e-06,3.31823336930886e-06,4.38070223148312e-06,5.43681568546335e-06,5.96250101188592e-06,7.00915255766645e-06,8.0495433126721e-06,8.56740261090194e-06,9.59847230899197e-06,1.062337444009366e-05,1.113352417941523e-05,1.214924402873139e-05,1.315888810553127e-05,1.366144308973192e-05,1.466204158027628e-05,1.565665477039763e-05,1.615172805128506e-05,1.713743031017206e-05,0.00819775122634795,0.012441398997260801,0.014553694184425548,0.018759322363224692,0.02293979352393044,0.025020642251237155,0.0291636598686317,0.033281895046769316,0.03533176551355268,0.03941310470514593,0.04347003037011092,0.045489383838435184,0.04950996277110971,0.053506491698808625,0.05549578235654959,0.059456505661286595,0.06339353692508828,0.06535321247664803,0.06925497120038815,0.07313339064753197
35,35,15629034.0,2348.4474463507245,0.0004258132331442672,1.262999986542158e-05,2.164905969517328e-05,2.304083731311098e-05,2.373360107035468e-05,2.511290954802757e-05,2.648396735647598e-05,2.716641768388102e-05,2.852519197083255e-05,2.987583839969944e-05,3.054812887557679e-05,3.188667461107503e-05,3.321721355669643e-05,3.387949544578817e-05,3.51981138248667e-05,3.650884459067273e-05,3.716126686031102e-05,3.846025455371551e-05,3.975147205900855e-05,4.039418149807566e-05,4.167383075687614e-05,0.06820346346772806,0.10699373266803279,0.12630176818781375,0.1647445076344497,0.20295729344092703,0.22197788260000523,0.2598483132410961,0.29749221315681956,0.3162296381177306,0.3535362795637139,0.39061976173013985,0.40907823640166724,0.4458294820092729,0.48236089162592044,0.5005445678150535,0.5367486858009776,0.5727362406326375,0.5906492104502692,0.6263143458175682,0.6617661429485733
36,36,15865736.0,3004.5930349578116,0.0003328237762536254,8.9404606813844e-07,2.13215811448932e-06,3.36286408237826e-06,3.97545366509823e-06,5.19513351256863e-06,6.40751756432683e-06,7.01098731268947e-06,8.21250941319329e-06,9.40684433743333e-06,1.000133001517543e-05,1.118496469072063e-05,1.236151913228045e-05,1.294715452308187e-05,1.411316805022352e-05,1.527220675531188e-05,1.584912360108727e-05,1.699777828946001e-05,1.813956202057593e-05,1.870789012409024e-05,1.983944441711844e-05,0.006641209321315058,0.010337870770580631,0.01217790113660477,0.015841443536756587,0.01948307163526357,0.02129570876613475,0.02490471092552815,0.028492124921629468,0.030277776742382956,0.03383305052321566,0.037367057522845686,0.03912612574861581,0.04262847107233473,0.0461098661389881,0.04784274666515038,0.051292951331369435,0.05472251778020657,0.05642960033926638,0.05982844070409617,0.06320695014513004
37,37,15924615.0,2994.095864948054,0.00033399064195205704,6.4226158788337e-07,1.88409333605892e-06,3.11849678809454e-06,3.73292680036941e-06,4.95627103329153e-06,6.17229749990325e-06,6.77758028231799e-06,7.98271217685544e-06,9.18063528200824e-06,9.77690705542448e-06,1.096409775327352e-05,1.214418699757946e-05,1.27315818502716e-05,1.390109847403853e-05,1.506361934330578e-05,1.564226947330303e-05,1.679437512117882e-05,1.79395891824536e-05,1.850962473856709e-05,1.964457862522771e-05,0.007382312384855424,0.011067901136545025,0.012902419854512842,0.016554988717299143,0.020185708766075006,0.021992916500651414,0.025591108359699487,0.02916777674232321,0.030948079964957253,0.03449270435712283,0.03801612574855606,0.039769925096251865,0.04326177951289866,0.046732746665090634,0.04846043645982427,0.05190030662406675,0.05531960033920664,0.05702156948015976,0.060410229145686195,0.06377861866903496
38,38,15950103.0,2442.818458991359,0.00040936320761752413,0.0011833117425311742,0.0023943032437704573,0.003598050905020466,0.004197221869720759,0.005390184950094429,0.006576012022336505,0.007166262915119166,0.008341465992106138,0.00950963928681413,0.010091102932850317,0.011248810367229354,0.012399592693841159,0.012972399895050252,0.014112872175304426,0.015246522439601453,0.01581080207374235,0.016934295783898396,0.01805106902066082,0.018606948050895123,0.019713715925714033,4.541439580633281,7.489926418333344,8.975605503662095,11.933626474550136,14.873953410024452,16.337514676622938,16.376188755741417,16.41463149518805,16.43376654670667,16.471864870153606,16.5097353007947,16.528585482814602,16.566116625671334,16.603423267117318,16.621992818771886,16.65896522395527,16.695716469562875,16.714009570654913,16.750431555368657,16.78663567335458
39,39,15951586.0,2444.773397884535,0.0004090358643730749,0.0011017209680181475,0.002312712469257431,0.003516460130507439,0.004115631095207732,0.005308594175581402,0.006494421247823478,0.007084672140606139,0.008259875217593112,0.009428048512301104,0.010009512158337291,0.011167219592716326,0.012318001919328133,0.012890809120537224,0.014031281400791398,0.015164931665088425,0.015729211299229325,0.01685270500938537,0.017969478246147794,0.018525357276382097,0.019632125151201007,4.740839580644013,7.689326418344076,9.175005503672827,12.133026474560868,15.073353410035184,16.536914676633668,16.575588755752147,16.614031495198784,16.633166546717405,16.67126487016434,16.709135300805432,16.727985482825332,16.765516625682064,16.802823267128048,16.82139281878262,16.858365223966,16.89511646957361,16.913409570665646,16.94983155537939,16.98603567336531
40,40,15961103.0,2641.5043095201872,0.0003785721629890673,0.0011178719748645176,0.0022825461706588598,0.003440253605037896,0.004016507807364647,0.005163843132858793,0.006304315413112967,0.006871990724599226,0.008002245311550893,0.009125739021706937,0.00968496318245742,0.010798391288703666,0.011905159163522576,0.012456057974619277,0.013552910115895326,0.014643201189185254,0.015185898600181621,0.016266421580343544,0.017340481118369513,0.017875099207288983,0.018939536077247802,4.7753514192541004,7.8410950345014205,9.367082958065332,12.40536005228821,15.4254629274261,16.928732995519155,19.9217782415025,22.896919815040526,24.37781028056354,27.326297118263607,30.293205085925877,31.769997174480398,34.71032410995471,36.193251420151896,36.21255945567168,36.25100219511831,36.28921498092479,36.308235570083866,36.34610600072496,36.38374990064069
