,index,blocknum,p0vs1,p1vs0,USDC-slippagemap_01,USDC-slippagemap_2,USDC-slippagemap_3,USDC-slippagemap_4,USDC-slippagemap_5,USDC-slippagemap_6,USDC-slippagemap_7,USDC-slippagemap_8,USDC-slippagemap_9,USDC-slippagemap_10,USDC-slippagemap_11,WETH-slippagemap_01,WETH-slippagemap_2,WETH-slippagemap_3,WETH-slippagemap_4,WETH-slippagemap_5,WETH-slippagemap_6,WETH-slippagemap_7,WETH-slippagemap_8,WETH-slippagemap_9,WETH-slippagemap_10
4400,4400,16622984.0,0.0006763244048778864,1478.5803865536316,14232.741292317794,52239.11107621015,87780.13550867634,122967.53835702116,157804.66034907335,192140.67575556933,226067.32675631382,259655.16597401476,292905.1507926822,322472.3884827059,350646.3069414685,98.3482773245005,180.54493804453904,261.9296098771063,342.50453152080854,422.27775904186376,501.29691491224713,579.5364609920493,657.3247672665658,734.814043370709,811.5323261194952
4401,4401,16624578.0,0.0006677898209717022,1497.4771531331492,40924.0678435078,78930.43762740016,114471.46205986635,149658.86490821117,184495.98690026338,218832.00230675933,252758.65330750382,286346.4925252048,319596.4773438722,349163.7150338959,377337.63349265856,80.41025085486197,162.6069115749005,243.99158340746777,324.56650505117,404.3397325722252,483.35888844260865,561.5984345224108,639.3867443322297,716.8760239365001,793.5943101505885
4402,4402,16626129.0,0.0006677898209717022,1497.4771531331492,40924.0678435078,78930.43762740016,114471.46205986635,152712.89419751993,190573.6589010218,227903.23277777253,264793.6573152573,301315.78150682076,337470.85611566115,367038.0938056849,395212.0122644475,80.41025085486197,162.6069115749005,243.99158340746777,324.56650505117,404.3397325722252,483.35888844260865,561.5984345224108,639.3867443322297,716.8760239365001,793.5943101505885
4403,4403,16627291.0,0.0006623366058326381,1509.8063298839986,29932.59785369928,71968.95262275203,109975.32240664438,145516.34683911057,183757.77897676415,221618.543680266,258948.11755701675,295838.54209450155,332360.666286065,368515.7408949054,398082.97858492914,166.0329971537624,247.41766898632966,327.9925906300319,407.7658181510871,486.78497402147053,565.0245201012727,642.8128299110915,720.3021095153621,797.0203957294505,872.2144724278128
4404,4404,16627799.0,0.0006447581206032213,1550.9692209295827,93055.25058695671,171941.01341303895,213977.36818209168,251983.73796598404,287524.7623984502,325766.1945361038,363626.95923960564,400956.5331163564,437846.9576538412,474369.0818454047,510524.15645424504,186.16453061534452,266.73945225904674,346.51267978010196,425.5318356504854,503.77138173028754,581.5596915401064,659.0489711443769,735.7672573584653,810.9613340568276,885.6929702489957
4405,4405,16633087.0,0.0006444358382340757,1551.74486065248,64139.52493986527,143025.2877659475,185061.64253500025,223068.0123188926,258609.0367513588,296850.46888901235,334711.23359251424,372040.80746926495,408931.2320067497,445453.35619831324,481608.4308071536,122.05654577509819,175.54607279147766,228.50339650492592,280.9734580149806,332.9280644756008,384.69296127614564,436.4177520556407,487.627897815809,537.5676314909881,587.2961972558064
4406,4406,16633905.0,0.0006409013466068142,1560.3025415602515,1691.5534769241233,63910.737245499615,120157.70643493485,139780.51597564665,155596.3480743664,169167.62335794652,185657.89817463217,201983.92235374788,217993.0192252615,233775.0985720063,249398.89860064661,117.44688698685304,156.17372988378068,194.55489919384624,232.5607932896769,270.51576288188295,308.56803057213483,346.24169044695134,382.7796217251777,419.23972871928765,455.3370844223192
4407,4407,16636138.0,0.000633573563013637,1578.34868494738,37860.7222069361,100079.90597551159,156326.87516494683,175949.6847056586,191765.51680437836,205336.79208795849,218773.0376153354,232075.41908300147,245090.9574842603,257909.26329426482,270598.7783490426,94.39790547664975,133.12474837357738,171.50591768364293,209.51181177947362,247.46678137167964,285.5190490619315,323.19270893674803,359.73064021497447,396.19074720908435,432.2881029121159
4408,4408,16637020.0,0.0006032782689088555,1657.6098486171097,3266.3385929886203,67389.76385123105,130875.1816834836,193728.9411863449,255948.12495492038,312195.0941443556,331817.9036850674,347633.73578378715,361205.0110673673,374641.25659474416,387943.63806241023,113.18226904315678,151.13723863536282,189.1895063256147,226.8631662004312,263.4010974786576,299.86120447276755,335.9585601757991,371.3234622430987,406.959005681742,441.78659793789615
4409,4409,16637522.0,0.0006030370179170553,1658.2729920197785,4590.443980498751,68713.86923874119,132199.28707099374,195053.046573855,257272.2303424305,313519.1995318658,333142.0090725775,348957.8411712973,362529.1164548774,375965.3619822543,389267.7434499204,112.38355889696733,150.33852848917337,188.39079617942525,226.06445605424176,262.6023873324682,299.0624943265781,335.15985002960963,370.52475209690925,406.16029553555256,440.98788779170667
