,index,blocknum,p0vs1,p1vs0,YFI-slippagemap_01,YFI-slippagemap_2,YFI-slippagemap_3,YFI-slippagemap_4,YFI-slippagemap_5,YFI-slippagemap_6,YFI-slippagemap_7,YFI-slippagemap_8,YFI-slippagemap_9,YFI-slippagemap_10,YFI-slippagemap_11,YFI-slippagemap_12,YFI-slippagemap_13,YFI-slippagemap_14,YFI-slippagemap_15,YFI-slippagemap_16,YFI-slippagemap_17,YFI-slippagemap_18,YFI-slippagemap_19,YFI-slippagemap_20,WBTC-slippagemap_01,WBTC-slippagemap_2,WBTC-slippagemap_3,WBTC-slippagemap_4,WBTC-slippagemap_5,WBTC-slippagemap_6,WBTC-slippagemap_7,WBTC-slippagemap_8,WBTC-slippagemap_9,WBTC-slippagemap_10,WBTC-slippagemap_11,WBTC-slippagemap_12,WBTC-slippagemap_13,WBTC-slippagemap_14,WBTC-slippagemap_15,WBTC-slippagemap_16,WBTC-slippagemap_17,WBTC-slippagemap_18,WBTC-slippagemap_19,WBTC-slippagemap_20
10,10,12471548.0,1.3277529858696093,0.7531521379671776,0.05563084327461442,0.12588805382437668,0.1957250030903921,0.23048666794382794,0.29969793766147346,0.36849520463447777,0.4027393603386158,0.4709202596236578,0.5386933208352376,0.5724276745297129,0.6395935421271864,0.7063576420158327,0.7395897808845542,0.8057557277368314,0.8715258892624951,0.9042632897551736,0.9694442044488065,1.0342352262635721,1.0664852542939809,1.130695800061161,0.16016381232129792,0.2529364016906737,0.2991143914613006,0.391055816341138,0.48244727302539064,0.5279377942552951,0.6185104579157186,0.7085413427734267,0.7533546310645278,0.8425789146015523,0.9312694790987627,0.9754156142370962,1.0633115849898813,1.1506817828715659,1.194170704494566,1.2807581416411629,1.3668276306704847,1.4096691172396554,1.4949674954923875,1.5797556474030865
11,11,12472220.0,1.2965270881366577,0.7712912511817857,0.05503672366121466,0.12614205981442875,0.19682206122501114,0.23200335677109454,0.3020501214339281,0.3716778858942247,0.4063354270644966,0.4753393865821669,0.5439305782890126,0.5780721639335611,0.6460488367243864,0.7136188924801096,0.7472521983013924,0.8142168810178393,0.880780998834951,0.9139135951351754,0.9798813536973393,1.0454545077055704,1.0780938485951752,1.1430795241012555,0.1598943366216724,0.25156036576697843,0.2971875512022825,0.38803232924337283,0.4783336976452199,0.5232816209503186,0.6127739618421679,0.701730987181431,0.7460097572756546,0.834169796562921,0.921802487651043,0.9654220610484578,1.0522696409820365,1.1385977111786036,1.1815679088473765,1.267122555089254,1.3521654385501436,1.3944959255799785,1.4787768897170892,1.5625537143430752
12,12,12474133.0,1.2721268299078032,0.7860851422121758,0.06170582532538192,0.13345396087226066,0.20477292016155654,0.2402722642758423,0.3109522656864247,0.38120947623618695,0.4161803258953417,0.4858080903556382,0.5550193600732838,0.5894695910435804,0.6580607827504261,0.7262416820354681,0.7601790411857999,0.8277490969415231,0.8949149645389968,0.9283470854792529,0.9949112032963645,1.0610771501486416,1.0940115581587528,1.1595847121669838,0.15060649560907718,0.2414512736501675,0.2866696804994051,0.37670056535711327,0.46619290624896265,0.5107381371852389,0.5994287016824492,0.6875887409697157,0.7314708075735677,0.8188410054552525,0.9056885853888311,0.9489173642248493,1.0349868532541713,1.1205414994960488,1.163126718076074,1.247914869986773,1.3321958341238838,1.3741470766239288,1.4576729566046716,1.5406992035048752
13,13,12474764.0,1.279398293255217,0.7816174253724113,0.06307817014797099,0.13461139770430852,0.20571673385752262,0.24110973974637767,0.3115780308141884,0.381624795477022,0.4164908950838827,0.4859101011075905,0.5549140606252607,0.5892610966279683,0.657646837976655,0.7256235107674803,0.7594592128287282,0.8268268723444863,0.8937915550609332,0.9271235340093233,0.9934882691782693,1.0594560277404332,1.0922917812559858,1.157668522638269,0.14906631017614258,0.24018401684135116,0.285538273652537,0.375839642054384,0.46560085365058385,0.5102799062513321,0.5992369315905952,0.6876618368231523,0.7316757409720852,0.8193084320602071,0.9064169270806219,0.9497755853912005,1.0361036555877678,1.1219153398257113,1.1646284994984182,1.2496713829593078,1.3342055564256678,1.3762828341262534,1.4600596587522394,1.5433353475553875
14,14,12475858.0,1.2689506435268636,0.7880527151321233,0.04096447400875482,0.11292817014528697,0.1844613977016245,0.22006738974055282,0.29095973974369366,0.3614280308115044,0.3965039458151833,0.4663408950811987,0.5357601011049065,0.5703138296522801,0.6391110966252843,0.707496837973971,0.7415361516144644,0.8093092128260442,0.8766768723418022,0.910209434117993,0.9769735340066393,1.0433382691755853,1.0763716197276378,1.1421417812533017,0.1766644464591617,0.2672371101195852,0.3123200716721946,0.4020812832683944,0.4913055668054189,0.5357173612084057,0.6241422664409628,0.7120382371937478,0.7557888616780176,0.8428973566984325,0.9294847938450294,0.9725840852055785,1.058395769443522,1.143694147696254,1.1861518125771182,1.2706859860434785,1.3547145062441088,1.3965400883700498,1.4798157771731981,1.5625933338623834
15,15,12476555.0,1.2508095903412009,0.7994821975479225,0.05533909012140307,0.12773584195967488,0.19969953809620702,0.235519798402177,0.3068387576914729,0.3777311076946137,0.4130181032163411,0.48327531376610333,0.5531122630321187,0.5878739278855546,0.6570851976032,0.7258824645762044,0.7601266202803425,0.8283075195653844,0.8960805807769643,0.9298149344714395,0.996980802068913,1.0637449019575593,1.096977040826281,1.163142987678558,0.15791422274112749,0.24794510759883565,0.2927583958899367,0.38198267942696124,0.47067324392417154,0.5148193790625052,0.6027153498152902,0.6900855476969748,0.7335744693199748,0.8201619064665716,0.9062313954958936,0.9490728820650641,1.0343712603177966,1.1191594122284956,1.1613630986650207,1.245391618865651,1.328917498846394,1.3704928897947404,1.4532704464839257,1.5355528466443218
16,16,12477288.0,1.2374979376357365,0.8080821547957641,0.04800185966057598,0.12083427693005795,0.19323102876832976,0.22926684966395314,0.30101498521083186,0.3723339445001278,0.40783328861441354,0.47851329002499593,0.5487705005747582,0.5837413502339129,0.6533691146942094,0.722580384411855,0.7570306153821517,0.8256218070889974,0.8938027063740394,0.9277400655243712,0.9953101212800943,1.062475988877568,1.095908109817824,1.1624722276349357,0.1664558727512312,0.2559482136430805,0.3004934445793568,0.3891840090765671,0.47734404836383365,0.5212261149676857,0.6085963128493704,0.6954438927829489,0.7386726716189672,0.8247421606482892,0.9102968068901666,0.9528820254701921,1.037670177380891,1.1219511415180017,1.1639023840180467,1.2474282639987895,1.3304545108989931,1.3717812116363213,1.4540636117967174,1.5358538227141765
17,17,12478901.0,1.1708082458353979,0.8541108277611058,0.05789706274293079,0.132722645188105,0.20710063713818125,0.24412262696391712,0.3178342548625909,0.3911049591339981,0.42757578708276633,0.5001900455736629,0.5723699491373753,0.6082978243782841,0.6798310519346216,0.7509363880878357,0.7863293939766908,0.8567976850445015,0.926844449707335,0.9617105493141958,1.0311297553379035,1.1001337148555739,1.1344807508582815,1.202866492206968,0.15196703696804764,0.23907553198846243,0.2824341902990411,0.36876226049560845,0.45457394473355184,0.4972871044062587,0.5823299878671482,0.6668641613335085,0.7089414390340939,0.7927182636600798,0.8759939524632281,0.9174448084150851,0.9999744154472371,1.082010353596964,1.1228441202302686,1.2041450838142769,1.2849597257656908,1.3251855864095001,1.4052761960711653,1.4848877247288081
18,18,12479863.0,1.1244525990125234,0.8893216138040717,0.04917237596856747,0.12558582821742328,0.20154219548875105,0.23934982736195545,0.314625688154208,0.3894512705993822,0.4266960455767898,0.5008512523751943,0.5745628802738681,0.6112531809686764,0.6843044124940435,0.75691867098494,0.7930627536530291,0.8650264497895613,0.9365596773458988,0.9721656693848272,1.043058019387968,1.1135263104557787,1.1486022254594577,1.218439174725473,0.15999269312256426,0.24529107137529654,0.28774873625616065,0.37228290972252087,0.45631142992315116,0.4981370120490922,0.5814127008522405,0.6641902575414258,0.7053931638362495,0.7874291019859765,0.8689743230256877,0.9095638322032893,0.9903784741547034,1.070709704480827,1.1106949444601777,1.1903064731178206,1.269441786090669,1.3088317534959166,1.3872580793385763,1.4652152800587686
19,19,12480406.0,1.145447526686871,0.8730212224495625,0.04563374664769394,0.12136259766524904,0.1966384584575016,0.23410736275563782,0.30870881588008336,0.38286402267848796,0.4197751174951495,0.49326595127197,0.5663171827973371,0.6026787721180509,0.6750755239563228,0.7470392200928548,0.7828594803988248,0.8541784396881207,0.9250707896912616,0.9603577852129889,1.030614995762751,1.1004519450287666,1.1352136098822023,1.204424879599848,0.16498689753093174,0.2510563865602537,0.2938978731294242,0.37919625138215657,0.46398440329285556,0.5061880897293809,0.5902166099300111,0.673742489910754,0.7153178808591005,0.7980954375482857,0.8803778377086818,0.9213342819928365,1.0028795030325477,1.0839369412896642,1.1242836541615633,1.204614884487687,1.2844655945675651,1.3242116531246806,1.403346966097529,1.4820089131296588
