,index,blocknum,p0vs1,p1vs0,WBTC-slippagemap_01,WBTC-slippagemap_2,WBTC-slippagemap_3,WBTC-slippagemap_4,WBTC-slippagemap_5,WBTC-slippagemap_6,WBTC-slippagemap_7,WBTC-slippagemap_8,WBTC-slippagemap_9,WBTC-slippagemap_10,WBTC-slippagemap_11,WBTC-slippagemap_12,WBTC-slippagemap_13,WBTC-slippagemap_14,WBTC-slippagemap_15,WBTC-slippagemap_16,WBTC-slippagemap_17,WBTC-slippagemap_18,WBTC-slippagemap_19,WBTC-slippagemap_20,AAVE-slippagemap_01,AAVE-slippagemap_2,AAVE-slippagemap_3,AAVE-slippagemap_4,AAVE-slippagemap_5,AAVE-slippagemap_6,AAVE-slippagemap_7,AAVE-slippagemap_8,AAVE-slippagemap_9,AAVE-slippagemap_10,AAVE-slippagemap_11,AAVE-slippagemap_12,AAVE-slippagemap_13,AAVE-slippagemap_14,AAVE-slippagemap_15,AAVE-slippagemap_16,AAVE-slippagemap_17,AAVE-slippagemap_18,AAVE-slippagemap_19,AAVE-slippagemap_20
15,15,15678491.0,224.21987827626887,0.004459907871182885,0.025119383953824796,0.025119383953824796,0.025119383953824796,0.025119383953824796,0.025119383953824796,0.025119383953824796,0.025119383953824796,0.025119383953824796,0.025119383953824796,0.025119383953824796,0.025119383953824796,0.025119383953824796,0.025119383953824796,0.025119383953824796,0.025119383953824796,0.025119383953824796,0.025119383953824796,0.025119383953824796,0.025119383953824796,0.025119383953824796,22.426869357825424,33.54013049344036,39.071807325343585,50.085502903845395,61.03331752298169,66.48264230368581,77.33237328513032,88.1172043150591,93.48540350391133,104.1736106593431,114.7978843514418,120.08616527122692,130.61525435642062,141.08136087125462,146.2909133501665,156.66325227921536,166.97354652533676,172.10554292390609,182.32346542477447,192.48026726472088
16,16,15691676.0,224.21987827626887,0.004459907871182885,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
17,17,15978825.0,274.9576183033077,0.0036369241418759053,0.0006574751396410375,0.0019471453217830498,0.003229101040101173,0.00386720042063129,0.005137670896304272,0.006400541730933398,0.0070291415044637685,0.00828069806550686,0.008903666100544912,0.008903666100544912,0.008903666100544912,0.008903666100544912,0.008903666100544912,0.008903666100544912,0.008903666100544912,0.008903666100544912,0.008903666100544912,0.008903666100544912,0.008903666100544912,0.008903666100544912,0.7066071936978057,1.0580700135682417,1.2330122512854569,1.5813262555203718,1.9275567457223832,2.099894563946142,2.443023095836256,2.7840991403567688,2.953871309925576,3.291891587727598,3.627889916286899,3.795134625574362,4.128122693320242,4.4591189055373315,4.62387379091161,4.9519045577085254,5.2779731208033525,5.4402752553511595,5.7634225086266815,6.084636785642609
18,18,15989453.0,279.86744646291083,0.003573120106101815,0.0006838750528693825,0.0019619908689678107,0.0032324613446407927,0.003864843847122104,0.005123931952800289,0.006375488513843381,0.006998456548881432,0.006998456548881432,0.006998456548881432,0.006998456548881432,0.006998456548881432,0.006998456548881432,0.006998456548881432,0.006998456548881432,0.006998456548881432,0.006998456548881432,0.006998456548881432,0.006998456548881432,0.006998456548881432,0.006998456548881432,0.7039565857209674,1.058596684429042,1.2351204330762522,1.5865832529466881,1.9359437138557027,2.1098394948988184,2.4560699851008296,2.800229408268955,2.971536335214702,3.312612379735215,3.6516481895041975,3.820404827106044,4.156403155665346,4.490391631049234,4.656635932698689,4.987632144915778,5.316648423761572,5.480417797086972,5.8064863601817995,6.130604474622179
19,19,16027089.0,296.3713476135692,0.0033741453350742724,0.0009404958641566786,0.0009404958641566786,0.0009404958641566786,0.0009404958641566786,0.0009404958641566786,0.0009404958641566786,0.0009404958641566786,0.0009404958641566786,0.0009404958641566786,0.0009404958641566786,0.0009404958641566786,0.0009404958641566786,0.0009404958641566786,0.0009404958641566786,0.0009404958641566786,0.0009404958641566786,0.0009404958641566786,0.0009404958641566786,0.0009404958641566786,0.0009404958641566786,0.6432360976771742,1.0086760516510915,1.1905754745257209,1.5527413912578718,1.912740924684537,2.091932349461706,2.448706585814876,2.8033466845229507,2.9798704331701606,3.331333253040597,3.680693713949611,3.8545894949927266,4.200819985194738,4.544979408362863,4.716286335308611,5.057362379829123,5.396398189598107,5.565154827199953,5.901153155759254,6.235141631143143
20,20,16028819.0,282.51047106579824,0.0035396918076254047,0.0009490601839715161,0.002219530659644498,0.0034824014942736238,0.004111001267803995,0.005362557828847086,0.005985525863885137,0.005985525863885137,0.005985525863885137,0.005985525863885137,0.005985525863885137,0.005985525863885137,0.005985525863885137,0.005985525863885137,0.005985525863885137,0.005985525863885137,0.005985525863885137,0.005985525863885137,0.005985525863885137,0.005985525863885137,0.005985525863885137,0.6320171208501598,0.9887913572033297,1.1663773711017569,1.5199552045586142,1.8714180244290504,2.0463602621462655,2.3946742663811804,2.740904756583192,2.913242574806951,3.2563711066970646,3.5974471512175774,3.7672193207863844,4.1052395985884065,4.441237927147707,4.608482636435171,4.941470704181051,5.27246691639814,5.437221801772418,5.765252568569334,6.091321131664161
21,21,16037813.0,281.57976954765576,0.003551391499490363,0.0006650808034223392,0.001939368221458504,0.003206033162106749,0.0038365214942545638,0.005091838157859396,0.006339645863866077,0.006339645863866077,0.006339645863866077,0.006339645863866077,0.006339645863866077,0.006339645863866077,0.006339645863866077,0.006339645863866077,0.006339645863866077,0.006339645863866077,0.006339645863866077,0.006339645863866077,0.006339645863866077,0.006339645863866077,0.006339645863866077,0.7107867294750772,1.06649230007476,1.2435463848844075,1.5960651286723002,1.9464751911192686,2.1208934143110683,2.468164095229001,2.813357503779954,2.9851791087243202,3.327279852410198,3.6673342497593877,3.8365978899595627,4.173605675611817,4.508597565408174,4.675341331504599,5.0073319688625215,5.337336730745421,5.501598124216938,5.82864631811598,6.153738195184971
22,22,16041145.0,281.4108808019139,0.0035535228671698146,0.0007361747610187982,0.002010543814489799,0.003277289902249565,0.0039078186257474196,0.0051632157094523325,0.006411103354508266,0.006411143144536515,0.0064112223673987384,0.006411301116367781,0.00641134031403142,0.006411418357476446,0.006411495934084633,0.006411534548200299,0.006411611429786921,0.006411687851488621,0.0064117258907413766,0.006411801627767382,0.0064118769117548595,0.006411914384704878,0.006411988994210397,0.6908309837562303,1.0465593421340222,1.2236247696650984,1.5761660970715137,1.926598608047294,2.1010280050977475,2.448320933424421,2.7935364563065765,2.9653690687608933,3.30749172865074,3.647567911107592,3.816842394945297,4.153871770528312,4.488885121109891,4.655639569411649,4.987651475283768,5.317677378458541,5.481949295105672,5.809018440888207,6.134131144512002
23,23,16047064.0,279.53182372193004,0.0035774102092746706,0.000809192116650672,0.002087389813444884,0.0033579416800256466,0.0039903646952043625,0.005249533462594771,0.00650117020285225,0.007124178147463063,0.007124257608335641,0.007124336593897279,0.007124375909322579,0.007124454187237572,0.0071245319969144485,0.007124570727039431,0.007124647839607074,0.00712472449090598,0.0071247626444434185,0.007124838609008755,0.007124914119175902,0.007124951704709657,0.007125026538366037,0.6689619514261111,1.0236247696543337,1.2001598270477305,1.5516451628904053,1.9010280050869828,2.074934926519229,2.4211875974916235,2.765369068750129,2.936686970233703,3.2777848653122708,3.6168423949345323,3.7856098436934986,4.121629697514109,4.455639569400884,4.621894521258182,4.952911938283018,5.281949295094907,5.44572916007534,5.7718186122949895,6.095957490907436
24,24,16048590.0,279.2245231269215,0.0035813473286708778,0.0009238438332189178,0.0022020415300131302,0.0034725933965938927,0.004105016411772608,0.005364185179163017,0.006615821919420496,0.007238829864031309,0.007238909324903886,0.007238988310465525,0.007239027625890825,0.0072391059038058175,0.0072391837134826945,0.007239222443607677,0.0072392995561753205,0.007239376207474226,0.007239414361011665,0.0072394903255770015,0.007239565835744147,0.007239603421277903,0.007239678254934283,0.6369289828832038,0.9915918011114262,1.168126858504823,1.5196121943474978,1.8689950365440753,2.0429019579763215,2.3891546289487158,2.7333361002072216,2.904654001690796,3.245751896769363,3.584809426391625,3.7535768751505914,4.089596728971202,4.423606600857977,4.589861552715274,4.9208789697401105,5.2499163265519995,5.413696191532432,5.739785643752081,6.063924522364529
