,index,blocknum,p0vs1,p1vs0,FEI-slippagemap_01,FEI-slippagemap_2,FEI-slippagemap_3,FEI-slippagemap_4,FEI-slippagemap_5,FEI-slippagemap_6,FEI-slippagemap_7,FEI-slippagemap_8,FEI-slippagemap_9,FEI-slippagemap_10,FEI-slippagemap_11,FEI-slippagemap_12,FEI-slippagemap_13,FEI-slippagemap_14,FEI-slippagemap_15,FEI-slippagemap_16,FEI-slippagemap_17,FEI-slippagemap_18,FEI-slippagemap_19,FEI-slippagemap_20,USDC-slippagemap_01,USDC-slippagemap_2,USDC-slippagemap_3,USDC-slippagemap_4,USDC-slippagemap_5,USDC-slippagemap_6,USDC-slippagemap_7,USDC-slippagemap_8,USDC-slippagemap_9,USDC-slippagemap_10,USDC-slippagemap_11,USDC-slippagemap_12,USDC-slippagemap_13,USDC-slippagemap_14,USDC-slippagemap_15,USDC-slippagemap_16,USDC-slippagemap_17,USDC-slippagemap_18,USDC-slippagemap_19,USDC-slippagemap_20
192,192,12655000.0,0.9957120783167842,1.004306387133984,7683289.441603279,7791390.288571367,7791628.425810852,7791831.241402664,7792010.34628991,7792063.903548051,7792063.903548051,7792063.903548051,7792063.903548051,7792063.903548051,7792063.903548051,7792063.903548051,7792063.903548051,7792063.903548051,7792063.903548051,7792063.903548051,7792063.903548051,7792063.903548051,7792063.903548051,7792063.903548051,3903957.6175610474,3907157.52378597,3909672.448657202,3910715.902360622,3911077.0662537864,3911312.159764994,3911546.080864633,3911778.835104869,3912010.4287468274,3912240.8672441016,3912263.847872565,3912263.847872565,3912263.847872565,3912263.847872565,3912263.847872565,3912263.847872565,3912263.847872565,3912263.847872565,3912263.847872565,3912263.847872565
193,193,12655627.0,0.9953138930367548,1.004708169951238,8022422.448750339,8239220.325626634,8239458.581964828,8239667.197806952,8239846.392548318,8239917.819905825,8239917.819905825,8239917.819905825,8239917.819905825,8239917.819905825,8239917.819905825,8239917.819905825,8239917.819905825,8239917.819905825,8239917.819905825,8239917.819905825,8239917.819905825,8239917.819905825,8239917.819905825,8239917.819905825,3458575.8061908116,3461554.0355210723,3464067.7014691145,3464901.902255684,3465245.0796450083,3465480.055805893,3465713.859800702,3465946.4979561386,3466177.9755433616,3466408.299050352,3466408.299050352,3466408.299050352,3466408.299050352,3466408.299050352,3466408.299050352,3466408.299050352,3466408.299050352,3466408.299050352,3466408.299050352,3466408.299050352
194,194,12656428.0,0.9954134244260583,1.00460770918032,7979831.57711409,8087932.424082179,8088170.561321663,8088373.376913475,8088552.481800721,8088606.039058861,8088606.039058861,8088606.039058861,8088606.039058861,8088606.039058861,8088606.039058861,8088606.039058861,8088606.039058861,8088606.039058861,8088606.039058861,8088606.039058861,8088606.039058861,8088606.039058861,8088606.039058861,8088606.039058861,3608719.172116552,3611919.0783414748,3614434.0032127067,3615477.4569161264,3615838.620809291,3616073.7143204985,3616307.6354201376,3616540.389660374,3616771.983302332,3617002.4217996066,3617025.4024280696,3617025.4024280696,3617025.4024280696,3617025.4024280696,3617025.4024280696,3617025.4024280696,3617025.4024280696,3617025.4024280696,3617025.4024280696,3617025.4024280696
195,195,12656986.0,0.9955129657685009,1.0045072584544745,7838534.470097078,7946635.317065166,7946873.45430465,7947076.269896463,7947255.37478371,7947308.932041849,7947308.932041849,7947308.932041849,7947308.932041849,7947308.932041849,7947308.932041849,7947308.932041849,7947308.932041849,7947308.932041849,7947308.932041849,7947308.932041849,7947308.932041849,7947308.932041849,7947308.932041849,7947308.932041849,3749385.55489944,3752585.461124363,3755100.385995595,3756143.8396990146,3756505.003592179,3756740.0971033867,3756974.0182030257,3757206.772443262,3757438.36608522,3757668.8045824943,3757691.7852109578,3757691.7852109578,3757691.7852109578,3757691.7852109578,3757691.7852109578,3757691.7852109578,3757691.7852109578,3757691.7852109578,3757691.7852109578,3757691.7852109578
196,196,12657527.0,0.9956125170650778,1.0044068177726972,7710466.7975385245,7818567.644506613,7818805.781746098,7819008.59733791,7819187.702225156,7819241.2594832955,7819241.2594832955,7819241.2594832955,7819241.2594832955,7819241.2594832955,7819241.2594832955,7819241.2594832955,7819241.2594832955,7819241.2594832955,7819241.2594832955,7819241.2594832955,7819241.2594832955,7819241.2594832955,7819241.2594832955,7819241.2594832955,3876896.558009768,3880096.4642346906,3882611.3891059225,3883654.8428093423,3884016.006702507,3884251.1002137144,3884485.0213133534,3884717.7755535897,3884949.369195548,3885179.807692822,3885202.7883212855,3885202.7883212855,3885202.7883212855,3885202.7883212855,3885202.7883212855,3885202.7883212855,3885202.7883212855,3885202.7883212855,3885202.7883212855,3885202.7883212855
197,197,12658028.0,0.9950153585777257,1.005009612544473,8377026.795987722,8593824.672864018,8594062.929202212,8594271.545044336,8594450.739785703,8594522.167143209,8594522.167143209,8594522.167143209,8594522.167143209,8594522.167143209,8594522.167143209,8594522.167143209,8594522.167143209,8594522.167143209,8594522.167143209,8594522.167143209,8594522.167143209,8594522.167143209,8594522.167143209,8594522.167143209,3105677.435392776,3108655.6647230363,3111169.3306710785,3112003.5314576486,3112346.7088469723,3112581.6850078576,3112815.489002666,3113048.127158103,3113279.604745326,3113509.928252316,3113509.928252316,3113509.928252316,3113509.928252316,3113509.928252316,3113509.928252316,3113509.928252316,3113509.928252316,3113509.928252316,3113509.928252316,3113509.928252316
198,198,12658628.0,0.9947169136611251,1.0053111455795298,8734219.492496284,8951017.369372578,8951255.625710772,8951464.241552897,8951643.436294263,8951714.86365177,8951714.86365177,8951714.86365177,8951714.86365177,8951714.86365177,8951714.86365177,8951714.86365177,8951714.86365177,8951714.86365177,8951714.86365177,8951714.86365177,8951714.86365177,8951714.86365177,8951714.86365177,8951714.86365177,2750313.6348679513,2753291.8641982116,2755805.5301462538,2756639.7309328234,2756982.9083221476,2757217.8844830324,2757451.688477841,2757684.3266332783,2757915.8042205013,2758146.1277274913,2758146.1277274913,2758146.1277274913,2758146.1277274913,2758146.1277274913,2758146.1277274913,2758146.1277274913,2758146.1277274913,2758146.1277274913,2758146.1277274913,2758146.1277274913
199,199,12659176.0,0.9936233812848717,1.0064175409267067,9154918.603503423,9946731.645654334,9946970.021144459,9947184.44028009,9947363.724397322,9947453.031070279,9947453.031070279,9947453.031070279,9947453.031070279,9947453.031070279,9947453.031070279,9947453.031070279,9947453.031070279,9947453.031070279,9947453.031070279,9947453.031070279,9947453.031070279,9947453.031070279,9947453.031070279,9947453.031070279,1488809.4284407415,1491566.0883857948,1494078.4987125155,1494703.5503346967,1495028.7501419955,1495263.6087764087,1495497.295993448,1495729.8176367762,1495961.1797563948,1496168.4189897873,1496168.4189897873,1496168.4189897873,1496168.4189897873,1496168.4189897873,1496168.4189897873,1496168.4189897873,1496168.4189897873,1496168.4189897873,1496168.4189897873,1496168.4189897873
200,200,12659684.0,0.993424686413342,1.0066188344990676,9367834.76889331,10159647.811044222,10159886.186534347,10160100.605669977,10160279.889787212,10160369.196460167,10160369.196460167,10160369.196460167,10160369.196460167,10160369.196460167,10160369.196460167,10160369.196460167,10160369.196460167,10160369.196460167,10160369.196460167,10160369.196460167,10160369.196460167,10160369.196460167,10160369.196460167,10160369.196460167,1277263.588363962,1280020.2483090155,1282532.6586357362,1283157.7102579174,1283482.9100652162,1283717.7686996295,1283951.4559166688,1284183.977559997,1284415.3396796156,1284622.578913008,1284622.578913008,1284622.578913008,1284622.578913008,1284622.578913008,1284622.578913008,1284622.578913008,1284622.578913008,1284622.578913008,1284622.578913008,1284622.578913008
201,201,12660219.0,0.9920349343922029,1.0080290172570154,8385002.123405115,10358638.955077833,10358877.568805292,10359103.603295757,10359283.066966517,10359408.158668637,10359408.158668637,10359408.158668637,10359408.158668637,10359408.158668637,10359408.158668637,10359408.158668637,10359408.158668637,10359408.158668637,10359408.158668637,10359408.158668637,10359408.158668637,10359408.158668637,10359408.158668637,10359408.158668637,343347.9749625278,345876.1821275624,348177.3497636261,348593.1506913899,348882.4223398822,349117.0461433492,349350.49978181097,349582.78914141457,349813.9198059778,349975.02535989747,349975.02535989747,349975.02535989747,349975.02535989747,349975.02535989747,349975.02535989747,349975.02535989747,349975.02535989747,349975.02535989747,349975.02535989747,349975.02535989747
