,index,blocknum,p0vs1,p1vs0,MKR-slippagemap_01,MKR-slippagemap_2,MKR-slippagemap_3,MKR-slippagemap_4,MKR-slippagemap_5,MKR-slippagemap_6,MKR-slippagemap_7,MKR-slippagemap_8,MKR-slippagemap_9,MKR-slippagemap_10,MKR-slippagemap_11,MKR-slippagemap_12,MKR-slippagemap_13,MKR-slippagemap_14,MKR-slippagemap_15,MKR-slippagemap_16,MKR-slippagemap_17,MKR-slippagemap_18,MKR-slippagemap_19,MKR-slippagemap_20,USDC-slippagemap_01,USDC-slippagemap_2,USDC-slippagemap_3,USDC-slippagemap_4,USDC-slippagemap_5,USDC-slippagemap_6,USDC-slippagemap_7,USDC-slippagemap_8,USDC-slippagemap_9,USDC-slippagemap_10,USDC-slippagemap_11,USDC-slippagemap_12,USDC-slippagemap_13,USDC-slippagemap_14,USDC-slippagemap_15,USDC-slippagemap_16,USDC-slippagemap_17,USDC-slippagemap_18,USDC-slippagemap_19,USDC-slippagemap_20
13,13,15328562.0,1076.6972870205134,0.000928766155589791,25.574257554719903,55.14290313163368,84.5346779924591,99.16456690952585,113.75063604194335,113.75063604194335,113.75063604194335,113.75063604194335,113.75063604194335,113.75063604194335,113.75063604194335,113.75063604194335,113.75063604194335,113.75063604194335,113.75063604194335,113.75063604194335,113.75063604194335,113.75063604194335,113.75063604194335,113.75063604194335,52382.407450436884,84072.78371648084,99846.81378369211,131253.26973334476,162471.8609843388,178011.0591772972,208949.95721786632,239703.787035097,255011.64770198718,285489.9487393014,315785.93651367194,330865.9041678167,345900.7018072456,345900.7018072456,345900.7018072456,345900.7018072456,345900.7018072456,345900.7018072456,345900.7018072456,345900.7018072456
14,14,15329062.0,1074.5461518536147,0.0009306254536159094,15.70187046371384,45.359349973038064,74.83942600110267,89.51327206947855,118.7292301189628,118.7292301189628,118.7292301189628,118.7292301189628,118.7292301189628,118.7292301189628,118.7292301189628,118.7292301189628,118.7292301189628,118.7292301189628,118.7292301189628,118.7292301189628,118.7292301189628,118.7292301189628,118.7292301189628,118.7292301189628,62895.867344317114,94491.3187117516,110218.10044587079,141530.4825976703,172655.5641053567,188148.21705066846,218994.44126367714,249656.15263004668,264918.1606448333,295305.1683124349,325510.40909587615,340545.20673530514,340545.20673530514,340545.20673530514,340545.20673530514,340545.20673530514,340545.20673530514,340545.20673530514,340545.20673530514,340545.20673530514
15,15,15329807.0,1070.577875340739,0.0009340749729969193,25.05332806908301,54.71080757840723,84.19088360647183,98.86472967484771,128.08068772433197,128.08068772433197,128.08068772433197,128.08068772433197,128.08068772433197,128.08068772433197,128.08068772433197,128.08068772433197,128.08068772433197,128.08068772433197,128.08068772433197,128.08068772433197,128.08068772433197,128.08068772433197,128.08068772433197,128.08068772433197,52865.39253618014,84460.84390361463,100187.62563773381,131500.00778953332,162625.08929721973,178117.74224253147,208963.96645554015,239625.67782190972,254887.6858366963,285274.69350429793,315479.93428773916,330514.73192716815,330514.73192716815,330514.73192716815,330514.73192716815,330514.73192716815,330514.73192716815,330514.73192716815,330514.73192716815,330514.73192716815
16,16,15330433.0,1081.5530994096368,0.0009245963055774586,29.310173930281245,58.79024995834584,88.09398494378847,102.68005407620598,102.68005407620598,102.68005407620598,102.68005407620598,102.68005407620598,102.68005407620598,102.68005407620598,102.68005407620598,102.68005407620598,102.68005407620598,102.68005407620598,102.68005407620598,102.68005407620598,102.68005407620598,102.68005407620598,102.68005407620598,102.68005407620598,48413.0008724455,80198.58642917528,96020.00772939851,127520.81953072897,158833.20168252848,174419.08499725646,205450.93613552663,236297.1603485353,251651.01104801465,282220.8797296915,312607.8873972931,327733.1605265896,357847.9258201633,357847.9258201633,357847.9258201633,357847.9258201633,357847.9258201633,357847.9258201633,357847.9258201633,357847.9258201633
17,17,15331028.0,1087.1915408522962,0.0009198011228233592,16.37149564417551,45.85157167224011,75.15530665768274,89.74137579010025,89.74137579010025,89.74137579010025,89.74137579010025,89.74137579010025,89.74137579010025,89.74137579010025,89.74137579010025,89.74137579010025,89.74137579010025,89.74137579010025,89.74137579010025,89.74137579010025,89.74137579010025,89.74137579010025,89.74137579010025,89.74137579010025,62444.0485192013,94229.63407593108,110051.05537615431,141551.86717748476,172864.2493292843,188450.13264401225,219481.98378228242,250328.2079952911,265682.05869477044,296251.92737644725,326638.9350440489,341764.2081733454,371878.9734669191,371878.9734669191,371878.9734669191,371878.9734669191,371878.9734669191,371878.9734669191,371878.9734669191,371878.9734669191
18,18,15331619.0,1077.5589463856725,0.0009280234769097141,23.63523645564593,53.20388203255971,82.59565689338513,97.22554581045188,111.81161494286938,111.81161494286938,111.81161494286938,111.81161494286938,111.81161494286938,111.81161494286938,111.81161494286938,111.81161494286938,111.81161494286938,111.81161494286938,111.81161494286938,111.81161494286938,111.81161494286938,111.81161494286938,111.81161494286938,111.81161494286938,54471.125857719686,86161.50212376365,101935.53219097492,133341.98814062754,164560.57939162158,180099.77758458,211038.67562514913,241792.50544237977,257100.36610927,287578.6671465842,317874.6549209548,332954.62257509946,347989.42021452845,347989.42021452845,347989.42021452845,347989.42021452845,347989.42021452845,347989.42021452845,347989.42021452845,347989.42021452845
19,19,15332260.0,1086.8654486106627,0.0009200770907551596,17.0482872592662,46.5283632873308,75.83209827277344,90.41816740519094,90.41816740519094,90.41816740519094,90.41816740519094,90.41816740519094,90.41816740519094,90.41816740519094,90.41816740519094,90.41816740519094,90.41816740519094,90.41816740519094,90.41816740519094,90.41816740519094,90.41816740519094,90.41816740519094,90.41816740519094,90.41816740519094,61708.297901240374,93493.88345797017,109315.3047581934,140816.11655952386,172128.49871132337,187714.38202605135,218746.23316432151,249592.45737733017,264946.3080768095,295516.1767584863,325903.18442608794,341028.4575553845,371143.22284895816,371143.22284895816,371143.22284895816,371143.22284895816,371143.22284895816,371143.22284895816,371143.22284895816,371143.22284895816
20,20,15333120.0,1083.2848828382778,0.0009231182081853982,25.425288819538984,54.905364847603586,84.20909983304622,98.79516896546373,98.79516896546373,98.79516896546373,98.79516896546373,98.79516896546373,98.79516896546373,98.79516896546373,98.79516896546373,98.79516896546373,98.79516896546373,98.79516896546373,98.79516896546373,98.79516896546373,98.79516896546373,98.79516896546373,98.79516896546373,98.79516896546373,52618.17416346414,84403.75972019392,100225.18102041715,131725.9928217476,163038.37497354712,178624.2582882751,209656.10942654527,240502.33363955395,255856.1843390333,286426.05302071007,316813.0606883117,331938.33381760825,362053.0991111819,362053.0991111819,362053.0991111819,362053.0991111819,362053.0991111819,362053.0991111819,362053.0991111819,362053.0991111819
21,21,15334081.0,1067.7981270885239,0.0009365066061003652,16.64576062169097,46.39234111122889,75.96098668814267,90.67891548059221,119.98265046603484,134.56871959845233,134.56871959845233,134.56871959845233,134.56871959845233,134.56871959845233,134.56871959845233,134.56871959845233,134.56871959845233,134.56871959845233,134.56871959845233,134.56871959845233,134.56871959845233,134.56871959845233,134.56871959845233,134.56871959845233,61749.772526872825,93250.58432820327,108930.25854373672,140148.84979473078,171180.70093300095,186626.9460282583,217380.77584548894,247950.64452716577,263166.93754969334,293462.9253240639,323577.6906176376,323577.6906176376,323577.6906176376,323577.6906176376,323577.6906176376,323577.6906176376,323577.6906176376,323577.6906176376,323577.6906176376,323577.6906176376
22,22,15335003.0,1068.1184985616621,0.0009362257102995678,15.716451676995131,45.46303216653305,75.03167774344682,89.74960653589636,119.053341521339,133.6394106537565,133.6394106537565,133.6394106537565,133.6394106537565,133.6394106537565,133.6394106537565,133.6394106537565,133.6394106537565,133.6394106537565,133.6394106537565,133.6394106537565,133.6394106537565,133.6394106537565,133.6394106537565,133.6394106537565,62742.28786516539,94243.09966649584,109922.77388202929,141141.36513302333,172173.2162712935,187619.46136655085,218373.29118378152,248943.15986545832,264159.4528879859,294455.4406623565,324570.20595593017,324570.20595593017,324570.20595593017,324570.20595593017,324570.20595593017,324570.20595593017,324570.20595593017,324570.20595593017,324570.20595593017,324570.20595593017
