,index,blocknum,p0vs1,p1vs0,DAI-slippagemap_01,DAI-slippagemap_2,DAI-slippagemap_3,DAI-slippagemap_4,DAI-slippagemap_5,DAI-slippagemap_6,DAI-slippagemap_7,DAI-slippagemap_8,DAI-slippagemap_9,DAI-slippagemap_10,DAI-slippagemap_11,DAI-slippagemap_12,DAI-slippagemap_13,DAI-slippagemap_14,DAI-slippagemap_15,DAI-slippagemap_16,DAI-slippagemap_17,DAI-slippagemap_18,DAI-slippagemap_19,DAI-slippagemap_20,USDP-slippagemap_01,USDP-slippagemap_2,USDP-slippagemap_3,USDP-slippagemap_4,USDP-slippagemap_5,USDP-slippagemap_6,USDP-slippagemap_7,USDP-slippagemap_8,USDP-slippagemap_9,USDP-slippagemap_10,USDP-slippagemap_11,USDP-slippagemap_12,USDP-slippagemap_13,USDP-slippagemap_14,USDP-slippagemap_15,USDP-slippagemap_16,USDP-slippagemap_17,USDP-slippagemap_18,USDP-slippagemap_19,USDP-slippagemap_20
10,10,13668507.0,1.0,1.0,5373252.774649878,5373252.774649878,5373252.774649878,5373252.774649878,5373252.774649878,5373252.774649878,5373252.774649878,5373252.774649878,5373252.774649878,5373252.774649878,5373252.774649878,5373252.774649878,5373252.774649878,5373252.774649878,5373252.774649878,5373252.774649878,5373252.774649878,5373252.774649878,5373252.774649878,5373252.774649878,5624106.266005503,5624106.266005503,5624106.266005503,5624106.266005503,5624106.266005503,5624106.266005503,5624106.266005503,5624106.266005503,5624106.266005503,5624106.266005503,5624106.266005503,5624106.266005503,5624106.266005503,5624106.266005503,5624106.266005503,5624106.266005503,5624106.266005503,5624106.266005503,5624106.266005503,5624106.266005503
11,11,13669487.0,1.0,1.0,5316002.689762199,5316002.689762199,5316002.689762199,5316002.689762199,5316002.689762199,5316002.689762199,5316002.689762199,5316002.689762199,5316002.689762199,5316002.689762199,5316002.689762199,5316002.689762199,5316002.689762199,5316002.689762199,5316002.689762199,5316002.689762199,5316002.689762199,5316002.689762199,5316002.689762199,5316002.689762199,5681358.113481726,5681358.113481726,5681358.113481726,5681358.113481726,5681358.113481726,5681358.113481726,5681358.113481726,5681358.113481726,5681358.113481726,5681358.113481726,5681358.113481726,5681358.113481726,5681358.113481726,5681358.113481726,5681358.113481726,5681358.113481726,5681358.113481726,5681358.113481726,5681358.113481726,5681358.113481726
12,12,13670094.0,1.0,1.0,5257549.63290121,5257549.63290121,5257549.63290121,5257549.63290121,5257549.63290121,5257549.63290121,5257549.63290121,5257549.63290121,5257549.63290121,5257549.63290121,5257549.63290121,5257549.63290121,5257549.63290121,5257549.63290121,5257549.63290121,5257549.63290121,5257549.63290121,5257549.63290121,5257549.63290121,5257549.63290121,5739813.646121289,5739813.646121289,5739813.646121289,5739813.646121289,5739813.646121289,5739813.646121289,5739813.646121289,5739813.646121289,5739813.646121289,5739813.646121289,5739813.646121289,5739813.646121289,5739813.646121289,5739813.646121289,5739813.646121289,5739813.646121289,5739813.646121289,5739813.646121289,5739813.646121289,5739813.646121289
13,13,13671379.0,1.0,1.0,5314209.325680625,5314209.325680625,5314209.325680625,5314209.325680625,5314209.325680625,5314209.325680625,5314209.325680625,5314209.325680625,5314209.325680625,5314209.325680625,5314209.325680625,5314209.325680625,5314209.325680625,5314209.325680625,5314209.325680625,5314209.325680625,5314209.325680625,5314209.325680625,5314209.325680625,5314209.325680625,5683151.543362516,5683151.543362516,5683151.543362516,5683151.543362516,5683151.543362516,5683151.543362516,5683151.543362516,5683151.543362516,5683151.543362516,5683151.543362516,5683151.543362516,5683151.543362516,5683151.543362516,5683151.543362516,5683151.543362516,5683151.543362516,5683151.543362516,5683151.543362516,5683151.543362516,5683151.543362516
14,14,13672406.0,1.0,1.0,5180612.289646634,5180612.289646634,5180612.289646634,5180612.289646634,5180612.289646634,5180612.289646634,5180612.289646634,5180612.289646634,5180612.289646634,5180612.289646634,5180612.289646634,5180612.289646634,5180612.289646634,5180612.289646634,5180612.289646634,5180612.289646634,5180612.289646634,5180612.289646634,5180612.289646634,5180612.289646634,5816755.289477203,5816755.289477203,5816755.289477203,5816755.289477203,5816755.289477203,5816755.289477203,5816755.289477203,5816755.289477203,5816755.289477203,5816755.289477203,5816755.289477203,5816755.289477203,5816755.289477203,5816755.289477203,5816755.289477203,5816755.289477203,5816755.289477203,5816755.289477203,5816755.289477203,5816755.289477203
15,15,13673394.0,0.9999000099990001,1.0001,5739332.401383562,5739332.401383562,5739332.401383562,5739332.401383562,5739332.401383562,5739332.401383562,5739332.401383562,5739332.401383562,5739332.401383562,5739332.401383562,5739332.401383562,5739332.401383562,5739332.401383562,5739332.401383562,5739332.401383562,5739332.401383562,5739332.401383562,5739332.401383562,5739332.401383562,5739332.401383562,5258030.8612568425,5258030.8612568425,5258030.8612568425,5258030.8612568425,5258030.8612568425,5258030.8612568425,5258030.8612568425,5258030.8612568425,5258030.8612568425,5258030.8612568425,5258030.8612568425,5258030.8612568425,5258030.8612568425,5258030.8612568425,5258030.8612568425,5258030.8612568425,5258030.8612568425,5258030.8612568425,5258030.8612568425,5258030.8612568425
16,16,13675502.0,0.9998000299960005,1.00020001,6289043.607234489,6289043.607234489,6289043.607234489,6289043.607234489,6289043.607234489,6289043.607234489,6289043.607234489,6289043.607234489,6289043.607234489,6289043.607234489,6289043.607234489,6289043.607234489,6289043.607234489,6289043.607234489,6289043.607234489,6289043.607234489,6289043.607234489,6289043.607234489,6289043.607234489,6289043.607234489,4708376.317526336,4708376.317526336,4708376.317526336,4708376.317526336,4708376.317526336,4708376.317526336,4708376.317526336,4708376.317526336,4708376.317526336,4708376.317526336,4708376.317526336,4708376.317526336,4708376.317526336,4708376.317526336,4708376.317526336,4708376.317526336,4708376.317526336,4708376.317526336,4708376.317526336,4708376.317526336
17,17,13676192.0,0.9997000599900016,1.0003000300009999,6564525.794137154,6564525.794137154,6564525.794137154,6564525.794137154,6564525.794137154,6564525.794137154,6564525.794137154,6564525.794137154,6564525.794137154,6564525.794137154,6564525.794137154,6564525.794137154,6564525.794137154,6564525.794137154,6564525.794137154,6564525.794137154,6564525.794137154,6564525.794137154,6564525.794137154,6564525.794137154,4432805.03842353,4432805.03842353,4432805.03842353,4432805.03842353,4432805.03842353,4432805.03842353,4432805.03842353,4432805.03842353,4432805.03842353,4432805.03842353,4432805.03842353,4432805.03842353,4432805.03842353,4432805.03842353,4432805.03842353,4432805.03842353,4432805.03842353,4432805.03842353,4432805.03842353,4432805.03842353
18,18,13676817.0,0.9997000599900016,1.0003000300009999,6515478.519169655,6515478.519169655,6515478.519169655,6515478.519169655,6515478.519169655,6515478.519169655,6515478.519169655,6515478.519169655,6515478.519169655,6515478.519169655,6515478.519169655,6515478.519169655,6515478.519169655,6515478.519169655,6515478.519169655,6515478.519169655,6515478.519169655,6515478.519169655,6515478.519169655,6515478.519169655,4481842.102444604,4481842.102444604,4481842.102444604,4481842.102444604,4481842.102444604,4481842.102444604,4481842.102444604,4481842.102444604,4481842.102444604,4481842.102444604,4481842.102444604,4481842.102444604,4481842.102444604,4481842.102444604,4481842.102444604,4481842.102444604,4481842.102444604,4481842.102444604,4481842.102444604,4481842.102444604
19,19,13677857.0,0.9997000599900016,1.0003000300009999,6596077.203609486,6596077.203609486,6596077.203609486,6596077.203609486,6596077.203609486,6596077.203609486,6596077.203609486,6596077.203609486,6596077.203609486,6596077.203609486,6596077.203609486,6596077.203609486,6596077.203609486,6596077.203609486,6596077.203609486,6596077.203609486,6596077.203609486,6596077.203609486,6596077.203609486,6596077.203609486,4401260.451720808,4401260.451720808,4401260.451720808,4401260.451720808,4401260.451720808,4401260.451720808,4401260.451720808,4401260.451720808,4401260.451720808,4401260.451720808,4401260.451720808,4401260.451720808,4401260.451720808,4401260.451720808,4401260.451720808,4401260.451720808,4401260.451720808,4401260.451720808,4401260.451720808,4401260.451720808
