,index,blocknum,p0vs1,p1vs0,MKR-slippagemap_01,MKR-slippagemap_2,MKR-slippagemap_3,MKR-slippagemap_4,MKR-slippagemap_5,MKR-slippagemap_6,MKR-slippagemap_7,MKR-slippagemap_8,MKR-slippagemap_9,MKR-slippagemap_10,MKR-slippagemap_11,WETH-slippagemap_01,WETH-slippagemap_2,WETH-slippagemap_3,WETH-slippagemap_4,WETH-slippagemap_5,WETH-slippagemap_6,WETH-slippagemap_7,WETH-slippagemap_8,WETH-slippagemap_9,WETH-slippagemap_10
937,937,15970166.0,0.5626085183962949,1.777434872210043,0.035847769265495495,0.08290827127606659,0.12950053734513434,0.1756292254883192,158.2347708831401,314.7212761132083,469.65079289651715,623.3889209612047,775.5974060438964,926.3322862581081,1075.5674047985053,0.05952355611848555,0.08561124618759623,0.11143937221333515,0.13701051680780563,0.16232723711184138,0.18739206419792068,0.21220750457276885,0.2367760394845202,0.26110012557172363,0.285182195082677
938,938,15993676.0,0.5422818457784795,1.8440595195740648,0.028885052095723836,0.07689619172472285,0.12442963624882605,0.17149013825939716,0.2180824043284649,0.26421109247164976,158.32335275012343,314.8098579801916,469.73937476350045,623.4775028281881,775.6859879108797,0.06250708202862244,0.0880782266230929,0.11339494692712869,0.13845977401320797,0.16327521438805614,0.1878437492998075,0.21216783538701095,0.23624990489796427,0.26009236544783615,0.28369760172798164
939,939,15994715.0,0.5407656560746347,1.8492298628187722,0.0358150520953508,0.08382619172434981,0.131359636248453,0.1784201382590241,0.22501240432809186,0.2711410924712767,158.33028275012308,314.81678798019124,469.74630476350006,623.4844328281877,775.6929179108794,0.05875418970997043,0.0843253343044409,0.10964205460847667,0.13470688169455594,0.15952232206940414,0.1840908569811555,0.20841494306835895,0.23249701257931227,0.25633947312918415,0.27994470940932964
940,940,16002045.0,0.5429872353129626,1.84166391945407,0.02581505209588909,0.07382619172488811,0.1213596362489913,0.1684201382595624,0.21501240432863014,0.261141092471815,158.32028275012362,314.8067879801918,469.73630476350064,623.4744328281882,775.6829179108798,0.0641730457936903,0.08974419038816077,0.11506091069219655,0.14012573777827583,0.164941178153124,0.18950971306487535,0.2138337991520788,0.23791586866303213,0.26175832921290404,0.28536356549304953
941,941,16005232.0,0.544074242078604,1.8379844562748608,0.020815052096158238,0.06882619172515725,0.11635963624926045,0.16342013825983154,0.21001240432889928,0.25614109247208416,158.31528275012388,314.80178798019205,469.7313047635009,623.4694328281885,775.6779179108802,0.0668908600552475,0.09246200464971796,0.11777872495375374,0.142843552039833,0.1676589924146812,0.19222752732643256,0.216551613413636,0.24063368292458934,0.2644761434744612,0.2880813797546067
942,942,16006204.0,0.5453815230062853,1.8335788027576347,0.014999296134552724,0.06301043576355174,0.11054388028765494,0.15760438229822604,0.2041966483672938,0.2503253365104786,158.30946699416228,314.79597222423047,469.7254890075393,623.4636170722268,775.6721021549185,0.07005915264490692,0.0956302972393774,0.12094701754341317,0.14601184462949243,0.17082728500434063,0.19539581991609198,0.21971990600329544,0.24380197551424876,0.26764443606412064,0.29124967234426613
943,943,16009115.0,0.5457634046215998,1.832295810843787,0.013366279681832072,0.061377419310831086,0.10891086383493429,0.1559713658455054,0.20256363191457313,0.248692320057758,158.30783397770955,314.79433920777774,469.72385599108657,623.4619840557742,775.6704691384658,0.07095015264495487,0.09652129723942535,0.12183801754346112,0.1469028446295404,0.17171828500438857,0.19628681991613994,0.22061090600334338,0.24469297551429672,0.2685354360641686,0.29214067234431407
944,944,16010663.0,0.5458725627601582,1.8319294066431642,0.013003536762096186,0.0610146763910952,0.1085481209151984,0.1556086229257695,0.20220088899483724,0.2483295771380221,158.30747123478983,314.793976464858,469.72349324816685,623.4616213128544,775.6701063955461,0.07114815264496553,0.096719297239436,0.12203601754347178,0.14710084462955106,0.17191628500439923,0.19648481991615058,0.22080890600335404,0.24489097551430736,0.26873343606417927,0.29233867234432476
945,945,16011577.0,0.5482795732276987,1.8238870255790165,0.002281208927349261,0.050292348556348274,0.09782579308045147,0.14488629509102258,0.19147856116009032,0.23760724930327518,158.29674890695506,314.7832541370233,469.7127709203321,623.4508989850196,775.6593840677114,0.07701427867072926,0.10258542326519972,0.1279021435692355,0.15296697065531478,0.17778241103016296,0.2023509459419143,0.22667503202911776,0.2507571015400711,0.27459956208994296,0.29820479837008845
946,946,16012084.0,0.5490476637642576,1.8213354978036405,0.04704116816631896,0.09457461269042217,0.14163511470099327,0.18822738077006101,0.23435606891324587,158.29349772656505,314.7800029566332,469.70951973994204,623.4476478046297,775.6561328873213,926.391013101533,0.05297000723092345,0.07879813325666236,0.10436927785113284,0.12968599815516862,0.1547508252412479,0.17956626561609607,0.20413480052784744,0.22845888661505087,0.2525409561260042,0.27638341667587607
