,index,blocknum,p0vs1,p1vs0,MKR-slippagemap_01,MKR-slippagemap_2,MKR-slippagemap_3,MKR-slippagemap_4,MKR-slippagemap_5,MKR-slippagemap_6,MKR-slippagemap_7,MKR-slippagemap_8,MKR-slippagemap_9,MKR-slippagemap_10,MKR-slippagemap_11,MKR-slippagemap_12,MKR-slippagemap_13,MKR-slippagemap_14,MKR-slippagemap_15,MKR-slippagemap_16,MKR-slippagemap_17,MKR-slippagemap_18,MKR-slippagemap_19,MKR-slippagemap_20,WETH-slippagemap_01,WETH-slippagemap_2,WETH-slippagemap_3,WETH-slippagemap_4,WETH-slippagemap_5,WETH-slippagemap_6,WETH-slippagemap_7,WETH-slippagemap_8,WETH-slippagemap_9,WETH-slippagemap_10,WETH-slippagemap_11,WETH-slippagemap_12,WETH-slippagemap_13,WETH-slippagemap_14,WETH-slippagemap_15,WETH-slippagemap_16,WETH-slippagemap_17,WETH-slippagemap_18,WETH-slippagemap_19,WETH-slippagemap_20
10,10,12451155.0,1.3340048603940067,0.7496224561765418,0.03734243612453877,0.07554099263291401,0.1286206142859025,0.18143551598016408,0.2339870124857461,0.2862764200634946,0.3383050481533316,0.3900741953469955,0.4415851527541973,0.4928392140105748,0.5438376570838135,0.5947824408450011,0.645606608254733,0.6961773019776577,0.7463310758866799,0.7960704263856487,0.8455617082045266,0.8948061668844673,0.9438050297335997,0.9925595241585088,0.05172632200472813,0.0976352374409547,0.14331519379177257,0.18876732824813053,0.23399278263382545,0.2789926853467686,0.32376816151949156,0.3683203326516933,0.41265030534002445,0.4567591961683673,0.5006481023343762,0.5443181229990572,0.5877703479437963,0.6310058645038514,0.6740257572312036,0.7168310962671652,0.7594229518253393,0.8018023901239542,0.8439704730148428,0.8859282499305872
11,11,12454212.0,1.3173026789495272,0.7591269766470392,0.03605334869092577,0.07069904096155681,0.10517194649826128,0.15644116387615725,0.20933534199361123,0.26196572400958745,0.3143336212517227,0.3664403460568036,0.41828719998456065,0.4698754807244301,0.521206474473643,0.5722814695594662,0.6232021568633858,0.6741026119562167,0.7247492141800105,0.7750772930250943,0.8248913026719471,0.87445687835025,0.9237752539540757,0.9728476673110439,0.053409746828610195,0.0990212350031759,0.14440524882975422,0.18956291731167832,0.23449537715850333,0.2792037438875535,0.32368913633651947,0.3679526691904832,0.4119954489395088,0.4558185733911214,0.4994231422482618,0.5428102420373961,0.5859809566868746,0.628936370934463,0.6716775512410107,0.714205571555153,0.7565214942095043,0.7986263731810873,0.8405212651406386,0.8822072138061554
12,12,12457265.0,1.3601358997266002,0.7352206497902226,0.05505883916256335,0.107900153644492,0.16047793070443817,0.21279348874412055,0.2648481356739416,0.31664317230205513,0.368179891908423,0.41945958332704614,0.47048353033538726,0.5214202880818499,0.5722698701289247,0.6228658549057869,0.6730777038230238,0.7228419247464132,0.7723579610825563,0.8216270480955157,0.8706504125784471,0.9194292875216643,0.9679648901652496,1.0162584280582418,0.05840395218549863,0.10475105797808659,0.1508670186332131,0.19675298605714786,0.24241010700932722,0.2878395262253744,0.33304237539210485,0.3780197832683191,0.4227728789220964,0.4673027769922072,0.5116105952070977,0.5556974359227442,0.5995644038034379,0.6432125945360505,0.686643101738781,0.729857009181475,0.7728553940059234,0.8156393375734906,0.8582099063904842,0.9005681628636647
13,13,12459948.0,1.3834546922749433,0.722828153017145,0.05473218821632527,0.10712627808207789,0.15925905840548368,0.21113184396755816,0.2627459237575936,0.314102589805237,0.36520312572233826,0.41611577211198597,0.4670416823892769,0.5177136111598756,0.5680998548000968,0.6179387764162774,0.6675291370039085,0.7168721760454253,0.7659691306325993,0.8148212257387522,0.8634296801244453,0.9117957117331538,0.9599205282608732,0.995923223260757,0.08453715903215506,0.1492824200834594,0.19579201802645213,0.24206965658601362,0.28811650108799486,0.33393369463495537,0.37952238550382433,0.42488371279065307,0.47001880945656505,0.5149288090547997,0.5596148274461459,0.6040779837921304,0.6483193930778259,0.6923401584099679,0.7361413777876475,0.7797241473888105,0.823089561246689,0.8662386997260684,0.9091726401524476,0.9518924602307431
14,14,12466525.0,1.5312412735984502,0.6530649462249527,0.054394679087431,0.10418378742122929,0.15372458521029056,0.20301831017901478,0.2520661945516436,0.3008694645594808,0.3494293370408279,0.39774702795452027,0.4458237487021945,0.47839132722483035,0.5091041252797248,0.539663749572655,0.5700709655107207,0.600326530705052,0.630431205109593,0.660385738667617,0.690190879680444,0.719847375998561,0.7493559665683055,0.7787173893682122,0.08627019588553853,0.16300469026053624,0.2390064246125903,0.31447946310175934,0.3895760976958585,0.46429820534864363,0.5386476564904699,0.6126262987099681,0.6862359977304088,0.7594785793263129,0.8323558809057452,0.9023030720095202,0.948859199757043,0.9951831406261695,1.0412760483437813,1.0871390788316115,1.1327733793862191,1.1781800917155967,1.223360344382481,1.2683152700908156
15,15,12467826.0,1.4254424776896208,0.7015365513877596,0.05422366212471068,0.10583774191474607,0.15719440796238945,0.20829494387949074,0.2592075902691385,0.3101335005464294,0.3608054293170281,0.41119167295724934,0.46103059457342993,0.510620955161061,0.5599639942025778,0.6090609487897518,0.6579130438959047,0.7065214982815978,0.7548875298903063,0.8030123464180257,0.8390150414179095,0.8697585669768204,0.9003487651033225,0.9307864010063531,0.0853780798368839,0.15891420808526677,0.2320835896844312,0.3048880537906586,0.36963331484196293,0.4161429127849557,0.46242055134451715,0.5084673958464985,0.5542845893934589,0.5998732802623279,0.6452346075491566,0.6903697042150686,0.7352797038133032,0.7799657222046494,0.824428878550634,0.8686702878363294,0.9126910531684713,0.9564922725461511,1.0000750421473141,1.0434404560051926
16,16,12470890.0,1.4032388951290353,0.7126370309939596,0.05312899199319681,0.10515762008303386,0.15692676727669774,0.20843772468389954,0.25969178594027703,0.3106902290135158,0.36163501277470333,0.41245918018443534,0.46302987390736,0.5131836478163823,0.562922998315351,0.6124142801342288,0.6616587388141697,0.7106576016633019,0.759412096088211,0.8079234340055786,0.8561928352512059,0.9025215120436637,0.9333574008200083,0.9640395037395995,0.08684478899474919,0.15979500579951797,0.23238139207904585,0.28155203281268526,0.32792231727224247,0.37406134154399173,0.4199702569802183,0.4656502133310362,0.5111023477873942,0.5563278021730891,0.6013277048860322,0.6461031810587551,0.6906553521909569,0.734985324879288,0.7790942157076309,0.8229831218736398,0.8666531425383208,0.91010536748306,0.953340884043115,0.9963607767704672
17,17,12475594.0,1.4032388951290353,0.7126370309939596,0.059809389355962875,0.11183801744579994,0.16360716463946381,0.2151181220466656,0.26637218330304313,0.31737062637628183,0.3683154101374694,0.41913957754720144,0.46971027127012605,0.5198640451791483,0.5696033956781171,0.6190946774969949,0.6683391361769357,0.717337999026068,0.7660924934509771,0.8146038313683448,0.8628732326139721,0.9092019094064298,0.9400377981827743,0.9707199011023655,0.0977645839617756,0.1707148007665444,0.2433011870460723,0.29247182777971165,0.3388421122392689,0.3849811365110182,0.4308900519472447,0.4765700082980626,0.5220221427544205,0.5672475971401154,0.6122474998530586,0.6570229760257815,0.7015751471579833,0.7459051198463145,0.7900140106746574,0.8339029168406662,0.8775729375053473,0.9210251624500864,0.9642606790101415,1.0072805717374937
18,18,12479156.0,1.3949845725518313,0.7168538058960108,0.05950867255870137,0.11563456355028265,0.16755924045375473,0.21922495917934642,0.2706330019019962,0.3217846637891104,0.37268121378618524,0.4236580754248537,0.47438069980280834,0.5248503592505064,0.5747721314561456,0.6244121053583601,0.6738045129527941,0.7229505837932977,0.7718515539635502,0.8205086380188146,0.8689230588813022,0.9170960204486285,0.9565372696283079,0.9873115499041392,0.0926327691886745,0.1653644740990702,0.2249130018742464,0.2713761134782901,0.3176075017531633,0.3636083227669147,0.4093797241655286,0.45492285173869357,0.5002388419778995,0.5453288322641465,0.5901939426618407,0.6348353004398454,0.6792540218474916,0.7234512115530881,0.767427980374283,0.8111854230787034,0.8547246361876379,0.8980467065950306,0.9411527185178087,0.9840437494003863
19,19,12480475.0,1.3049786635713425,0.7662960536559995,0.03776130145635365,0.07256324395957514,0.10719161892427814,0.14164729226412298,0.1947800150341011,0.24764775624631444,0.3062032928160829,0.365126420628829,0.4185194358155867,0.4703403770827422,0.5219028699291443,0.5732082054991797,0.624257669833218,0.6751863942871359,0.7260614100249642,0.7766826942818567,0.8269526459139981,0.8767417542477963,0.9262825520368576,0.9755762770055818,0.05115284067630775,0.09655955300568543,0.14173980567256964,0.18669473138090426,0.23142545959610564,0.2759330980923727,0.32021876847413483,0.3642835733624224,0.40812861399335537,0.45175498990433954,0.4951637874871797,0.538356090561662,0.5813329875276922,0.6240955448537661,0.6666448327359168,0.7089819135139814,0.7511078526682066,0.7930236955853693,0.8347304938045736,0.8762292893899802
20,20,12481508.0,1.2982107248025225,0.7702909711765901,0.038269358342140944,0.07315841081415335,0.10787345985220512,0.14241537787670142,0.1862212501501843,0.23922131306929306,0.29460545785566844,0.35367607213389196,0.4104860350400858,0.462436682676984,0.5141282378081785,0.5655619920117222,0.6167392321698469,0.667661236478626,0.7186300847184371,0.7693780749631889,0.8198729723238841,0.8698527061665116,0.9195175053504508,0.9689346119191602,0.05048818097694976,0.09578152435174798,0.14084897303881375,0.18569165814163524,0.2303107037340793,0.27470721914588536,0.31888231652960247,0.3628371033256187,0.4065726745009336,0.4500901230540444,0.4933905396884538,0.536475005005614,0.5793446002411896,0.6220003881374777,0.6644434425495236,0.7066748179592657,0.7486955793664115,0.790506767633072,0.8321094334350073,0.8735046177994986
21,21,12484358.0,1.2286176869774361,0.8139228423938237,0.03619918590436255,0.07207888562609362,0.10777964165536968,0.14330235018808152,0.1786478982185142,0.2138171662537531,0.2488110360974936,0.2836303822870833,0.31827607455771434,0.3527489800944188,0.4040181974723148,0.45691237558976877,0.5148342711386886,0.5737868662925547,0.6278625890807273,0.6797094430084843,0.7312977237483538,0.7826287174975667,0.83370371258339,0.8846243998873095,0.05297123968283189,0.09701401943185749,0.1408371438834701,0.18444171274061053,0.22782881252974485,0.27099952717922327,0.3139549414268117,0.35669612173335946,0.3992241420475017,0.44154006470185303,0.4836449436734361,0.5255398356329873,0.5672257842985041,0.6087038392489258,0.649975024601999,0.6910403851523866,0.7319009393529776,0.772557710066694,0.8130117164604217,0.853263965654792
22,22,12485969.0,1.2250600346539189,0.8162865261395139,0.03961352438128034,0.07552911961873383,0.11126559616978456,0.1468238412738797,0.18220475002791725,0.2174092025867203,0.252438083211127,0.287292263622477,0.3219726187546798,0.35648001318488626,0.4040194249723807,0.45696651903958924,0.5136201707908341,0.5726317442063688,0.6280739051525419,0.6799726304829753,0.7316125205597467,0.7829948696257717,0.8341209634569231,0.8850255652040716,0.048777843733122876,0.09277660540510144,0.13655593084924436,0.18011691641356908,0.22346065627601655,0.26658822344903005,0.30950070648633066,0.3521991681283835,0.3946846860602417,0.43695831493598464,0.47902111231913125,0.5208741307958393,0.5625184175824769,0.6039550141246209,0.645184955687366,0.6862092709368275,0.7270289894002087,0.7676451253729561,0.8080586971933381,0.8482707190803304
23,23,12490285.0,1.1602001931100305,0.8619202150961567,0.03837372793315332,0.07529065843929539,0.11202347364540004,0.14857308914390188,0.1849404251503528,0.22112638499245055,0.25713187876879273,0.2929577994550245,0.32860504870688734,0.3640745162641618,0.399367088322777,0.43448364447443666,0.469425065463287,0.5041922246689149,0.5387859905667024,0.5769845470750776,0.6300641687280661,0.6835416676289177,0.7427009476721631,0.8015651839334244,0.050173874106562814,0.09297921314252439,0.1355710687006984,0.17795050699931333,0.220118589890202,0.2620763668059463,0.30382488960388954,0.345365204610602,0.38669834442751694,0.42782534297923924,0.46874723135143126,0.5094650295507269,0.5499797578863925,0.5902924287330289,0.6304040500868267,0.6703156227795003,0.7100281457187724,0.7495426119202122,0.7888600085161733,0.8279813184144826
24,24,12490804.0,1.0246988659218843,0.9758964640800459,0.04156558284800423,0.08084368386921217,0.11992589075380593,0.158813187439937,0.19750654340293752,0.2360069245866554,0.2743152929626822,0.3124326095465084,0.35035982027764007,0.38809787969122106,0.42564772996145217,0.46301031078791965,0.5001865493658177,0.5371773825309071,0.5739837337999656,0.6106065197402168,0.6470466587877259,0.6833050616048973,0.7193826309846202,0.7552802760693946,0.04640186471346434,0.08663399538284722,0.12666547644272277,0.1664973099209629,0.2061304913724714,0.245566011504419,0.28480485580276044,0.3238480049752581,0.36269643582544886,0.4013511184077844,0.4398130202153034,0.4780831016634137,0.5161623198952,0.5540516267568122,0.5917519692764585,0.6292642897318793,0.6665895265854745,0.7037286119828863,0.7406824744065705,0.7774520383480495
25,25,12491304.0,1.0706828100982675,0.933983426808001,0.04117739884592673,0.0796008567978875,0.11783269155406241,0.15587385041358,0.19372528968268318,0.23138795351115754,0.2688627805979462,0.3061507135252464,0.343252678846249,0.3801696093523911,0.41690242455849574,0.4534520400569976,0.4898193760634485,0.5260053359055462,0.5620108296818884,0.5978367503681201,0.633483999619983,0.6689534671772576,0.7042460392358727,0.7393625953875324,0.046881192194481607,0.08800819074620389,0.1289300791183959,0.16964787731769154,0.2101626056533572,0.25047527649999357,0.2905868978537914,0.3304984705464649,0.3702109934857371,0.40972545968717694,0.44904285628313795,0.4881641661814473,0.527090367296114,0.5658224334202796,0.6043613317868443,0.6427080260160408,0.6808634753581597,0.7188286326440146,0.7566044477166319,0.7941918641171748
26,26,12492550.0,1.176203508018465,0.8501930092732738,0.03941686125075218,0.07607628620232011,0.11255288264251694,0.14884756036783733,0.1849612243771514,0.2208947803040884,0.2566491280620229,0.292225156038173,0.32762375774378655,0.3628458172870362,0.39789221473655645,0.4327638283993696,0.46746152398151314,0.5019861752320793,0.547659284274546,0.6006328575851265,0.6566519142993125,0.7156930028949982,0.7718188938865794,0.8237435707900516,0.04898426135774222,0.09209027328052027,0.1349813041630979,0.17765842423321576,0.2201227036303841,0.2623752045127498,0.3044169767570967,0.3462490766237208,0.38787254731270515,0.4292884300301892,0.47049776367434254,0.5115015727358603,0.5523008864025217,0.5928967225556058,0.6332900951967747,0.6734820140932017,0.7134734856224115,0.7532655091952616,0.7928590792661447,0.8322551853644304
27,27,12493977.0,1.3761421433983545,0.7266691197542433,0.0573182896737367,0.11644799963442234,0.1746271388361562,0.22662976017401545,0.2783730294738783,0.32985823920956714,0.38108668074214946,0.43205962982705826,0.4830124424736173,0.5338112041501266,0.5843566185631206,0.6344523515701094,0.6841668358364501,0.7336333826244368,0.7828532255542816,0.8318275957648074,0.880557718224168,0.9290448112897134,0.9772900834150579,1.0218956117391544,0.08277866135800135,0.13454182899040631,0.1809353058398415,0.22709740090398295,0.27302927539460786,0.31873207506032175,0.3642069436652494,0.4094550155337366,0.45447742217549125,0.49927529192792525,0.5438497387556163,0.5882018833823808,0.6323328312916683,0.6762436867254386,0.7199355450042332,0.7634095031329873,0.8066666409583667,0.8497080466423468,0.8925347940437137,0.9351479496397158
28,28,12494524.0,1.389416057137897,0.7197268196683521,0.059476200109668656,0.11834043637092986,0.1703690644607669,0.22213821165443082,0.2736491690616326,0.3249032303180101,0.37590167339124886,0.42684645715243635,0.4776706245621684,0.528241318285093,0.5783950921941152,0.628134442693084,0.6776257245119619,0.7268701831919027,0.775869046041035,0.8246235404659441,0.8731348783833117,0.921404279628939,0.9677329564213968,0.9985688451977414,0.08898376199637374,0.16157014827590163,0.210740789009541,0.25711107346909823,0.3032500977408475,0.3491590131770741,0.39483896952789194,0.44029110398424987,0.4855165583699448,0.5305164610828879,0.5752919372556109,0.6198441083878127,0.6641740810761438,0.7082829719044866,0.7521718780704955,0.7958418987351766,0.8392941236799157,0.8825296402399708,0.925549532967323,0.9683548720032845
29,29,12495640.0,1.674097537865908,0.597336760482171,0.0374137785562472,0.06814193561545094,0.09871684227469561,0.1291392655772814,0.15940996128858326,0.18952969106239895,0.21949920481895147,0.24931925252925538,0.27899057882428524,0.30851392761615976,0.33789003377437593,0.36711963405868997,0.3962034588432514,0.4251422335488369,0.4539366843821101,0.4825875275735618,0.5110954824754702,0.5394612595254532,0.5676855701093448,0.5957691163914425,0.09092746609290728,0.17062771961305262,0.24993048524866904,0.32883774819804207,0.4073514750742163,0.4854736376835943,0.563206182813226,0.6405510511011453,0.7179670741199461,0.7950476354258796,0.8717437735275351,0.9476574341730851,1.023092751174046,1.098151848010771,1.172836603019849,1.2471488879921266,1.3248039267276057,1.4076278240893656,1.4872820294238196,1.560122902506576
30,30,12498326.0,1.5160059263082555,0.6596280282592154,0.05489916585308168,0.10516911748522306,0.15495822581902136,0.20449902360808261,0.25379274857680684,0.3028406329494357,0.35164390295727294,0.40020377543861996,0.4485214663523124,0.49659818709998654,0.5291657656226224,0.559878563677517,0.590438187970447,0.6208454039085127,0.6511009691028441,0.6812056435073851,0.711160177065409,0.7409653180782361,0.770621814396353,0.8001304049660976,0.08563908942599645,0.1616408237780505,0.23711386226721956,0.31221049686131874,0.38693260451410383,0.46128205565593,0.5380464207939688,0.6209117450533208,0.7015255793882373,0.7744028809676696,0.8443500720714446,0.8909061998189675,0.937230140688094,0.9833230484057057,1.0291860788935359,1.0748203794481435,1.1202270917775212,1.1654073444444053,1.21036227015274,1.2550929983679413
31,31,12499048.0,1.4931380159830965,0.6697304531099159,0.051460389645920875,0.10223376117864545,0.1527539079496652,0.20279162763111766,0.25248126254227155,0.3019230842527439,0.35111832398629245,0.40006821355928474,0.4487739784978072,0.49723683467469737,0.5454579939025435,0.5883412327631373,0.6191463043161014,0.6497977405820206,0.6802963098324115,0.7106427743700179,0.7408378921112857,0.7708824197096331,0.8007771071429701,0.8305227025364476,0.09004843175768906,0.16529540349393448,0.24016709372195336,0.31466538275522205,0.3887921284989556,0.47089383122698997,0.5535109385343226,0.6283741873407255,0.7010331959483118,0.7553901841306546,0.8018068601013025,0.8479920435100851,0.8939468880631941,0.939672542451257,0.985170153469879,1.0304408550134008,1.0754857781827745,1.1203060473368116,1.1649027904661264,1.2092771136047382
32,32,12500059.0,1.5718879086072945,0.6361776781437349,0.05273300774188839,0.10187907858239201,0.15078004875264459,0.19943713280790892,0.2478515536703965,0.29602451523772283,0.3354657644174022,0.36624004469323346,0.3968608479275526,0.4273289354314017,0.45764506974969305,0.4878100106265437,0.5178245096417609,0.5476893184940462,0.5774051835812796,0.6069728474424062,0.6363930500743453,0.6656665254784963,0.6947940061484671,0.7237762196391634,0.08793291047485433,0.16526356986022045,0.24261436866397984,0.31957940431795806,0.3961105078903777,0.4718102942545086,0.5471325472910368,0.6220791454974914,0.6966519663678442,0.7708528702590898,0.8511772424587858,0.9338770060602721,1.0106551934813284,1.083386898391724,1.1429354261669002,1.189398537770944,1.2356299260458172,1.2816307470595685,1.3274021484581824,1.3729452760313474
