,index,blocknum,p0vs1,p1vs0,MKR-slippagemap_01,MKR-slippagemap_2,MKR-slippagemap_3,MKR-slippagemap_4,MKR-slippagemap_5,MKR-slippagemap_6,MKR-slippagemap_7,MKR-slippagemap_8,MKR-slippagemap_9,MKR-slippagemap_10,MKR-slippagemap_11,USDC-slippagemap_01,USDC-slippagemap_2,USDC-slippagemap_3,USDC-slippagemap_4,USDC-slippagemap_5,USDC-slippagemap_6,USDC-slippagemap_7,USDC-slippagemap_8,USDC-slippagemap_9,USDC-slippagemap_10
197,197,16719954.0,801.486658396397,0.0012476814049541206,0.07184258995569276,0.3281433039677457,0.5818939102005823,0.6775033258646138,0.772161459929477,0.8658777761919016,0.958661646036896,1.0505223470461527,1.1414690641068463,1.2315108911447874,1.3206568319911989,555.8366087244808,756.3068232778609,954.7824262784009,13839.394140379753,26595.80812678425,39225.300053000334,51729.132713251885,63991.610508715035,64062.746120180935,64133.17395568303
198,198,16721243.0,777.9558823022229,0.0012854199354347406,0.20043490653814447,0.4593113552743241,0.715612069286377,0.9693626755192137,1.0649720911832452,1.1596302252481083,1.253346541510533,1.3461304113555272,1.437991112364784,1.5289378294254776,1.6189796564634187,450.33609669819936,648.8116996987393,13533.42341380009,26289.83740020459,38919.32932642067,51423.161986672225,63685.639782135375,63756.775393601274,63827.20322910337,63896.930330673786
199,199,16721758.0,787.1109611590539,0.0012704689038092647,0.047745293245265705,0.3066217419814453,0.5629224559934982,0.816673062226335,0.9122824778903664,1.0069406119552295,1.1006569282176544,1.1934407980626487,1.2853014990719052,1.3762482161325988,1.46629004317054,569.8238147046256,768.2994177051656,13652.911131806517,26409.325118211014,39038.817044427095,51542.649704678646,63805.127500141796,63876.2631116077,63946.69094710979,64016.41804868021
200,200,16722351.0,781.9333924598537,0.0012788813083607275,0.13341890575570214,0.39229535449188174,0.6485960685039347,0.9023466747367713,0.9979560904008029,1.092614224465666,1.1863305407280906,1.279114410573085,1.3709751115823416,1.4619218286430353,1.5519636556809764,502.6078661121697,701.0834691127096,13585.69518321406,26342.10916961856,38971.60109583464,51475.43375608619,63737.91155154934,63809.047163015246,63879.47499851734,63949.20210008775
201,201,16724158.0,785.774076042525,0.0012726304296476706,0.06966487801081217,0.32854132674699177,0.5848420407590448,0.8385926469918814,0.9342020626559129,1.028860196720776,1.1225765129832008,1.2153603828281951,1.3072210838374518,1.3981678008981453,1.4882096279360864,552.5845951148563,751.0601981153962,13635.671912216747,26392.085898621248,39021.577824837324,51525.410485088876,63787.888280552026,63859.02389201793,63929.45172752003,63999.17882909044
202,202,16724936.0,767.0642156241692,0.0013036718173409878,0.1243175543576681,0.3857956246074136,0.6446720733435932,0.9009727873556462,1.1547233935884829,1.2503328092525143,1.3449909433173775,1.4387072595798023,1.5314911294247966,1.6233518304340533,1.714298547494747,505.61421610220316,13390.225930203555,26146.639916608052,38776.131842824136,51279.96450307569,63542.44229853884,63613.57791000474,63684.00574550683,63753.73284707725,63822.766186843975
203,203,16725587.0,770.8318651045608,0.0012972997683020709,0.05929808714482728,0.3207761573945728,0.5796526061307524,0.8359533201428054,1.089703926375642,1.1853133420396735,1.2799714761045367,1.3736877923669615,1.4664716622119558,1.5583323632212123,1.649279080281906,555.6144811049012,13440.226195206253,26196.64018161075,38826.13210782683,51329.96476807838,63592.44256354153,63663.57817500744,63734.006010509525,63803.73311207994,63872.76645184668
204,204,16727549.0,786.0098318393458,0.0012722487168638776,0.06640656061258271,0.32528300934876236,0.5815837233608153,0.835334329593652,0.9309437452576834,1.0256018793225465,1.1193181955849714,1.2121020654299657,1.3039627664392224,1.394909483499916,1.484951310537857,555.1453491149955,753.6209521155355,13638.232666216887,26394.646652621384,39024.13857883747,51527.97123908902,63790.44903455217,63861.58464601807,63932.01248152016,64001.73958309058
205,205,16730736.0,810.8375665138894,0.0012332926362790448,0.17896640735836966,0.43271701359120635,0.5283264292552379,0.622984563320101,0.7167008795825257,0.80948474942752,0.9013454504367767,0.9922921674974703,1.0823339945354113,1.1714799353818228,1.2597389039312976,473.6130716365148,676.0979455789084,876.5681601322884,1075.0437631328284,13959.655477234179,26716.06946363868,39345.56138985476,51849.39405010631,64111.87184556946,64183.00745703536
206,206,16731737.0,869.6268802578908,0.0011499184566413662,0.0184159508937428,0.11213226715616746,0.2049161370011618,0.29677683801041843,0.3877235550711121,0.4777653821090531,0.5669113229554646,0.6551702915049394,0.7425511108803944,0.7486375064358174,0.7546633445312602,226.99246643913114,435.64360970753063,642.2187420184438,846.7385202065818,1049.2233941489756,1249.6936087023555,1448.1692117028956,14332.780925804247,27089.194912208746,39718.68683842483
