,index,blocknum,p0vs1,p1vs0,DAI-slippagemap_01,DAI-slippagemap_2,DAI-slippagemap_3,DAI-slippagemap_4,DAI-slippagemap_5,DAI-slippagemap_6,DAI-slippagemap_7,DAI-slippagemap_8,DAI-slippagemap_9,DAI-slippagemap_10,DAI-slippagemap_11,WETH-slippagemap_01,WETH-slippagemap_2,WETH-slippagemap_3,WETH-slippagemap_4,WETH-slippagemap_5,WETH-slippagemap_6,WETH-slippagemap_7,WETH-slippagemap_8,WETH-slippagemap_9,WETH-slippagemap_10
272,272,12633564.0,0.00039205524336736894,2550.6609512755995,5713.336569400141,31111.83515498431,39101.16852217852,47011.73527347178,54843.594513702774,62601.01872854373,70281.25913942364,76650.87535899847,77521.38510759397,78383.23356991864,79203.95092041984,25.549966355002333,33.36107904381019,40.59859505774545,45.58091703990724,50.513666573820345,55.397336920596665,55.71624562242347,56.02072936238625,56.32218358530664,56.63018259546296
273,273,12634223.0,0.0003868370042937585,2585.0681007771796,22947.107648999263,48345.60623458343,56334.939601777645,64245.5063530709,72077.36559330189,79834.78980814284,87515.03021902277,93884.6464385976,94755.1561871931,95617.00464951775,96437.72200001896,18.838393706785066,26.649506395592923,33.88702240952818,38.86934439168997,43.802093925603074,48.685764272379394,49.0046729742062,49.30915671416898,49.61061093708937,49.9186099472457
274,274,12635088.0,0.0003929579630215567,2544.8014650491828,11392.280519753129,115200.58834077693,200819.5793118774,208730.14606317066,216562.00530340165,224319.4295182426,231999.66992912252,238369.28614869734,239239.79589729285,240101.6443596175,240922.3617101187,84.76532479083598,92.57643747964384,99.81395349357909,104.79627547574088,109.729025009654,114.61269535643031,114.93160405825712,115.2360877982199,115.53754202114028,115.8455410312966
275,275,12635656.0,0.000391741740265529,2552.702194364541,8171.842070653449,38995.438283044554,52355.8913525226,65584.1369386214,78680.76587593435,91650.57702914622,104491.34285316932,115970.13898725933,127193.61168561493,138305.4145145056,139126.1318650068,30.931220630161945,40.815722703451776,45.90459560576785,50.88691758792964,55.81966712184275,60.70333746861907,61.022246170445875,61.32672991040865,61.628184133329036,61.936183143485366
276,276,12637003.0,0.00038494623368060286,2597.765382553967,3767.7430051353326,35757.46704336298,67428.90364446052,81628.76137159325,95688.05981617694,109607.47291213201,123391.8817872503,137039.1403554019,148517.93648949193,159741.40918784752,170853.2120167382,29.481684846741505,34.89136537751421,40.19130305598906,45.43850811557093,50.63350526204191,51.260643158905765,51.56512689886854,51.86658112178893,52.174580131945255,52.47951464846642
277,277,12637027.0,0.00038352463527349906,2607.3944357886685,8696.325040607444,40686.049078835094,72357.48567993262,86557.34340706536,100616.64185164905,114536.05494760413,128320.4638227224,141967.72239087403,153446.51852496405,164669.99122331964,175781.79405221032,27.587840099775665,32.99752063054837,38.29745830902322,43.54466336860509,48.73966051507607,49.366798411939925,49.6712821519027,49.97273637482309,50.280735384979415,50.58566990150058
278,278,12637885.0,0.00038352463527349906,2607.3944357886685,8696.325040607444,40994.14201940901,72970.60613568523,87170.46386281797,101229.76230740166,115149.17540335674,128933.58427847501,142580.84284662665,154059.63898071664,165283.11167907226,176394.91450796294,27.587840099775665,32.99752063054837,38.29745830902322,43.54466336860509,48.73966051507607,49.366798411939925,49.6712821519027,49.97273637482309,50.280735384979415,50.58566990150058
279,279,12638164.0,0.00038563972618319936,2593.093844084276,1331.5700865707654,28790.029726900037,55975.28654947392,70584.99258577064,85050.06148417525,99371.20775274411,113553.35268511156,127594.38996835591,139463.04685127418,151072.5013104913,162566.44550841377,30.899761743956525,36.46608003327732,41.92109697526443,47.321838311214734,52.66884410010712,53.446478200761256,53.75096194072403,54.05241616364442,54.36041517380075,54.66534969032191
280,280,12639537.0,0.0003859869407994642,2590.761226089098,48.62876073243257,27507.088401061705,54692.34522363559,69302.05125993231,83767.12015833693,98088.26642690577,112270.41135927323,126311.44864251757,138180.10552543585,149789.55998465294,161283.50418257545,31.394761743983167,36.961080033303965,42.416096975291076,47.816838311241376,53.163844100133765,53.9414782007879,54.245961940750675,54.547416163671066,54.855415173827396,55.16034969034855
281,281,12640151.0,0.00039162424124403693,2553.4680816064692,7515.85541792339,34549.778607856824,49009.656731034185,63326.38845458136,77500.67345390082,91537.41833923252,105434.5022577954,117160.63806377367,128770.09252299076,140264.03672091325,141463.0932592307,28.6478587829597,38.95676700649869,44.4658233577946,49.92084029978171,55.32158163573201,60.66858742462439,61.44622152527853,61.75070526524131,62.0521594881617,62.36015849831802
282,282,12640948.0,0.0003870691645296227,2583.5176026362833,23524.37789398609,50558.30108391953,65018.17920709689,79334.91093064407,93509.19592996352,107545.94081529522,121443.0247338581,133169.16053983636,144778.61499905348,156272.55919697596,157471.6157352934,22.414686467333134,32.723594690872126,38.23265104216803,43.68766798415514,49.08840932010544,54.43541510899783,55.21304920965196,55.51753294961474,55.81898717253513,56.12698618269146
283,283,12642522.0,0.00039378400047849354,2539.4632559598235,127.44700860538772,27161.370198538825,41621.248321716186,55937.98004526336,70112.26504458282,84149.00992991451,98046.0938484774,109772.22965445566,121381.68411367276,132875.62831159527,134074.68484991268,31.549424061706336,41.858332285245325,47.367388636541236,52.82240557852835,58.22314691447865,63.57015270337103,64.34778680402516,64.65227054398794,64.95372476690834,65.26172377706466
284,284,12644667.0,0.00039544128828579846,2528.8204080431456,20713.19722160957,34333.670687132246,47819.34955219454,61170.85039287185,74392.99755629715,87483.5887307315,99209.72453670978,110819.17899592686,122313.12319384937,123512.1797321668,124699.30604798032,22.682617122624276,32.76769036205665,42.75256694918919,47.940815672028464,53.07821691770251,58.16450272798405,63.20018171718178,63.66958662279887,63.974070362761644,64.27552458568204
285,285,12645204.0,0.00040045511863256067,2497.1587413209077,4269.0992424744545,17889.572707997133,31375.251573059417,44726.752413736736,57948.89957716204,71039.49075159639,82765.62655757465,94375.08101679175,105869.02521471426,107068.08175303167,108255.2080688452,29.226678481609383,39.31175172104176,49.2966283081743,54.484877031013575,59.622278276687624,64.70856408696916,69.74424307616688,70.21364798178398,70.51813172174676,70.81958594466714
286,286,12646157.0,0.0004084627434987736,2448.203700132574,2329.1100346059056,15814.78889966819,29166.289740345506,42388.43690377081,55479.028078205156,67205.16388418344,78814.61834340052,90308.56254132303,91507.61907964046,92694.74539545398,93812.39270101865,20.359468589950072,30.569552402083538,40.65462564151591,50.63950222864845,55.82775095148773,60.96515219716178,66.05143800744331,71.08711699664104,71.55652190225813,71.8610056422209
287,287,12646705.0,0.0004133522404855871,2419.2441749565605,7744.117944369661,21095.618785046976,34317.76594847228,47408.35712290663,59134.4929288849,70743.947388102,82237.8915860245,83436.94812434191,84624.07444015544,85741.72174572012,86848.24883887285,13.363573931597694,23.676265605229275,33.88634941736274,43.97142265679511,53.95629924392765,59.14454796676693,64.28194921244098,69.36823502272252,74.40391401192024,74.87331891753733
288,288,12647404.0,0.0004131456263537159,2420.45403899265,8572.564397357262,22645.27154853865,36581.44925252601,50378.966599920655,62804.99490032111,75107.37815070977,87287.35672577191,89165.6218243104,91025.1987961169,92142.84610168159,93249.37319483432,13.915952211826987,24.521321289710233,35.021170463002306,45.3931259916363,55.662030483930465,60.85027920676974,65.9876804524438,71.07396626272534,76.10964525192306,76.57905015754014
289,289,12648222.0,0.00041372440634355735,2417.0679434599238,7571.719942873522,21644.42709405491,35580.604798042266,49378.122145436915,61804.15044583737,74106.53369622603,86286.51227128817,88164.77736982665,90024.35434163317,91142.00164719785,92248.52874035058,14.329743572216953,24.935112650100198,35.43496182339227,45.80691735202627,56.07582184432043,61.264070567159706,66.40147181283376,71.4877576231153,76.52343661231302,76.9928415179301
290,290,12648735.0,0.0004219129811906815,2370.156986347986,7771.966235666888,21708.14393965424,35505.66128704889,47931.68958744934,60234.07283783801,72414.05141290014,74292.31651143862,76151.89348324515,77269.54078880981,78376.06788196256,79107.06006396594,14.357751682299302,20.12578700795835,30.731156085841597,41.23100525913367,51.60296078776767,61.87186528006183,67.0601140029011,72.19751524857516,77.2838010588567,82.31948004805442
291,291,12649296.0,0.0004167138215822019,2399.7284184218925,2453.507088621672,16526.214239803063,30462.39194379042,44259.90929118507,56685.93759158552,68988.32084197419,81168.29941703631,83046.5645155748,84906.14148738132,86023.788792946,87130.31588609873,16.45496783935148,27.060336917234725,37.5601860905268,47.932141619160795,58.20104611145496,63.38929483429423,68.52669607996829,73.61298189024983,78.64866087944755,79.11806578506463
292,292,12651925.0,0.00041347625855871325,2418.5185468345358,8007.560204636173,22080.267355817563,36016.445059804915,49813.962407199564,62239.99070760002,74542.37395798869,86722.35253305081,88600.6176315893,90460.19460339582,91577.84190896049,92684.36900211324,14.149477226732872,24.754846304616116,35.254695477908186,45.62665100654219,55.89555549883635,61.08380422167562,66.22120546734968,71.30749127763121,76.34317026682893,76.81257517244603
293,293,12652592.0,0.00041796577744507296,2392.5403800109334,2105.559651971424,89685.40841849681,103621.58612248415,117419.1034698788,129845.13177027926,142147.51502066792,154327.49359573005,156205.75869426853,158065.33566607506,159182.98297163972,160289.51006479247,77.77073181103934,88.37610088892258,98.87595006221466,109.24790559084866,119.51681008314281,124.70505880598209,129.84246005165613,134.92874586193767,139.9644248511354,140.4338297567525
294,294,12653108.0,0.00041972483719861486,2382.5132834033298,71251.67144804295,85187.8491520303,98985.36649942494,111411.3947998254,123713.77805021407,135893.7566252762,137772.0217238147,139631.59869562121,140749.24600118588,141855.77309433863,142586.765276342,79.72369971669592,85.49173504235496,96.09710412023821,106.59695329353028,116.96890882216428,127.23781331445845,132.42606203729773,137.56346328297178,142.64974909325332,147.68542808245104
295,295,12654174.0,0.0004288032877769186,2332.0716713353227,10317.282046194556,24114.7993935892,36540.82769398966,48843.21094437832,61023.18951944046,62901.45461797894,64761.03158978546,65878.67889535012,66985.20598850287,67716.19817050625,68439.91722280685,13.378232525016212,19.204531685911117,24.972567011570167,35.57793608945342,46.077785262745486,56.44974079137948,66.71864528367365,71.90689400651291,77.04429525218697,82.13058106246851
296,296,12654709.0,0.0004288032877769186,2332.0716713353227,14222.068769730968,33241.539177499864,35210.56070334134,37159.9810039699,39090.00521246601,40968.27031100449,42827.84728281101,43945.49458837568,45052.02168152842,45783.01386353181,46506.73291583239,11.708232795085133,13.073342146517026,14.424575045486762,20.657087401214817,26.827588326288257,32.91327122649652,38.93855008755587,44.126798810395144,49.26420005606919,54.35048586635073
297,297,12655341.0,0.0004245792897124531,2355.272676340976,7448.610663420591,38900.69537517951,70039.84225173353,72008.863777575,73958.28407820356,75888.30828669967,77766.57338523815,79626.15035704467,80743.79766260934,81850.32475576208,82581.31693776547,24.894676815499068,26.245909714468805,32.478422070196864,38.648922995270304,44.734605895478566,50.759884756537915,55.948133479377184,61.08553472505124,66.17182053533277,71.2074995245305
298,298,12655915.0,0.0004274333787736768,2339.545879334551,2945.9111109180412,6181.332366880995,8150.353892722473,10099.77419335103,12029.798401847138,13908.063500385622,15767.640472192139,16885.287777756814,17991.814870909555,18722.80705291294,19446.526105213525,2.91051973184835,4.275629083280243,5.626861982249979,11.859374337978034,18.029875263051476,24.115558163259738,30.140837024319087,35.32908574715836,40.46648699283241,45.552772803113946
299,299,12656764.0,0.0004274333787736768,2339.545879334551,95440.79125139442,200261.04993342076,202230.07145926222,204179.49175989078,206109.5159683869,207987.78106692538,209847.3580387319,210965.00534429657,212071.53243744932,212802.52461945268,213526.24367175327,51.00213401056493,52.36724336199682,53.718476260966554,59.950988616694616,66.12148954176806,72.20717244197631,78.23245130303566,83.42070002587494,88.55810127154899,93.64438708183053
300,300,12657708.0,0.00042781822272649925,2337.441340452887,90810.7948149155,195631.05349694184,197600.0750227833,199549.4953234119,201479.51953190798,203357.78463044646,205217.361602253,206335.00890781765,207441.5360009704,208172.5281829738,208896.24723527438,52.982134010671494,54.34724336210339,55.698476261073125,61.93098861680118,68.10148954187463,74.18717244208288,80.21245130314223,85.40070002598151,90.53810127165556,95.6243870819371
301,301,12658400.0,0.0004328095583274045,2310.4850176241644,29163.89180983871,133984.15049186506,135953.17201770653,137902.59231833508,139832.61652683117,141710.8816253697,143570.45859717618,144688.10590274088,145794.6329958936,146525.625177897,147249.34423019757,79.51058717436216,80.87569652579405,82.2269294247638,88.45944178049184,94.62994270556528,100.71562560577355,106.7409044668329,111.92915318967216,117.06655443534622,122.15284024562776
302,302,12659279.0,0.00044460954375618927,2249.16449510218,1835.7306665483418,3785.150967176899,5715.1751756730055,7593.440274211491,9453.017246018007,10570.664551582682,11677.191644735422,12408.183826738808,13131.902879039395,13848.421163493364,14557.810325889239,46.555499815824916,91.72354257114596,93.10237081228163,94.46748016371353,95.81871306268327,102.05122541841132,108.22172634348476,114.30740924369303,120.33268810475238,125.52093682759165
303,303,12659800.0,0.00044706151037808334,2236.8286617971035,1296.0956081140969,3245.5159087426537,5175.540117238761,7053.805215777246,8913.382187583764,10031.029493148437,11137.556586301178,11868.548768304563,12592.26782060515,13308.78610505912,14018.175267454995,2.5823132268361513,3.9764869052671474,5.355315146402829,6.7204244978347205,8.071657396804458,14.304169752532513,20.474670677605953,26.56035357781422,32.58563243887357,37.773881161712836
304,304,12660506.0,0.0004633554186055148,2158.170509820597,10004.50118070081,13231.28928675651,16425.971900829158,19531.20097684593,22605.534074550873,25284.753222821604,27937.315029403406,30563.48471364536,33163.524870378475,35737.695490077815,35938.66931547451,11.348785480278963,16.58455061165176,18.60361825769727,20.602596856290166,22.580212405332187,24.538151326942018,26.476315335325875,33.289919032548994,40.03572963301394,46.6909980627563
