,index,blocknum,p0vs1,p1vs0,LINK-slippagemap_01,LINK-slippagemap_2,LINK-slippagemap_3,LINK-slippagemap_4,LINK-slippagemap_5,LINK-slippagemap_6,LINK-slippagemap_7,LINK-slippagemap_8,LINK-slippagemap_9,LINK-slippagemap_10,LINK-slippagemap_11,USDC-slippagemap_01,USDC-slippagemap_2,USDC-slippagemap_3,USDC-slippagemap_4,USDC-slippagemap_5,USDC-slippagemap_6,USDC-slippagemap_7,USDC-slippagemap_8,USDC-slippagemap_9,USDC-slippagemap_10
18,18,12831723.0,15.715773869068494,0.06363033779508512,5.390960795734878,11.480356434231906,17.50916464079493,23.477988201835977,29.387424024743076,35.23806278842106,41.030489605720106,46.76528378943474,52.443018648580846,58.06426175146455,63.62957542157569,203.82402159884472,298.3443007355077,391.9241299123528,484.5728745582801,576.2997926791161,667.1140596381883,757.0247511641513,846.0408627573338,934.1712929380735,1021.4248567536133
19,19,12837289.0,15.46633479259936,0.06465655977384506,4.190368677785635,10.340960795469288,16.430356433966317,22.45916464052934,28.427988201570386,34.337424024477485,40.18806278815547,45.98048960545452,51.715283789169156,57.393018648315255,63.01426175119896,221.16537691466286,314.7452060915079,407.3939507374352,499.12086885827125,589.9351358173435,679.8458273433065,768.8619389364889,856.9923691172287,944.2459329327685,1030.6313486401534
20,20,12842367.0,15.364598169854842,0.06508468291490942,0.04093335718415622,6.253336913628073,12.403929031311726,18.493324669808754,24.522132876371778,30.490956437412827,36.400392260319926,42.25103102399791,48.043457841296956,53.77825202501159,59.455986884157696,282.94127114056533,375.59001578649264,467.3169339073287,558.131200866401,648.0418923923639,737.0580039855464,825.1884341662861,912.4419979818259,998.827413689211,1084.3533275740233
21,21,12848575.0,15.868950924618892,0.06301613791297397,2.4039290318493176,8.493324670346345,14.52213287690937,20.490956437950416,26.40039226085752,32.2510310245355,38.04345784183455,43.778252025549186,49.455986884695285,55.07722998757899,60.642543657690126,250.9985517957607,345.5188309324237,439.09866010926874,531.747404755196,623.4743228760321,714.2885898351043,804.1992813610674,893.2153929542498,981.3458231349896,1068.5993869505294
22,22,12852924.0,15.772449776675769,0.06340169182080996,4.28492903174831,10.374324670245338,16.40313287680836,22.37195643784941,28.28139226075651,34.1320310244345,39.92445784173354,45.659252025448176,51.336986884594275,56.958229987477985,62.52354365758912,221.23839378429702,315.75867292096,409.3385020978051,501.9872467437324,593.7141648645684,684.5284318236406,774.4391233496036,863.4552349427861,951.5856651235258,1038.8392289390656
23,23,12853919.0,15.629578676528656,0.06398125123498856,0.9366632913654439,7.087255409049097,13.176651047546125,19.205459254109147,25.174282815150196,31.083718638057295,36.934357401735284,42.72678421903433,48.46157840274896,54.13931326189506,59.76055636477877,271.757183395046,365.337012571891,457.98575721781833,549.7126753386543,640.5269422977266,730.4376338236896,819.453745416872,907.5841755976118,994.8377394131516,1081.2231551205366
24,24,12856757.0,15.383045831674432,0.06500663203778226,5.886663291099127,12.037255408782778,18.126651047279807,24.15545925384283,30.124282814883877,36.033718637790976,41.88435740146896,47.67678421876801,53.41157840248265,59.089313261628746,64.71055636451246,194.99893333377517,288.5787625106202,381.2275071565475,472.95442527738356,563.7686922364558,653.6793837624188,742.6954953556012,830.825925536341,918.0794893518807,1004.4649050592658
25,25,12857450.0,14.625528186361283,0.06837359904256506,3.0100091700174407,9.347905299942838,15.62274118159616,21.835144738040075,27.98573685572373,34.07513249422076,40.10394070078378,46.07276426182483,51.98220008473193,57.832838848409914,63.62526566570896,233.72134859659965,324.5356155556719,414.4463070816349,503.46241867481734,591.5928488555571,678.8464126710969,765.231828378482,850.7577422632943,935.4326983088126,1019.2651672839444
26,26,12860790.0,14.220291346664359,0.07032204725078077,5.66076039033163,12.062349943456297,18.400246073381695,24.675081955035015,30.887485511478932,37.038077629162586,43.12747326765961,49.15628147422264,55.12510503526369,61.034540858170786,66.88517962184876,193.97756565084663,283.88825717680965,372.90436876999206,461.03479895073184,548.2883627662716,634.6737784736566,720.199692358469,804.8746484039874,888.707117379119,971.7054771459923
27,27,12861659.0,13.806940321394727,0.07242734282340865,2.302433836074236,8.83333768858906,15.29926133279433,21.700850885918996,28.038747015844393,34.31358289749772,40.525986453941634,46.676578571625285,52.765974210122316,58.79478241668534,64.76360597772639,237.83691603910816,325.9673462198479,413.2209100353877,499.60632574277275,585.1322396275851,669.8071956731035,753.6396646482351,836.6380244151084,918.8105832124004,1000.1655490659977
