,index,blocknum,p0vs1,p1vs0,YFI-slippagemap_01,YFI-slippagemap_2,YFI-slippagemap_3,YFI-slippagemap_4,YFI-slippagemap_5,YFI-slippagemap_6,YFI-slippagemap_7,YFI-slippagemap_8,YFI-slippagemap_9,YFI-slippagemap_10,YFI-slippagemap_11,WETH-slippagemap_01,WETH-slippagemap_2,WETH-slippagemap_3,WETH-slippagemap_4,WETH-slippagemap_5,WETH-slippagemap_6,WETH-slippagemap_7,WETH-slippagemap_8,WETH-slippagemap_9,WETH-slippagemap_10
1111,1111,16007257.0,5.465278498208843,0.1829732922718822,0.0002956907439777732,0.004479631129690933,0.008621942706717328,0.012723039672705713,0.01678333202268943,0.020803225819972834,0.024783122997867765,0.028723421501038023,0.032624515337526167,0.03648679455785648,0.040310645374966037,0.06640355173947372,0.08862748962665626,0.11063030657139773,0.13241420281539729,0.15398135633712778,0.17533392380501758,0.19647404026456783,0.21740381932635422,0.23812535412478364,0.258640716492969
1112,1112,16008416.0,5.464732025006341,0.18299158960110942,0.00032179727140946735,0.004505737657122627,0.008648049234149023,0.012749146200137406,0.016809438550121125,0.020829332347404528,0.02480922952529946,0.028749528028469716,0.03265062186495786,0.03651290108528817,0.04033675190239773,0.06626086772495046,0.088484805612133,0.11048762255687447,0.132271518800874,0.1538386723226045,0.17519123979049434,0.19633135625004455,0.21726113531183094,0.23798267011026036,0.2584980324784457
1113,1113,16011366.0,5.466918245722125,0.18291841126076874,0.0002493501481485948,0.004433290533861755,0.00857560211088815,0.012676699076876533,0.01673699142686025,0.020756885224143658,0.024736782402038585,0.028677080905208846,0.03257817474169699,0.0364404539620273,0.04026430477913686,0.06665686772497172,0.08888080561215425,0.11088362255689573,0.13266751880089528,0.15423467232262578,0.17558723979051558,0.19672735625006582,0.2176571353118522,0.23837867011028163,0.258894032478467
1114,1114,16011918.0,5.470199216816641,0.18280869861663754,0.00010634033512598263,0.004290280720839142,0.008432592297865537,0.012533689263853922,0.01659398161383764,0.020613875411121044,0.024593772589015975,0.028534071092186232,0.032435164928674376,0.03629744414900469,0.040121294966114246,0.0674389677250137,0.08966290561219624,0.11166572255693771,0.13344961880093725,0.15501677232266775,0.17636933979055758,0.1975094562501078,0.2184392353118942,0.2391607701103236,0.25967613247850896
1115,1115,16014580.0,5.359207236981791,0.18659476220650537,0.0002255740626621354,0.004451561670501916,0.008635502056215076,0.01277781363324147,0.016878910599229854,0.020939202949213573,0.02495909674649698,0.028938993924391906,0.032879292427562164,0.03678038626405031,0.04064266548438062,0.06613450094793054,0.088137317892672,0.10992121413667155,0.13148836765840205,0.15284093512629185,0.1739810515858421,0.19491083064762849,0.2156323654460579,0.23614772781424323,0.2564589691383403
1116,1116,16018970.0,5.6922923803284,0.17567614823437933,0.0001634704181514083,0.004264567384139792,0.00832485973412351,0.012344753531406915,0.016324650709301846,0.020264949212472103,0.024166043048960247,0.02802832226929056,0.03185217308640012,0.03563797783188032,0.0393861151022518,0.06846401901157974,0.09113688738135063,0.11358416827296117,0.1358081061601437,0.15781092310488518,0.17959481934888472,0.2011619728706152,0.222514540338505,0.24365465679805526,0.26458443585984165
1117,1117,16022996.0,5.653718022277617,0.17687475676354072,0.0015612760482555115,0.005662373014243895,0.009722665364227613,0.013742559161511018,0.01772245633940595,0.021662754842576206,0.02556384867906435,0.029426127899394663,0.033249978716504223,0.037035783461984426,0.0407839207323559,0.060534126883499136,0.08320699525327004,0.10565427614488056,0.1278782140320631,0.14988103097680458,0.17166492722080412,0.19323208074253462,0.21458464821042442,0.23572476466997466,0.25665454373176105
1118,1118,16023552.0,5.2963433609875405,0.1888095109856214,0.0027436367253795366,0.006969624333219317,0.011153564718932477,0.015295876295958872,0.019396973261947257,0.023457265611930976,0.02747715940921438,0.03145705658710931,0.03539735509027957,0.03929844892676771,0.043160728147098024,0.05271866189862657,0.07472147884336804,0.09650537508736759,0.11807252860909809,0.1394250960769879,0.16056521253653813,0.18149499159832452,0.20221652639675394,0.22273188876493927,0.24304313008903639
1119,1119,16030880.0,5.2963433609875405,0.1888095109856214,0.0027417675598773667,0.006967755167717147,0.011151695553430308,0.015294007130456703,0.019395104096445084,0.023455396446428804,0.02747529024371221,0.03145518742160714,0.0353954859247774,0.03929657976126554,0.043158858981595855,0.0527285618986271,0.07473137884336857,0.09651527508736812,0.11808242860909861,0.13943499607698842,0.16057511253653867,0.18150489159832506,0.20222642639675448,0.2227417887649398,0.24305303008903692
1120,1120,16040169.0,5.08969873111026,0.19647528327906777,0.0027392933543102255,0.007050647246520699,0.011319104564391027,0.015545092172230808,0.019729032557943966,0.02387134413497036,0.027972441100958746,0.032032733450942465,0.03605262724822587,0.0400325244261208,0.043972822929291056,0.05197899121741013,0.07354614473914062,0.09489871220703043,0.11603882866658066,0.13696860772836705,0.15769014252679647,0.1782055048949818,0.19851674621907892,0.2186258971890472,0.23853496880841493
1121,1121,16045784.0,5.0942812926874,0.1962985439055854,0.002544888160808123,0.006856242053018596,0.011124699370888924,0.015350686978728705,0.019534627364441864,0.02367693894146826,0.027778035907456644,0.03183832825744036,0.03585822205472376,0.03983811923261869,0.04377841773578895,0.05296899121746327,0.07453614473919376,0.09588871220708357,0.1170288286666338,0.1379586077284202,0.15868014252684962,0.17919550489503494,0.19950674621913206,0.21961589718910035,0.23952496880846808
