,index,blocknum,p0vs1,p1vs0,TUSD-slippagemap_01,TUSD-slippagemap_2,TUSD-slippagemap_3,TUSD-slippagemap_4,TUSD-slippagemap_5,TUSD-slippagemap_6,TUSD-slippagemap_7,TUSD-slippagemap_8,TUSD-slippagemap_9,TUSD-slippagemap_10,TUSD-slippagemap_11,TUSD-slippagemap_12,TUSD-slippagemap_13,TUSD-slippagemap_14,TUSD-slippagemap_15,TUSD-slippagemap_16,TUSD-slippagemap_17,TUSD-slippagemap_18,TUSD-slippagemap_19,TUSD-slippagemap_20,USDC-slippagemap_01,USDC-slippagemap_2,USDC-slippagemap_3,USDC-slippagemap_4,USDC-slippagemap_5,USDC-slippagemap_6,USDC-slippagemap_7,USDC-slippagemap_8,USDC-slippagemap_9,USDC-slippagemap_10,USDC-slippagemap_11,USDC-slippagemap_12,USDC-slippagemap_13,USDC-slippagemap_14,USDC-slippagemap_15,USDC-slippagemap_16,USDC-slippagemap_17,USDC-slippagemap_18,USDC-slippagemap_19,USDC-slippagemap_20
285,287,12864627.0,1.000402704895686,0.999597457210266,31864.813999421327,31864.813999421327,31864.813999421327,31864.813999421327,31864.813999421327,31864.813999421327,31864.813999421327,31864.813999421327,31864.813999421327,31864.813999421327,31864.813999421327,31864.813999421327,31864.813999421327,31864.813999421327,31864.813999421327,31864.813999421327,31864.813999421327,31864.813999421327,31864.813999421327,31864.813999421327,28232.089473520806,28232.089473520806,28232.089473520806,28232.089473520806,28232.089473520806,28232.089473520806,28232.089473520806,28232.089473520806,28232.089473520806,28232.089473520806,28232.089473520806,28232.089473520806,28232.089473520806,28232.089473520806,28232.089473520806,28232.089473520806,28232.089473520806,28232.089473520806,28232.089473520806,28232.089473520806
286,288,12866259.0,1.0006027954406922,0.9993975677027499,30414.75152717274,30414.75152717274,30414.75152717274,30414.75152717274,30414.75152717274,30414.75152717274,30414.75152717274,30414.75152717274,30414.75152717274,30414.75152717274,30414.75152717274,30414.75152717274,30414.75152717274,30414.75152717274,30414.75152717274,30414.75152717274,30414.75152717274,30414.75152717274,30414.75152717274,30414.75152717274,29683.007441582842,29683.007441582842,29683.007441582842,29683.007441582842,29683.007441582842,29683.007441582842,29683.007441582842,29683.007441582842,29683.007441582842,29683.007441582842,29683.007441582842,29683.007441582842,29683.007441582842,29683.007441582842,29683.007441582842,29683.007441582842,29683.007441582842,29683.007441582842,29683.007441582842,29683.007441582842
287,289,12868067.0,1.0006027954406922,0.9993975677027499,30564.0532586621,30564.0532586621,30564.0532586621,30564.0532586621,30564.0532586621,30564.0532586621,30564.0532586621,30564.0532586621,30564.0532586621,30564.0532586621,30564.0532586621,30564.0532586621,30564.0532586621,30564.0532586621,30564.0532586621,30564.0532586621,30564.0532586621,30564.0532586621,30564.0532586621,30564.0532586621,29533.60311753671,29533.60311753671,29533.60311753671,29533.60311753671,29533.60311753671,29533.60311753671,29533.60311753671,29533.60311753671,29533.60311753671,29533.60311753671,29533.60311753671,29533.60311753671,29533.60311753671,29533.60311753671,29533.60311753671,29533.60311753671,29533.60311753671,29533.60311753671,29533.60311753671,29533.60311753671
288,290,12868625.0,1.0008029260058082,0.9991977181671393,29119.85819474965,29119.85819474965,29119.85819474965,29119.85819474965,29119.85819474965,29119.85819474965,29119.85819474965,29119.85819474965,29119.85819474965,29119.85819474965,29119.85819474965,29119.85819474965,29119.85819474965,29119.85819474965,29119.85819474965,29119.85819474965,29119.85819474965,29119.85819474965,29119.85819474965,29119.85819474965,30978.930297623483,30978.930297623483,30978.930297623483,30978.930297623483,30978.930297623483,30978.930297623483,30978.930297623483,30978.930297623483,30978.930297623483,30978.930297623483,30978.930297623483,30978.930297623483,30978.930297623483,30978.930297623483,30978.930297623483,30978.930297623483,30978.930297623483,30978.930297623483,30978.930297623483,30978.930297623483
289,291,12869796.0,1.0007028557202362,0.9992976379389561,30119.358194709715,30119.358194709715,30119.358194709715,30119.358194709715,30119.358194709715,30119.358194709715,30119.358194709715,30119.358194709715,30119.358194709715,30119.358194709715,30119.358194709715,30119.358194709715,30119.358194709715,30119.358194709715,30119.358194709715,30119.358194709715,30119.358194709715,30119.358194709715,30119.358194709715,30119.358194709715,29978.613568261313,29978.613568261313,29978.613568261313,29978.613568261313,29978.613568261313,29978.613568261313,29978.613568261313,29978.613568261313,29978.613568261313,29978.613568261313,29978.613568261313,29978.613568261313,29978.613568261313,29978.613568261313,29978.613568261313,29978.613568261313,29978.613568261313,29978.613568261313,29978.613568261313,29978.613568261313
290,292,12871535.0,0.9997027030310036,1.0002973853807686,34581.14604278065,34581.14604278065,34581.14604278065,34581.14604278065,34581.14604278065,34581.14604278065,34581.14604278065,34581.14604278065,34581.14604278065,34581.14604278065,34581.14604278065,34581.14604278065,34581.14604278065,34581.14604278065,34581.14604278065,34581.14604278065,34581.14604278065,34581.14604278065,34581.14604278065,34581.14604278065,22376.07844760427,22376.07844760427,22376.07844760427,22376.07844760427,22376.07844760427,22376.07844760427,22376.07844760427,22376.07844760427,22376.07844760427,22376.07844760427,22376.07844760427,22376.07844760427,22376.07844760427,22376.07844760427,22376.07844760427,22376.07844760427,22376.07844760427,22376.07844760427,22376.07844760427,22376.07844760427
291,293,12872124.0,0.9995027924774801,1.0004974548608188,35249.54857613449,35249.54857613449,35249.54857613449,35249.54857613449,35249.54857613449,35249.54857613449,35249.54857613449,35249.54857613449,35249.54857613449,35249.54857613449,35249.54857613449,35249.54857613449,35249.54857613449,35249.54857613449,35249.54857613449,35249.54857613449,35249.54857613449,35249.54857613449,35249.54857613449,35249.54857613449,21707.880380111892,21707.880380111892,21707.880380111892,21707.880380111892,21707.880380111892,21707.880380111892,21707.880380111892,21707.880380111892,21707.880380111892,21707.880380111892,21707.880380111892,21707.880380111892,21707.880380111892,21707.880380111892,21707.880380111892,21707.880380111892,21707.880380111892,21707.880380111892,21707.880380111892,21707.880380111892
292,294,12875664.0,0.9997027030310036,1.0002973853807686,34799.935174925085,34799.935174925085,34799.935174925085,34799.935174925085,34799.935174925085,34799.935174925085,34799.935174925085,34799.935174925085,34799.935174925085,34799.935174925085,34799.935174925085,34799.935174925085,34799.935174925085,34799.935174925085,34799.935174925085,34799.935174925085,34799.935174925085,34799.935174925085,34799.935174925085,34799.935174925085,22157.342431122972,22157.342431122972,22157.342431122972,22157.342431122972,22157.342431122972,22157.342431122972,22157.342431122972,22157.342431122972,22157.342431122972,22157.342431122972,22157.342431122972,22157.342431122972,22157.342431122972,22157.342431122972,22157.342431122972,22157.342431122972,22157.342431122972,22157.342431122972,22157.342431122972,22157.342431122972
293,295,12877319.0,0.9979049465181071,1.0020994519460025,40867.09551092086,40867.09551092086,40867.09551092086,40867.09551092086,40867.09551092086,40867.09551092086,40867.09551092086,40867.09551092086,40867.09551092086,40867.09551092086,40867.09551092086,40867.09551092086,40867.09551092086,40867.09551092086,40867.09551092086,40867.09551092086,40867.09551092086,40867.09551092086,40867.09551092086,40867.09551092086,15911.035221402039,15911.035221402039,15911.035221402039,15911.035221402039,15911.035221402039,15911.035221402039,15911.035221402039,15911.035221402039,15911.035221402039,15911.035221402039,15911.035221402039,15911.035221402039,15911.035221402039,15911.035221402039,15911.035221402039,15911.035221402039,15911.035221402039,15911.035221402039,15911.035221402039,15911.035221402039
294,296,12878120.0,1.0032076172709867,0.9968026386405315,15925.71469932585,15925.71469932585,15925.71469932585,15925.71469932585,15925.71469932585,15925.71469932585,15925.71469932585,15925.71469932585,15925.71469932585,15925.71469932585,15925.71469932585,15925.71469932585,15925.71469932585,15925.71469932585,15925.71469932585,15925.71469932585,15925.71469932585,15925.71469932585,15925.71469932585,15925.71469932585,41056.11923291337,41056.11923291337,41056.11923291337,41056.11923291337,41056.11923291337,41056.11923291337,41056.11923291337,41056.11923291337,41056.11923291337,41056.11923291337,41056.11923291337,41056.11923291337,41056.11923291337,41056.11923291337,41056.11923291337,41056.11923291337,41056.11923291337,41056.11923291337,41056.11923291337,41056.11923291337
295,297,12878640.0,1.0015036982576582,0.998498559455872,24962.81783416095,24962.81783416095,24962.81783416095,24962.81783416095,24962.81783416095,24962.81783416095,24962.81783416095,24962.81783416095,24962.81783416095,24962.81783416095,24962.81783416095,24962.81783416095,24962.81783416095,24962.81783416095,24962.81783416095,24962.81783416095,24962.81783416095,24962.81783416095,24962.81783416095,24962.81783416095,35140.970007714495,35140.970007714495,35140.970007714495,35140.970007714495,35140.970007714495,35140.970007714495,35140.970007714495,35140.970007714495,35140.970007714495,35140.970007714495,35140.970007714495,35140.970007714495,35140.970007714495,35140.970007714495,35140.970007714495,35140.970007714495,35140.970007714495,35140.970007714495,35140.970007714495,35140.970007714495
296,298,12879499.0,1.0007028557202362,0.9992976379389561,29728.208590299084,29728.208590299084,29728.208590299084,29728.208590299084,29728.208590299084,29728.208590299084,29728.208590299084,29728.208590299084,29728.208590299084,29728.208590299084,29728.208590299084,29728.208590299084,29728.208590299084,29728.208590299084,29728.208590299084,29728.208590299084,29728.208590299084,29728.208590299084,29728.208590299084,29728.208590299084,30370.065013462932,30370.065013462932,30370.065013462932,30370.065013462932,30370.065013462932,30370.065013462932,30370.065013462932,30370.065013462932,30370.065013462932,30370.065013462932,30370.065013462932,30370.065013462932,30370.065013462932,30370.065013462932,30370.065013462932,30370.065013462932,30370.065013462932,30370.065013462932,30370.065013462932,30370.065013462932
297,299,12880067.0,1.0010030965990384,0.9989979085954415,28136.66251033437,28136.66251033437,28136.66251033437,28136.66251033437,28136.66251033437,28136.66251033437,28136.66251033437,28136.66251033437,28136.66251033437,28136.66251033437,28136.66251033437,28136.66251033437,28136.66251033437,28136.66251033437,28136.66251033437,28136.66251033437,28136.66251033437,28136.66251033437,28136.66251033437,28136.66251033437,31963.075082476415,31963.075082476415,31963.075082476415,31963.075082476415,31963.075082476415,31963.075082476415,31963.075082476415,31963.075082476415,31963.075082476415,31963.075082476415,31963.075082476415,31963.075082476415,31963.075082476415,31963.075082476415,31963.075082476415,31963.075082476415,31963.075082476415,31963.075082476415,31963.075082476415,31963.075082476415
298,300,12881446.0,1.0013034275591122,0.9986982691527487,26106.20453265106,26106.20453265106,26106.20453265106,26106.20453265106,26106.20453265106,26106.20453265106,26106.20453265106,26106.20453265106,26106.20453265106,26106.20453265106,26106.20453265106,26106.20453265106,26106.20453265106,26106.20453265106,26106.20453265106,26106.20453265106,26106.20453265106,26106.20453265106,26106.20453265106,26106.20453265106,33995.95057621532,33995.95057621532,33995.95057621532,33995.95057621532,33995.95057621532,33995.95057621532,33995.95057621532,33995.95057621532,33995.95057621532,33995.95057621532,33995.95057621532,33995.95057621532,33995.95057621532,33995.95057621532,33995.95057621532,33995.95057621532,33995.95057621532,33995.95057621532,33995.95057621532,33995.95057621532
299,301,12882269.0,1.0011031969086985,0.9988980187935619,27485.514532614336,27485.514532614336,27485.514532614336,27485.514532614336,27485.514532614336,27485.514532614336,27485.514532614336,27485.514532614336,27485.514532614336,27485.514532614336,27485.514532614336,27485.514532614336,27485.514532614336,27485.514532614336,27485.514532614336,27485.514532614336,27485.514532614336,27485.514532614336,27485.514532614336,27485.514532614336,32614.931180180698,32614.931180180698,32614.931180180698,32614.931180180698,32614.931180180698,32614.931180180698,32614.931180180698,32614.931180180698,32614.931180180698,32614.931180180698,32614.931180180698,32614.931180180698,32614.931180180698,32614.931180180698,32614.931180180698,32614.931180180698,32614.931180180698,32614.931180180698,32614.931180180698,32614.931180180698
300,302,12882952.0,1.000302674628223,0.9996974169559872,32528.438667261285,32528.438667261285,32528.438667261285,32528.438667261285,32528.438667261285,32528.438667261285,32528.438667261285,32528.438667261285,32528.438667261285,32528.438667261285,32528.438667261285,32528.438667261285,32528.438667261285,32528.438667261285,32528.438667261285,32528.438667261285,32528.438667261285,32528.438667261285,32528.438667261285,32528.438667261285,24428.94243846201,24428.94243846201,24428.94243846201,24428.94243846201,24428.94243846201,24428.94243846201,24428.94243846201,24428.94243846201,24428.94243846201,24428.94243846201,24428.94243846201,24428.94243846201,24428.94243846201,24428.94243846201,24428.94243846201,24428.94243846201,24428.94243846201,24428.94243846201,24428.94243846201,24428.94243846201
301,303,12883864.0,1.0010030965990384,0.9989979085954415,28110.307077463625,28110.307077463625,28110.307077463625,28110.307077463625,28110.307077463625,28110.307077463625,28110.307077463625,28110.307077463625,28110.307077463625,28110.307077463625,28110.307077463625,28110.307077463625,28110.307077463625,28110.307077463625,28110.307077463625,28110.307077463625,28110.307077463625,28110.307077463625,28110.307077463625,28110.307077463625,31989.45794570859,31989.45794570859,31989.45794570859,31989.45794570859,31989.45794570859,31989.45794570859,31989.45794570859,31989.45794570859,31989.45794570859,31989.45794570859,31989.45794570859,31989.45794570859,31989.45794570859,31989.45794570859,31989.45794570859,31989.45794570859,31989.45794570859,31989.45794570859,31989.45794570859,31989.45794570859
