,index,blocknum,p0vs1,p1vs0,WBTC-slippagemap_01,WBTC-slippagemap_2,WBTC-slippagemap_3,WBTC-slippagemap_4,WBTC-slippagemap_5,WBTC-slippagemap_6,WBTC-slippagemap_7,WBTC-slippagemap_8,WBTC-slippagemap_9,WBTC-slippagemap_10,WBTC-slippagemap_11,USDT-slippagemap_01,USDT-slippagemap_2,USDT-slippagemap_3,USDT-slippagemap_4,USDT-slippagemap_5,USDT-slippagemap_6,USDT-slippagemap_7,USDT-slippagemap_8,USDT-slippagemap_9,USDT-slippagemap_10
17,17,12679027.0,33687.40155632961,2.968468785958077e-05,0.5295902951637249,1.0539591491980427,1.5731107118878616,2.0870968806667674,2.59596905667566,3.0997781169377308,3.5985744482132276,4.092407918449801,4.581327912779854,5.062994525844254,5.062994525844254,17843.77430969091,17843.77430969091,17843.77430969091,17843.77430969091,17843.77430969091,17843.77430969091,17843.77430969091,17843.77430969091,17843.77430969091,17843.77430969091
18,18,12680743.0,33687.40155632961,2.968468785958077e-05,0.002613642689953018,0.005201371390570415,0.0077633530727525876,0.010299843847207451,0.012811097375468348,0.015297364732579305,0.017758894574166267,0.020195932995546267,0.022608723709372183,0.022608723709372183,0.022608723709372183,88.05301616332079,88.05301616332079,88.05301616332079,88.05301616332079,88.05301616332079,88.05301616332079,88.05301616332079,88.05301616332079,88.05301616332079,88.05301616332079
19,19,12688685.0,33785.231914867094,2.9598731259854187e-05,0.00222672425588111,0.0048144529564985074,0.00737643463868068,0.009912925413135543,0.01242417894139644,0.014910446298507397,0.01737197614009436,0.019809014561474356,0.022221805275300276,0.022221805275300276,0.022221805275300276,101.10652816402326,101.10652816402326,101.10652816402326,101.10652816402326,101.10652816402326,101.10652816402326,101.10652816402326,101.10652816402326,101.10652816402326,101.10652816402326
20,20,12690682.0,33937.600412196174,2.946584283668534e-05,0.0016420042881654547,0.0042297329887828515,0.006791714670965024,0.009328205445419888,0.011839458973680784,0.014325726330791742,0.016787256172378702,0.0192242945937587,0.021637085307584618,0.021637085307584618,0.021637085307584618,120.90652816508879,120.90652816508879,120.90652816508879,120.90652816508879,120.90652816508879,120.90652816508879,120.90652816508879,120.90652816508879,120.90652816508879,120.90652816508879
21,21,12691184.0,33873.1834077416,2.952187835323011e-05,0.0018843481412049693,0.004472076841822366,0.007034058524004539,0.009570549298459402,0.012081802826720299,0.014568070183831256,0.01702960002541822,0.019466638446798218,0.021879429160624134,0.021879429160624134,0.021879429160624134,112.68946730724821,112.68946730724821,112.68946730724821,112.68946730724821,112.68946730724821,112.68946730724821,112.68946730724821,112.68946730724821,112.68946730724821,112.68946730724821
22,22,12692118.0,33798.7480348821,2.9586894726631503e-05,0.0021744781411893507,0.004762206841806748,0.0073241885239889205,0.009860679298443784,0.01237193282670468,0.014858200183815638,0.0173197300254026,0.019756768446782598,0.022169559160608514,0.022169559160608514,0.022169559160608514,102.8721130227842,102.8721130227842,102.8721130227842,102.8721130227842,102.8721130227842,102.8721130227842,102.8721130227842,102.8721130227842,102.8721130227842,102.8721130227842
23,30,14413664.0,41273.21622692944,2.4228787853647623e-05,0.038526236441012995,0.08372764036366909,0.12847930545108227,0.17278570619259412,0.21665127261364248,0.2600803911227839,0.30307740424912566,0.34564661080477854,0.3877922680962007,0.42951858997908315,0.4708297487971182,2172.3239843279384,2172.3239843279343,2172.3239843279302,2172.3239843279266,2172.323984327923,2172.32398432792,2172.3239843279166,2172.323984327913,2172.3239843279125,2172.3239843279116
24,31,14418139.0,41401.35530334141,2.4153798654009097e-05,0.03139061076753757,0.07659201469019365,0.12134367977760685,0.16565008051911867,0.20951564694016703,0.2529447654493085,0.29594177857565024,0.3385109851313031,0.38065664242272523,0.42238296430560773,0.4636941231236428,2467.2965583438145,2467.296558343811,2467.2965583438067,2467.296558343803,2467.2965583437995,2467.2965583437963,2467.296558343793,2467.2965583437895,2467.296558343789,2467.296558343788
25,32,14419164.0,41754.748949412446,2.3949371632231347e-05,0.012041128928857454,0.05724253285151354,0.10199419793892674,0.14630059868043857,0.19016616510148693,0.23359528361062837,0.2765922967369701,0.319161503292623,0.36130716058404516,0.4030334824669276,0.44434464128496265,3271.816457853902,3271.816457853898,3271.8164578538945,3271.8164578538904,3271.816457853887,3271.8164578538835,3271.8164578538804,3271.816457853877,3271.8164578538763,3271.8164578538754
26,33,14426767.0,41613.03094588736,2.4030933995179953e-05,0.019737948928443185,0.06493935285109927,0.10969101793851246,0.15399741868002428,0.19786298510107264,0.2412921036102141,0.2842891167365559,0.32685832329220876,0.3690039805836309,0.4107303024665133,0.45204146128454836,2950.9779410191236,2950.9779410191195,2950.977941019116,2950.9779410191118,2950.9779410191086,2950.977941019105,2950.9779410191018,2950.9779410190986,2950.9779410190977,2950.9779410190968
