,index,blocknum,p0vs1,p1vs0,DAI-slippagemap_01,DAI-slippagemap_2,DAI-slippagemap_3,DAI-slippagemap_4,DAI-slippagemap_5,DAI-slippagemap_6,DAI-slippagemap_7,DAI-slippagemap_8,DAI-slippagemap_9,DAI-slippagemap_10,DAI-slippagemap_11,DAI-slippagemap_12,DAI-slippagemap_13,DAI-slippagemap_14,DAI-slippagemap_15,DAI-slippagemap_16,DAI-slippagemap_17,DAI-slippagemap_18,DAI-slippagemap_19,DAI-slippagemap_20,MKR-slippagemap_01,MKR-slippagemap_2,MKR-slippagemap_3,MKR-slippagemap_4,MKR-slippagemap_5,MKR-slippagemap_6,MKR-slippagemap_7,MKR-slippagemap_8,MKR-slippagemap_9,MKR-slippagemap_10,MKR-slippagemap_11,MKR-slippagemap_12,MKR-slippagemap_13,MKR-slippagemap_14,MKR-slippagemap_15,MKR-slippagemap_16,MKR-slippagemap_17,MKR-slippagemap_18,MKR-slippagemap_19,MKR-slippagemap_20
319,319,12689228.0,0.0004107564365262217,2434.532757312404,14172.495208651468,31404.816564411794,48534.0587262574,57060.218068771246,74035.99648780885,90910.23002176748,99309.4576330383,116032.5120153219,132655.5334287776,140929.7190831851,157403.81202330414,173779.3611753313,181930.36645528534,198159.20411502733,214290.96520386927,222320.62365673878,238307.8576683258,254199.46007430588,262109.57856310488,277858.80522490526,11.941091250239147,18.99496557430564,22.50606413819992,29.49674167442365,36.445602757342485,39.904430475257364,46.79103544436392,53.636446692565926,57.043781674879284,63.827863641780404,70.57136494613437,73.92797373898948,80.61105894869243,87.25416754091545,90.56080559043242,97.14439745956466,103.68860802751594,106.94601897517181,113.43159891491804,119.87838369932395
320,320,12689797.0,0.0004193053431177673,2384.896869103662,10303.677500527836,27381.611460826567,44357.38987986417,52807.161548741155,69630.85102509362,86353.90540737723,94677.88294755112,111251.11247524043,127725.20541535947,135925.26113272057,152251.75984734067,168480.59750708265,176558.57637343116,192642.0170487941,208629.25106038112,216586.97038924278,232430.97195516017,248180.19861696058,248342.95195536458,248666.99758491744,13.616117967874828,20.72206268475882,24.259079480245973,31.31295380431246,38.324633920067434,41.81472990443047,48.76359098734931,55.67088578428114,59.10902367437075,65.95443492257274,72.75889863689027,76.14585187178723,82.88935317614119,89.59251670675842,92.92904717869925,99.57215577092227,106.17552713882304,109.46238568957149,116.00659625752276,122.51166108153784
321,321,12690587.0,0.00041112626522592113,2432.3427729689865,12912.810810347019,30145.132166107345,47274.374327952944,55800.5336704668,72776.3120895044,89650.54562346303,98049.77323473386,114772.82761701745,131395.84903047312,139670.03468488067,156144.1276249997,172519.67677702685,180670.68205698088,196899.5197167229,213031.2808055648,221060.93925843434,237048.17327002136,252939.77567600142,260849.8941648004,276599.1208266008,12.458783671520775,19.512657995587265,23.023756559481548,30.014434095705276,36.963295178624115,40.422122896538994,47.30872786564555,54.154139113847556,57.56147409616091,64.34555606306203,71.08905736741599,74.4456661602711,81.12875136997405,87.77185996219707,91.07849801171406,97.6620898808463,104.20630044879756,107.46371139645345,113.94929133619968,120.39607612060557
322,322,12691113.0,0.00042006073461483564,2380.6081301955664,16339.181389203559,33365.96104148179,50290.890819632,58715.35268471364,75488.64908829477,92161.61221844197,100460.65609172375,116984.24322237323,133408.99040361142,141584.48383827746,157862.07897455522,174042.30564432198,182096.08786681542,198131.35331405207,214070.69966013363,222004.58273725203,237801.12593697244,245826.68122625543,245988.9470628368,246312.02206120937,11.103239053228734,18.230532684041187,21.778175797737102,28.8474199665259,35.880165481185024,39.380747033045715,46.35048494671131,53.27853181824246,56.72699889725942,63.5929762363193,70.41788301786438,73.81501174986855,80.57877289408304,87.30207508197458,90.6486298197367,97.31169676295359,103.93490693341752,107.23164025180131,113.79551207068944,120.32012031815692
323,323,12691727.0,0.0004250890651758676,2352.448185385057,16341.446164587442,33266.37594273765,50090.06541909012,58464.134211400415,75137.09734154762,91710.32686923692,99959.72834547888,116384.47552671705,132710.97424133716,140837.56409766086,157017.79076742765,173101.2314427906,181106.83843715774,197046.1847832393,212890.1863491567,220776.61106007808,228802.16634936107,229126.21197891393,229287.50718431504,229608.64962861518,11.127540887593808,18.29772464516439,21.866716672788762,28.97266138967276,36.04190555846156,39.5635525092264,46.57523262498137,53.54497053864697,57.014189692263244,63.92148448919507,70.78746182825496,74.20503362748669,81.0094973418042,87.7732584860187,91.13995188105513,97.84311541167236,104.50618235488925,107.8227544758362,114.42612584373697,120.9899976626251
324,324,12692280.0,0.0004363293757789767,2291.8466083442236,13249.942645398738,29972.99702768234,46596.018441138025,54870.20409554554,71344.29703566458,87719.84618769173,95870.85146764577,112099.68912738777,128231.4502162297,136261.10866909922,152248.34268068624,168139.94508666632,176050.0635754653,191799.2902372657,192124.30941225108,192286.08920522255,192608.19647686477,192928.3769876982,193087.74830997977,193405.06027098416,12.524487878786728,19.78122772970423,23.39330350800989,30.58502895732468,37.733735424362806,41.29203702755088,48.37669693673395,55.43057126080044,58.94166982469472,65.93234736091846,72.88120844383728,76.34003616175217,83.22664113085872,90.07205237906072,93.47938736137408,100.2634693282752,107.00697063262916,110.36357942548428,117.04666463518723,123.68977322741024
325,325,12692883.0,0.00044230368983522183,2260.890024165399,10896.061119423475,27519.082532879158,44042.669663528635,52267.36112740572,68642.91027943286,84920.50541571062,93022.7532191289,109154.51430797084,125189.77975520749,133171.40677242738,149063.00917840746,164859.55237812785,172722.35432900683,173047.37350399222,173370.44850236477,173531.2605686059,173851.44107943933,174169.70635512864,174328.1243627253,174643.5382396465,13.605185266910057,20.90559432795293,24.53940660126482,31.774409957176093,38.966135406490885,42.545849845904634,49.67314347671709,56.75780338590015,60.2900307592018,67.32277627386092,74.31345381008465,77.79309573938721,84.72114261091836,91.60774758002492,95.03558702899521,101.86049381054028,108.6445757774414,112.02138368675895,118.74468587465047,125.42777108435342
326,326,12693414.0,0.0004374652513615821,2285.895844041476,9562.579066433307,26285.633448716908,42908.65486217259,51182.84051658011,67656.93345669916,84032.48260872629,92183.48788868033,108412.32554842235,124544.08663726426,132573.7450901338,148560.97910172082,164452.58150770087,172362.69999649987,188111.92665830028,188436.94583328566,188598.72562625713,188920.83289789935,189241.01340873278,189400.38473101435,189717.6966920187,14.135577134726853,21.392316985644356,25.004392763950015,32.1961182132648,39.34482468030293,42.90312628349101,49.98778619267407,57.04166051674056,60.55275908063484,67.54343661685857,74.49229769977741,77.9511254176923,84.83773038679885,91.68314163500085,95.09047661731421,101.87455858421532,108.61805988856929,111.9746686814244,118.65775389112736,125.30086248335037
327,327,12693937.0,0.00044345511806643634,2255.019638425246,15666.530127775757,32239.75965546506,48713.8525955841,56913.9083129452,73240.40702756529,89469.24468730729,97547.22355365579,113630.66422901874,129617.89824060576,137575.61756946743,153419.61913538483,169168.84579718523,169331.59913558923,169655.6447651421,169977.75203678428,170138.08241484332,170457.3038698993,170774.61583090367,170932.55931722204,171247.0284192647,11.51237236878937,18.834714374153343,22.479443838040236,29.73618368895774,36.94951559842136,40.53998491657819,47.688691383616316,54.79463610050031,58.33165289598746,65.38552722005394,72.39720733580891,75.88730332017197,82.83616440309079,89.74345920002263,93.18159709011223,100.02700833831423,106.83147205263175,110.21842528752872,116.96192659188267,123.6650901224999
328,328,12694460.0,0.00048024318570730895,2082.2783742931947,12793.073901297972,28732.420247379523,44576.421813296925,52462.84652421832,60488.40181350132,60812.447443054174,60973.74264845527,61294.88509275541,61614.1065478114,61773.00050121913,62089.36199513414,62403.831097176815,62560.35954654888,62872.01126227723,63181.798763492065,63335.99692112615,63643.00898398509,63948.184576417574,64100.08713405581,64402.528608295404,13.06149099421722,20.67503132211294,24.46470599579581,32.0100352149663,39.51023033712955,43.24348686108992,50.67648642091293,58.065023643244125,61.74270211762629,69.06504412299026,76.34358586018904,79.96651343779466,87.17984534725828,94.35002910482886,97.91902113245322,105.02496584933722,112.09421001812602,115.61585696889087,122.62753708464584,129.59727499831143
