,index,blocknum,p0vs1,p1vs0,DAI-slippagemap_01,DAI-slippagemap_2,DAI-slippagemap_3,DAI-slippagemap_4,DAI-slippagemap_5,DAI-slippagemap_6,DAI-slippagemap_7,DAI-slippagemap_8,DAI-slippagemap_9,DAI-slippagemap_10,DAI-slippagemap_11,DAI-slippagemap_12,DAI-slippagemap_13,DAI-slippagemap_14,DAI-slippagemap_15,DAI-slippagemap_16,DAI-slippagemap_17,DAI-slippagemap_18,DAI-slippagemap_19,DAI-slippagemap_20,FEI-slippagemap_01,FEI-slippagemap_2,FEI-slippagemap_3,FEI-slippagemap_4,FEI-slippagemap_5,FEI-slippagemap_6,FEI-slippagemap_7,FEI-slippagemap_8,FEI-slippagemap_9,FEI-slippagemap_10,FEI-slippagemap_11,FEI-slippagemap_12,FEI-slippagemap_13,FEI-slippagemap_14,FEI-slippagemap_15,FEI-slippagemap_16,FEI-slippagemap_17,FEI-slippagemap_18,FEI-slippagemap_19,FEI-slippagemap_20
10,10,12533679.0,1.010655843417783,0.9894565063991045,360474.5211523409,650122.3812735883,655321.7539170528,657909.7652141534,659004.7453734202,659004.7453734202,659004.7453734202,659004.7453734202,659004.7453734202,659004.7453734202,659004.7453734202,659004.7453734202,659004.7453734202,659004.7453734202,659004.7453734202,659004.7453734202,659004.7453734202,659004.7453734202,659004.7453734202,659004.7453734202,1122942.9514754245,1695153.611075232,1695190.378897049,1695263.5844722264,1695336.352151409,1695372.5725988038,1695372.5725988038,1695372.5725988038,1695372.5725988038,1695372.5725988038,1695372.5725988038,1695372.5725988038,1695372.5725988038,1695372.5725988038,1695372.5725988038,1695372.5725988038,1695372.5725988038,1695372.5725988038,1695372.5725988038,1695372.5725988038
11,11,12534176.0,1.008334122065052,0.9917347614419874,476070.68721196015,765718.5473332076,770917.919976672,773505.9312737727,774600.9114330393,774600.9114330393,774600.9114330393,774600.9114330393,774600.9114330393,774600.9114330393,774600.9114330393,774600.9114330393,774600.9114330393,774600.9114330393,774600.9114330393,774600.9114330393,774600.9114330393,774600.9114330393,774600.9114330393,774600.9114330393,1006243.4454618436,1578454.1050616512,1578490.8728834682,1578564.0784586456,1578636.8461378282,1578673.066585223,1578673.066585223,1578673.066585223,1578673.066585223,1578673.066585223,1578673.066585223,1578673.066585223,1578673.066585223,1578673.066585223,1578673.066585223,1578673.066585223,1578673.066585223,1578673.066585223,1578673.066585223,1578673.066585223
12,12,12535898.0,1.0084349554772583,0.9916355978821992,469604.5716386018,759252.4317598492,764451.8044033136,767039.8157004144,768134.795859681,768134.795859681,768134.795859681,768134.795859681,768134.795859681,768134.795859681,768134.795859681,768134.795859681,768134.795859681,768134.795859681,768134.795859681,768134.795859681,768134.795859681,768134.795859681,768134.795859681,768134.795859681,1012764.0594580196,1584974.7190578273,1585011.4868796442,1585084.6924548217,1585157.4601340042,1585193.680581399,1585193.680581399,1585193.680581399,1585193.680581399,1585193.680581399,1585193.680581399,1585193.680581399,1585193.680581399,1585193.680581399,1585193.680581399,1585193.680581399,1585193.680581399,1585193.680581399,1585193.680581399,1585193.680581399
13,13,12536437.0,1.0086366525527033,0.9914373005077247,460580.0253001686,750227.885421416,755427.2580648805,758015.2693619812,759110.2495212478,759110.2495212478,759110.2495212478,759110.2495212478,759110.2495212478,759110.2495212478,759110.2495212478,759110.2495212478,759110.2495212478,759110.2495212478,759110.2495212478,759110.2495212478,759110.2495212478,759110.2495212478,759110.2495212478,759110.2495212478,1021866.0962191194,1594076.755818927,1594113.523640744,1594186.7292159214,1594259.496895104,1594295.7173424987,1594295.7173424987,1594295.7173424987,1594295.7173424987,1594295.7173424987,1594295.7173424987,1594295.7173424987,1594295.7173424987,1594295.7173424987,1594295.7173424987,1594295.7173424987,1594295.7173424987,1594295.7173424987,1594295.7173424987,1594295.7173424987
14,14,12537739.0,1.0064202017276132,0.9936207543165446,569201.4419078797,858849.302029127,864048.6746725915,866636.6859696922,867731.6661289589,867731.6661289589,867731.6661289589,867731.6661289589,867731.6661289589,867731.6661289589,867731.6661289589,867731.6661289589,867731.6661289589,867731.6661289589,867731.6661289589,867731.6661289589,867731.6661289589,867731.6661289589,867731.6661289589,867731.6661289589,912422.4500656836,1484633.1096654912,1484669.877487308,1484743.0830624856,1484815.8507416681,1484852.071189063,1484852.071189063,1484852.071189063,1484852.071189063,1484852.071189063,1484852.071189063,1484852.071189063,1484852.071189063,1484852.071189063,1484852.071189063,1484852.071189063,1484852.071189063,1484852.071189063,1484852.071189063,1484852.071189063
15,15,12538805.0,1.0074270749392231,0.9926276798351175,521407.46019944147,811055.3203206889,816254.6929641534,818842.704261254,819937.6844205207,819937.6844205207,819937.6844205207,819937.6844205207,819937.6844205207,819937.6844205207,819937.6844205207,819937.6844205207,819937.6844205207,819937.6844205207,819937.6844205207,819937.6844205207,819937.6844205207,819937.6844205207,819937.6844205207,819937.6844205207,960548.5483946841,1532759.2079944918,1532795.9758163088,1532869.1813914862,1532941.9490706688,1532978.1695180635,1532978.1695180635,1532978.1695180635,1532978.1695180635,1532978.1695180635,1532978.1695180635,1532978.1695180635,1532978.1695180635,1532978.1695180635,1532978.1695180635,1532978.1695180635,1532978.1695180635,1532978.1695180635,1532978.1695180635,1532978.1695180635
16,16,12539341.0,1.007930889229475,0.9921315148546168,494173.5039615936,783821.364082841,789020.7367263054,791608.7480234061,792703.7281826729,792703.7281826729,792703.7281826729,792703.7281826729,792703.7281826729,792703.7281826729,792703.7281826729,792703.7281826729,792703.7281826729,792703.7281826729,792703.7281826729,792703.7281826729,792703.7281826729,792703.7281826729,792703.7281826729,792703.7281826729,987992.5966580611,1560203.2562578688,1560240.0240796858,1560313.2296548632,1560385.9973340458,1560422.2177814406,1560422.2177814406,1560422.2177814406,1560422.2177814406,1560422.2177814406,1560422.2177814406,1560422.2177814406,1560422.2177814406,1560422.2177814406,1560422.2177814406,1560422.2177814406,1560422.2177814406,1560422.2177814406,1560422.2177814406,1560422.2177814406
17,17,12539994.0,1.0082332987351783,0.9918339349181317,477645.67025778815,767293.5303790355,772492.9030225,775080.9143196007,776175.8944788673,776175.8944788673,776175.8944788673,776175.8944788673,776175.8944788673,776175.8944788673,776175.8944788673,776175.8944788673,776175.8944788673,776175.8944788673,776175.8944788673,776175.8944788673,776175.8944788673,776175.8944788673,776175.8944788673,776175.8944788673,1004655.3173846524,1576865.9769844601,1576902.744806277,1576975.9503814545,1577048.7180606371,1577084.9385080317,1577084.9385080317,1577084.9385080317,1577084.9385080317,1577084.9385080317,1577084.9385080317,1577084.9385080317,1577084.9385080317,1577084.9385080317,1577084.9385080317,1577084.9385080317,1577084.9385080317,1577084.9385080317,1577084.9385080317,1577084.9385080317
18,18,12540683.0,1.0066214958321607,0.9934220599703301,558820.3986400205,848468.2587612679,853667.6314047324,856255.642701833,857350.6228610997,857350.6228610997,857350.6228610997,857350.6228610997,857350.6228610997,857350.6228610997,857350.6228610997,857350.6228610997,857350.6228610997,857350.6228610997,857350.6228610997,857350.6228610997,857350.6228610997,857350.6228610997,857350.6228610997,857350.6228610997,922871.6707527245,1495082.3303525322,1495119.0981743492,1495192.3037495266,1495265.0714287092,1495301.2918761037,1495301.2918761037,1495301.2918761037,1495301.2918761037,1495301.2918761037,1495301.2918761037,1495301.2918761037,1495301.2918761037,1495301.2918761037,1495301.2918761037,1495301.2918761037,1495301.2918761037,1495301.2918761037,1495301.2918761037,1495301.2918761037
19,19,12541380.0,1.004208621491201,0.9958090167708864,381726.33016975445,956336.0173136283,969032.1777604155,971627.9645566519,974764.2871985649,975310.9560130192,975310.9560130192,975310.9560130192,975310.9560130192,975310.9560130192,975310.9560130192,975310.9560130192,975310.9560130192,975310.9560130192,975310.9560130192,975310.9560130192,975310.9560130192,975310.9560130192,975310.9560130192,975310.9560130192,1099320.2347153185,1376513.2351384682,1376549.8928276272,1376622.879126638,1376695.428840223,1376695.428840223,1376695.428840223,1376695.428840223,1376695.428840223,1376695.428840223,1376695.428840223,1376695.428840223,1376695.428840223,1376695.428840223,1376695.428840223,1376695.428840223,1376695.428840223,1376695.428840223,1376695.428840223,1376695.428840223
