,index,blocknum,p0vs1,p1vs0,UNI-slippagemap_01,UNI-slippagemap_2,UNI-slippagemap_3,UNI-slippagemap_4,UNI-slippagemap_5,UNI-slippagemap_6,UNI-slippagemap_7,UNI-slippagemap_8,UNI-slippagemap_9,UNI-slippagemap_10,UNI-slippagemap_11,UNI-slippagemap_12,UNI-slippagemap_13,UNI-slippagemap_14,UNI-slippagemap_15,UNI-slippagemap_16,UNI-slippagemap_17,UNI-slippagemap_18,UNI-slippagemap_19,UNI-slippagemap_20,DAI-slippagemap_01,DAI-slippagemap_2,DAI-slippagemap_3,DAI-slippagemap_4,DAI-slippagemap_5,DAI-slippagemap_6,DAI-slippagemap_7,DAI-slippagemap_8,DAI-slippagemap_9,DAI-slippagemap_10,DAI-slippagemap_11,DAI-slippagemap_12,DAI-slippagemap_13,DAI-slippagemap_14,DAI-slippagemap_15,DAI-slippagemap_16,DAI-slippagemap_17,DAI-slippagemap_18,DAI-slippagemap_19,DAI-slippagemap_20
10,10,12445871.0,38.50228026369726,0.02597248768517413,5.76537897298344,11.489277868798247,17.184630026925245,22.851577885816774,28.49026321557992,34.10082678992142,39.683409030941064,45.23814940148903,50.76518676643876,56.264659206648496,61.73670435696228,67.18145896346302,72.5990590954442,77.98964009606527,83.35333689596534,88.6902834740603,94.00061317785944,99.28445890152256,104.54195257185833,109.77322578888821,265.18665765113246,485.37156695773825,704.4583562475046,922.4524990792291,1139.3594492522907,1355.1846210794583,1569.9334169101749,1783.6111954171247,1996.2233114054413,2207.7750718762923,2418.271763970642,2627.718653128226,2836.120975044688,3043.483933593383,3144.3222024667652,3174.5061527441358,3204.5395671132324,3234.423197290683,3264.157788855975,3293.744086535593
11,11,12446728.0,35.98927012489022,0.0277860594707754,6.30584552476838,12.224733031202943,18.11410138310076,23.974097999626043,29.80486907751142,35.60656048232415,41.379317368657624,47.12328397957461,52.8386037530503,58.52541970436353,64.18387393185267,69.81410799558863,75.41626258129868,80.99047759623019,86.5368925212518,92.05564594987614,97.54687580900058,103.01071943390028,108.44731338712327,113.85679366107476,244.0642633772217,456.99551874599933,668.8648274565237,879.6774876559175,1089.4387703233833,1298.1539110967915,1505.8281327821283,1659.6818147733266,1689.9110730661976,1719.9895692718676,1749.9180554983593,1779.6972815184324,1809.3279889009063,1838.8109209698525,1868.1468132004463,1897.3363994896122,1926.3804090636547,1955.2795690564658,1984.0346004118924,2012.6462223945102
12,12,12447870.0,34.904730758494395,0.028649411649068243,6.10549515372608,12.116835569104358,18.098195666399132,24.049724961802575,29.97157255318873,35.8638862493599,41.72681333772602,47.560500361711895,53.36509322025632,59.14073710887857,64.88757617126657,70.60575419605091,76.29541425288458,81.95669821895531,87.58974800999677,93.1947041096597,98.77170678196202,104.3208954558441,109.84240881522584,115.33638488122516,250.74022423102497,460.39665243711704,669.0074699553921,876.5778872104291,1012.7509251895204,1042.9650732231735,1073.0285342970797,1102.942061314611,1132.7064020423975,1162.322298791023,1191.7904937397886,1221.1117221199183,1250.2867185113937,1279.3162109043644,1308.2009251521642,1336.9415828022195,1365.5389037158395,1393.9936019419615,1422.3063883299644,1450.4779722390274
13,13,12448406.0,34.96411629496119,0.028600751455117254,6.310168913185901,12.315501167241965,18.290883079200214,24.236464314311714,30.15239328755937,36.03881777942011,41.89588518656838,47.72374182911292,53.522533376199135,59.29240463895045,65.03350011471413,70.74596318256714,76.4299365077153,82.08556241083414,87.71298209919813,93.31233646176045,98.88376518581622,104.42740779968423,109.94340267247362,115.43188776703892,243.61986002484647,453.4860413280628,662.305563593268,870.0836436565373,1041.6268082773286,1071.8711834641845,1101.9647226143027,1131.9081761301911,1161.7022939278488,1191.3478205538206,1220.8454967425257,1250.1960600778323,1279.4002437762986,1308.458778301171,1337.3723901479334,1366.1418025246473,1394.767733146665,1423.2508987877447,1451.5920111577896,1479.7917785628276
14,14,12448976.0,35.14287980955052,0.028455266199562772,6.228236108073044,12.218574562550788,18.17903751441333,24.109773931713555,30.010932324572952,35.88265988609299,41.72510371819049,47.53840951331596,53.32272290155718,59.078188315122674,64.80494969862197,70.50315001000573,76.17293203646007,81.81443718979689,87.42780660085613,93.01318076760255,98.57069896694225,104.10050042235723,109.60272330300799,115.07750495455596,246.55532482962397,456.9468021168165,666.2890009689266,874.587150904944,1081.8464617388654,1165.0305879971186,1195.199450827736,1225.2178527505,1255.0865453415988,1284.8062749490605,1314.3777842485024,1343.8018119621831,1373.0790935198775,1402.210361742066,1431.196344673467,1460.037766240121,1488.7353478960642,1517.2898074062018,1545.7018575944392,1573.972208983276
15,15,12449630.0,34.28209724776832,0.029169743985400353,5.2535316147852145,10.42741561578948,15.575496055660512,20.697901593381353,25.794760201851965,30.866199541970772,35.912346208187195,40.933326253732154,45.92926540446219,50.9002884679489,55.846519696507656,60.76808261058147,65.6651004629698,70.53769555261408,75.3859895695407,80.21010390989989,85.01015902013724,89.78627507517788,94.5385712249612,99.26716648382357,212.0069614075689,389.23672037956254,530.3839158170439,530.3839158170439,530.3839158170439,530.3839158170439,530.3839158170439,530.3839158170439,530.3839158170439,530.3839158170439,530.3839158170439,530.3839158170439,530.3839158170439,530.3839158170439,530.3839158170439,530.3839158170439,530.3839158170439,530.3839158170439,530.3839158170439,530.3839158170439
16,16,12450389.0,33.31556488298734,0.030016000134239117,5.6706662809007895,10.917490327852663,16.13814713938791,21.332767042129525,26.50147996476942,31.644415083032815,36.76170106631224,41.85346573988969,46.919836330786374,51.9609395556308,56.97690156589627,61.967847500091345,66.93390211923717,71.87518987254238,76.79183394330924,81.68395749915058,86.55168262081817,91.39513101907983,96.21442397348734,101.00968168831137,21.98387998778379,21.98387998778379,21.98387998778379,21.98387998778379,21.98387998778379,21.98387998778379,21.98387998778379,21.98387998778379,21.98387998778379,21.98387998778379,21.98387998778379,21.98387998778379,21.98387998778379,21.98387998778379,21.98387998778379,21.98387998778379,21.98387998778379,21.98387998778379,21.98387998778379,21.98387998778379
17,17,12453405.0,33.82918653172107,0.029560273317903063,5.446149266250146,10.653771413186336,15.835421667913238,20.99122958943493,26.12132410766944,31.225833475694962,36.304885225983604,41.358606267933915,46.387123247644325,51.39056154094878,56.36904630667716,61.322702023325306,66.25165244824676,71.15602095745258,76.0359299886258,80.89150163045156,85.72285719908294,90.53011756144738,95.3134027304982,100.07283229984188,205.27493943011808,293.4257647475551,293.4257647475551,293.4257647475551,293.4257647475551,293.4257647475551,293.4257647475551,293.4257647475551,293.4257647475551,293.4257647475551,293.4257647475551,293.4257647475551,293.4257647475551,293.4257647475551,293.4257647475551,293.4257647475551,293.4257647475551,293.4257647475551,293.4257647475551,293.4257647475551
18,18,12454883.0,33.435711042694344,0.029908142187348476,5.336476169404228,10.575436424697966,15.788268378589146,20.975102581447285,26.136068706574832,31.271295664136247,36.38091184753958,41.465044937990825,46.52382200169494,51.55736971425229,56.565813627876516,61.549279217002905,66.50789075382552,71.4417724573445,76.35104752479748,81.23583873751176,86.09626803521807,90.93245721198909,95.74452688873596,100.53259744670748,85.76798088253372,85.76798088253372,85.76798088253372,85.76798088253372,85.76798088253372,85.76798088253372,85.76798088253372,85.76798088253372,85.76798088253372,85.76798088253372,85.76798088253372,85.76798088253372,85.76798088253372,85.76798088253372,85.76798088253372,85.76798088253372,85.76798088253372,85.76798088253372,85.76798088253372,85.76798088253372
19,19,12455541.0,33.660471174555276,0.029708437377903463,5.486434924976428,10.707091736511677,15.901711639253291,21.070424561893184,26.21335968015658,31.330645663436005,36.42241033701346,41.48878092791014,46.52988415275456,51.54584616302003,56.536792097215105,61.502846716360935,66.44413446966615,71.360778540433,76.25290209627434,81.12062721794194,85.96407561620359,90.78336857061112,95.57862628543515,100.34996880661446,203.8651729259425,203.8651729259425,203.8651729259425,203.8651729259425,203.8651729259425,203.8651729259425,203.8651729259425,203.8651729259425,203.8651729259425,203.8651729259425,203.8651729259425,203.8651729259425,203.8651729259425,203.8651729259425,203.8651729259425,203.8651729259425,203.8651729259425,203.8651729259425,203.8651729259425,203.8651729259425
20,20,12456162.0,34.69593981249591,0.028821816195330304,5.2457654683347945,10.38870058659819,15.505986569877615,20.59775124345507,25.66412183435175,30.705225059196174,35.72118706946164,40.71213300365672,45.67818762280255,50.61947537610776,55.536119446874615,60.42824300271595,65.29596812438355,70.1394165226452,74.95870947705272,79.75396719187675,84.52530971305607,89.27285616871707,93.99672531110765,98.69703534723962,212.4618301037197,390.75811186249217,568.165180424622,744.6874737758129,744.6874737758129,744.6874737758129,744.6874737758129,744.6874737758129,744.6874737758129,744.6874737758129,744.6874737758129,744.6874737758129,744.6874737758129,744.6874737758129,744.6874737758129,744.6874737758129,744.6874737758129,744.6874737758129,744.6874737758129,744.6874737758129
21,21,12457486.0,35.76326169736818,0.027961655412252012,5.502129413438584,10.56596761174268,15.604551079577998,20.618005815327344,25.606457070248492,30.57002944234963,35.50884721872009,40.42303380222534,45.31271193540346,50.17800390502031,55.019031365721645,59.83591541683114,64.62877620300748,69.39773370559462,74.1429072122213,78.86441516851431,83.56237570590056,88.23690614357172,92.88812360574325,97.51614400037063,203.7216597281366,384.80292277627166,564.9810837630059,744.2606481669843,922.6460972627734,1100.1418863738631,1276.7524589556806,1294.3649990512044,1294.3649990512044,1294.3649990512044,1294.3649990512044,1294.3649990512044,1294.3649990512044,1294.3649990512044,1294.3649990512044,1294.3649990512044,1294.3649990512044,1294.3649990512044,1294.3649990512044,1294.3649990512044
22,22,12457992.0,35.834856211747585,0.027905790777867676,5.516923588955255,10.575700652659366,15.609248365216716,20.61769227884094,25.60115786796733,30.559769404789947,35.493651108308924,40.402926175761905,45.28771738847618,50.14814668618249,54.98433586295351,59.79640553970039,64.58447609767192,69.34866737828939,74.08909818144014,78.80588726144197,83.49915247330156,88.1690109696005,92.81557970121453,97.43897471541125,203.19821730762493,384.4606436391432,564.8190640622151,744.2779886899552,922.8419037763252,1100.515269976606,1277.3025311381884,1330.1665799005505,1330.1665799005505,1330.1665799005505,1330.1665799005505,1330.1665799005505,1330.1665799005505,1330.1665799005505,1330.1665799005505,1330.1665799005505,1330.1665799005505,1330.1665799005505,1330.1665799005505,1330.1665799005505
23,23,12458666.0,34.800178700232216,0.028735484625351283,5.216787287675356,10.352014245236768,15.461630428640104,20.54576351909135,25.60454058279546,30.638088295352812,35.646532208977035,40.629997798103425,45.58860933492604,50.52249103844502,55.431766105898,60.316557318612276,65.17698661631859,70.0131757930896,74.82524546983649,79.61331602780801,84.37750730842548,89.11793811157622,93.83472719157805,98.52799240343766,213.51563141559626,392.07954650196626,569.7529127022472,746.5401738638295,799.4042226261914,799.4042226261914,799.4042226261914,799.4042226261914,799.4042226261914,799.4042226261914,799.4042226261914,799.4042226261914,799.4042226261914,799.4042226261914,799.4042226261914,799.4042226261914,799.4042226261914,799.4042226261914,799.4042226261914,799.4042226261914
24,24,12462734.0,33.30890276934444,0.03002200363442597,5.761204504882634,11.008028551834508,16.228685363369756,21.42330526611137,26.592018188751265,31.73495330701466,36.85223929029409,41.94400396387154,47.01037455476822,52.05147777961265,57.067439789878115,62.05838572407319,67.02444034321901,71.96572809652423,76.88237216729108,81.77449572313242,86.64222084480002,91.48566924306166,96.3049621974692,101.10021991229323,18.967660960709207,18.967660960709207,18.967660960709207,18.967660960709207,18.967660960709207,18.967660960709207,18.967660960709207,18.967660960709207,18.967660960709207,18.967660960709207,18.967660960709207,18.967660960709207,18.967660960709207,18.967660960709207,18.967660960709207,18.967660960709207,18.967660960709207,18.967660960709207,18.967660960709207,18.967660960709207
25,25,12606210.0,33.30890276934444,0.03002200363442597,5.789545963110368,11.036370010062242,16.257026821597492,21.451646724339106,26.620359646978997,31.763294765242392,36.880580748521815,41.97234542209927,47.038716012995955,52.079819237840375,57.09578124810585,62.08672718230092,67.05278180144674,71.99406955475196,76.91071362551882,81.80283718136015,86.67056230302775,91.51401070128941,96.33330365569692,101.12856137052096,18.02359076508269,18.02359076508269,18.02359076508269,18.02359076508269,18.02359076508269,18.02359076508269,18.02359076508269,18.02359076508269,18.02359076508269,18.02359076508269,18.02359076508269,18.02359076508269,18.02359076508269,18.02359076508269,18.02359076508269,18.02359076508269,18.02359076508269,18.02359076508269,18.02359076508269,18.02359076508269
26,26,12611089.0,33.30890276934444,0.03002200363442597,5.797184861772086,11.04400890872396,16.26466572025921,21.459285623000824,26.627998545640715,31.770933663904113,36.88821964718353,41.97998432076099,47.04635491165767,52.08745813650209,57.10342014676757,62.09436608096264,67.06042070010847,72.00170845341368,76.91835252418053,81.81047608002187,86.67820120168948,91.52164959995112,96.34094255435865,101.13620026918268,17.76914333313943,17.76914333313943,17.76914333313943,17.76914333313943,17.76914333313943,17.76914333313943,17.76914333313943,17.76914333313943,17.76914333313943,17.76914333313943,17.76914333313943,17.76914333313943,17.76914333313943,17.76914333313943,17.76914333313943,17.76914333313943,17.76914333313943,17.76914333313943,17.76914333313943,17.76914333313943
27,27,12702525.0,33.30890276934444,0.03002200363442597,5.797275446457081,11.044099493408956,16.264756304944203,21.459376207685818,26.628089130325712,31.771024248589107,36.88831023186853,41.98007490544599,47.04644549634267,52.08754872118709,57.10351073145256,62.094456665647634,67.06051128479346,72.00179903809868,76.91844310886553,81.81056666470687,86.67829178637446,91.52174018463612,96.34103313904365,101.13629085386768,17.7661260301125,17.7661260301125,17.7661260301125,17.7661260301125,17.7661260301125,17.7661260301125,17.7661260301125,17.7661260301125,17.7661260301125,17.7661260301125,17.7661260301125,17.7661260301125,17.7661260301125,17.7661260301125,17.7661260301125,17.7661260301125,17.7661260301125,17.7661260301125,17.7661260301125,17.7661260301125
28,28,12752086.0,33.30890276934444,0.03002200363442597,5.797277085500961,11.044102615869472,16.264760903423184,21.459382274821934,26.628096658794373,31.771033231102244,36.88832066117445,41.98008677432914,47.046458797623465,52.08756344772178,57.10352687613305,62.094474221401214,67.0605302445827,72.00181939492131,76.91846485575415,81.81058979472887,86.67831629263176,91.52176606026502,96.34106037721479,101.13631944778564,17.766141004669908,17.766141004669908,17.766141004669908,17.766141004669908,17.766141004669908,17.766141004669908,17.766141004669908,17.766141004669908,17.766141004669908,17.766141004669908,17.766141004669908,17.766141004669908,17.766141004669908,17.766141004669908,17.766141004669908,17.766141004669908,17.766141004669908,17.766141004669908,17.766141004669908,17.766141004669908
29,29,13092893.0,33.30890276934444,0.03002200363442597,5.797277323413906,11.044103068200926,16.264761569103786,21.459383152787655,26.628097747986484,31.771034530467304,36.88832216966427,41.980088490900755,47.04646072123912,52.08756557734889,57.10352921074418,62.09447675997405,67.06053298610003,72.001822338371,76.9184680001291,81.810593139027,86.67831983585602,91.52176980142332,96.34106431531994,101.13632358185545,17.766143136461533,17.766143137216186,17.766143137967074,17.76614313871422,17.766143139457636,17.766143140197347,17.76614314093337,17.76614314166572,17.76614314239442,17.766143143119482,17.76614314384093,17.766143144558782,17.766143145273052,17.766143145983758,17.766143146690922,17.76614314739456,17.766143148094685,17.766143148791322,17.76614314948448,17.766143150174184
30,30,13109736.0,33.30890276934444,0.03002200363442597,5.798276323663852,11.045102068450872,16.265760569353734,21.4603821530376,26.62909674823643,31.77203353071725,36.88932116991422,41.9810874911507,47.04745972148907,52.08856457759883,57.104528210994125,62.095475760224,67.06153198634996,72.00282133862095,76.91946700037904,81.81159213927695,86.67931883610596,91.52276880167327,96.34206331556989,101.1373225821054,17.732867275608374,17.732867276363027,17.732867277113918,17.73286727786106,17.73286727860448,17.73286727934419,17.732867280080214,17.732867280812563,17.732867281541264,17.732867282266326,17.732867282987772,17.732867283705623,17.732867284419893,17.732867285130602,17.732867285837767,17.732867286541403,17.73286728724153,17.732867287938163,17.732867288631326,17.732867289321028
31,31,13561675.0,33.30890276934444,0.03002200363442597,5.798286318663851,11.04511206345087,16.265770564353733,21.4603921480376,26.62910674323643,31.772043525717248,36.88933116491422,41.9810974861507,47.04746971648907,52.08857457259883,57.104538205994125,62.095485755224,67.06154198134996,72.00283133362095,76.91947699537904,81.81160213427695,86.67932883110596,91.52277879667326,96.34207331056989,101.1373325771054,17.73253435085486,17.732534351609512,17.732534352360403,17.732534353107546,17.732534353850966,17.732534354590676,17.7325343553267,17.73253435605905,17.732534356787745,17.73253435751281,17.732534358234258,17.73253435895211,17.732534359666378,17.732534360377088,17.73253436108425,17.732534361787888,17.732534362488014,17.732534363184648,17.73253436387781,17.732534364567513
