,index,blocknum,p0vs1,p1vs0,BAT-slippagemap_01,BAT-slippagemap_2,BAT-slippagemap_3,BAT-slippagemap_4,BAT-slippagemap_5,BAT-slippagemap_6,BAT-slippagemap_7,BAT-slippagemap_8,BAT-slippagemap_9,BAT-slippagemap_10,BAT-slippagemap_11,BAT-slippagemap_12,BAT-slippagemap_13,BAT-slippagemap_14,BAT-slippagemap_15,BAT-slippagemap_16,BAT-slippagemap_17,BAT-slippagemap_18,BAT-slippagemap_19,BAT-slippagemap_20,DAI-slippagemap_01,DAI-slippagemap_2,DAI-slippagemap_3,DAI-slippagemap_4,DAI-slippagemap_5,DAI-slippagemap_6,DAI-slippagemap_7,DAI-slippagemap_8,DAI-slippagemap_9,DAI-slippagemap_10,DAI-slippagemap_11,DAI-slippagemap_12,DAI-slippagemap_13,DAI-slippagemap_14,DAI-slippagemap_15,DAI-slippagemap_16,DAI-slippagemap_17,DAI-slippagemap_18,DAI-slippagemap_19,DAI-slippagemap_20
17,17,13409805.0,0.690332805241971,1.4485766754913036,10578.282190673383,22562.11438458367,34474.26249224203,40403.58907094637,52209.01404985964,63943.8221431627,69784.8769365082,81414.5508526172,92974.659078067,98728.75608675618,110185.2953359266,121573.30449838638,127241.73847467103,138527.72050440928,149746.1927338507,155330.23895885158,166448.20289106437,177499.66204234565,183000.57685500034,193953.02405990317,13467.199780934618,21703.71367901804,25803.476356674477,33966.19779363115,34104.871537331725,34173.897031766166,34311.3283722751,34447.93763525234,34515.9355258128,34651.32088274009,34785.896400079284,34852.88198399683,34986.25181524953,35118.82386238618,35184.812209764175,35316.19652305003,35446.79492853051,35511.80088462079,35641.22923737379,35769.88338211904
18,18,13412994.0,0.6956686175716174,1.4374660215243251,8876.210659418382,20824.147117924625,32700.614028076536,38612.18007220484,50382.24377339218,62081.90189363835,67905.46069441918,79500.29956483652,91025.78104388635,96762.64265627676,108184.86547774587,119538.76343180118,125190.21856050222,136442.39504821794,147627.26391598175,153194.5839303483,164279.24556988376,175297.6018121305,180782.03934243222,191701.68012415123,14668.7648915141,22930.024163086346,27042.104025476387,35229.34914238031,39374.02901189379,39443.261883790066,39581.10611650617,39718.125801923365,39786.32798171068,39922.12008443134,40057.099914060855,40124.286746537626,40258.057267676544,40391.027608414115,40457.214208844525,40588.99324697917,40719.98401526505,40785.18527498885,40915.00247447862,41044.04314050618
19,19,13413908.0,0.7034331645230281,1.4215991659677618,9690.548009296494,21567.0149194484,33372.43989836166,39248.64466476405,50948.302785010215,62577.97670111923,68366.70045620839,79892.18193525821,91348.72118442862,97051.26636911774,108405.16432317306,119691.14635291132,125308.7959395898,136493.6648073536,147611.62873956643,153145.64646125562,164164.0027035024,175116.4499084052,180568.0810155231,186095.99842272874,14146.55383137772,22457.527086528236,26594.3523224071,34830.86622049052,43018.111337394446,47093.35033510363,47232.02407880421,47369.86831152031,47438.48091374758,47575.09017672482,47710.882279445475,47778.47342421257,47913.048941551766,48046.81946269068,48113.404356722014,48245.976403858665,48377.75544199331,48443.34906452251,48573.94747000298,48703.76466949276
20,20,13415014.0,0.6988060233519146,1.4310122789202204,10359.437470496008,22271.585578154365,34112.47820098702,40006.33713577197,51741.145229075046,63405.75882320136,69211.87393852953,80771.98216397934,92262.94078505893,97982.61842183892,109370.62758429872,120690.5166892844,126325.04359032163,137543.51581976304,148694.8820591305,154245.52597697673,165296.985128258,176282.33747121439,181750.3471458155,192637.27972393218,13656.94782174863,21943.02675716021,26067.460792853595,34279.30333290007,42442.02476985674,42511.465641661045,42649.72400799176,42787.15534850069,42855.56243169061,42991.76250203839,43127.14785896568,43194.53654382811,43328.708960222415,43462.07879147513,43528.46423818136,43660.63918598976,43792.023499275616,43857.420645032296,43987.62786084638,44117.05621359938
21,21,13415696.0,0.6988060233519146,1.4310122789202204,10349.36147049655,22261.509578154906,34102.40220098756,39996.26113577252,51731.06922907558,63395.682823201896,69201.79793853009,80761.90616397987,92252.86478505947,97972.54242183948,109360.55158429926,120680.44068928495,126314.96759032218,137533.4398197636,148684.80605913105,154235.44997697725,165286.90912825853,176272.26147121494,181740.27114581605,192627.20372393273,13663.989184217276,21950.068119628857,26074.502155322243,34286.344695368716,42449.06613232539,42518.50700412969,42656.76537046041,42794.196710969336,42862.60379415926,42998.80386450704,43134.18922143433,43201.577906296756,43335.75032269106,43469.120153943775,43535.50560065001,43667.68054845841,43799.064861744264,43864.462007500944,43994.66922331503,44124.09757606803
22,22,13418662.0,0.7068175906191134,1.4147921801494543,10824.439987827342,22665.332610659996,34435.39631184733,40293.99963874802,51958.61323287433,63553.45210329167,69324.83657365231,80815.79519473191,92238.01801620102,97923.4819939717,109243.37109895737,120495.54758667308,126096.37022943601,137247.73646880346,148332.3981083389,153849.83953793097,164835.19188088737,175754.83266260638,181190.13413360517,181375.08858994246,13366.526909170245,21702.469292154117,25851.72299168684,34112.98226325909,42324.82480330556,46412.30724255305,50556.987112066534,50695.24547839725,50764.06421667891,50901.08390209611,51037.28397244388,51105.07818460408,51240.0580142336,51374.230430627904,51441.01536784928,51573.98570858685,51706.16065639526,51771.95134715191,51902.94211543779,52033.14933125187
23,23,13419708.0,0.7041369143169018,1.4201783483686852,8700.794656173986,20577.26156632589,32382.686545239158,38258.89131164154,49958.54943188771,61588.22334799672,67376.94710308587,78902.4285821357,90358.96783130612,96061.51301599522,107415.41097005055,118701.39299978882,124319.0425864673,135503.9114542311,146621.8753864439,152155.8931081331,163174.24935037986,174126.6965552827,179578.32766240058,185106.24506960623,14843.167708692506,23154.140963843023,27290.966199721883,35527.48009780531,43714.72521470924,47789.96421241842,47928.63795611899,48066.48218883509,48135.094791062365,48271.704054039605,48407.496156760266,48475.08730152736,48609.66281886655,48743.43334000547,48810.0182340368,48942.59028117345,49074.36931930809,49139.96294183729,49270.56134731777,49400.378546807544
24,24,13421620.0,0.683942789276605,1.4621105970832495,7963.300718963897,20019.248370233876,32003.080564144162,37968.08834035496,49844.55525050686,61649.98022942013,67526.18499582252,79225.84311606869,90855.5170321777,96644.24078726686,108169.72226631668,119626.26151548709,125328.80670017621,136682.70465423152,147968.68668396978,153586.33627064826,164771.20513841207,175889.1690706249,181423.18679231408,192441.54303456086,15216.27995243603,23403.525069339958,27478.76406704914,27617.437810749718,27755.282043465817,27823.89464569309,27960.50390867033,28096.296011390987,28163.88715615808,28298.462673497273,28432.23319463619,28498.818088667525,28631.390135804177,28763.169173938815,28828.762796468018,28959.361201948494,29089.17840143827,29153.79551079178,29282.449655537028,29410.334223694565
25,25,13422197.0,0.6709369931598117,1.4904529191190508,9210.6009492832,21375.536413729722,33467.70446289269,39486.63676068281,51470.4689545931,63382.61706225146,69311.94364095581,81117.36861986907,92852.17671317214,98693.23150651762,110322.90542262663,121883.01364807642,127637.11065676562,139093.64990593604,150481.65906839582,156150.09304468046,167436.07507441874,178654.54730386013,184238.59352886103,195356.55746107383,14290.892441906151,14429.566185606729,14498.59168004117,14636.023020550103,14772.632283527344,14840.630174087804,14976.015531015095,15110.591048354287,15177.576632271826,15310.946463524539,15443.518510661188,15509.506858039178,15640.891171325029,15771.489576805508,15836.495532895793,15965.923885648792,16094.578030394041,16158.616223206127,16286.117732895693,16412.856561835262
26,26,13424014.0,0.6953904196775396,1.4380410941866462,9225.230654890054,21173.1671133963,33049.634023548206,38961.20006767652,50731.26376886386,62430.921889110024,68254.48068989086,79849.31956030818,91374.80103935802,97111.66265174843,108533.88547321754,119887.78342727287,125539.2385559739,136791.4150436896,147976.2839114534,153543.60392582,164628.26556535542,175646.62180760218,181131.0593379039,192050.7001196229,14425.997220623663,22687.256492195913,26799.33635458595,34986.58147148987,39131.26134100336,39200.49421289963,39338.33844561574,39475.35813103293,39543.56031082025,39679.3524135409,39814.33224317042,39881.51907564719,40015.289596786104,40148.25993752368,40214.44653795409,40346.225576088735,40477.21634437462,40542.41760409842,40672.23480358819,40801.27546961574
27,27,13425111.0,0.7051938593526155,1.4180497840948636,7173.167114149828,19049.634024301733,30855.059003215,36731.263769617384,48430.92188986355,60060.59580597257,65849.31956106171,77374.80104011155,88831.34028928196,94533.88547397107,105887.78342802639,117173.76545776466,122791.41504444314,133976.28391220694,145094.24784441973,150628.26556610895,161646.6218083557,172599.06901325853,178050.70012037642,183578.61752758207,15919.709610681379,24230.682865831895,28367.50810171076,36604.02199979418,44791.26711669811,48866.50611440729,49005.17985810786,49143.024090823965,49211.63669305124,49348.24595602848,49484.03805874914,49551.62920351623,49686.20472085542,49819.97524199434,49886.56013602568,50019.13218316232,50150.91122129696,50216.504843826166,50347.103249306645,50476.920448796416
28,28,13425837.0,0.6984567251366888,1.4317279281752193,10845.853292327869,22758.001399986228,34598.89402281888,40492.752957603836,52227.56105090691,63892.17464503322,69698.2897603614,81258.39798581119,92749.3566068908,98469.03424367079,109857.04340613059,121176.93251111626,126811.45941215349,138029.93164159489,149181.29788096235,154731.94179880858,165783.40095008985,176768.75329304626,182236.76296764734,193123.69554576406,13317.112487850964,21603.191423262546,25727.62545895593,33939.4679990024,42102.18943595907,42171.63030776338,42309.888674094094,42447.32001460303,42515.72709779295,42651.927168140726,42787.31252506802,42854.70120993044,42988.87362632475,43122.24345757746,43188.628904283694,43320.8038520921,43452.18816537795,43517.58531113463,43647.79252694872,43777.220879701716
29,29,13426723.0,0.698736149736941,1.4311553801481123,10457.169350038832,22369.31745769719,34210.21008052985,40104.0690153148,51838.87710861787,63503.49070274418,69309.60581807236,80869.71404352215,92360.67266460175,98080.35030138175,109468.35946384154,120788.24856882723,126422.77546986446,137641.24769930585,148792.6139386733,154343.25785651954,165394.71700780082,176380.0693507572,181848.0790253583,192735.01160347502,13588.654001921825,21874.732937333403,25999.16697302679,34211.009513073266,42373.73095002994,42443.171821834236,42581.43018816495,42718.861528673886,42787.26861186381,42923.468682211584,43058.85403913888,43126.2427240013,43260.41514039561,43393.78497164832,43460.17041835456,43592.34536616296,43723.729679448814,43789.126825205494,43919.334041019574,44048.76239377257
30,30,13428974.0,0.7073832426401208,1.4136608555607915,10049.820155809572,21890.712778642224,33660.77647982957,39519.37980673025,51183.99340085656,62778.8322712739,68550.21674163453,80041.17536271413,91463.39818418326,97148.86216195392,108468.75126693961,119720.92775465532,125321.75039741823,136473.1166367857,147557.77827632113,153075.21970591322,164060.5720488696,174980.2128305886,180415.5143015874,180600.46875792468,13914.305803971445,22250.24818695532,26399.501886488037,34660.76115806028,42872.60369810676,46960.08613735425,51104.766006867736,51243.02437319845,51311.84311148011,51448.8627968973,51585.062867245084,51652.85707940528,51787.8369090348,51922.009325429106,51988.79426265048,52121.76460338805,52253.939551196454,52319.73024195311,52450.72101023899,52580.928226053074
31,31,13429962.0,0.7028003911038497,1.4228791171122646,10619.372284564675,22495.83919471658,34301.26417362985,40177.46894003223,51877.1270602784,63506.80097638741,69295.52473147656,80821.0062105264,92277.5454596968,97980.09064438591,109333.98859844124,120619.97062817951,126237.62021485799,137422.4890826218,148540.45301483458,154074.4707365238,165092.82697877055,176045.27418367338,181496.90529079127,187024.82269799692,13493.451756663882,21804.425011814397,25941.25024769326,34177.76414577668,42365.00926268061,46440.24826038979,46578.92200409037,46716.76623680647,46785.37883903374,46921.98810201098,47057.780204731636,47125.37134949873,47259.94686683793,47393.71738797684,47460.302282008175,47592.874329144826,47724.65336727947,47790.24698980867,47920.84539528914,48050.66259477892
32,32,13431508.0,0.7229004358324467,1.3833163606388796,6327.535015965072,18062.34310926814,29726.95670339445,35533.07181872264,47093.180044172426,58584.13866525202,64303.81630203202,75691.82546449182,87011.7145694775,92646.24147051472,103864.71369995613,115016.0799393236,120566.72385716981,131618.1830084511,142603.53535140748,148071.5450260086,158958.47760412528,159143.43206046257,159235.49399111755,159418.79140782138,16661.16459746577,25072.465295879138,29259.228930371046,37595.17131335492,45881.250248766504,50005.68428445989,58217.52682450636,66380.24826146303,66449.68913326734,66587.94749959806,66725.37884010698,66793.7859232969,66929.98599364469,67065.37135057198,67132.7600354344,67266.9324518287,67400.30228308142,67466.68772978765,67598.86267759606,67730.2469908819
33,33,13432116.0,0.7198707722295539,1.3891382156033945,10473.143353530717,22207.951446833784,33872.5650409601,39678.68015628828,51238.78838173807,62729.74700281767,68449.42463959767,79837.43380205747,91157.32290704314,96791.84980808037,108010.32203752178,119161.68827688924,124712.33219473547,135763.79134601675,146749.14368897313,152217.15336357424,163104.08594169092,163289.0403980282,163381.1023286832,163564.39974538703,13670.424739361162,22081.72543777453,26268.48907226644,34604.43145525031,42890.51039066189,47014.94442635528,55226.78696640175,63389.50840335842,63458.949275162726,63597.20764149344,63734.638982002376,63803.0460651923,63939.246135540074,64074.631492467364,64142.02017732979,64276.192593724096,64409.56242497681,64475.94787168305,64608.12281949145,64739.507132777304
34,34,13432845.0,0.7169254912766003,1.394845088043027,8585.915081918014,20355.978783105355,32055.636903351522,37879.19570413235,49474.03457454969,60999.51605359952,66736.37766598993,78158.60048745904,89512.49844151436,95163.9535702154,106416.1300579311,117600.99892569492,123168.3189400615,134252.98057959692,145271.3368218437,150755.77435214538,161675.4151338644,167203.33254107003,167295.67106120047,167479.51916737796,15003.82868078593,23389.934506722755,27564.15733408883,35875.13058923935,44136.38986081159,48248.46972320163,56435.71484010556,60580.394709619046,60649.62758151532,60787.471814231416,60924.49149964861,60992.693679435935,61128.48578215659,61263.4656117861,61330.65244426287,61464.42296540179,61597.39330613936,61663.57990656978,61795.35894470442,61926.3497129903
35,35,13433686.0,0.7114977803494958,1.405485762033985,10270.995048750558,22076.420027663822,33811.22812096689,39652.282914312374,51281.95683042139,62842.06505587118,68596.16206456037,80052.70131373078,91440.71047619056,97109.14445247522,108395.12648221348,119613.59871165488,125197.64493665578,136315.60886886856,147367.06802014983,152867.98283280453,163820.43003770735,174707.36261582404,174799.9785520309,174984.3790028163,13777.299982638806,22138.28644449679,26300.006000114587,34586.08493552617,42822.59883360959,46922.361511266026,55085.0829482227,55223.75669192328,55292.78218635772,55430.21352686665,55566.82278984389,55634.82068040435,55770.20603733164,55904.78155467084,55971.76713858837,56105.136969841085,56237.70901697774,56303.69736435573,56435.081677641574,56565.68008312205
36,36,13435385.0,0.6979680009383206,1.432730438437922,11507.816894119926,23419.965001778284,35260.85762461094,41154.71655939589,52889.52465269896,64554.13824682528,70360.25336215345,81920.36158760324,93411.32020868285,99130.99784546284,110519.00700792264,121838.89611290832,127473.42301394555,138691.89524338694,149843.2614827544,155393.90540060063,166445.3645518819,177430.71689483832,182898.7265694394,193785.6591475561,12854.895529856904,21140.974465268486,25265.40850096187,33477.25104100834,41639.97247796501,41709.41334976932,41847.671716100034,41985.10305660897,42053.51013979889,42189.710210146666,42325.09556707396,42392.48425193638,42526.65666833069,42660.0264995834,42726.411946289634,42858.58689409804,42989.97120738389,43055.36835314057,43185.57556895466,43315.003921707656
37,37,13437570.0,0.6875771268334978,1.4543822954165226,8582.160293396653,20601.996102801622,32549.932561307865,38497.07289275543,50337.96551558808,62108.02921677542,67966.63254367611,79631.24613780242,91226.08500821976,96997.46947858039,108488.42809966,119910.65092112911,125596.11489889977,136916.00400388546,148168.18049160118,153769.0031343641,164920.36937373155,176005.031013267,181522.47244285906,192507.82478581544,14819.906290295721,23031.748830342196,27119.231269589687,31263.91113910317,31402.169505433885,31470.988243715547,31608.00792913274,31744.207999480517,31812.002211640713,31946.982041270232,32081.154457664543,32147.939394885914,32280.90973562349,32413.08468343189,32478.875374188545,32609.866142474424,32740.073358288508,32804.884601688,32933.92526771555,33062.194048598845
38,38,13438403.0,0.6921991289047061,1.444670988798179,7918.5795618176835,19902.41175572797,31814.55986338633,37743.886442090676,49549.31142100394,61284.11951430701,67125.17430765249,78754.8482237615,90314.9564492113,96069.05345790049,107525.59270707089,118913.60186953068,124582.03584581532,135868.0178755536,147086.490104995,152670.5363299959,163788.5002622087,174839.95941348997,180340.87422614466,191293.32143104746,15305.830799196856,23542.344697280278,27642.107374936717,35804.828811893385,35943.502555593965,36012.528050028406,36149.95939053734,36286.56865351458,36354.56654407504,36489.95190100233,36624.527418341524,36691.51300225906,36824.88283351177,36957.45488064842,37023.443228026415,37154.82754131226,37285.42594679274,37350.43190288303,37479.86025563603,37608.514400381275
39,39,13440794.0,0.6919915106910615,1.445104433436393,8176.019026612397,20159.851220522683,32071.999328181042,38001.32590688539,49806.750885798654,61541.55897910172,67382.6137724472,79012.28768855621,90572.395914006,96326.49292269521,107783.0321718656,119171.04133432539,124839.47531061004,136125.4573403483,147343.9295697897,152927.9757947906,164045.9397270034,175097.39887828467,180598.31369093937,191550.76089584216,15127.652439502785,23364.166337586208,27463.929015242644,35626.65045219931,35765.32419589989,35834.34969033433,35971.78103084327,36108.39029382051,36176.388184380965,36311.773541308256,36446.34905864745,36513.33464256499,36646.7044738177,36779.27652095435,36845.26486833234,36976.649181618195,37107.247587098675,37172.253543188956,37301.681895941954,37430.3360406872
40,40,13445218.0,0.682439844132018,1.4653306201250318,10192.63834735327,22248.58599862325,34232.418192533536,40197.425968744334,52073.89287889624,63879.3178578095,69755.52262421188,81455.18074445806,93084.85466056707,98873.57841565621,110399.05989470605,121855.59914387646,127558.14432856557,138912.04228262088,150198.02431235916,155815.67389903765,167000.54276680146,178118.50669901425,183652.52442070344,194670.88066295022,13693.198881936765,21880.443998840692,25955.682996549873,26094.35674025045,26232.20097296655,26300.813575193824,26437.422838171064,26573.21494089172,26640.806085658816,26775.381602998008,26909.152124136923,26975.73701816826,27108.30906530491,27240.08810343955,27305.681725968752,27436.280131449228,27566.097330939003,27630.71444029251,27759.368585037762,27887.2531531953
41,41,13446858.0,0.6901947593881459,1.4488664053121685,10781.320765718086,22765.152959628373,34677.30106728673,40606.62764599107,52412.05262490434,64146.86071820741,69987.9155115529,81617.58942766191,93177.6976531117,98931.79466180089,110388.3339109713,121776.34307343108,127444.77704971573,138730.759079454,149949.2313088954,155533.2775338963,166651.2414661091,177702.70061739036,183203.61543004506,194156.06263494786,13327.040339164412,21563.554237247838,25663.316914904273,33826.038351860945,33964.71209556152,34033.73758999596,34171.16893050489,34307.77819348213,34375.7760840426,34511.16144096989,34645.73695830908,34712.72254222662,34846.09237347933,34978.66442061598,35044.65276799397,35176.03708127982,35306.6354867603,35371.64144285058,35501.06979560358,35629.723940348835
42,42,13447436.0,0.6861348019533416,1.4574395543749168,10744.388467605986,22764.22427701095,34712.160735517195,40659.30106696476,52500.193689797416,64270.257390984756,70128.86071788544,81793.47431201175,93388.31318242909,99159.69765278972,110650.65627386932,122072.87909533845,127758.3430731091,139078.2321780948,150330.4086658105,155931.23130857342,167082.59754794088,178167.25918747633,183684.7006170684,194670.05296002477,13334.686265300123,21546.528805346596,25634.011244594087,29778.691114107573,29916.94948043829,29985.768218719946,30122.78790413714,30258.98797448492,30326.782186645116,30461.76201627463,30595.934432668942,30662.719369890317,30795.689710627892,30927.864658436294,30993.655349192948,31124.646117478827,31254.85333329291,31319.664576692398,31448.705242719956,31576.974023603245
43,43,13449244.0,0.6971309834982702,1.4344506608814085,6764.224277872128,18712.160736378373,30588.62764653028,36500.19369065859,48270.25739184593,59969.9155120921,65793.47431287293,77388.31318329026,88913.7946623401,94650.6562747305,106072.87909619961,117426.77705025494,123078.23217895598,134330.4086666717,145515.2775344355,151082.59754880206,162167.25918833748,173185.61543058426,178670.05296088595,189589.69374260496,16139.602138506354,24400.8614100786,28512.94127246864,36700.18638937257,40844.86625888605,40914.09913078233,41051.94336349842,41188.96304891562,41257.16522870294,41392.9573314236,41527.93716105311,41595.12399352988,41728.8945146688,41861.86485540637,41928.05145583679,42059.83049397142,42190.821262257305,42256.0225219811,42385.839721470875,42514.88038749844
