,index,blocknum,p0vs1,p1vs0,SUSHI-slippagemap_01,SUSHI-slippagemap_2,SUSHI-slippagemap_3,SUSHI-slippagemap_4,SUSHI-slippagemap_5,SUSHI-slippagemap_6,SUSHI-slippagemap_7,SUSHI-slippagemap_8,SUSHI-slippagemap_9,SUSHI-slippagemap_10,SUSHI-slippagemap_11,USDC-slippagemap_01,USDC-slippagemap_2,USDC-slippagemap_3,USDC-slippagemap_4,USDC-slippagemap_5,USDC-slippagemap_6,USDC-slippagemap_7,USDC-slippagemap_8,USDC-slippagemap_9,USDC-slippagemap_10
16,16,12992651.0,9.93821896939285,0.10062165092958225,746.0263543779901,1677.9366877183074,2600.574815324238,2600.574815324238,2600.574815324238,2600.574815324238,2600.574815324238,2600.574815324238,2600.574815324238,2600.574815324238,2600.574815324238,11252.819421135757,11252.819421135757,11252.819421135757,11252.819421135757,11252.819421135757,11252.819421135757,11252.819421135757,11252.819421135757,11252.819421135757,11252.819421135757
17,17,12993285.0,9.8975577171709,0.10103502586957767,940.9151769604513,1872.8255103007687,2795.463637906699,2795.463637906699,2795.463637906699,2795.463637906699,2795.463637906699,2795.463637906699,2795.463637906699,2795.463637906699,2795.463637906699,9319.899411931649,9319.899411931649,9319.899411931649,9319.899411931649,9319.899411931649,9319.899411931649,9319.899411931649,9319.899411931649,9319.899411931649,9319.899411931649
18,18,12995086.0,9.939212791289787,0.1006115897706052,741.2894781980425,1673.1998115383599,2595.8379391442904,2595.8379391442904,2595.8379391442904,2595.8379391442904,2595.8379391442904,2595.8379391442904,2595.8379391442904,2595.8379391442904,2595.8379391442904,11299.899412039951,11299.899412039951,11299.899412039951,11299.899412039951,11299.899412039951,11299.899412039951,11299.899412039951,11299.899412039951,11299.899412039951,11299.899412039951
19,19,12996397.0,10.236772113052515,0.09768704323552718,289.79328254137175,1212.4314101473024,1212.4314101473024,1212.4314101473024,1212.4314101473024,1212.4314101473024,1212.4314101473024,1212.4314101473024,1212.4314101473024,1212.4314101473024,1212.4314101473024,25254.816466322187,25254.816466322187,25254.816466322187,25254.816466322187,25254.816466322187,25254.816466322187,25254.816466322187,25254.816466322187,25254.816466322187,25254.816466322187
20,20,12997571.0,10.290139294148666,0.0971804143184568,49.08180927453573,971.7199368804664,971.7199368804664,971.7199368804664,971.7199368804664,971.7199368804664,971.7199368804664,971.7199368804664,971.7199368804664,971.7199368804664,971.7199368804664,27725.46422845347,27725.46422845347,27725.46422845347,27725.46422845347,27725.46422845347,27725.46422845347,27725.46422845347,27725.46422845347,27725.46422845347,27725.46422845347
21,21,12998275.0,10.108604345217325,0.0989256247300973,877.8446613791152,1800.4827889850458,1800.4827889850458,1800.4827889850458,1800.4827889850458,1800.4827889850458,1800.4827889850458,1800.4827889850458,1800.4827889850458,1800.4827889850458,1800.4827889850458,19272.53062452495,19272.53062452495,19272.53062452495,19272.53062452495,19272.53062452495,19272.53062452495,19272.53062452495,19272.53062452495,19272.53062452495,19272.53062452495
22,22,12998543.0,9.949156477919749,0.10051103349508161,694.3423096204053,1626.2526429607226,2548.8907705666534,2548.8907705666534,2548.8907705666534,2548.8907705666534,2548.8907705666534,2548.8907705666534,2548.8907705666534,2548.8907705666534,2548.8907705666534,11766.764676232111,11766.764676232111,11766.764676232111,11766.764676232111,11766.764676232111,11766.764676232111,11766.764676232111,11766.764676232111,11766.764676232111,11766.764676232111
23,23,12999186.0,10.054167714716009,0.09946124118621251,199.43585455297602,1131.3461878932933,2053.984315499224,2053.984315499224,2053.984315499224,2053.984315499224,2053.984315499224,2053.984315499224,2053.984315499224,2053.984315499224,2053.984315499224,16716.764676499894,16716.764676499894,16716.764676499894,16716.764676499894,16716.764676499894,16716.764676499894,16716.764676499894,16716.764676499894,16716.764676499894,16716.764676499894
24,24,12999729.0,10.081349287100512,0.09919307143534248,70.84358736517248,1002.7539207054898,1925.3920483114205,1925.3920483114205,1925.3920483114205,1925.3920483114205,1925.3920483114205,1925.3920483114205,1925.3920483114205,1925.3920483114205,1925.3920483114205,18011.48577656803,18011.48577656803,18011.48577656803,18011.48577656803,18011.48577656803,18011.48577656803,18011.48577656803,18011.48577656803,18011.48577656803,18011.48577656803
25,25,13001944.0,10.300434065240529,0.09708328733199349,0.06496365738392833,922.7030912633146,922.7030912633146,922.7030912633146,922.7030912633146,922.7030912633146,922.7030912633146,922.7030912633146,922.7030912633146,922.7030912633146,922.7030912633146,28230.14202711754,28230.14202711754,28230.14202711754,28230.14202711754,28230.14202711754,28230.14202711754,28230.14202711754,28230.14202711754,28230.14202711754,28230.14202711754
26,26,13003090.0,10.300434065240529,0.09708328733199349,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,834.7973659837688,1661.288727440635,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
27,27,13004345.0,10.300434065240529,0.09708328733199349,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
28,28,13131665.0,10.300434065240529,0.09708328733199349,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
29,29,13179858.0,11.555716932120337,0.08653725302152343,147.19235813712555,723.5606507217692,1294.1942620898128,1859.1502772200215,2418.4851351564216,2972.254819698126,3520.5146624859804,4063.3195023655803,4600.723601249327,5132.780725775035,5659.544047947681,18178.769588330502,24675.331543068503,31107.254705076815,37475.18242180009,43779.75138030086,50021.5918680965,56201.32838345801,62319.578058146435,68376.95352686563,68376.95352686563
30,30,13180781.0,11.158282384070095,0.08961952795061277,0.18601038531758754,588.1971392106144,1170.3577122328668,1746.7260048175106,2317.359616185554,2882.315631315763,3441.650489252163,3995.4201737938674,4543.680016581721,5086.484856461321,5623.888955345068,19488.259457874563,25856.187174597835,32160.75613309861,38402.59662089424,44582.33313625575,50700.58281094418,56757.958279663384,56757.958279663384,56757.958279663384,56757.958279663384
31,31,13181949.0,10.959240008337812,0.09124720320379862,535.9348774678916,1123.9460062931885,1706.1065793154407,2282.4748719000845,2853.108483268128,3418.064498398337,3977.3993563347367,4531.169040876442,5079.428883664295,5622.233723543895,6159.637822427642,13563.373129182917,19931.30084590619,26235.869804406964,32477.7102922026,38657.446807564105,44775.69648225253,50833.07195097174,50833.07195097174,50833.07195097174,50833.07195097174
32,32,13183448.0,10.670514374771173,0.09371619444741573,144.5253014780006,744.4144311395783,1338.3348513482285,1926.3459801735253,2508.5065531957775,3084.8748457804213,3655.508457148465,4220.464472278673,4779.7993302150735,5333.569014756778,5881.828857544632,17558.546318440043,23800.386806235678,29980.123321597184,36098.372996285616,42155.74846500482,42155.74846500482,42155.74846500482,42155.74846500482,42155.74846500482,42155.74846500482
33,33,13183957.0,10.28396737092531,0.09723873714605377,50.20020129899978,662.2072773942717,1268.1250771622176,1868.0142068237953,2461.9346270324454,3049.9457558577424,3632.1063288799946,4208.474621464638,4779.108232832682,5344.0642479628905,5903.399105899291,18209.432093800428,24327.68176848886,30385.05723720806,30385.05723720806,30385.05723720806,30385.05723720806,30385.05723720806,30385.05723720806,30385.05723720806,30385.05723720806
