,index,blocknum,p0vs1,p1vs0,DAI-slippagemap_01,DAI-slippagemap_2,DAI-slippagemap_3,DAI-slippagemap_4,DAI-slippagemap_5,DAI-slippagemap_6,DAI-slippagemap_7,DAI-slippagemap_8,DAI-slippagemap_9,DAI-slippagemap_10,DAI-slippagemap_11,DAI-slippagemap_12,DAI-slippagemap_13,DAI-slippagemap_14,DAI-slippagemap_15,DAI-slippagemap_16,DAI-slippagemap_17,DAI-slippagemap_18,DAI-slippagemap_19,DAI-slippagemap_20,WETH-slippagemap_01,WETH-slippagemap_2,WETH-slippagemap_3,WETH-slippagemap_4,WETH-slippagemap_5,WETH-slippagemap_6,WETH-slippagemap_7,WETH-slippagemap_8,WETH-slippagemap_9,WETH-slippagemap_10,WETH-slippagemap_11,WETH-slippagemap_12,WETH-slippagemap_13,WETH-slippagemap_14,WETH-slippagemap_15,WETH-slippagemap_16,WETH-slippagemap_17,WETH-slippagemap_18,WETH-slippagemap_19,WETH-slippagemap_20
10,10,14443055.0,0.0002148269531149338,4654.909384042669,0.4141631013106704,0.4141631013106704,0.4141631013106704,0.4141631013106704,0.4141631013106704,0.4141631013106704,0.4141631013106704,0.4141631013106704,0.4141631013106704,0.4141631013106704,0.4141631013106704,0.4141631013106704,0.4141631013106704,0.4141631013106704,0.4141631013106704,0.4141631013106704,0.4141631013106704,0.4141631013106704,0.4141631013106704,0.4141631013106704,0.0008872671683842444,0.0008872671683842444,0.0008872671683842444,0.0008872671683842444,0.0008872671683842444,0.0008872671683842444,0.0008872671683842444,0.0008872671683842444,0.0008872671683842444,0.0008872671683842444,0.0008872671683842444,0.0008872671683842444,0.0008872671683842444,0.0008872671683842444,0.0008872671683842444,0.0008872671683842444,0.0008872671683842444,0.0008872671683842444,0.0008872671683842444,0.0008872671683842444
11,11,14644793.0,0.0002148269531149338,4654.909384042669,0.41411696873796916,0.41411696873796916,0.41411696873796916,0.41411696873796916,0.41411696873796916,0.41411696873796916,0.41411696873796916,0.41411696873796916,0.41411696873796916,0.41411696873796916,0.41411696873796916,0.41411696873796916,0.41411696873796916,0.41411696873796916,0.41411696873796916,0.41411696873796916,0.41411696873796916,0.41411696873796916,0.41411696873796916,0.41411696873796916,0.0008872770798929951,0.0008872770798929951,0.0008872770798929951,0.0008872770798929951,0.0008872770798929951,0.0008872770798929951,0.0008872770798929951,0.0008872770798929951,0.0008872770798929951,0.0008872770798929951,0.0008872770798929951,0.0008872770798929951,0.0008872770798929951,0.0008872770798929951,0.0008872770798929951,0.0008872770798929951,0.0008872770798929951,0.0008872770798929951,0.0008872770798929951,0.0008872770798929951
12,12,14670833.0,0.0002148269531149338,4654.909384042669,0.41409509541906175,0.41409509541906175,0.41409509541906175,0.41409509541906175,0.41409509541906175,0.41409509541906175,0.41409509541906175,0.41409509541906175,0.41409509541906175,0.41409509541906175,0.41409509541906175,0.41409509541906175,0.41409509541906175,0.41409509541906175,0.41409509541906175,0.41409509541906175,0.41409509541906175,0.41409509541906175,0.41409509541906175,0.41409509541906175,0.0008872817793402803,0.0008872817793402803,0.0008872817793402803,0.0008872817793402803,0.0008872817793402803,0.0008872817793402803,0.0008872817793402803,0.0008872817793402803,0.0008872817793402803,0.0008872817793402803,0.0008872817793402803,0.0008872817793402803,0.0008872817793402803,0.0008872817793402803,0.0008872817793402803,0.0008872817793402803,0.0008872817793402803,0.0008872817793402803,0.0008872817793402803,0.0008872817793402803
13,13,14718252.0,0.0002148269531149338,4654.909384042669,0.41403822551578257,0.41403822551578257,0.41403822551578257,0.41403822551578257,0.41403822551578257,0.41403822551578257,0.41403822551578257,0.41403822551578257,0.41403822551578257,0.41403822551578257,0.41403822551578257,0.41403822551578257,0.41403822551578257,0.41403822551578257,0.41403822551578257,0.41403822551578257,0.41403822551578257,0.41403822551578257,0.41403822551578257,0.41403822551578257,0.0008872939977473841,0.0008872939977473841,0.0008872939977473841,0.0008872939977473841,0.0008872939977473841,0.0008872939977473841,0.0008872939977473841,0.0008872939977473841,0.0008872939977473841,0.0008872939977473841,0.0008872939977473841,0.0008872939977473841,0.0008872939977473841,0.0008872939977473841,0.0008872939977473841,0.0008872939977473841,0.0008872939977473841,0.0008872939977473841,0.0008872939977473841,0.0008872939977473841
14,14,14753987.0,0.0002148269531149338,4654.909384042669,0.4140382255150102,0.4140382255150102,0.4140382255150102,0.4140382255150102,0.4140382255150102,0.4140382255150102,0.4140382255150102,0.4140382255150102,0.4140382255150102,0.4140382255150102,0.4140382255150102,0.4140382255150102,0.4140382255150102,0.4140382255150102,0.4140382255150102,0.4140382255150102,0.4140382255150102,0.4140382255150102,0.4140382255150102,0.4140382255150102,0.0008872939977475501,0.0008872939977475501,0.0008872939977475501,0.0008872939977475501,0.0008872939977475501,0.0008872939977475501,0.0008872939977475501,0.0008872939977475501,0.0008872939977475501,0.0008872939977475501,0.0008872939977475501,0.0008872939977475501,0.0008872939977475501,0.0008872939977475501,0.0008872939977475501,0.0008872939977475501,0.0008872939977475501,0.0008872939977475501,0.0008872939977475501,0.0008872939977475501
15,15,14819985.0,0.0002148269531149338,4654.909384042669,0.4136728568916378,0.4136728568916378,0.4136728568916378,0.4136728568916378,0.4136728568916378,0.4136728568916378,0.4136728568916378,0.4136728568916378,0.4136728568916378,0.4136728568916378,0.4136728568916378,0.4136728568916378,0.4136728568916378,0.4136728568916378,0.4136728568916378,0.4136728568916378,0.4136728568916378,0.4136728568916378,0.4136728568916378,0.4136728568916378,0.0008873724966116946,0.0008873724966116946,0.0008873724966116946,0.0008873724966116946,0.0008873724966116946,0.0008873724966116946,0.0008873724966116946,0.0008873724966116946,0.0008873724966116946,0.0008873724966116946,0.0008873724966116946,0.0008873724966116946,0.0008873724966116946,0.0008873724966116946,0.0008873724966116946,0.0008873724966116946,0.0008873724966116946,0.0008873724966116946,0.0008873724966116946,0.0008873724966116946
16,16,14820968.0,0.0002148269531149338,4654.909384042669,0.41363127926125287,0.41363127926125287,0.41363127926125287,0.41363127926125287,0.41363127926125287,0.41363127926125287,0.41363127926125287,0.41363127926125287,0.41363127926125287,0.41363127926125287,0.41363127926125287,0.41363127926125287,0.41363127926125287,0.41363127926125287,0.41363127926125287,0.41363127926125287,0.41363127926125287,0.41363127926125287,0.41363127926125287,0.41363127926125287,0.0008873814294994988,0.0008873814294994988,0.0008873814294994988,0.0008873814294994988,0.0008873814294994988,0.0008873814294994988,0.0008873814294994988,0.0008873814294994988,0.0008873814294994988,0.0008873814294994988,0.0008873814294994988,0.0008873814294994988,0.0008873814294994988,0.0008873814294994988,0.0008873814294994988,0.0008873814294994988,0.0008873814294994988,0.0008873814294994988,0.0008873814294994988,0.0008873814294994988
17,17,14934801.0,0.0002148269531149338,4654.909384042669,0.41362662528223837,0.41362662528223837,0.41362662528223837,0.41362662528223837,0.41362662528223837,0.41362662528223837,0.41362662528223837,0.41362662528223837,0.41362662528223837,0.41362662528223837,0.41362662528223837,0.41362662528223837,0.41362662528223837,0.41362662528223837,0.41362662528223837,0.41362662528223837,0.41362662528223837,0.41362662528223837,0.41362662528223837,0.41362662528223837,0.0008873824293994986,0.0008873824293994986,0.0008873824293994986,0.0008873824293994986,0.0008873824293994986,0.0008873824293994986,0.0008873824293994986,0.0008873824293994986,0.0008873824293994986,0.0008873824293994986,0.0008873824293994986,0.0008873824293994986,0.0008873824293994986,0.0008873824293994986,0.0008873824293994986,0.0008873824293994986,0.0008873824293994986,0.0008873824293994986,0.0008873824293994986,0.0008873824293994986
18,18,14964417.0,0.0002148269531149338,4654.909384042669,0.41362662528022,0.41362662528022,0.41362662528022,0.41362662528022,0.41362662528022,0.41362662528022,0.41362662528022,0.41362662528022,0.41362662528022,0.41362662528022,0.41362662528022,0.41362662528022,0.41362662528022,0.41362662528022,0.41362662528022,0.41362662528022,0.41362662528022,0.41362662528022,0.41362662528022,0.41362662528022,0.0008873824293999322,0.0008873824293999322,0.0008873824293999322,0.0008873824293999322,0.0008873824293999322,0.0008873824293999322,0.0008873824293999322,0.0008873824293999322,0.0008873824293999322,0.0008873824293999322,0.0008873824293999322,0.0008873824293999322,0.0008873824293999322,0.0008873824293999322,0.0008873824293999322,0.0008873824293999322,0.0008873824293999322,0.0008873824293999322,0.0008873824293999322,0.0008873824293999322
19,19,14968887.0,0.0002148269531149338,4654.909384042669,0.41358049271350833,0.41358049271350833,0.41358049271350833,0.41358049271350833,0.41358049271350833,0.41358049271350833,0.41358049271350833,0.41358049271350833,0.41358049271350833,0.41358049271350833,0.41358049271350833,0.41358049271350833,0.41358049271350833,0.41358049271350833,0.41358049271350833,0.41358049271350833,0.41358049271350833,0.41358049271350833,0.41358049271350833,0.41358049271350833,0.0008873923409086829,0.0008873923409086829,0.0008873923409086829,0.0008873923409086829,0.0008873923409086829,0.0008873923409086829,0.0008873923409086829,0.0008873923409086829,0.0008873923409086829,0.0008873923409086829,0.0008873923409086829,0.0008873923409086829,0.0008873923409086829,0.0008873923409086829,0.0008873923409086829,0.0008873923409086829,0.0008873923409086829,0.0008873923409086829,0.0008873923409086829,0.0008873923409086829
