,index,blocknum,p0vs1,p1vs0,WBTC-slippagemap_01,WBTC-slippagemap_2,WBTC-slippagemap_3,WBTC-slippagemap_4,WBTC-slippagemap_5,WBTC-slippagemap_6,WBTC-slippagemap_7,WBTC-slippagemap_8,WBTC-slippagemap_9,WBTC-slippagemap_10,WBTC-slippagemap_11,DAI-slippagemap_01,DAI-slippagemap_2,DAI-slippagemap_3,DAI-slippagemap_4,DAI-slippagemap_5,DAI-slippagemap_6,DAI-slippagemap_7,DAI-slippagemap_8,DAI-slippagemap_9,DAI-slippagemap_10
245,245,13366220.0,55834.72676426552,1.7910000781807436e-05,0.00252111782554272,0.025223296626072388,0.047699596147341136,0.06995226392756776,0.09198352498078091,0.09210465727330724,0.09222458433967844,0.09234331817037023,0.09246087063896274,0.09257725349918557,0.09269247838817962,3632.7343370985686,4865.676140088886,6086.350583873965,7294.879720448728,8491.384388422952,9675.984224663362,10848.797679751915,12009.942024851645,13159.533374769371,14297.686663982153
246,246,13371351.0,54157.55828132961,1.8464643380068004e-05,0.01475379973615558,0.037684127823650125,0.06038630662417979,0.08286260614544853,0.10511527392567516,0.1271465349788883,0.12726766727141464,0.12738759433778585,0.12750632816847762,0.12762388063707014,0.12774026349729295,2931.9474845499713,4152.621928335049,5361.151064909814,6557.655732884036,7742.255569124447,8915.069024212999,10076.21336931273,11225.804719230457,12363.958008443238,13490.78704661058
247,247,13377732.0,55445.26784596093,1.8035804295836725e-05,0.010612179857084694,0.03331435865761436,0.05579065817888311,0.07804332595910973,0.1000745870123229,0.10019571930484922,0.10031564637122041,0.1004343802019122,0.10055193267050473,0.10066831553072754,0.1007835404197216,3182.52558298249,4415.467385972807,5636.141829757886,6844.670966332649,8041.175634306872,9225.775470547283,10398.588925635835,11559.733270735567,12709.324620653293,13847.477909866075
248,248,13380475.0,54871.65370403776,1.8224345950893302e-05,0.022545589856442397,0.04524776865697207,0.06772406817824081,0.08997673595846743,0.1120079970116806,0.11212912930420692,0.11224905637057812,0.11236779020126991,0.11248534266986243,0.11260172553008524,0.1127169504190793,2524.2884985934916,3757.2303015838093,4977.904745368887,6186.433881943651,7382.938549917873,8567.538386158285,9740.351841246837,10901.496186346569,12051.087536264295,13189.240825477076
249,249,13382114.0,54608.913982791375,1.8312028697643115e-05,0.0050818417686536235,0.028012169856148166,0.050714348656677836,0.07319064817794659,0.0954433159581732,0.11747457701138636,0.1175957093039127,0.11771563637028389,0.11783437020097567,0.1179519226695682,0.118068305529791,3457.969804007185,4678.644247792263,5887.173384367027,7083.67805234125,8268.27788858166,9441.091343670212,10602.235688769944,11751.82703868767,12889.980327900452,14016.809366067795
250,250,13389891.0,55423.09528224062,1.804301969977546e-05,0.011021634386711525,0.03372381318724119,0.05620011270850994,0.07845278048873656,0.10048404154194972,0.10060517383447605,0.10072510090084724,0.10084383473153903,0.10096138720013155,0.10107777006035436,0.10119299494934843,3159.8268874885175,4392.768690478835,5613.443134263914,6821.972270838677,8018.4769388129,9203.07677505331,10375.890230141864,11537.034575241594,12686.62592515932,13824.779214372102
251,251,13397740.0,56429.69286994022,1.772116680317242e-05,0.013218738635767393,0.03569503815703614,0.057947705937262756,0.07997896699047592,0.08010009928300224,0.08022002634937345,0.08033876018006524,0.08045631264865775,0.08057269550888056,0.08068792039787463,0.08080199883712472,3061.27574968739,4306.608208560549,5539.550011550868,6760.224455335945,7968.7535919107095,9165.258259884931,10349.858096125343,11522.671551213894,12683.815896313627,13833.407246231352
252,252,13403106.0,57345.51774339098,1.7438154529788845e-05,0.017482672909816036,0.039735340690042656,0.06176660174325582,0.06188773403578215,0.06200766110215335,0.06212639493284513,0.062243947401437655,0.06236033026166046,0.062475555150654526,0.06258963358990462,0.06270257698585796,2839.481700392004,4097.32932536531,5342.661784238469,6575.603587228787,7796.278031013865,9004.80716758863,10201.311835562852,11385.911671803262,12558.725126891815,13719.869471991546
253,253,13405727.0,55661.915747165556,1.7965605146296505e-05,0.006123594586197343,0.02882577338672701,0.05130207290799576,0.07355474068822238,0.09558600174143554,0.09570713403396186,0.09582706110033307,0.09594579493102486,0.09606334739961737,0.09617973025984018,0.09629495514883425,3431.889431974535,4664.831234964852,5885.505678749931,7094.034815324695,8290.539483298917,9475.139319539328,10647.95277462788,11809.097119727612,12958.688469645338,14096.84175885812
254,254,13405727.0,55661.915747165556,1.7965605146296505e-05,0.006123594586197343,0.02882577338672701,0.05130207290799576,0.07355474068822238,0.09558600174143554,0.09570713403396186,0.09582706110033307,0.09594579493102486,0.09606334739961737,0.09617973025984018,0.09629495514883425,3431.889431974535,4664.831234964852,5885.505678749931,7094.034815324695,8290.539483298917,9475.139319539328,10647.95277462788,11809.097119727612,12958.688469645338,14096.84175885812
