,index,blocknum,p0vs1,p1vs0,WBTC-slippagemap_01,WBTC-slippagemap_2,WBTC-slippagemap_3,WBTC-slippagemap_4,WBTC-slippagemap_5,WBTC-slippagemap_6,WBTC-slippagemap_7,WBTC-slippagemap_8,WBTC-slippagemap_9,WBTC-slippagemap_10,WBTC-slippagemap_11,WETH-slippagemap_01,WETH-slippagemap_2,WETH-slippagemap_3,WETH-slippagemap_4,WETH-slippagemap_5,WETH-slippagemap_6,WETH-slippagemap_7,WETH-slippagemap_8,WETH-slippagemap_9,WETH-slippagemap_10
1571,1571,15406815.0,12.919914237094764,0.07739989458512574,0.16837555665071746,0.4059253949292903,0.6549707262792114,0.9037431607771695,1.1500403865786586,1.3939449489078481,1.6354227339443013,1.8744979007739786,2.1111943486749953,2.3100192107634174,2.4969647830416917,7.054668435514919,7.944089611414624,8.824661336490468,9.561289932780543,10.290589333579053,11.012632432271792,11.727491435807613,12.435237821121294,12.733012588735592,13.027824602175757
1572,1572,15407612.0,12.918622374857277,0.07740763457458426,0.16928851665066832,0.40683835492924114,0.6558836862791623,0.9046561207771204,1.1509533465786095,1.394857908907799,1.6363356939442522,1.8754108607739295,2.112107308674946,2.3109321707633685,2.4978777430416423,7.042872998026622,7.932294173926326,8.812865899002173,9.549494495292246,10.278793896090756,11.000836994783494,11.715695998319317,12.423442383632999,12.721217151247295,13.01602916468746
1573,1573,15408994.0,12.83621130883628,0.07790460720381046,0.007048405434840467,0.24698553664648717,0.48453537492506,0.7335807062749811,0.9823531407729392,1.2286503665744284,1.472554928903618,1.7140327139400708,1.9531078807697484,2.189804328670765,2.388629190759187,6.931720524348856,7.8122922494247025,8.548920845714775,9.278220246513285,10.000263345206024,10.715122348741847,11.422868734055529,11.720643501669825,12.01545551510999,12.307334237062921
1574,1574,15409705.0,12.784971573332239,0.07821683405897185,0.054464685432288856,0.29440181664393555,0.5319516549225084,0.7809969862724294,1.0297694207703876,1.2760666465718766,1.5199712089010662,1.7614489939375193,2.000524160767197,2.2372206086682134,2.4360454707566355,6.324259776816529,7.204831501892374,7.941460098182448,8.670759498980958,9.392802597673697,10.107661601209518,10.8154079865232,11.113182754137497,11.407994767577662,11.699873489530594
1575,1575,15410385.0,12.774748197129567,0.07827942943131325,0.06457717543174467,0.30451430664339135,0.5420641449219642,0.7911094762718853,1.0398819107698434,1.2861791365713324,1.5300836989005222,1.771561483936975,2.0106366507666524,2.2473330986676694,2.4461579607560915,6.195014603713813,7.075586328789659,7.812214925079733,8.541514325878243,9.26355742457098,9.978416428106803,10.686162813420484,10.983937581034782,11.278749594474947,11.570628316427879
1576,1576,15413402.0,12.758152643683973,0.07838125376992242,0.08402432172417894,0.33538809286239424,0.5842508798826501,0.8444965999769146,1.104357982813036,1.3616338253501672,1.6164077711112845,1.8686467924722607,2.118376125146596,2.365620733461844,2.574888804972749,6.382521560539689,7.405518793198016,8.283155812415796,9.152060651920655,10.012320158644888,10.864020361683322,11.70724642037445,12.13915288209489,12.566762026475285,12.990116587575857
1577,1577,15413971.0,12.781136848830704,0.07824030145577278,0.06154234663019208,0.3129061177684074,0.5617689047886633,0.8220146248829278,1.0818760077190492,1.3391518502561803,1.5939257960172974,1.8461648173782739,2.095894150052609,2.343138758367857,2.552406829878762,6.669621560555144,7.692618793213472,8.57025581243125,9.439160651936112,10.299420158660345,11.151120361698776,11.994346420389904,12.426252882110347,12.853862026490741,13.277216587591312
1578,1578,15415010.0,12.928960890694961,0.07734573632438668,0.16699686610781309,0.415859653128069,0.6761053732223334,0.9359667560584548,1.193242598595586,1.4480165443567032,1.7002555657176797,1.9499848983920147,2.197229506707263,2.406497578218168,2.603782453870273,7.512099496466351,8.545377508583698,9.568374741242026,10.446011760459804,11.314916599964665,12.175176106688898,13.026876309727331,13.87010236841846,14.3020088301389,14.729617974519295
1579,1579,15416462.0,12.944484179722993,0.07725298174232846,0.1524578490788285,0.40132063609908447,0.6615663561933489,0.9214277390294703,1.1787035815666014,1.4334775273277187,1.685716548688695,1.9354458813630302,2.182690489678278,2.3919585611891834,2.5892434368412887,7.700199496476476,8.733477508593824,9.756474741252152,10.634111760469931,11.50301659997479,12.363276106699024,13.214976309737457,14.058202368428585,14.490108830149026,14.91771797452942
1580,1580,15417813.0,13.167726983645053,0.07594325134793939,0.1875338389979908,0.4477795590922552,0.7076409419283767,0.9649167844655078,1.219690730226625,1.4719297515876013,1.7216590842619366,1.9689036925771846,2.17817176408809,2.3754566397401953,2.5716247817984907,7.295026070334874,10.491398484206957,11.524676496324306,12.547673728982632,13.425310748200411,14.29421558770527,15.154475094429506,16.006175297467937,16.849401356159067,17.281307817879508
