,index,blocknum,p0vs1,p1vs0,SUSHI-slippagemap_01,SUSHI-slippagemap_2,SUSHI-slippagemap_3,SUSHI-slippagemap_4,SUSHI-slippagemap_5,SUSHI-slippagemap_6,SUSHI-slippagemap_7,SUSHI-slippagemap_8,SUSHI-slippagemap_9,SUSHI-slippagemap_10,SUSHI-slippagemap_11,SUSHI-slippagemap_12,SUSHI-slippagemap_13,SUSHI-slippagemap_14,SUSHI-slippagemap_15,SUSHI-slippagemap_16,SUSHI-slippagemap_17,SUSHI-slippagemap_18,SUSHI-slippagemap_19,SUSHI-slippagemap_20,WETH-slippagemap_01,WETH-slippagemap_2,WETH-slippagemap_3,WETH-slippagemap_4,WETH-slippagemap_5,WETH-slippagemap_6,WETH-slippagemap_7,WETH-slippagemap_8,WETH-slippagemap_9,WETH-slippagemap_10,WETH-slippagemap_11,WETH-slippagemap_12,WETH-slippagemap_13,WETH-slippagemap_14,WETH-slippagemap_15,WETH-slippagemap_16,WETH-slippagemap_17,WETH-slippagemap_18,WETH-slippagemap_19,WETH-slippagemap_20
4617,4617,16804865.0,0.0007458843780350502,1340.690366292949,577.31698211894,1529.2746450113225,2475.5379566357337,2946.5448706320817,3884.330443994549,5181.668928165765,5827.425146982995,7113.140549288292,8391.165141609463,8848.252391414753,9758.323567365316,10729.778115573843,11213.32408523247,12176.075188393486,13133.067377681115,13611.519751444754,14564.129389134814,15511.040757298366,15982.370259989975,16920.798089395103,1.3452716477589362,2.047301242851948,2.3967397051726786,3.0924796869487374,3.397529899476334,3.5493700493654448,3.8516872677472183,4.152196101865153,4.301775756569817,4.599592279908977,4.895627343900392,5.042980158910464,5.3363629930646805,5.62799088659429,5.773150010681053,6.062165158704381,6.349451493833326,6.492449591961427,6.777162079435915,7.060171489969185
4618,4618,16805554.0,0.0007493231774120306,1334.5376603106588,690.6483623578588,1639.7545819307552,2583.183487675608,3052.779581947043,4170.611260214187,5464.063764026521,6107.885702789218,7389.749936502886,8484.89100845828,8940.609116109385,9881.41800792056,10849.962702275998,11332.06027742003,12291.927610757602,13248.158368488279,13725.177601831221,14674.933840548623,15619.0088770335,16088.926573824952,17024.54348033611,1.2647858758160977,1.9689246082059166,2.319412908285048,3.017243137519306,3.5173452360982256,3.669641564909434,3.9728670506312986,4.274278718939876,4.424307767298253,4.723019036717367,5.019943491390311,5.167739009333492,5.462003267064697,5.754507313515632,5.9001025520273895,6.189986003975532,6.47813544861691,6.621563159266426,6.907131025216201,7.190990694399846
4619,4619,16806980.0,0.0007368403217323077,1357.1461421234458,597.0129762099373,1554.0915124578169,2506.049175350199,2979.890495226106,3923.3194009709587,4861.104974333426,5510.747173509537,6804.1996773218725,8089.915079627169,8729.885849798236,9825.02692175363,10735.098097704195,11221.553921215911,12190.098615571349,13152.849718732363,13632.063524052954,14588.29428178363,15540.90391947369,16015.069753843974,16959.14479032885,1.3222868817943512,2.0201171110286094,2.3674653258911404,2.6725155384187373,2.9757410241406017,3.1266729066896217,3.427181740807556,3.7258930102266703,3.8745779188513803,4.170612982842796,4.464877240574,4.611348632007084,4.902976525536693,5.192859977484836,5.3371507976467845,5.624437132775729,5.910004998725505,6.052147718378319,6.335157128911589,6.6164736504410415
4620,4620,16807832.0,0.0007206635024546128,1387.6101628484782,941.4853169938083,1904.2982028035387,2863.644383770585,3341.7693050382427,4293.7269679306255,5239.990279555037,5710.997193551384,6648.782766913852,7946.121251085067,8591.877469902298,9877.592872207595,11155.617464528767,11612.704714334057,12522.77589028462,13494.230438493147,13977.776408151774,14940.527511312788,15897.519700600416,16375.972074364056,17328.581712054118,1.0647213570062204,1.3697715695338173,1.5216117194229282,1.8239289378047017,2.1244377719226364,2.2740174266272994,2.5718339499664604,2.8678690139578755,3.0152218289679475,3.3086046631221633,3.6002325566517728,3.7453916807385363,4.034406828761865,4.321693163890809,4.464691262018911,4.749403749493399,5.032413160026668,5.173282397981964,5.453756278590122,5.732552435877468
4621,4621,16809471.0,0.0007308232357100966,1368.3199317388433,776.1254424166668,1735.4716233837132,2690.289307846763,3165.554207543753,4111.817519168165,5052.420527435947,5520.61000652698,6817.948490698195,8107.526648278123,8749.420111820722,10027.444704141893,10940.25006159829,11394.603129897747,12366.057678106274,13331.701222908934,13812.354750925917,14769.346940213545,15724.818547320127,16200.408951667245,17147.320319830797,1.1877482175072411,1.8834881992832997,2.036242082999688,2.3403785617000072,2.642695780081781,2.793175565841339,3.0927842689043787,3.3906007922435397,3.5388403382917737,3.833988671245027,4.127371505399243,4.273404160417095,4.564158523015616,4.853173671038944,4.997032295518372,5.28345810429599,5.568170591770478,5.709887541301309,5.9920492402590435,6.272523120867201
4622,4622,16810021.0,0.0007258707428860217,1377.6557462890096,838.8818896560776,1799.9588312293697,2757.037367477249,3233.7301306726417,4182.836350245539,5126.265255990391,5595.861350261826,6713.69302852897,8007.145532341305,8650.967471104002,9932.83170481767,11027.972776773064,11483.690884424168,12424.499776235343,13393.044470590781,13875.142045734814,14835.009379072386,15791.240136803062,16268.259370146005,17218.015608863407,1.140310383192504,1.6404124817714236,1.7927088105826323,2.0959342963044967,2.397345964613075,2.547375012971451,2.8460862823905653,3.1430107370635096,3.2908062550066903,3.5850705127378952,3.877574559188831,4.023169797700588,4.313053249648731,4.601202694290108,4.744630404939625,5.030198270889399,5.314057940073044,5.455350401075483,5.736666922604936,6.0163006851571526
4623,4623,16810936.0,0.0007359566878135705,1358.7756135090872,694.0234873992044,1651.102023647084,2603.0596865394664,3076.901006415373,4020.329912160226,4958.115485522693,5607.757684698804,6901.21018851114,8186.925590816436,8826.896360987505,9922.037432942898,10832.10860889346,11318.564432405177,12287.109126760615,13249.860229921629,13729.07403524222,14685.304792972896,15637.914430662957,16112.08026503324,17056.15530151812,1.2508458611707185,1.9486760904049765,2.296024305267508,2.6010745177951047,2.904300003516969,3.055231886065989,3.3557407201839236,3.6544519896030376,3.8031368982277476,4.099171962219163,4.393436219950368,4.539907611383451,4.83153550491306,5.121418956861203,5.265709777023152,5.552996112152097,5.838563978101872,5.980706697754686,6.263716108287956,6.545032629817409
4624,4624,16811749.0,0.0007672933436041078,1303.2825168309546,699.582544541681,1637.3681179041484,2934.706602075364,3580.4628208925947,4866.178223197891,6144.202815519063,6601.290065324353,7511.361241274916,8482.815789483442,8966.361759142072,9929.112862303085,10886.105051590714,11364.557425354353,12317.167063044413,13264.078431207965,13735.407933899574,14673.8357633047,15607.447289639822,16072.554699085711,16998.594190409247,1.2677872086178243,1.9830396324124586,2.3386086313969496,3.0457100117792053,3.747739606872217,4.097178069192948,4.792918050969006,5.097968263496603,5.249808413385714,5.552125631767487,5.852634465885422,6.002214120590086,6.300030643929246,6.596065707920662,6.7434185229307335,7.03680135708495,7.328429250614559,7.473588374701323,7.762603522724651,8.049889857853596
4625,4625,16813016.0,0.0007595071180575069,1316.643354913606,566.2099062109542,1509.638811955807,2447.4243853182743,3097.0665844943856,4390.519088306721,5676.234490612017,6316.205260783086,7411.346332738479,8321.417508689043,8807.87333220076,9776.418026556197,10739.169129717211,11218.382935037802,12174.613692768478,13127.223330458539,13601.389164828823,14545.4642013137,15483.892030718827,15950.998804616309,16882.610966499837,1.3646112019859702,2.0746841439767785,2.427281581352717,3.1293111764457286,3.8271414056799866,4.174489620542518,4.479539833070115,4.782765318791979,4.933697201340999,5.234206035458934,5.532917304878048,5.6816022135027575,5.977637277494173,6.2719015352253775,6.418372926658461,6.71000082018807,6.999884272136213,7.144175092298163,7.431461427427108,7.717029293376882
4626,4626,16813589.0,0.000745213417619755,1341.8974703837791,651.439138639273,1603.3968015316555,2549.660113156067,3020.667027152415,3958.4526005148823,5255.791084686098,5901.547303503328,7187.2627058086255,8465.287298129797,8922.374547935087,9832.44572388565,10803.900272094177,11287.446241752805,12250.197344913819,13207.189534201447,13685.641907965086,14638.251545655146,15585.162913818698,16056.492416510308,16994.920245915433,1.2900076770215503,1.992037272114562,2.3414757344352926,3.0372157162113513,3.3422659287389482,3.494106078628059,3.7964232970098326,4.096932131127767,4.24651178583243,4.544328309171592,4.840363373163006,4.987716188173079,5.281099022327294,5.5727269158569035,5.717886039943667,6.006901187966996,6.294187523095941,6.4371856212240415,6.72189810869853,7.004907519231799
4627,4627,16815041.0,0.0007336055078637648,1363.1304417437748,952.5683048210458,1909.6468410689251,2861.6045039613077,3335.4458238372144,4278.874729582067,5216.660302944534,5866.302502120646,7159.755005932981,8445.470408238278,9085.441178409346,10180.58225036474,11090.653426315303,11577.109249827019,12545.653944182457,13508.40504734347,13987.618852664062,14943.849610394738,15896.459248084799,16370.625082455083,17314.70011893996,1.0608687220594317,1.7586989512936895,2.106047166156221,2.411097378683818,2.7143228644056823,2.8652547469547023,3.165763581072637,3.464474850491751,3.613159759116461,3.909194823107876,4.203459080839081,4.349930472272164,4.641558365801774,4.931441817749916,5.075732637911865,5.36301897304081,5.648586838990585,5.790729558643399,6.073738969176669,6.355055490706122
4628,4628,16815672.0,0.0007360302834823518,1358.639749534134,683.3033917601928,1640.3819280080722,2592.339590900455,3066.1809107763615,4009.609816521214,4947.395389883682,5597.0375890597925,6890.490092872128,8176.205495177424,8816.176265348493,9911.317337303886,10821.38851325445,11307.844336766166,12276.389031121604,13239.140134282618,13718.353939603208,14674.584697333885,15627.194335023945,16101.36016939423,17045.43520587911,1.2587361613035761,1.9565663905378339,2.3039146054003656,2.608964817927962,2.9121903036498265,3.0631221861988465,3.363631020316781,3.662342289735895,3.8110271983606054,4.10706226235202,4.4013265200832254,4.547797911516308,4.839425805045918,5.129309256994061,5.27360007715601,5.560886412284955,5.84645427823473,5.9885969978875435,6.271606408420813,6.552922929950267
4629,4629,16817106.0,0.0007283427798936802,1372.9799039759478,566.4631968776687,1527.5401384509607,2484.61867469884,2961.3114378942328,3910.417657467129,4853.846563211982,5323.442657483417,6441.274335750561,7734.726839562896,8378.548778325592,9660.41301203926,10755.554083994653,11211.27219164576,12152.081083456935,13120.625777812373,13602.723352956406,14562.590686293977,15518.821444024654,15995.840677367596,16945.596916084996,1.3383998654783889,1.8385019640573086,1.990798292868517,2.2940237785903816,2.5954354468989598,2.745464495257336,3.04417576467645,3.341100219349394,3.4888957372925753,3.78315999502378,4.075664041474716,4.221259279986473,4.511142731934616,4.799292176575993,4.942719887225509,5.228287753175285,5.512147422358929,5.653439883361368,5.9347564048908215,6.214390167443038
4630,4630,16818003.0,0.0007164959600693601,1395.6812818640253,924.867272203821,1890.5727940619972,2851.6497356352893,3330.6033506155113,4285.4210350785615,5234.527254651458,5706.949246399962,6647.552254667746,7765.383932934889,8413.080217929994,9702.658375509922,10984.52260922359,11622.576431373693,12535.381788830087,13476.190680641263,13961.189405338073,14926.832950140733,15886.700283478305,16364.478667445343,17319.950274551924,0.8819110162010902,1.1860474949014097,1.3374328307341632,1.6388444990427413,1.9384532021057812,2.0875848168202316,2.384509271493176,2.679657604446429,2.826569047167562,3.119073093618497,3.409827456217018,3.5545517840783973,3.842701228719775,4.129127037497392,4.271696805319066,4.555556474502711,4.837718173460446,4.978165457034603,5.257799219586819,5.5357602858339
4631,4631,16818635.0,0.0007124949958928658,1403.5186292738044,895.5588571849362,1864.165711539586,2826.9785973493163,3307.371163336141,4264.44969958402,5216.407362476403,5690.2486823523095,6633.677588097162,7571.463161459629,8221.10536063574,9514.557864448076,10800.273266753373,11440.244036924441,12535.385108879835,13445.456284830398,13931.912108342114,14900.456802697552,15863.207905858566,16342.421711179157,17298.652468909833,0.7085744013169257,1.01179988703879,1.16273176958781,1.4632406037057446,1.7619518731248585,1.9106367817495689,2.206671845740984,2.500936103472189,2.6474074949052717,2.939035388434881,3.2289188403830242,3.373209660544973,3.660495995673918,3.946063861623693,4.088206581276507,4.371215991809777,4.65253251333923,4.79255911037323,5.071355267660577,5.34848374236929
