,index,blocknum,p0vs1,p1vs0,UNI-slippagemap_01,UNI-slippagemap_2,UNI-slippagemap_3,UNI-slippagemap_4,UNI-slippagemap_5,UNI-slippagemap_6,UNI-slippagemap_7,UNI-slippagemap_8,UNI-slippagemap_9,UNI-slippagemap_10,UNI-slippagemap_11,UNI-slippagemap_12,UNI-slippagemap_13,UNI-slippagemap_14,UNI-slippagemap_15,UNI-slippagemap_16,UNI-slippagemap_17,UNI-slippagemap_18,UNI-slippagemap_19,UNI-slippagemap_20,WBTC-slippagemap_01,WBTC-slippagemap_2,WBTC-slippagemap_3,WBTC-slippagemap_4,WBTC-slippagemap_5,WBTC-slippagemap_6,WBTC-slippagemap_7,WBTC-slippagemap_8,WBTC-slippagemap_9,WBTC-slippagemap_10,WBTC-slippagemap_11,WBTC-slippagemap_12,WBTC-slippagemap_13,WBTC-slippagemap_14,WBTC-slippagemap_15,WBTC-slippagemap_16,WBTC-slippagemap_17,WBTC-slippagemap_18,WBTC-slippagemap_19,WBTC-slippagemap_20
101,101,13240555.0,0.0005412540901166927,1847.5610960914921,0.8117426762376488,1.899535464976212,2.980823428311493,3.5190402728943897,4.590642914022505,5.655833727165499,6.186035362648666,7.241686432240383,8.29102148637548,8.81332422296089,9.853261050406495,10.886979585002173,11.401512954880925,12.425956535964811,13.44428117793601,13.951158481324496,34.75391956923101,45.60940773542259,46.108727864002624,47.10290468391908,0.0010372237360247274,0.0016224698640506018,0.0019137865107440916,0.0024937955918331507,0.0030703313561969573,0.0033573089839216614,0.003928682777506514,0.004496635925135075,0.004779335578658814,0.005342210035488037,0.00590170272596317,0.006180201944980877,0.006734688037834185,0.007285855841418831,0.0075602099705365695,0.008106441411290024,0.008649403891135842,0.008919664601432462,0.009457768668865399,0.009992648266587602
102,102,13249496.0,0.0005153731935598579,1940.3415088252068,0.926910277495483,2.0411367270239573,3.14868790337873,3.6999710663834784,4.797598420314435,5.888665402215697,6.4317395924444,7.513027555779681,8.587855697442656,9.122847041490694,10.188037854633686,11.246856782987456,11.77389055970857,12.823225613843666,13.866279590195097,14.385465177874684,15.419183712470362,16.446700193968113,16.958160663433,17.976485305404196,0.0009634061526251279,0.0015347799462099812,0.0018191796102438997,0.0023854327473622804,0.0029483072041915034,0.003228476451647691,0.003786299113684344,0.004340785206537652,0.0046167864070137555,0.005166307139240036,0.005712538579993491,0.005984430878366325,0.006525761770135929,0.007063865837568866,0.007331704733500594,0.007864990917663163,0.008395077654987869,0.008658935246522092,0.00918427406922813,0.009706476278591569
103,103,13255416.0,0.0005098883707544111,1961.2135858686847,0.8132430673350463,1.9341663683623718,3.0483928178908464,3.602988437061278,4.707227157250367,5.804854511181324,6.351202894572726,7.438995683311289,8.52028364664657,9.058500491229466,10.130103132357581,11.195293945500575,11.725495580983743,12.78114665057546,13.830481704710555,14.352784441295967,15.392721268741573,16.42643980333725,16.940973173216,17.965416754299888,0.0010184083463846425,0.0015863614940132028,0.0018690611475369414,0.0024319356043661644,0.0029914282948412976,0.003269927513859005,0.0038244136067123132,0.0043755814102969595,0.004649935539414698,0.005196166980168152,0.00573912946001397,0.00600939017031059,0.006547494237743527,0.00708237383546573,0.0073486193178378244,0.00787870605516253,0.008405628060079419,0.00866790246940279,0.00919010467876623,0.009709176124144387
104,104,13268688.0,0.0004815425902975084,2076.659510807084,1.1426791611346705,2.2942737436149785,3.4389773837104873,4.008759446479037,5.14322066150845,6.270881816166376,6.832186468208803,7.949758513112117,9.060627185892608,9.613582743076948,10.714496390675327,11.808841643404056,12.353560241913916,13.4380987727546,14.516139240060797,15.052750537140875,16.12114590123761,17.183134329815072,17.711751622685675,18.764236499277565,0.0008431168903779378,0.0013959464113468658,0.0016711130144554086,0.002218991534578216,0.0027635908826994346,0.0030346610641724197,0.003574375764922573,0.004110864737833704,0.00437790543962418,0.004909593995909589,0.0054380952508552025,0.005701159664237869,0.006224921712742847,0.006745560357211024,0.007004707728302837,0.007520675808907046,0.008033558332649886,0.008288854263708062,0.008797142229707464,0.009302387168587932
105,105,13301394.0,0.0004959093811773112,2016.497444807265,0.6131173081557227,1.7509793430740304,2.882046385795902,3.4450217406116113,4.565945041638937,5.680171491167411,6.2347671103378435,7.339005830526932,8.43663318445789,8.98298156784929,10.070774356587854,11.152062319923134,11.690279164506032,12.761881805634147,13.827072618777141,14.35727425426031,15.412925323852026,16.46226037798712,16.98456311457253,18.02449994201814,0.0011084772085997515,0.0016679698990748847,0.001946469118092592,0.0025009552109459,0.0030521230145305464,0.0033264771436482847,0.003872708584401739,0.004415671064247557,0.004685931774544177,0.005224035841977114,0.005758915439699317,0.006025160922071411,0.006555247659396116,0.007082169664313007,0.007344444073636378,0.007866646282999818,0.008385717728377975,0.008644091875647646,0.009158513603358181,0.0096698642637832
106,106,13302146.0,0.0005330896431438138,1875.857114954728,0.5658001612402072,1.663427515171164,2.754494497072426,3.297568687301129,4.3788566506364095,5.453684792299385,5.988676136347422,7.053866949490415,8.112685877844184,8.6397196545653,9.689054708700397,10.732108685051825,11.251294272731412,12.28501280732709,13.312529288824843,13.823989758289729,14.842314400260927,25.766143800035085,36.15195279155593,47.007440957747505,0.0011627736840427413,0.0017427827651318004,0.002031478155610361,0.0026062961572203107,0.0031776699508051644,0.0034620696148390823,0.004028322751957463,0.004591197208786687,0.0048713664562428744,0.005429189118279527,0.005983675211132835,0.006259676411608938,0.006809197143835219,0.007355428584588674,0.007627320882961508,0.008168651774731112,0.008706755842164049,0.008974594738095778,0.009507880922258346,0.010037967659583051
107,107,13304759.0,0.0005408212816311391,1849.0396623889487,0.8901848561283707,1.9779776448669337,3.0592656082022147,3.5974824527851115,4.6690850939132265,5.734275907056221,6.264477542539388,7.320128612131105,8.369463666266201,8.891766402851612,9.931703230297217,10.965421764892895,11.479955134771647,12.504398715855533,13.522723357826731,14.029600661215218,34.83236174912173,45.687849915313315,46.18717004389335,47.1813468638098,0.0009947809093594515,0.001580027037385326,0.0018713436840788159,0.0024513527651678748,0.003027888529531682,0.0033148661572563855,0.0038862399508412387,0.0044541930984697995,0.004736892751993538,0.005299767208822761,0.005859259899297894,0.006137759118315602,0.00669224521116891,0.007243413014753556,0.007517767143871294,0.008063998584624749,0.008606961064470568,0.008877221774767186,0.009415325842200124,0.009950205439922326
108,108,13328939.0,0.0005379088629361359,1859.0509822455308,0.8393364727050351,1.9304034546062971,3.014941985446982,3.554765608170281,4.629593749833257,5.697989113929992,6.229775907024287,7.288594835378055,8.341079711969945,8.864963666234267,9.908017642585698,10.944837872927168,11.460921764860961,12.488438246358713,13.509822609355291,14.018223357794797,24.942052757568955,45.68251741132252,46.183349915281376,47.180502671576555,0.0010205787527741738,0.0016040825139119375,0.0018945208235775478,0.002472786985479557,0.003047604987089507,0.003333721551869862,0.0039033784447082788,0.00446963158182666,0.004751488938500362,0.00531267528611207,0.005870497948148723,0.006148155720509207,0.006700985241478135,0.007250505973704416,0.007524030364709485,0.008068629712830703,0.008609960604600307,0.008879414595053842,0.009415903567964973,0.009949189752127541
109,109,13366092.0,0.0004167980867988897,2399.2432587208887,0.6511382244441797,1.892409630300774,3.126275066912004,3.7404251467496605,4.96324325212393,6.178727374113599,6.783750212548605,7.988343920643717,9.18573196435954,9.781741242351087,10.968418040735989,12.147979942753322,12.73511629824245,13.904124029571408,15.066116050165698,15.6445223724898,16.796116954970106,17.940820595065617,18.510602657834166,19.645063872863577,0.0010235001101798087,0.00153638263392265,0.0017916785649808266,0.002299966530980228,0.002805211469860696,0.003056695800007877,0.0035574189018438623,0.004055146318329555,0.0043028970586295465,0.004796160998253585,0.005286481404396993,0.005530539178317931,0.00601646128224883,0.006499474569568568,0.006739896504511152,0.007218583583314376,0.007694412361877326,0.007931261613034157,0.008402820693864986,0.008871565227694162
110,110,13366838.0,0.00042492000822957004,2353.384120852538,1.1262750670197066,2.3527456339315793,3.5719015123628703,4.178727374221302,5.386953593654924,6.587927421993659,7.1857319644672435,8.3759609963349,9.559075168283336,10.147979942861024,11.320489262902294,12.485984603977826,13.0661160502734,14.221187897126063,15.369333001892048,15.940820595173319,17.078682630091627,18.209749672813498,18.772725027629207,19.893648328656532,0.0008301720595209466,0.0013492435048991038,0.0016076176521687754,0.002122039379879311,0.0026333900403043304,0.0028879096536981916,0.003394677582772919,0.003898407275331381,0.004149145334806794,0.004648366480794629,0.00514460853395305,0.005391612006670576,0.005883394268143411,0.006372250653641435,0.0066155720427768395,0.007100035065669332,0.007581607979834656,0.007821316917221308,0.008298569958143572,0.00877297308835766
111,111,13376275.0,0.00043134152828575256,2318.348534568937,0.8107758871833846,2.029931765614676,3.241780465908113,3.8449838469067297,5.0459576752454645,6.2397714957105945,6.833991249586706,8.01710542153514,9.19314655160196,9.7785195161541,10.94401485722963,12.102552625849308,12.679218150377867,13.827363255143853,14.968632911193675,15.536712883343432,16.667779926065304,17.79205993292344,18.351678581908338,19.465905031436815,0.0009681498501936223,0.0014903520595570619,0.0017502761338434067,0.0022677976522048906,0.002782219379915426,0.003038274109282269,0.003548089653734307,0.004054857582809034,0.004307102945220315,0.004809325334842909,0.005308546480830745,0.005557037793689174,0.006051792006706692,0.006543574268179526,0.006788372879756612,0.0072757520428129545,0.007760215065705447,0.008001366044928187,0.008481496917257423,0.008958749958179687
112,112,13404331.0,0.00040956793016174743,2441.597416099151,1.2337936623962795,2.4825577319448957,3.72382913780149,4.341683898647682,5.571844654250377,6.7946627596246465,7.403321019755884,8.615169720049321,9.819763428144434,10.419346929386672,11.613160749851803,12.799837548236704,13.390494675676349,14.566535805743168,15.735543537072123,16.317404111370838,17.475941879990515,18.627536462470825,19.20075250928506,20.342022165334882,0.0007796820415417316,0.0012894975859937697,0.0015432659385993096,0.0020485108774797776,0.002550733267102372,0.0028007183094629438,0.003298445725948637,0.003793199938966154,0.004039460405872666,0.004529780812016075,0.005017159975072417,0.0052597606898679115,0.00574277397718765,0.006222904849516885,0.006461882990933457,0.006937711769496408,0.007410687784127529,0.007646120101484068,0.008114864635313244,0.008580801821329826
113,113,13430323.0,0.00044608008801562095,2241.7499163625116,1.0420289452777947,2.239416988993618,3.429646020861275,4.022103065370065,5.201664967387399,6.374174287428668,6.957809054205485,8.119801074799776,9.274872921652436,9.849801979604184,10.994505619699694,12.132367654618001,12.698748897497657,13.826410052155582,14.947333353182907,15.505286749101323,16.616155421881814,17.7203941420709,18.270024626664533,19.364369879393262,0.0008759891487171009,0.0014076777050025103,0.0016723213684139001,0.0021992433733307904,0.0027230054218357683,0.002983719992017601,0.0035027914373957584,0.004018759517999967,0.004275587312375965,0.0047869379728009845,0.005295225938800386,0.005548225515269574,0.0060519552078280355,0.00655267830966402,0.006801914413291284,0.007298156466449705,0.007791420406073743,0.008036942200640065,0.008525798586138089,0.009011720690068989
114,114,13444591.0,0.00042195610213811965,2369.914772965336,1.2355112092368201,2.465671964839515,3.688490070213785,4.297148330345022,5.508997030638459,6.713590738733572,7.313174239975811,8.506988060440941,9.693664858825843,10.284321986265487,11.460363116332307,12.629370847661262,13.211231421959978,14.369769190579653,15.521363773059962,16.0945798198742,17.23584947592402,18.370310690953435,18.93499649079565,20.059276497653787,0.0007829911965499888,0.0013005127149114727,0.0015581066482460097,0.002070989171988851,0.002580804716440889,0.002834573069046429,0.003339818007926897,0.003842040397549491,0.004092025439910063,0.004589752856395756,0.005084507069413274,0.005330767536319786,0.005821087942463194,0.006308467105519537,0.006551067820315031,0.007034081107634769,0.007514211979964005,0.007753190121380577,0.008229018899943527,0.008701994914574648
115,115,13455979.0,0.0003935093288802918,2541.2358147783752,1.0447427595927687,2.3199962258037616,3.5876191109580726,4.218575540960733,5.474847625521955,6.723611695070571,7.3451769029745275,8.582737861773357,9.812898617376051,10.425219104450267,11.644374982881558,12.856223683174996,13.459427064173612,14.660400892512348,15.854214712977477,16.448434466853588,17.631548638802023,18.80758976886884,19.392962733420983,20.558458074496514,0.0008480956940317769,0.0013473168400196126,0.001595808152878042,0.0020905623658955597,0.002582344627368394,0.0028271432389454804,0.0033145224020018228,0.003798985424894315,0.0040401364041170555,0.00452026727644629,0.004997520317368555,0.005235074196425813,0.005708050211056934,0.006178202562768388,0.006412227062242649,0.006878164248259232,0.007341313501247528,0.007571847460715821,0.00803084995085136,0.008487104530573171
116,116,13460664.0,0.00042462268316572737,2355.031984030177,1.1959784549159413,2.4224490218278136,3.641604900259105,4.248430762117537,5.456656981551159,6.657630809889893,7.255435352363478,8.445664384231135,9.62877855617957,10.217683330757259,11.390192650798529,12.555687991874061,13.135819438169635,14.290891285022298,15.439036389788281,16.010523983069554,17.14838601798786,18.279453060709734,18.842428415525443,19.96335171655277,0.000800562418919736,0.0013196338642978932,0.001578008011567565,0.002092429739278101,0.0026037803997031195,0.002858300013096981,0.0033650679421717085,0.00386879763473017,0.004119535694205583,0.004618756840193419,0.00511499889335184,0.005362002366069366,0.0058537846275422,0.006342641013040225,0.006585962402175629,0.007070425425068121,0.007551998339233445,0.007791707276620097,0.008268960317542361,0.008743363447756449
117,117,13477390.0,0.00043419765441753453,2303.0985769406684,0.7459190557611487,1.9614031777508176,3.16962939718444,3.7710197242809356,4.9684077679967595,6.158636799864416,6.751093844373207,7.93065574639054,9.10316506643181,9.686799833208626,10.848791853802917,12.003863700655577,12.578792758607326,13.723496398702835,14.861358433621144,15.427739676500797,16.555400831158725,17.67632413218605,18.234277528104464,19.345146200884955,0.000998165800286458,0.001521927848791436,0.001782642418973269,0.0023017138643514263,0.002817681944955635,0.0030745097393316333,0.0035858603997566524,0.0040941483657560545,0.004347147942225241,0.004850877634783703,0.005351600736619689,0.0056008368402469515,0.006097078893405373,0.006590342833029411,0.006835864627595734,0.007324721013093757,0.007810643117024656,0.008052505425121655,0.008534078339286977,0.009012765418090202
118,118,13479892.0,0.00043419765441753453,2303.0985769406684,0.0067445874571091325,0.017734974282823765,0.02865973527666553,0.03409749641929109,0.0449242588120251,0.055686289540990086,0.06104327609389777,0.07170885481558219,0.08231066421059006,0.08758787987779679,0.09809459202949818,0.10853873208754106,0.11373723088313387,0.1240876217914442,0.13437615102172365,0.13949736061834025,0.1496936536622344,0.15982902314782318,0.1648740282950882,0.17491848400251883,9.02539824493111e-06,1.376124580851397e-05,1.611862253237266e-05,2.081205774199956e-05,2.547743237994976e-05,2.779966494286209e-05,3.242328894582819e-05,3.701922011771774e-05,3.930683799921399e-05,4.386155333992401e-05,4.838908313829019e-05,5.064267176214949e-05,5.512968399433745e-05,5.958976817443355e-05,6.18097720787301e-05,6.62300032291372e-05,7.062370265535732e-05,7.281061754503514e-05,7.716499167112396e-05,8.149327212279034e-05
119,119,14282536.0,0.00034849045799768266,2869.519027136891,409.718331075817,845.1598852034152,1277.9905733480298,1493.4386339628861,1922.3909529803918,2348.7846318022434,2561.019642573609,2983.5942174639495,3403.6375717183805,3612.7154657066494,4028.991804085425,4442.778369915659,4648.748103840406,5058.829944141742,5466.458026970386,5669.353985163095,6073.33200365595,6474.895678102733,6674.771711438967,7072.732814008787,0.08626673737316241,0.0862709884827564,0.08627310452831338,0.08627731752445061,0.08628150531214467,0.08628358979629808,0.08628774008903271,0.08629186553520797,0.0862939190701879,0.0862959663336418,0.0862959663336418,0.0862959663336418,0.0862959663336418,0.0862959663336418,0.0862959663336418,0.0862959663336418,0.0862959663336418,0.0862959663336418,0.0862959663336418,0.0862959663336418
120,120,14282554.0,0.0003482466122251467,2871.5282931553256,0.012317056753591862,0.024560950008035314,0.036731430047560965,0.042789471663111894,0.05485089840456913,0.06684038043350374,0.07280807642417804,0.08469017159390778,0.09650109304359235,0.10238001615414616,0.11408501537424075,0.12572000632566363,0.1315115331377366,0.14304235336065907,0.15450417799902336,0.16020927534290613,0.1715684662347306,0.18285976978208965,0.18847995185495933,0.199669957064838,6.42472708092585e-06,1.067583667491232e-05,1.279188223189272e-05,1.700487836912313e-05,2.11926660631738e-05,2.327715021659311e-05,2.742744295122655e-05,3.155288912648259e-05,3.360642410640296e-05,3.565368756030542e-05,3.565368756030542e-05,3.565368756030542e-05,3.565368756030542e-05,3.565368756030542e-05,3.565368756030542e-05,3.565368756030542e-05,3.565368756030542e-05,3.565368756030542e-05,3.565368756030542e-05,3.565368756030542e-05
121,121,15111898.0,0.0002986936777475266,3347.9115043247034,12.36002358239694,28.031296503788816,43.60864261325743,51.36236282252397,66.80010338576449,82.15204784131419,89.796775340376,105.01742015937529,120.1471768251204,127.67799448006022,142.67239532720149,157.57680103532851,164.99549714487082,179.76633446907007,194.4490127768702,201.75750075673102,216.30848856690156,230.7725929832039,237.9718762783118,252.3062697970888,0.008051197896853572,0.012706320783752972,0.015023487675117509,0.01963698814075742,0.024222879183876302,0.026505433998848235,0.031050270293573056,0.03556789640226004,0.037816472525316176,0.04229367605805514,0.04674397232159763,0.048959123466004256,0.053369694401251284,0.05775370102010068,0.059935895029960724,0.06428079795076787,0.06859952007097282,0.07074927663070381,0.07502943594632117,0.07928398539624866
122,122,15117010.0,0.0003032682717665029,3297.4105539465595,8.110255920565983,23.6876020300346,39.17187803337808,46.87906280254166,62.23100725809135,77.49746189671843,85.09637957615246,100.22613624189756,115.2653028530639,122.75135474397865,137.65576045210568,152.47115396270704,159.84529388584724,174.52797219364737,189.12267208684446,196.38744798367873,210.85155239998107,225.22890317567024,232.38522921386595,246.63417216786632,0.009364155493683812,0.014047377897174994,0.016378516804333342,0.02101966767543893,0.025633168141078844,0.02792951135391492,0.032501613999169655,0.03704645029389448,0.039308609406125974,0.043812652525637596,0.04828985605837656,0.05051836305924923,0.054955303466325676,0.05936587440157271,0.06156117509503644,0.06593207503028214,0.0702769779510893,0.07243956925106021,0.07674545663102522,0.08102561594664258
123,123,15118413.0,0.0002963137796031901,3374.800865957548,15.038377412761646,30.75661881437247,46.38049703669149,54.15758969845038,69.64186570179386,85.0330698516204,92.70099492650714,107.96744956513422,123.14266020891061,130.69612391031336,145.7352905214797,160.6845238140547,168.12574812052145,182.9411416311228,197.6677396764444,204.99795986206317,219.59265975526023,234.10023457611035,241.32154006839687,255.698890844086,0.007243741243790027,0.011884892114895617,0.014195045713977563,0.018794735793371604,0.023366838438626344,0.02564274685083502,0.030173833845582664,0.034677876965094286,0.03691991594398741,0.041383587498705916,0.045820527905782366,0.048029121692562814,0.05242639953449313,0.056797299469738834,0.05897306559262581,0.06330479369051689,0.06761068107048192,0.06975400574442997,0.07402127225451698,0.07826313604740069
124,124,15122803.0,0.00028761432948955803,3476.878227085363,15.097081231579583,31.053021752158156,46.913116595334124,54.80774828207988,70.5259896836907,86.14986790600972,93.9269605677686,109.41123657111208,124.80244072093862,132.47036579582536,147.73682043445245,162.91203107822884,170.46549477963157,185.5046613907979,200.45389468337294,207.8951189898397,222.71051250044104,237.4371105457626,244.76733073138138,259.36203062457844,0.007184231539108084,0.011756334184362822,0.0140322425965715,0.01856332959131914,0.02306737271083076,0.025309411689723886,0.029773083244442392,0.03421002365151884,0.036418617438299286,0.04081589528022961,0.045186795215475306,0.04736256133836229,0.05169428943625337,0.05600017681621839,0.05814350149016645,0.062410768000253455,0.06665263179313716,0.06876394903534494,0.0729676561599922,0.07714629157639562
125,125,15124092.0,0.00028211686892942847,3544.6302938026365,8.886625133024717,25.035031328995295,41.086454159471636,49.07646847027674,64.98447200074953,80.79712120997192,88.66771446480017,104.33898738619204,119.91633349566067,127.6700537049272,143.1077942681677,158.4597387237174,166.10446622277922,181.3251110417785,196.45486770752362,203.98568536246344,218.9800862096047,233.88449191773174,241.30318802727405,256.0740253514733,0.008897895034925512,0.013415521143612493,0.01566409726666863,0.020141300799407593,0.024591597062950086,0.02680674820735671,0.03121731914260374,0.03560132576145314,0.03778351977131318,0.04212842269212033,0.046447144812325286,0.048596901372056266,0.052877060687673616,0.05713161013760112,0.05924935634897503,0.06346565143767448,0.06765695351765061,0.06974301613223349,0.0738967241833306,0.07802550460990094
