,index,blocknum,p0vs1,p1vs0,USDC-slippagemap_01,USDC-slippagemap_2,USDC-slippagemap_3,USDC-slippagemap_4,USDC-slippagemap_5,USDC-slippagemap_6,USDC-slippagemap_7,USDC-slippagemap_8,USDC-slippagemap_9,USDC-slippagemap_10,USDC-slippagemap_11,COMP-slippagemap_01,COMP-slippagemap_2,COMP-slippagemap_3,COMP-slippagemap_4,COMP-slippagemap_5,COMP-slippagemap_6,COMP-slippagemap_7,COMP-slippagemap_8,COMP-slippagemap_9,COMP-slippagemap_10
28,28,13557226.0,0.0027072902325257406,369.37303137501425,1857.1299379794252,3727.389338301016,5579.040294628754,7412.267903162979,9227.255491849683,11024.18456122879,12803.234789426764,14564.58403405604,16308.408438870543,18034.88236382978,19744.178450752162,10.260920757048297,15.27237369046807,20.23396423347508,25.146188688749643,30.009537996146364,34.82449868525038,39.591552047626905,44.31117482902125,48.98383882226801,53.61001140128445
29,29,13558747.0,0.0028186166236044844,354.7839715502659,1795.1971786784698,3628.424787212695,5443.412375899398,7240.341445278506,9019.391673476479,10780.740918105756,12524.56532292026,14251.039247879497,15960.335334801877,17652.624486205514,19328.075916795857,10.539104670231648,15.651790566832817,20.713606810624942,25.725059744044714,30.686650287051727,35.59887474232629,40.462224049723005,45.27718473882703,50.04423810120355,54.76386088259789
30,30,13560377.0,0.002820026213806136,354.6066327696716,1746.4709549386564,3579.6985634728812,5394.686152159585,7191.615221538693,8970.665449736665,10732.014694365942,12475.839099180446,14202.313024139683,15911.609111062064,17603.8982624657,19279.349693056043,10.676482131005011,15.78916802760618,20.850984271398303,25.86243720481808,30.824027747825088,35.73625220309965,40.59960151049637,45.41456219960039,50.18161556197691,54.901238343371254
31,31,13562924.0,0.0029893120155027567,334.52513314566636,46.49435432532396,1843.4234237044327,3622.4736519024054,5383.822896531682,7127.6473013461855,8854.121226305422,10563.417313227803,12255.70646463144,13931.15789522178,15589.939126322031,17232.21602376923,15.825481967744523,21.041445710242485,26.205512266319683,31.31819816292085,36.380014406712974,41.39146734013275,46.35305788313976,51.26528233841432,56.12863164581104,60.94359233491507
32,32,13564214.0,0.0029091025329251925,343.74862648600737,706.5067655054075,2521.494354192111,4318.423423571219,6097.473651769193,7858.822896398469,9602.647301212972,11329.121226172208,13038.41731309459,14730.706464498226,16406.157895088567,18064.939126188816,13.742271865388165,18.906338421465364,24.019024318066535,29.080840561858658,34.09229349527843,39.05388403828544,43.96610849356001,48.829457800956725,53.644418490060744,58.411471852437266
33,33,13568790.0,0.002785275525774928,359.0309076233228,1048.6912364266943,2900.3421927544327,4733.569801288657,6548.557389975361,8345.48645935447,10124.536687552441,11885.885932181718,13629.710336996222,15356.184261955459,17065.480348877838,18757.769500281476,12.555183660955846,17.61699990474797,22.628452838167743,27.590043381174752,32.50226783644931,37.36561714384604,42.18057783295006,46.94763119532657,51.66725397672092,56.339917969967686
34,34,13570265.0,0.0028463734650843197,351.32424197552604,880.4277747501641,2713.655383284389,4528.642971971092,6325.572041350201,8104.622269548174,9865.97151417745,11609.795918991953,13336.26984395119,15045.565930873572,16737.85508227721,18413.306512867548,13.130246938767025,18.242932835368194,23.304749079160317,28.31620201258009,33.2777925555871,38.190017010861666,43.053366318258384,47.8683270073624,52.635380369738925,57.35500315113327
35,35,13571776.0,0.0027942022362490025,357.88390225555816,746.3952143299778,2598.046170657716,4431.273779191941,6246.261367878644,8043.190437257753,9822.240665455725,11583.589910085002,13327.414314899506,15053.888239858743,16763.184326781124,18455.47347818476,13.398575014871827,18.46039125866395,23.471844192083726,28.433434735090735,33.345659190365296,38.20900849776202,43.02396918686604,47.791022549242555,52.510645330636905,57.18330932388367
36,36,13577490.0,0.002836429068014028,352.5559695029378,1202.0953774041918,3035.3229859384164,4850.31057462512,6647.2396440042285,8426.289872202202,10187.639116831479,11931.463521645981,13657.937446605218,15367.233533527598,17059.522684931235,18734.974115521578,12.216189118482202,17.328875015083373,22.390691258875496,27.402144192295268,32.36373473530228,37.27595919057684,42.13930849797356,46.954269187077585,51.7213225494541,56.44094533084844
37,37,13587888.0,0.0028815982860686015,347.0296345033963,1584.0607588575283,3399.0483475442315,5195.977416923341,6975.027645121313,8736.376889750589,10480.201294565093,12206.67521952433,13915.97130644671,15608.260457850347,17283.71188844069,18942.493119540937,11.201378768323085,16.365445324400284,21.478131221001455,26.539947464793578,31.55140039821335,36.51299094122036,41.42521539649492,46.288564703891645,51.103525392995664,55.87057875537218
38,38,13590941.0,0.00300009239278557,333.3230677844242,1522.7816852920942,3301.8319134900667,5063.181158119343,6807.005562933847,8533.479487893084,10242.775574815465,11935.0647262191,13610.516156809443,15269.297387909692,16911.574285356888,18537.511067029922,11.517383769107697,16.78576624867563,22.001729991173594,27.16579654725079,32.27848244385196,37.340298687644086,42.351751621063855,47.31334216407087,52.22556661934543,57.088915926742146
39,39,13594205.0,0.002998892655777704,333.4564170122554,1556.2855622902907,3335.3357904882632,5096.68503511754,6840.509439932043,8566.98336489128,10276.279451813662,11968.568603217296,13644.02003380764,15302.801264907888,16945.078162355087,18571.01494402812,11.416883856333854,16.685266335901787,21.90123007839975,27.065296634476947,32.177982531078115,37.23979877487024,42.25125170829001,47.212842251297026,52.12506670657159,56.988416013968305
40,40,13594855.0,0.002994397913426895,333.95695191877974,1690.5254412830657,3469.5756694810384,5230.924914110315,6974.749318924818,8701.223243884055,10410.519330806435,12102.808482210072,13778.259912800413,15437.041143900664,17079.318041347862,18705.254823020896,11.014585395265014,16.282967874832945,21.498931617330907,26.662998173408106,31.775684070009277,36.8375003138014,41.848953247221175,46.81054379022818,51.72276824550275,56.586117552899466
41,41,13601007.0,0.003029939313649107,330.03961349828165,628.9143125545504,2407.964540752523,4169.3137853818,5913.138190196303,7639.61211515554,9348.90820207792,11041.197353481557,12716.648784071898,14375.430015172149,16017.706912619346,17643.64369429238,14.21253100916006,19.480913488727992,24.696877231225955,29.860943787303153,34.97362968390432,40.03544592769644,45.04689886111622,50.00848940412323,54.92071385939779,59.78406316679451
42,42,13601889.0,0.00308929101897719,323.6988661337197,674.7637740510703,2436.113018680347,4179.93742349485,5906.411348454088,7615.707435376468,9307.996586780104,10983.448017370447,12642.229248470696,14284.506145917894,15910.442927590926,17520.202188471503,14.194326817037295,19.515654675273147,24.78403715484108,30.000000897339042,35.16406745341624,40.27675335001741,45.33856959380953,50.35002252722931,55.31161307023632,60.22383752551088
43,43,13607354.0,0.00304329975002475,328.5907015869427,236.91348078090977,2015.9637089788823,3777.312953608159,5521.137358422662,7247.6112833819,8956.90737030428,10649.196521707916,12324.647952298259,13983.429183398508,15625.706080845704,17251.64286251874,15.402962290560438,20.67134477012837,25.887308512626333,31.051375068703532,36.1640609653047,41.22587720909682,46.2373301425166,51.19892068552361,56.11114514079817,60.97449444819489
44,44,13609330.0,0.002940689523698134,340.05630038169625,1538.28660323504,3335.2156726141484,5114.265900812121,6875.6151454413975,8619.439550255902,10345.913475215139,12055.20956213752,13747.498713541154,15422.950144131497,17081.731375231746,18724.008272678944,11.402197161097355,16.618160903595317,21.782227459672516,26.894913356273687,31.95672960006581,36.96818253348558,41.929773076492594,46.841997531767156,51.70534683916387,56.5203075282679
45,45,13611199.0,0.002790293285466514,358.3852655233725,879.9204014257874,2731.5713577535257,4564.798966287751,6379.786554974454,8176.715624353563,9955.765852551534,11717.115097180811,13460.939501995315,15187.413426954552,16896.709513876933,18588.998665280567,13.025709921717672,18.087526165509797,23.09897909892957,28.06056964193658,32.97279409721114,37.83614340460786,42.651104093711886,47.4181574560884,52.137780237482744,56.810444230729516
46,46,13612841.0,0.0028338775577780254,352.8733968252586,1287.6614716206013,3120.889080154826,4935.87666884153,6732.805738220638,8511.85596641861,10273.205211047887,12017.029615862391,13743.503540821628,15452.799627744009,17145.088779147645,18820.54020973799,11.973576278658914,17.086262175260085,22.148078419052208,27.15953135247198,32.12112189547899,37.033346350753554,41.89669565815027,46.7116563472543,51.47870970963081,56.198332491025155
47,47,13615274.0,0.00285892447275971,349.78188809398785,472.2134932439812,2305.441101778206,4120.42869046491,5917.357759844018,7696.40798804199,9457.757232671267,11201.581637485771,12928.055562445008,14637.351649367389,16329.640800771023,18005.092231361366,14.29482112911543,19.4075070257166,24.469323269508724,29.480776202928496,34.44236674593551,39.35459120121007,44.21794050860679,49.032901197710814,53.79995456008733,58.51957734148167
48,48,13616017.0,0.002940101474002319,340.12431504233564,1551.417133597531,3348.3462029766397,5127.396431174612,6888.745675803889,8632.570080618392,10359.044005577629,12068.34009250001,13760.629243903646,15436.080674493987,17094.861905594236,18737.138803041435,11.36358573467625,16.57954947717421,21.74361603325141,26.85630192985258,31.918118173644704,36.929571107064476,41.89116165007149,46.80338610534605,51.66673541274277,56.481696101846794
