,index,blocknum,p0vs1,p1vs0,COMP-slippagemap_01,COMP-slippagemap_2,COMP-slippagemap_3,COMP-slippagemap_4,COMP-slippagemap_5,COMP-slippagemap_6,COMP-slippagemap_7,COMP-slippagemap_8,COMP-slippagemap_9,COMP-slippagemap_10,COMP-slippagemap_11,WETH-slippagemap_01,WETH-slippagemap_2,WETH-slippagemap_3,WETH-slippagemap_4,WETH-slippagemap_5,WETH-slippagemap_6,WETH-slippagemap_7,WETH-slippagemap_8,WETH-slippagemap_9,WETH-slippagemap_10
423,423,14607919.0,0.04674972735658139,21.39049907976032,174.9761009632657,1313.5925436670047,2440.8801172124195,3556.9515576121316,4661.918457500537,5755.8912932576895,6838.979456413111,7911.291258413744,8972.933904215482,10024.01355293838,11064.635312578486,150.40434213879158,202.22162040979006,253.5233333862686,304.31461095576253,304.31461095576253,304.31461095576253,304.31461095576253,304.31461095576253,304.31461095576253,304.31461095576253
424,424,14609930.0,0.04662834200395616,21.446183952136998,321.9293302860509,1460.5457729897898,2587.8333465352043,3703.904786934917,4808.871686823323,5902.844522580474,6985.9326857358965,8058.244487736529,9119.887133538266,10170.966782261166,11211.58854190127,143.5428130007396,195.36009127173807,246.66180424821664,297.45308181771054,297.45308181771054,297.45308181771054,297.45308181771054,297.45308181771054,297.45308181771054,297.45308181771054
425,425,14611655.0,0.04627532740971014,21.609787676838046,761.7723933833735,1900.3888360871124,3027.676409632527,4143.7478500322395,5248.714749920646,6342.687585677797,7425.775748833219,8498.087550833852,9559.73019663559,10610.809845358488,11651.431604998594,123.11030462421932,174.9275828952178,226.22929587169637,277.02057344119027,277.02057344119027,277.02057344119027,277.02057344119027,277.02057344119027,277.02057344119027,277.02057344119027
426,426,14612415.0,0.04615517383335599,21.666043412825534,907.8313883089434,2046.4478310126824,3173.735404558097,4289.8068449578095,5394.773744846216,6488.746580603367,7571.834743758788,8644.146545759422,9705.78919156116,10756.868840284058,11797.490599924164,116.35973210491008,168.17701037590854,219.4787233523871,270.27000092188104,270.27000092188104,270.27000092188104,270.27000092188104,270.27000092188104,270.27000092188104,270.27000092188104
427,427,14613052.0,0.046414354877618205,21.545058692224053,588.7497102320114,1727.3661529357503,2854.653726481165,3970.7251668808776,5075.692066769284,6169.664902526435,7252.753065681856,8325.06486768249,9386.707513484227,10437.787162207127,11478.40892184723,131.12927116925667,182.94654944025515,234.2482624167337,285.0395399862276,285.0395399862276,285.0395399862276,285.0395399862276,285.0395399862276,285.0395399862276,285.0395399862276
428,428,14614100.0,0.04636796604042793,21.56661344877855,646.8645953863162,1785.4810380900553,2912.76861163547,4028.8400520351825,5133.806951923589,6227.77978768074,7310.867950836161,8383.179752836795,9444.822398638533,10495.902047361431,11536.523807001537,128.4331701882883,180.25044845928676,231.55216143576533,282.34343900525926,282.34343900525926,282.34343900525926,282.34343900525926,282.34343900525926,282.34343900525926,282.34343900525926
429,429,14614706.0,0.04622445507804544,21.633570332232114,825.9959564217623,1964.6123991255013,3091.8999726709158,4207.971413070629,5312.938312959034,6406.911148716186,7489.9993118716075,8562.31111387224,9623.95375967398,10675.033408396877,11715.655168036983,120.1399046770329,171.95718294803137,223.25889592450991,274.05017349400384,274.05017349400384,274.05017349400384,274.05017349400384,274.05017349400384,274.05017349400384,274.05017349400384
430,430,14617519.0,0.04599852053636356,21.739829636682824,1108.5940651506003,2247.210507854339,3374.4980813997536,4490.569521799466,5595.5364216878725,6689.509257445025,7772.597420600446,8844.909222601078,9906.551868402816,10957.631517125716,11998.253276765821,107.10870944008265,158.92598771108112,210.22770068755966,261.0189782570536,261.0189782570536,261.0189782570536,261.0189782570536,261.0189782570536,261.0189782570536,261.0189782570536
431,431,14618287.0,0.045934170880310994,21.77028518933462,39.53732734223071,1189.5964771486306,2328.21291985237,3455.5004933977843,4571.571933797497,5676.538833685903,6770.511669443054,7853.599832598476,8925.911634599108,9987.554280400847,11038.633929123745,155.20254119382847,206.504254170307,257.29553173980094,257.29553173980094,257.29553173980094,257.29553173980094,257.29553173980094,257.29553173980094,257.29553173980094,257.29553173980094
432,432,14619462.0,0.04592039338463788,21.776816928021745,55.98781413524664,1206.0469639416465,2344.6634066453857,3471.9509801908002,4588.022420590512,5692.989320478919,6786.962156236071,7870.050319391492,8942.362121392125,10004.004767193863,11055.084415916761,154.44699714572772,205.7487101222063,256.5399876917002,256.5399876917002,256.5399876917002,256.5399876917002,256.5399876917002,256.5399876917002,256.5399876917002,256.5399876917002
