,index,blocknum,p0vs1,p1vs0,UNI-slippagemap_01,UNI-slippagemap_2,UNI-slippagemap_3,UNI-slippagemap_4,UNI-slippagemap_5,UNI-slippagemap_6,UNI-slippagemap_7,UNI-slippagemap_8,UNI-slippagemap_9,UNI-slippagemap_10,UNI-slippagemap_11,WETH-slippagemap_01,WETH-slippagemap_2,WETH-slippagemap_3,WETH-slippagemap_4,WETH-slippagemap_5,WETH-slippagemap_6,WETH-slippagemap_7,WETH-slippagemap_8,WETH-slippagemap_9,WETH-slippagemap_10
859,859,13613336.0,0.005295817279919232,188.8282671291958,58.68388447535075,1121.1432634483674,2173.031520981238,3214.4538417501117,4245.514347543861,5266.3161375098725,6276.961286540436,7280.908148016659,8274.866077170607,9258.934453964142,10233.211667955304,16.419823564024185,21.886140926479435,27.294694527899217,32.64943477677446,37.95089712195347,43.19961164238907,48.39600541915226,53.54069675788635,58.63420009281348,63.56936889664035
860,860,13618217.0,0.00525677481939695,190.230708819808,454.6838844540366,1517.1432634270532,2569.031520959924,3610.453841728797,4641.514347522547,5662.316137488558,6672.961286519122,7676.908147995345,8670.866077149292,9654.934453942828,10629.21166793399,14.330421730189501,19.796739092644753,25.205292694064536,30.56003294293978,35.86149528811878,41.11020980855439,46.306603585317575,51.45129492405167,56.544798258978794,61.47996706280567
861,861,13623893.0,0.00525152093464759,190.42102515527841,504.18388445137236,1566.643263424389,2618.5315209572595,3659.953841726133,4691.014347519882,5711.816137485894,6722.461286516458,7726.408147992681,8720.366077146628,9704.434453940163,10678.711667931326,14.070331002990125,19.536648365445373,24.945201966865156,30.299942215740405,35.601404560919406,40.85011908135501,46.0465128581182,51.19120419685229,56.28470753177942,61.21987633560629
862,862,13624810.0,0.00514136596658472,194.50084014623738,577.0539380807453,1650.190673446625,2712.6500524196417,3764.538309952512,4805.960630721385,5837.021136515135,6857.822926481146,7868.468075511711,8872.414936987932,9866.37286614188,10850.441242935416,13.581507141272075,18.990060742691856,24.344800991567105,29.646263336746106,34.89497785718171,40.091371633944895,45.236062972678994,50.329566307606115,55.26473511143299,60.14712431615114
863,863,13626067.0,0.005071413022164943,197.18370316703343,238.14668044343333,1322.0680762477655,2395.2048116136452,3457.664190586662,4509.5524481195325,5550.974768888406,6582.035274682155,7602.837064648166,8613.48221367873,9617.429075154952,10611.387004308901,15.185703328214059,20.540443577089306,25.84190592226831,31.090620442703912,36.287014219467096,41.431705558201195,46.525208893128315,51.46037769695519,56.34276690167334,61.17637964347854
864,864,13629737.0,0.005074964076454709,197.04572976969413,199.11953169707596,1283.040927501408,2356.177662867288,3418.6370418403044,4470.525299373175,5511.947620142048,6543.008125935798,7563.809915901809,8574.455064932374,9578.401926408596,10572.359855562543,15.383703328224717,20.738443577099964,26.03990592227897,31.28862044271457,36.485014219477755,41.62970555821185,46.723208893138974,51.65837769696585,56.540766901684,61.37437964348919
865,865,13630270.0,0.005091738281427114,196.39658299949377,17.880920305437442,1101.8023161097697,2174.939051475649,3237.3984304486657,4289.2866879815365,5330.70900875041,6361.769514544159,7382.571304510171,8393.216453540736,9397.163315016958,10391.121244170905,16.30505655007431,21.659796798949554,26.961259144128558,32.20997366456416,37.40636744132735,42.551058780061446,47.64456211498857,52.57973091881544,57.462120123533595,62.295732865338785
866,866,13637602.0,0.005129555003214185,194.94868451033255,700.1436400632563,1773.280375429136,2835.739754402153,3887.628011935023,4929.050332703897,5960.110838497646,6980.912628463658,7991.557777494221,8995.504638970444,9989.462568124392,10973.530944917928,12.949358070294224,18.357911671714007,23.712651920589252,29.014114265768256,34.26282878620386,39.45922256296704,44.60391390170114,49.69741723662826,54.63258604045514,59.51497524517329
867,867,13638280.0,0.005116236148151644,195.4561851804422,843.3805030555468,1916.5172384214266,2978.976617394443,4030.8648749273134,5072.287195696187,6103.347701489936,7124.149491455948,8134.7946404865115,9138.741501962735,10132.699431116682,11116.767807910217,12.215542013633682,17.624095615053463,22.978835863928712,28.280298209107713,33.52901272954332,38.725406506306506,43.8700978450406,48.96360117996772,53.898769983794594,58.781159188512746
868,868,13640072.0,0.005091229158511264,196.41622265779367,24.3722959042032,1108.2936917085353,2181.430427074415,3243.8898060474316,4295.778063580302,5337.200384349176,6368.260890142925,7389.062680108937,8399.707829139501,9403.654690615724,10397.61261976967,16.272003762444744,21.626744011319992,26.928206356498997,32.176920876934595,37.37331465369778,42.51800599243188,47.611509327359,52.54667813118588,57.42906733590403,62.26268007770922
869,869,13640745.0,0.005028490835258578,198.8668236179807,703.2506823686808,1787.172078173013,2860.3088135388925,3922.768192511909,4974.656450044779,6016.078770813653,7047.139276607403,8067.941066573414,9078.586215603978,10082.533077080201,11076.491006234148,12.836898161199302,18.19163841007455,23.493100755253554,28.741815275689156,33.93820905245234,39.08290039118644,44.17640372611356,49.11157252994044,53.99396173465859,58.82757447646378
870,870,13643493.0,0.005003412383357878,199.86359775703366,975.1390771022799,2059.060472906612,3132.197208272492,4194.6565872455085,5246.544844778379,6287.967165547252,7319.027671341002,8339.829461307014,9350.474610337576,10354.4214718138,11348.379400967748,11.473050688760543,16.82779093763579,22.129253282814794,27.377967803250396,32.57436158001358,37.71905291874768,42.8125562536748,47.747725057501675,52.63011426221983,57.46372700402502
871,871,13647422.0,0.005008418047877322,199.66384404029972,922.7964133488382,2006.7178091531705,3079.8545445190503,4142.313923492066,5194.202181024937,6235.624501793811,7266.68500758756,8287.48679755357,9298.131946584135,10302.078808060358,11296.036737214306,11.735087442233295,17.089827691108542,22.391290036287547,27.64000455672315,32.836398333486336,37.98108967222043,43.074593007147556,48.009761810974425,52.89215101569258,57.725763757497774
872,872,13648753.0,0.004969009384865731,201.24735587051447,261.1354319784605,1355.9498745957778,2439.87127040011,3513.0080057659898,4575.467384739007,5627.355642271877,6668.77796304075,7699.8384688344995,8720.640258800511,9731.285407831076,10735.232269307298,14.925462914528536,20.22692525970754,25.47563978014314,30.672033556906328,35.81672489564043,40.91022823056755,45.84539703439442,50.727786239112575,55.561398980917765,60.34691890131642
873,873,13649694.0,0.004954125437978808,201.85197418174005,428.4454319694552,1523.2598745867726,2607.181270391105,3680.3180057569843,4742.777384730001,5794.665642262871,6836.087963031745,7867.148468825495,8887.950258791507,9898.59540782207,10902.542269298292,14.095311422385572,19.39677376756458,24.64548828800018,29.841882064763364,34.98657340349746,40.08007673842459,45.015245542251456,49.897634746969615,54.731247488774805,59.51676740917346
874,874,13650382.0,0.004941756210810857,202.35721013763188,567.0539636230317,1661.868406240349,2745.7898020446814,3818.9265374105607,4881.385916383578,5933.274173916448,6974.696494685321,8005.757000479071,9026.558790445082,10037.203939475647,11041.15080095187,13.409473058347466,18.71093540352647,23.959649923962072,29.156043700725256,34.300735039459354,39.394238374386475,44.32940717821335,49.2117963829315,54.04540912473669,58.83092904513535
875,875,13652299.0,0.004997412189338949,200.10356602829648,1043.590823706049,2127.512219510381,3200.6489548762606,4263.108333849277,5314.996591382148,6356.418912151022,7387.479417944771,8408.281207910783,9418.926356941347,10422.87321841757,11416.831147571516,11.13074534422893,16.48548559310418,21.786947938283184,27.035662458718786,32.23205623548197,37.37674757421607,42.47025090914319,47.405419712970065,52.28780891768822,57.12142165949341
876,876,13654023.0,0.004995913265476912,200.16360310141204,1058.4408237052496,2142.362219509582,3215.4989548754615,4277.958333848478,5329.846591381349,6371.268912150223,7402.329417943972,8423.131207909983,9433.776356940547,10437.72321841677,11431.681147570718,11.056541469195563,16.41128171807081,21.712744063249815,26.961458583685417,32.1578523604486,37.3025436991827,42.39604703410982,47.331215837936696,52.21360504265485,57.047217784460045
877,877,13655912.0,0.004986929158918386,200.52420400070207,62.626381088887555,1157.440823706205,2241.362219510537,3314.498954876417,4376.958333849433,5428.846591382304,6470.268912151178,7501.329417944927,8522.131207910938,9532.776356941502,10536.723218417725,15.913691221359414,21.21515356653842,26.46386808697402,31.660261863737208,36.8049532024713,41.898456537398424,46.8336253412253,51.71601454594345,56.54962728774865,61.3351472081473
878,878,13659089.0,0.004983938048398954,200.6445486057438,95.9539136100813,1190.7683562273987,2274.6897520317307,3347.8264873976104,4410.285866370627,5462.174123903497,6503.596444672371,7534.656950466121,8555.458740432132,9566.103889462696,10570.050750938919,15.747529326263608,21.04899167144261,26.297706191878216,31.4940999686414,36.6387913073755,41.73229464230262,46.667463446129496,51.54985265084765,56.38346539265284,61.16898531305149
