,index,blocknum,p0vs1,p1vs0,WBTC-slippagemap_01,WBTC-slippagemap_2,WBTC-slippagemap_3,WBTC-slippagemap_4,WBTC-slippagemap_5,WBTC-slippagemap_6,WBTC-slippagemap_7,WBTC-slippagemap_8,WBTC-slippagemap_9,WBTC-slippagemap_10,WBTC-slippagemap_11,WBTC-slippagemap_12,WBTC-slippagemap_13,WBTC-slippagemap_14,WBTC-slippagemap_15,WBTC-slippagemap_16,WBTC-slippagemap_17,WBTC-slippagemap_18,WBTC-slippagemap_19,WBTC-slippagemap_20,USDC-slippagemap_01,USDC-slippagemap_2,USDC-slippagemap_3,USDC-slippagemap_4,USDC-slippagemap_5,USDC-slippagemap_6,USDC-slippagemap_7,USDC-slippagemap_8,USDC-slippagemap_9,USDC-slippagemap_10,USDC-slippagemap_11,USDC-slippagemap_12,USDC-slippagemap_13,USDC-slippagemap_14,USDC-slippagemap_15,USDC-slippagemap_16,USDC-slippagemap_17,USDC-slippagemap_18,USDC-slippagemap_19,USDC-slippagemap_20
2981,2981,16513718.0,23449.332746872882,4.26451366780727e-05,0.8925207383098369,1.7259857808725363,2.4434654710551587,3.0973991703783796,3.7069470318467306,4.303505313704702,4.849662461377555,5.31458258905579,5.770174923445096,6.223495114853765,6.674554459346554,7.037455161480427,7.2508096477194846,7.462838616774292,7.672766888636187,7.881648198039867,8.08948775498454,8.29629076231614,8.502062383527685,8.698386528439599,41113.0055658271,113057.18086092951,151069.8159585021,184950.9691182488,205364.08171618744,224281.3608749992,246659.09084646447,277334.12139877654,307857.96493542875,338229.577934947,368449.7174388397,404525.18302978366,444414.7597651001,484105.3949478758,523575.5862005236,562848.9298805774,601926.4066247314,640140.9452357437,677720.6459284162,715112.9266886044
2982,2982,16514247.0,23531.545088615512,4.249614703302236e-05,1.1683215591352827,2.1638693842313312,3.0597125759741064,3.912616181349436,4.721407952422816,5.526166059028356,6.232499992094969,6.897619933428118,7.558576453627994,8.216236619369338,8.663904210346244,8.934972088429424,9.147900311603752,9.358983003587927,9.568491859659883,9.776955844089922,9.984380156735748,10.190769989423371,10.396130501186567,10.558402685611282,28794.015994130783,88367.52253861648,112577.32150082923,133133.81924536196,153587.79634573802,173125.34224208453,191928.96524243214,221458.50315499198,252043.45238643084,282475.8654489132,312756.50443749665,344890.14091667056,384859.57200972544,424629.6647761564,464187.9015604653,503539.8655449034,542695.5713075651,581433.0915442599,619088.0229808707,656555.158891116
2983,2983,16514774.0,23801.326043671233,4.2014465839641724e-05,1.01611102483258,1.9030027265634584,2.7504840181316443,3.558871506353658,4.36322735727365,5.056702145337504,5.720670962707822,6.381297104961196,7.018160360481047,7.4649810710719,7.713119420528817,7.925941213922491,8.136787623917785,8.346191764852145,8.554551543318768,8.761872181216795,8.968158847000996,9.173416713292005,9.327186534386753,9.44656953360064,30077.21012037243,55665.80354943023,115118.28347273094,139939.63063661478,160506.40854619964,180970.61444719415,200663.42136882085,219476.44790888805,247815.2078807353,278415.45135450683,308863.0836223928,339158.86554623593,370305.8128486437,410295.2324076512,450085.21483512444,489665.4900026487,529037.1341019446,568212.422531937,607080.8511472524,644754.6142178826
2984,2984,16515345.0,23791.807892910427,4.2031274147013594e-05,1.0641026492832115,1.9509943510140901,2.798475642582276,3.6068631308042898,4.411218981724281,5.104693769788136,5.768662587158454,6.4292887294118275,7.066151984931679,7.5129726955225316,7.761111044979449,7.9739328383731225,8.184779248368416,8.394183389302777,8.602543167769399,8.809863805667426,9.016150471451628,9.221408337742638,9.375178158837386,9.494561158051273,28935.095163033722,54523.68859209152,113976.16851539223,138797.51567927608,159364.29358886092,179828.49948985543,199521.30641148213,218334.33295154932,246673.09292339662,277273.33639716817,307720.96866505407,338016.75058889727,369163.697891305,409153.11745031254,448943.0998777857,488523.37504530995,527895.019144606,567070.3075745984,605938.7361899136,643612.499260544
2985,2985,16515847.0,23737.152345460916,4.212805249114992e-05,1.0241087387173347,1.9326991959018334,2.7913122495083,3.595795504155738,4.396266601260852,5.123271372806768,5.785653840727979,6.4422552864986695,7.095582091995684,7.580945388214335,7.892965071791388,8.101189317776008,8.307852424458902,8.512702804588669,8.716531543065232,8.919343727817804,9.121144439135394,9.32193871129529,9.49648046361488,9.611379565484954,30496.6508937002,55924.30250959867,115617.70374165528,138483.95301273352,158899.1407746892,179212.51343133693,198320.2087199208,218190.56497498462,248777.01136855385,279213.6085999857,309498.4107691902,339632.17525130813,373621.6813971585,413435.7146934416,453051.1841038327,492451.0754747802,531649.9782882958,570653.3840658882,609016.6833914169,646521.9420783783
2986,2986,16516359.0,23618.768708529293,4.23392096489296e-05,1.0788464739050432,2.0359982086779227,2.8998441857737034,3.731358501591358,4.533833180109713,5.313321100970331,5.993402998654431,6.651666780466704,7.306628857224895,7.896950609892926,8.31813986692242,8.534509177721446,8.7422135422998,8.94770749219233,9.15204641142918,9.355366242985037,9.557672056547284,9.758968913440038,9.959261856571207,10.091303677290233,30503.63398736791,72867.80200628756,115356.68345760595,135981.57161689393,156345.7883462863,176215.2075276443,194942.07127434944,220779.26701598172,251291.59660562946,281652.20275562076,311861.3913533138,341919.91877517634,380830.84749061725,420545.4736459681,460055.27261647454,499352.2911666297,538453.3229323012,577359.3481516469,615070.0185844423,652481.6354403537
2987,2987,16516882.0,23566.86712508084,4.2432453778964894e-05,1.1050545392899471,2.0824398439358016,2.964170201680183,3.8065158903056466,4.60979338825529,5.4090647337448905,6.097480374189713,6.756415275356883,7.41203260691426,8.043912031879175,8.485773767848249,8.728977874276008,8.936890033136955,9.142851294344188,9.34739464989164,9.550917885194071,9.753426100937492,9.954924345604118,10.155417671745333,10.304446714900353,30015.15164107263,89345.47071693267,114045.26628346679,134491.09880882385,154834.96251248958,174408.02741463878,193101.9091224036,221322.1184671506,251804.4025631469,282134.66374671034,312313.6599466747,343344.4039657124,383218.1997816506,422893.1351102746,462358.93695461086,501616.6786384282,540678.6327111355,579434.2922031921,616995.8485583619,654370.0739858848
2988,2988,16517421.0,23682.622355046853,4.222505367049846e-05,1.0873920929885708,2.0126791221581475,2.8733837628215686,3.688671346589435,4.4899432724027575,5.239793103656468,5.907390039770994,6.564648374320377,7.218628811507169,7.746691911973244,8.104646020757983,8.313078583651466,8.520210176250982,8.725265496357427,8.929298156580547,9.132313245982647,9.334315846638807,9.535311002184669,9.726882502855194,9.841896555814776,29898.89873244629,55497.39164939724,115664.15407389609,137260.96952114406,157620.65845921286,177878.808888983,196641.89872332232,218866.20835536136,249388.58372052858,279760.53339581605,309981.01006911014,340050.76701470173,375976.60003707244,415717.29046285147,455259.7818777761,494582.5681942325,533709.2420828448,572640.7805180325,610710.1086590559,648145.3230825043
2989,2989,16517932.0,23654.221672048992,4.227575161273008e-05,1.114453812977192,2.048095369748056,2.9098466083704015,3.7305404153919137,4.532213049996339,5.291937295518625,5.963693811775175,6.621287123564257,7.275594604273766,7.824400222895293,8.20596220207844,8.414498998565142,8.621865011534082,8.82702288084313,9.031157573978385,9.234274195424,9.436377813382737,9.637473487067322,9.837566249736875,9.95263782054071,29571.669948233844,55157.367331228226,115481.132310388,136408.6809180408,156758.19299648283,176875.0724682365,195614.51021196932,219032.2046424857,249539.77578532315,279896.54291697027,310101.9130191155,340156.64060464135,377066.77475645515,416787.60010534356,456308.07191387436,495611.20240275096,534718.3197416018,573630.3965062822,611569.2167855576,648985.7198586152
2990,2990,16518457.0,23489.228519586228,4.2572705151476617e-05,1.1479229963973994,2.1659143896317197,3.074504846816218,3.9331179004226846,4.737601155070123,5.538072252175237,6.265077023721153,6.927459491642363,7.584060937413054,8.23738774291007,8.72275103912872,9.034770722705773,9.242994968690393,9.449658075373288,9.654508455503054,9.858337193979617,10.061149378732189,10.26295009004978,10.463744362209676,10.638286114529265,29434.388548251547,89323.26062827825,112223.26471044532,132603.3219018604,152881.7391919765,171954.6534459718,191790.40213023036,222342.41354808348,252744.7475426209,282995.45735441975,313095.29950602486,347051.05250278214,386831.5009853035,426413.55307893275,465780.1937933803,504946.0117807192,543916.4977363822,582247.0414189865,619719.7078245552,657005.489092524
2991,2991,16518972.0,23144.16495895783,4.320743486634004e-05,1.3864591002890576,2.4805144964002146,3.560921595415998,4.518073330188877,5.381919307284658,6.213433623102313,7.0159083016206685,7.795396222481286,8.475478120165386,9.13374190197766,9.78870397873585,10.37902573140388,10.800214988433376,11.016584299232402,11.224288663810754,11.429782613703285,11.634121532940135,11.837441364495993,12.03974717805824,12.241044034950992,75106.13462347806,95695.80427858495,116024.97814867778,135859.52923863527,154551.69879169264,180354.37336818335,210832.35395945315,241158.7824176064,271333.9637779778,301358.65356556344,340235.91340394865,379917.03859964747,419393.5036879028,458657.35459981614,497725.38414485275,536598.5717338256,574276.5683067683,611655.6742565664,648848.3610462225,686274.0375111542
2992,2992,16519492.0,23058.694040786173,4.336759047286902e-05,2.5878551304488324,3.6841006959366234,4.774878948356765,5.77905021970643,6.6786828272126195,7.531870738763008,8.335951871719063,9.136022847126826,9.850158145790413,10.511390850832294,11.167664101683439,11.820664342387612,12.28469371597178,12.57376340341964,12.781883565793766,12.988312614200233,13.193060595658142,13.396787452395273,13.599498264123879,13.80119810303502,28662.061865884247,49052.31131116184,69340.86952528272,88568.81196938411,107209.3854751913,137776.22445330786,168193.76298993043,198459.60074184783,228574.4958351538,261544.4708887235,301344.8142104819,340946.6620182012,380335.2445985031,419520.648111209,458510.6257340762,496971.87315773545,534463.2801273587,571767.7066548837,608886.0857264547,646571.856787779
2993,2993,16520006.0,23021.831471337853,4.3437030683027914e-05,2.659073263453417,3.7558670410446315,4.847190823178831,5.865182216413151,6.773772673597651,7.632385727204117,8.436868981851555,9.237340078956668,9.964344850502584,10.626727318423795,11.283328764194486,11.936655569691501,12.422018865910152,12.734038549487204,12.942262795471825,13.14892590215472,13.353776282284485,13.557605020761049,13.76041720551362,13.96221791683121,26531.9168837687,46911.97407518381,67190.39136529989,86263.30561929519,106099.05430355374,136651.06572140686,167053.39971594428,197304.10952774316,227403.95167934825,261359.70467610555,301140.15315862687,340722.2052522561,380088.84596670367,419254.6639540426,458225.14990970556,496555.69359230984,534028.3599978787,571314.1412658475,608413.9659164139,646164.6781188808
2994,2994,16520517.0,23095.61563460134,4.329826127266433e-05,2.6190186108226383,3.7141685166642797,4.803023077371855,5.7804083820177095,6.662138739762091,7.5044844283875545,8.307761926337198,9.107033271826799,9.79544891227162,10.45438381343879,11.110001144996168,11.741880569961085,12.183742305930156,12.426946412357916,12.634858571218862,12.840819832426096,13.04536318797355,13.248886423275978,13.4513946390194,13.652892883686027,28788.676044486725,49199.32526562107,69508.18113358902,89046.41279322615,107705.63498166969,135891.35766282308,166339.32709108165,196635.4447428928,226780.46769387106,257777.40789727253,297617.56848724687,337259.0363371027,376691.5376153956,415916.14481160045,454945.12964619504,493667.9843280814,531196.8994788673,568538.6464936391,605694.1614832102,643249.9491723662
2995,2995,16521031.0,23116.41000503443,4.3259312314594434e-05,2.319108994779662,3.4133720663652913,4.500511094477309,5.464594035082629,6.337045612501654,7.173641541488536,7.9761864739424295,8.765234235118697,9.449154208917193,10.107427363119251,10.762392473156195,11.373164982625116,11.813861487626193,12.033830327155615,12.241320495480176,12.446731558643421,12.650857765897626,12.853965933502227,13.056061153499114,13.257148465557473,53184.02788016177,73597.0413092344,93908.24970880694,113593.97722747376,132254.80419674327,159241.38657903537,189696.93407698753,220000.59215216577,250153.11644545154,280155.2635183139,320007.85022481484,359661.68157124566,399108.7360560243,438345.5728562211,477386.7254298474,516233.16860831704,553773.5747350066,591126.7566234282,628293.6488677603,665777.2279606764
2996,2996,16521626.0,23042.55940945551,4.339795689491204e-05,8.643085629436646,9.738991254939313,10.82943126275936,11.833265976412289,12.73256370473894,13.585418407226877,14.389167992937598,15.18890907461064,15.902716124808476,16.563622218452487,17.21957048680349,17.872247365782133,18.335954990341747,18.624704533408025,18.832506148053298,19.03861823740363,19.243050840582413,19.446463891903576,19.64886246325497,19.85025161901484,128986.74323333164,149369.16115794258,169649.92690913274,188870.11575337086,207502.97432857152,238062.1368524561,268472.037219695,298730.2748959189,328837.607816848,361800.05841291766,401592.91480347037,441187.3130194171,480568.48316123313,519746.5112033733,558729.1501387055,597183.0954753637,634667.2367751639,671964.4338688531,709075.6195617673,746754.2331196213
