,index,blocknum,p0vs1,p1vs0,USDC-slippagemap_01,USDC-slippagemap_2,USDC-slippagemap_3,USDC-slippagemap_4,USDC-slippagemap_5,USDC-slippagemap_6,USDC-slippagemap_7,USDC-slippagemap_8,USDC-slippagemap_9,USDC-slippagemap_10,USDC-slippagemap_11,USDT-slippagemap_01,USDT-slippagemap_2,USDT-slippagemap_3,USDT-slippagemap_4,USDT-slippagemap_5,USDT-slippagemap_6,USDT-slippagemap_7,USDT-slippagemap_8,USDT-slippagemap_9,USDT-slippagemap_10
55,55,12906383.0,1.0068228301975422,0.9932234053570245,10335.15347543613,25870.838455732664,26758.12214351527,26761.092294555532,26761.092294555532,26761.092294555532,26761.092294555532,26761.092294555532,26761.092294555532,26761.092294555532,26761.092294555532,36351.541399484944,36988.559967981404,36988.559967981404,36988.559967981404,36988.559967981404,36988.559967981404,36988.559967981404,36988.559967981404,36988.559967981404,36988.559967981404
56,56,12927042.0,1.0069235124805618,0.9931240929477299,10241.718438732905,25777.40341902944,26664.687106812045,26667.65725785231,26667.65725785231,26667.65725785231,26667.65725785231,26667.65725785231,26667.65725785231,26667.65725785231,26667.65725785231,36445.61992287083,37082.638491367296,37082.638491367296,37082.638491367296,37082.638491367296,37082.638491367296,37082.638491367296,37082.638491367296,37082.638491367296,37082.638491367296
57,57,12977498.0,1.00430904235335,0.9957094458263037,12293.697587497178,27829.382567793713,28716.666255576314,28719.63640661658,28719.63640661658,28719.63640661658,28719.63640661658,28719.63640661658,28719.63640661658,28719.63640661658,28719.63640661658,34382.08025732471,35019.09882582117,35019.09882582117,35019.09882582117,35019.09882582117,35019.09882582117,35019.09882582117,35019.09882582117,35019.09882582117,35019.09882582117
58,58,12984240.0,1.00430904235335,0.9957094458263037,12303.597777798464,27839.282758095,28726.5664458776,28729.536596917867,28729.536596917867,28729.536596917867,28729.536596917867,28729.536596917867,28729.536596917867,28729.536596917867,28729.536596917867,34372.13733571106,35009.155904207524,35009.155904207524,35009.155904207524,35009.155904207524,35009.155904207524,35009.155904207524,35009.155904207524,35009.155904207524,35009.155904207524
59,59,13001418.0,1.00430904235335,0.9957094458263037,12305.116984095595,27842.720171190544,28731.902980179322,28736.75335688021,28738.61487489438,28740.45787135948,28740.45787135948,28740.45787135948,28740.45787135948,28740.45787135948,28740.45787135948,34376.41220482761,35015.32989457806,35017.21012020297,35019.07163820109,35020.91463470183,35022.73929399869,35024.54579852977,35026.33432893659,35028.105064055744,35029.85818094736
60,60,13300664.0,1.0062189478758485,0.9938194884036154,10800.24856706694,26337.85175416189,27227.034563150668,27231.884939851556,27233.746457865727,27235.58945433082,27235.58945433082,27235.58945433082,27235.58945433082,27235.58945433082,27235.58945433082,35889.21293442993,36528.13062418038,36530.0108498053,36531.87236780341,36533.71536430416,36535.54002360102,36537.3465281321,36539.135058538915,36540.90579365807,36542.65891054969
61,61,13653213.0,1.0062189478758485,0.9938194884036154,10352.984350808541,25247.167142158996,25499.33139868809,25504.18177538898,25506.043293403152,25507.886289868246,25507.886289868246,25507.886289868246,25507.886289868246,25507.886289868246,25507.886289868246,34392.653146839875,34394.55226809386,34396.43249371877,34398.294011716884,34400.13700821763,34401.961667514486,34403.768172045566,34405.55670245239,34407.32743757155,34409.080554463166
62,62,13881273.0,1.005112770850013,0.994913236605591,11153.045230971175,26047.22802232163,26299.392278850723,26304.24265555161,26306.104173565782,26307.94717003088,26307.94717003088,26307.94717003088,26307.94717003088,26307.94717003088,26307.94717003088,33588.032408556595,33589.93152981058,33591.81175543549,33593.673273433604,33595.51626993435,33597.340929231206,33599.147433762286,33600.93596416911,33602.70669928827,33604.459816179886
63,63,14613236.0,1.005112770850013,0.994913236605591,11154.242981283493,26050.025216699258,26303.773003296657,26310.191154534063,26313.604848227464,26316.98457668669,26318.50601877203,26320.012322966944,26321.503639911833,26322.980118761858,26324.441907153414,33591.66621582135,33595.14886718351,33598.596867315166,33602.01056097911,33605.390289503724,33608.73639085051,33612.0491995786,33615.32904695249,33618.57626092674,33621.79116619822
64,64,14758541.0,1.005112770850013,0.994913236605591,11153.045230971175,26047.22802232163,26299.392278850723,26304.24265555161,26306.104173565782,26307.94717003088,26307.94717003088,26307.94717003088,26307.94717003088,26307.94717003088,26307.94717003088,33588.032408556595,33589.93152981058,33591.81175543549,33593.673273433604,33595.51626993435,33597.340929231206,33599.147433762286,33600.93596416911,33602.70669928827,33604.459816179886
