,index,blocknum,p0vs1,p1vs0,USDP-slippagemap_01,USDP-slippagemap_2,USDP-slippagemap_3,USDP-slippagemap_4,USDP-slippagemap_5,USDP-slippagemap_6,USDP-slippagemap_7,USDP-slippagemap_8,USDP-slippagemap_9,USDP-slippagemap_10,USDP-slippagemap_11,USDP-slippagemap_12,USDP-slippagemap_13,USDP-slippagemap_14,USDP-slippagemap_15,USDP-slippagemap_16,USDP-slippagemap_17,USDP-slippagemap_18,USDP-slippagemap_19,USDP-slippagemap_20,WETH-slippagemap_01,WETH-slippagemap_2,WETH-slippagemap_3,WETH-slippagemap_4,WETH-slippagemap_5,WETH-slippagemap_6,WETH-slippagemap_7,WETH-slippagemap_8,WETH-slippagemap_9,WETH-slippagemap_10,WETH-slippagemap_11,WETH-slippagemap_12,WETH-slippagemap_13,WETH-slippagemap_14,WETH-slippagemap_15,WETH-slippagemap_16,WETH-slippagemap_17,WETH-slippagemap_18,WETH-slippagemap_19,WETH-slippagemap_20
3711,3711,15523774.0,0.00058504147558405,1709.2805240888172,77430.36255656242,168078.83129049468,258185.06499256648,303035.8569680897,392334.81295232876,481099.6051363025,525282.6906121804,613252.2240303189,700695.5462344118,744220.8625276565,830880.7656742404,917022.2916703105,959899.6329410601,1045269.4018903489,1130128.510992975,1172367.5231379627,1256466.3652740892,1340062.1489911443,1381672.3358668745,1464519.1708431016,87.80994615323179,140.5891231004769,166.86020215261465,219.1665215512092,271.1599584458358,297.03993098582947,348.5675501596463,399.7869434862755,425.281632897427,476.04214340584423,526.499017738446,551.6141591426613,601.6189818059162,651.3246882917952,676.0659323269326,725.3263172158734,774.2920388037053,798.6649520379053,847.1919820208825,895.4287350621629
3712,3712,15524354.0,0.000590920944723987,1692.2737447850823,46444.636140954244,136821.57991451956,226657.91281010362,271374.36144694104,360405.8357813859,448904.74645419436,492955.48590343376,580661.5193833476,667842.9183696704,711237.861665992,797638.1869572566,883521.6887830741,926270.596765844,1011384.6529033384,1095989.5789799765,1138102.070914494,1221949.0069933003,1305294.3917088886,1346779.941465345,1429378.6205512942,106.21112522604231,159.1488696124898,185.49887606624495,237.96234295815734,290.11198656061663,316.06971141160386,367.75213768771386,419.1254124720364,444.6966964520435,495.6097099524234,546.2181743607675,571.4087707042141,621.5638251803108,671.4188655707421,696.2344412575633,745.6428208936036,794.7556533138458,819.2017917694733,867.8746137532875,916.2562868916929
3713,3713,15524911.0,0.0005841062044023552,1712.0174250214964,89036.98902240272,179685.45775633494,269791.69145840674,314642.48343392997,403941.43941816903,492706.23160214274,536889.3170780208,624858.8504961592,712302.172700252,755827.4889934968,842487.3921400807,928628.9181361508,971506.2594069005,1056876.0283561891,1141735.1374588152,1183974.149603803,1268072.9917399294,1351668.7754569845,1393278.9623327148,1476125.7973089418,81.02471445166272,133.80389139890784,160.07497045104557,212.3812898496401,264.3747267442667,290.25469928426037,341.7823184580772,393.0017117847064,418.4964011958579,469.2569117042751,519.713786036877,544.8289274410922,594.8337501043471,644.5394565902261,669.2807006253636,718.5410855143042,767.5068071021361,791.8797203363363,840.4067503193133,888.6435033605939
3714,3714,15525480.0,0.000580728362516309,1721.9754786333795,88171.83232175816,179092.64139900042,269469.58517256577,314455.1260926266,404022.36670498725,493053.84103943204,537369.6662363625,625603.49116148,713309.5246413938,756965.6073344719,843885.8669240382,930286.1922153028,973292.3527703707,1058918.6020238902,1144032.6581613845,1186398.572093035,1270750.0761725402,1354597.0122513466,1396332.2100912044,1479427.9467233913,81.43975298653322,134.06083849242614,160.25322633220077,212.40286993466006,264.24056732564094,290.0430210617573,341.41629584607983,392.4822692372385,417.90059332646683,468.50905773481094,518.8147954824727,543.8547085543543,593.7097489447856,643.2665686667441,667.933704267647,717.0465366878892,765.8655883777168,790.1654971273309,838.5471702657363,886.6394372895086
3715,3715,15526091.0,0.0005820073072911088,1718.1914856952462,71444.46756258176,162365.27663982403,252742.22041338932,297727.7613334502,387295.00194581086,476326.47628025565,520642.30147718615,608876.1264023036,696582.1598822174,740238.2425752954,827158.5021648618,913558.8274561265,956564.9880111943,1042191.2372647139,1127305.2934022082,1169671.2073338588,1254022.711413364,1337869.64749217,1379604.8453320279,1462700.5819642148,91.16475168528771,143.78583719118063,169.9782250309553,222.12786863341455,273.96556602439546,299.7680197605118,351.1412945448343,402.207267935993,427.6255920252213,478.2340564335654,528.5397941812272,553.5797072531087,603.43474764354,652.9915673654986,677.6587029664015,726.7715353866437,775.5905870764714,799.8904958260854,848.2721689644908,896.364435988263
3716,3716,15526636.0,0.0005762741475659405,1735.2852010172371,55776.52699217947,147244.4731880223,238165.28226526457,283421.53325681895,373527.7669588907,463095.00757125136,507677.514918653,596442.3071026267,684676.1320277441,728594.9259966431,816038.248200736,902958.5077903023,946223.4676405647,1032364.9936366348,1117991.2428901542,1160612.1038566732,1245471.2129592993,1329822.7170388044,1371809.0672404133,1455404.8509574684,99.88666030842884,152.1929797070234,178.22869175066276,230.06638914164367,281.5940083154605,307.24211766208253,358.3080910532412,409.06860156165845,434.33487955081364,484.64061729847543,534.6454399617304,559.5355707607883,609.0923904827469,658.3527753716875,682.8723585038919,731.6914101937195,780.2184401766966,804.372992081739,852.4652591055112,900.2698512733828
3717,3717,15527187.0,0.0006190462073860487,1615.3882990779418,56826.77989780799,145060.60482292535,232766.63830283922,276422.7209959173,363342.98058548354,449743.3058767483,492749.46643181605,578375.7156853356,663489.77182283,705855.6857544807,790207.1898339856,874054.1259127919,915789.3237526497,998885.0603848366,1081483.7394707857,1122597.6128093505,1204456.275949325,1285825.282625665,1326327.080197221,1406967.0873447675,101.67650029829399,155.90005501936147,182.89007880515288,236.62783513996757,290.0441462185045,316.6323609430212,369.5701053294687,422.19119083536157,448.3835786751362,500.5332222775955,552.3709196685764,578.1733734046927,629.5466481890153,680.6126215801739,706.0309456694023,756.6394100777463,806.9451478254082,831.9850608972897,881.840101287721,931.3969210096795
3718,3718,15527869.0,0.000628087314976063,1592.1353228382125,82006.29481698491,169449.61702107775,256369.87661064402,299634.83646090643,385776.36245697655,471402.6117104961,514023.47267701494,598882.5817796411,683234.0858591461,725220.4360607552,808816.2197778102,891911.9564099971,933273.2416297676,1015624.508834511,1097483.1719744855,1138228.6989360268,1219353.9762223812,1299993.983369928,1340132.918301884,1420050.4580108032,86.43254223944932,141.14628688080347,168.38030480801618,222.60385952908365,276.50306296159704,303.33163964968975,356.74795072822667,409.84473934570093,436.2739098391908,488.89499534508377,541.2013147436783,567.2370267873176,619.0747241782985,670.6023433521154,696.2504526987375,747.3164260898961,798.0769365983133,823.3432145874685,873.6489523351304,923.6537749983853
3719,3719,15528377.0,0.0006180565748521713,1617.9748597273367,68319.5012194183,156553.32614453568,244259.3596244495,287915.44231752754,374835.70190709387,461236.02719835856,504242.1877534264,589868.437006946,674982.4931444402,717348.4070760909,801699.9111555959,885546.8472344022,927282.04507426,1010377.7817064469,1092976.460792396,1134090.334130961,1215948.9972709352,1297318.0039472755,1337819.8015188312,1418459.808666378,94.56742577912863,148.79098050019613,175.78100428598754,229.5187606208022,282.9350716993392,309.52328642385584,362.4610308103033,415.0821163161962,441.2745041559709,493.42414775843014,545.261845149411,571.0642988855274,622.4375736698499,673.5035470610086,698.9218711502369,749.530335558581,799.8360733062428,824.8759863781243,874.7310267685557,924.2878464905142
3720,3720,15528880.0,0.000619975426977396,1612.967153997314,45202.028537949845,133435.8534630672,221141.88694298107,264797.96963605913,351718.2292256254,438118.55451689014,481124.7150719579,566750.9643254775,651865.0204629719,694230.9343946225,778582.4384741274,862429.3745529337,904164.5723927915,987260.3090249785,1069858.9881109276,1110972.8614494924,1192831.5245894669,1274200.5312658069,1314702.3288373628,1395342.3359849094,108.87848000796147,163.10203472902896,190.09205851482037,243.82981484963503,297.246125928172,323.83434065268864,376.77208503913613,429.393170545029,455.5855583848037,507.73520198726294,559.5728993782438,585.3753531143602,636.7486278986827,687.8146012898414,713.2329253790697,763.8413897874138,814.1471275350757,839.1870406069571,889.0420809973886,938.5989007193471
