,index,blocknum,p0vs1,p1vs0,UNI-slippagemap_01,UNI-slippagemap_2,UNI-slippagemap_3,UNI-slippagemap_4,UNI-slippagemap_5,UNI-slippagemap_6,UNI-slippagemap_7,UNI-slippagemap_8,UNI-slippagemap_9,UNI-slippagemap_10,UNI-slippagemap_11,UNI-slippagemap_12,UNI-slippagemap_13,UNI-slippagemap_14,UNI-slippagemap_15,UNI-slippagemap_16,UNI-slippagemap_17,UNI-slippagemap_18,UNI-slippagemap_19,UNI-slippagemap_20,WETH-slippagemap_01,WETH-slippagemap_2,WETH-slippagemap_3,WETH-slippagemap_4,WETH-slippagemap_5,WETH-slippagemap_6,WETH-slippagemap_7,WETH-slippagemap_8,WETH-slippagemap_9,WETH-slippagemap_10,WETH-slippagemap_11,WETH-slippagemap_12,WETH-slippagemap_13,WETH-slippagemap_14,WETH-slippagemap_15,WETH-slippagemap_16,WETH-slippagemap_17,WETH-slippagemap_18,WETH-slippagemap_19,WETH-slippagemap_20
1133,1133,13135954.0,0.008638188125647225,115.76501755396465,132.12413782162162,258.11872295395534,387.53708223067486,521.1320813972271,646.6672313574309,782.1058009266249,903.6704721519104,1024.6508605689155,1144.9924308139127,1271.1155815273105,1408.864188442397,1529.6485843740338,1647.7880884386323,1762.638767160464,1873.1120457157094,2002.6089751221998,2149.9648983843776,2297.7330922441397,2427.0691897004667,2524.8118097916563,1.440580256206522,2.6787454495826064,4.564398718583893,6.629376780546662,8.639612415918327,10.31008959412845,11.268513363990698,12.17974057408931,12.998272144405792,13.811292492838007,14.82772314132626,15.63237703040838,16.432603154397437,17.228717400990266,18.020780786934562,18.797502288330904,19.567509275534636,20.3336760289144,21.096021703337325,21.854565348061445
1134,1134,13137147.0,0.00852662399608136,117.27971122680876,162.38267139207,285.9969111120593,409.94036488366214,538.0453139749897,668.8609325713174,799.5129646597328,931.6089304969205,1057.6726997750418,1178.8126581305319,1299.3704542022779,1419.755863179972,1561.2483902598071,1684.1586906496527,1803.6189137590443,1918.721441000504,2033.090484701999,2148.6493127210315,2296.268517601499,2443.243968145109,2585.666966683062,1.4702061957225196,3.555461607193247,5.603001792308898,7.602633231126852,8.964791232427881,9.921778514625494,10.79283161901244,11.609276401777278,12.421078187742504,13.436296369715404,14.239536298802985,15.038563046149083,15.833423565480695,16.622873353708503,17.39557995066225,18.164432855266934,18.929451269769302,19.690654338211203,20.448061075742164,21.201540972811024
1135,1135,13137685.0,0.008433349744608873,118.57684434815037,176.4289104959635,328.241912464025,453.30496253308695,576.7873379786253,704.9797917978187,834.5310732792595,966.6841687407814,1095.1540339596193,1225.2290555014654,1346.4295977449092,1467.0476730938137,1586.975224184153,1727.3179128396855,1851.884509001867,1971.3942336234204,2086.951575051698,2201.108442485287,2313.5490500381834,2461.256107959324,2607.550009675523,2.3438729050090568,4.384319843476636,6.379673755961583,7.641194205748072,8.597703133826379,9.455378240153056,10.271128131597425,11.151713752144007,12.09733856471849,12.900107647361311,13.698735006626169,14.493178030435253,15.28080676679221,16.053127130604,16.821595712009415,17.586231738340746,18.34705431463654,19.104082469377037,19.857135895262132,20.606135543790522
1136,1136,13138241.0,0.008664140301237239,115.41826023491333,131.63494925965068,259.5527837280802,389.5193574621136,521.968053471589,647.1076460655374,781.6695534730648,903.0520234617628,1023.8511201633507,1143.9855252600964,1277.9079457500318,1408.6040425599404,1528.523017271143,1645.3651339798678,1759.9429896202605,1866.637276258799,2009.940488450986,2156.8972736507853,2305.7611967549415,2419.154012992979,2518.9317285245675,1.365718917302568,2.613182362324735,4.25884345957399,6.333613723805752,8.358879639308173,10.341413809227923,11.30132332775334,12.252784964753634,13.073406433004386,13.887647172623218,14.905292117960233,15.711362078412966,16.512789377583637,17.310159240177725,18.103411550692993,18.8855825844418,19.6567453939584,20.424062201971566,21.187552183988995,21.947234444022172
1137,1137,13139000.0,0.008573647272413226,116.63647549597988,149.22482809795002,271.45244552377136,398.72951675785134,528.8346589121296,661.3819869802132,786.6705123028089,921.4694120002291,1042.912585005972,1163.7720811938582,1283.9755075756452,1415.763190970907,1548.5194972532356,1668.5525330504038,1785.823336655259,1900.495647075587,2008.4030671407725,2147.152393106029,2294.3330102684968,2442.388611519616,2561.445601020236,1.4989775785801933,3.2264453898276546,5.29790968269165,7.318301975861348,9.196626168472452,10.156040185533293,11.094083642929656,11.914008134008297,12.727841868811554,13.745081844022563,14.550679544894036,15.351706261839336,16.148657364166265,16.941513176241113,17.721866787423075,18.492644136515942,19.259577399964876,20.022685756999344,20.781988282803674,21.53750396256473
1138,1138,13139929.0,0.008482402836976505,117.89112344921868,159.80710510877833,303.3234168407618,425.55103426658314,552.8281055006631,682.9332476549414,815.480575723025,940.7691010456207,1075.5680007430408,1197.0111737487837,1317.87066993667,1438.074096318457,1569.8617797137188,1702.6180859960475,1822.6511217932155,1939.9219253980707,2054.594235818399,2162.501655883584,2301.250981848841,2448.4315990113087,2596.487200262428,1.8662173054718205,3.937681598335815,5.958073891505514,7.836398084116618,8.795812101177459,9.733855558573822,10.553780049652463,11.36761378445572,12.38485375966673,13.190451460538203,13.991478177483502,14.788429279810432,15.58128509188528,16.36163870306724,17.13241605216011,17.899349315609044,18.66245767264351,19.42176019844784,20.1772758782089,20.928625557843972
1139,1139,13140741.0,0.008420709834279555,118.75483417432781,188.6743619826789,338.44256993918276,465.96764441248206,588.4117254707468,716.557946084358,846.3860193789109,978.7361315441303,1103.7268676689016,1238.0519030858356,1359.3736983893275,1480.1124252127468,1600.1778443030446,1736.2339329363804,1864.8933332651116,1984.6758227214953,2101.0894665088367,2215.479628778168,2321.0546706485898,2468.909504098127,2615.642565821225,2.446448475982957,4.4727195110741365,6.459524776099794,7.519921006831155,8.475473962080452,9.30612635275751,10.120774283328819,11.138824402321314,11.945366857200028,12.747194956178298,13.544983771604914,14.338632791085173,15.122622155125889,15.894170614033623,16.6618711517139,17.425742971761952,18.18580514321665,18.942076678280795,19.694277802029603,20.442528875408946
1140,1140,13141401.0,0.008071152200930725,123.89804765231474,125.48356890291753,367.4056925264504,612.0825610203885,860.2485619377851,1055.2572848843643,1201.524252912984,1345.0405646449674,1467.2681820707887,1594.5452533048685,1724.650395459147,1857.1977235272304,1982.4862488498263,2117.2851485472465,2238.728321552989,2359.5878177408754,2479.7912441226626,2611.5789275179245,2744.335233800253,2864.368269597421,2981.6390732022764,1.07164746296572,1.891571954044361,2.705405688847619,3.7226456640586267,4.528243364930101,5.3292700818754,6.126221184202329,6.919076996277178,7.6994306074591385,8.470207956552008,9.23714122000094,10.000249577035408,10.759552102839736,11.515067782600797,12.266417462235871,13.01392069082956,13.75769592038422,14.497761735768005,15.23413665093215,15.966667506021707
1141,1141,13143458.0,0.00812053422234412,123.1446075614634,198.16772671995446,441.39186801532196,688.9871011204661,925.1367061932368,1070.6348490030703,1224.1239463439013,1346.7433361960393,1471.352646479822,1599.3701354869024,1731.4494558544932,1860.6011762468793,1996.3214300298032,2118.375950910058,2239.4663584141176,2359.952904270234,2482.2081914833316,2622.610302928648,2744.692564105182,2863.712328359808,2978.7308638458085,1.0977285086772854,1.982166281881661,2.7993063138299847,3.611514090987265,4.627136214647478,5.430847229137339,6.230273575868041,7.025551787389824,7.816823544556924,8.589916581919372,9.35915398164102,10.124554984023241,10.88613872976624,11.643924252602854,12.397830822697307,13.147579814766782,13.893589609108012,14.635878845145026,15.374466084522812,16.109312523568455
1142,1142,13144106.0,0.008068731339458879,123.93522078367576,129.48872551533603,371.41084913886897,616.087717632807,864.2537185502036,1059.2624414967827,1205.5294095254023,1349.0457212573858,1471.2733386832072,1598.5504099172872,1728.6555520715654,1861.202880139649,1986.4914054622448,2121.290305159665,2242.7334781654076,2363.592974353294,2483.796400735081,2615.584084130343,2748.3403904126712,2868.3734262098396,2985.644229814695,1.0393235996572157,1.8592480907358564,2.673081825539114,3.690321800750122,4.4959195016215965,5.296946218566895,6.0938973208938245,6.886753132968673,7.667106744150634,8.437884093243502,9.204817356692436,9.967925713726904,10.727228239531232,11.482743919292291,12.234093598927366,12.981596827521054,13.725372057075717,14.4654378724595,15.201812787623647,15.934343642713202
