,index,blocknum,p0vs1,p1vs0,WETH-slippagemap_01,WETH-slippagemap_2,WETH-slippagemap_3,WETH-slippagemap_4,WETH-slippagemap_5,WETH-slippagemap_6,WETH-slippagemap_7,WETH-slippagemap_8,WETH-slippagemap_9,WETH-slippagemap_10,WETH-slippagemap_11,USDT-slippagemap_01,USDT-slippagemap_2,USDT-slippagemap_3,USDT-slippagemap_4,USDT-slippagemap_5,USDT-slippagemap_6,USDT-slippagemap_7,USDT-slippagemap_8,USDT-slippagemap_9,USDT-slippagemap_10
3630,3630,16646466.0,1652.6447187420888,0.0006050907304270154,0.26589344822884636,3.1528504918739477,6.011083263705308,8.841366897658771,11.645667011299533,14.63698985082647,17.598550105144277,20.530643742134103,23.43356404997826,26.24559721145401,29.03247340646608,13758.478940345492,18397.39334953792,22990.152164944633,27537.214306754453,28868.406660341483,30181.882086685284,31482.28888893414,32738.56907748674,33983.89086807191,35216.82205448032
3631,3631,16649059.0,1659.4341314095657,0.000602615060804236,2.5544877581844707,5.412720530015831,8.243004163969294,11.047304277610056,14.038627117136993,17.0001873714548,19.932281008444626,22.83520131628878,25.647234477764535,28.434110672776605,30.998456907619445,10063.939369100646,14749.4732859407,19388.38769513313,23981.146510539842,28528.208652349662,29859.401005936692,31172.876432280493,32473.28323452935,33729.56342308195,34974.88521366712
3632,3632,16649845.0,1670.7561687121793,0.0005985313828114136,1.5717155534065264,4.429948325237887,7.260231959191349,10.064532072832112,13.055854912359049,16.017415166676855,18.94950880366668,21.852429111510837,24.66446227298659,27.45133846799866,30.0156847028415,11700.486340188778,16386.02025702883,21024.934666221263,25617.69348162797,30164.75562343779,31495.94797702482,32809.42340336862,34109.83020561748,35366.11039417008,36611.43218475525
3633,3633,16650569.0,1684.3435690059277,0.0005937031009594936,0.41233625468226426,3.270569026513625,6.100852660467087,8.90515277410785,11.896475613634786,14.858035867952593,17.79012950494242,20.693049812786573,23.50508297426233,26.2919591692744,28.85630540411724,13645.501728293468,18331.03564513352,22969.95005432595,27562.70886973266,32109.77101154248,33440.963365129515,34754.438791473316,36054.845593722166,37311.12578227477,38556.44757285994
3634,3634,16651261.0,1689.4039334505235,0.0005919247494336951,2.8406304390698764,5.670914073023338,8.4752141866641,11.466537026191038,14.428097280508844,17.36019091749867,20.263111225342826,23.07514438681858,25.86202058183065,28.426366816673493,30.965198695276513,9638.150588717224,14370.77251785488,19056.306434694932,23695.220843887364,28287.979659294077,32835.04180110389,34166.23415469092,35479.709581034724,36780.11638328358,38036.39657183618
3635,3635,16657628.0,1689.4039334505235,0.0005919247494336951,2.7731573809931853,5.536225348609734,8.273978566497332,11.199416632959355,14.095747643982024,16.963261048666098,19.802243675434653,22.614276836910406,25.401153031922476,27.96549926676532,30.50433114536834,9409.217079634167,14029.42566549758,18603.664714396888,23132.39160265303,27616.05922484326,32055.115600485795,33279.3768058047,34486.9850148561,35682.57794183862,36835.08712205419
3636,3636,16663430.0,1697.8716814672198,0.0005889726596628596,2.0761375862858413,4.83920555390239,7.576958771789988,10.502396838252011,13.398727849274682,16.266241253958757,19.10522388072731,21.917257042203065,24.704133237215135,27.268479472057976,29.807311350660996,10589.72584369764,15209.934429561052,19784.17347846036,24312.9003667165,28796.567988906732,33235.624364549265,34459.88556986817,35667.493778919576,36863.0867059021,38015.59588611766
3637,3637,16664228.0,1703.4836320490788,0.0005870323501712338,1.6050412920846828,4.368109259701232,7.105862477588829,10.031300544050852,12.927631555073523,15.795144959757597,18.63412758652615,21.446160748001905,24.233036943013975,26.797383177856815,29.33621505645984,11390.936303713357,16011.14488957677,20585.383938476076,25114.11082673222,29597.778448922447,34036.83482456498,35261.09602988389,36468.70423893529,37664.297165917815,38816.80634613338
3638,3638,16664933.0,1687.5467036473235,0.0005925761923143715,0.13992608787067345,2.930267696121591,5.69333566373814,8.431088881625737,11.356526948087762,14.25285795911043,17.120371363794504,19.95935399056306,22.771387152038812,25.558263347050882,28.122609581893727,13764.145517077044,18338.384565976354,22867.111454232494,27350.779076422725,31789.835452065257,33014.096657384165,34221.70486643556,35417.29779341809,36569.806973633655,37712.39023967677
3639,3639,16666428.0,1677.1168016759905,0.0005962613927668434,1.0055121796122872,3.795853787863205,6.558921755479753,9.29667497336735,12.222113039829376,15.118444050852045,17.98595745553612,20.82494008230467,23.636973243780428,26.423849438792498,28.98819567363534,12307.91753790395,16882.15658680326,21410.8834750594,25894.55109724963,30333.607472892163,31557.868678211067,32765.47688726247,33961.069814245,35113.578994460564,36256.162260503675
3640,3640,16667259.0,1669.0863310919128,0.0005991301836051836,1.681920271008366,4.472261879259284,7.235329846875833,9.973083064763431,12.898521131225454,15.794852142248123,18.662365546932197,21.50134817370075,24.313381335176505,27.100257530188575,29.66460376503142,11176.174821102752,15750.41387000206,20279.140758258203,24762.80838044843,29201.864756090967,30426.12596140987,31633.734170461274,32829.3270974438,33981.836277659364,35124.41954370248
3641,3641,16668231.0,1676.781428622452,0.0005963806510080106,1.0369757816686171,3.8273173899195347,6.590385357536084,9.328138575423681,12.253576641885704,15.149907652908375,18.01742105759245,20.856403684361002,23.66843684583676,26.45531304084883,29.01965927569167,12255.1531031608,16829.392152060107,21358.11904031625,25841.786662506478,30280.843038149014,31505.10424346792,32712.712452519318,33908.30537950184,35060.81455971741,36203.39782576053
3642,3642,16668930.0,1681.9872556272353,0.000594534825786826,0.6011055354289173,3.391447143679835,6.154515111296384,8.892268329183981,11.817706395646004,14.714037406668675,17.58155081135275,20.420533438121304,23.232566599597057,26.019442794609127,28.58378902945197,12987.15893920022,17561.39798809953,22090.124876355672,26573.7924985459,31012.848874188436,32237.11007950734,33444.71828855874,34640.31121554127,35792.82039575683,36935.40366179995
