,index,blocknum,p0vs1,p1vs0,LINK-slippagemap_01,LINK-slippagemap_2,LINK-slippagemap_3,LINK-slippagemap_4,LINK-slippagemap_5,LINK-slippagemap_6,LINK-slippagemap_7,LINK-slippagemap_8,LINK-slippagemap_9,LINK-slippagemap_10,LINK-slippagemap_11,LINK-slippagemap_12,LINK-slippagemap_13,LINK-slippagemap_14,LINK-slippagemap_15,LINK-slippagemap_16,LINK-slippagemap_17,LINK-slippagemap_18,LINK-slippagemap_19,LINK-slippagemap_20,WETH-slippagemap_01,WETH-slippagemap_2,WETH-slippagemap_3,WETH-slippagemap_4,WETH-slippagemap_5,WETH-slippagemap_6,WETH-slippagemap_7,WETH-slippagemap_8,WETH-slippagemap_9,WETH-slippagemap_10,WETH-slippagemap_11,WETH-slippagemap_12,WETH-slippagemap_13,WETH-slippagemap_14,WETH-slippagemap_15,WETH-slippagemap_16,WETH-slippagemap_17,WETH-slippagemap_18,WETH-slippagemap_19,WETH-slippagemap_20
223,223,12581513.0,0.0102336814034132,97.7165460385032,53.14050880988525,104.61851241896656,156.10372882312134,207.72711214412493,259.09303930246006,310.2027911399948,361.05764339013604,411.65886612807714,462.0077277480073,512.1054897458903,563.8787104817355,615.6071154974297,667.0775333900505,718.2912561157716,767.9923783107296,816.6095967494922,860.9128839952012,904.9952166495351,948.8576993311066,992.5014301247502,0.6208377614486246,1.1472785928566902,1.3725745384302448,1.522303377887355,1.67128547780489,1.819524564758069,1.9670243424142178,2.1137884977774117,2.2598207013935885,2.405124601300836,2.549703832567263,2.693562006540014,2.8367027220642744,2.9791295562574813,3.120846067876947,3.261855800801559,3.402162279510417,3.5417690125956027,3.6806794881915823,3.8188971791679895
224,224,12582221.0,0.01015315783330786,98.49152514102146,52.870320351171614,104.55463335602464,155.98118870966294,207.5469911506331,259.11877989368253,310.4333684724748,361.4920358430197,412.29606040118745,462.8467145584457,513.1452553100763,563.4072937910319,615.3430161176221,667.0197197164513,718.4386983252881,769.6012323646491,818.8332029928583,866.5859102753525,910.844915093415,954.8831902684332,998.7018375747431,0.6232650539603554,0.9236029760011769,1.0734816114994807,1.222612760126885,1.3710001528700262,1.518647496564267,1.6655584816491524,1.8117367839364877,1.957186053911023,2.1019099293338908,2.245912026088846,2.389195946253852,2.531765270447538,2.6736235628039973,2.8147743696533483,2.955221218173399,3.094967619903101,3.2340170694578294,3.372373039922937,3.5100389930146165
225,225,12582748.0,0.010081329297086295,99.19326812278813,53.612823790324796,105.47834347707223,157.08518980876832,208.43466372918027,260.121192324081,311.61568745778834,362.853364489721,413.83550889431336,464.56338657891206,515.0382760206222,565.2614263638197,616.090871238202,667.9487506486076,719.5479997627183,770.8899083686138,821.7659732655421,870.5048798592981,916.9624372661258,961.1551114706843,1005.127382326826,0.5033857015096604,0.6534893121232976,0.8028443148072465,0.9514544440110463,1.0993234135028542,1.2464549195514638,1.3928526426602985,1.5385202384162862,1.6834613516530863,1.827679604197665,1.9711786013097674,2.1139619287542906,2.256033157814883,2.397395837576532,2.538053504803857,2.6780096729665157,2.8172678422127113,2.955831493213191,3.0937040890922014,3.2308890774283285
226,226,12583463.0,0.010052137250627844,99.48133168770066,53.22674063750295,105.1701095396227,156.8544225444757,208.28097789811403,259.8467803390842,311.4185690821336,362.7331576609258,413.79182503147075,464.59584958963853,515.1465037468968,565.4450444985274,615.707082979483,667.6428053060732,719.3195089049024,770.7384875137392,821.9010215531002,871.1329921813093,918.8856994638036,963.1447042818661,1007.1829794568843,0.3952362341522014,0.5451148696505053,0.6942460182779094,0.8426334110210506,0.9902807547152913,1.137191739800177,1.2833700420875123,1.4288193120620476,1.5735431874849155,1.7175452842398704,1.8608292044048769,2.0033985285985625,2.1452568209550216,2.286407627804373,2.426854476324423,2.5666008780541256,2.705650327608854,2.8440062980739618,2.981672251165641,3.1186516260871424
227,227,12584062.0,0.010167381497344884,98.35374036679362,56.02956999759569,107.6622272767606,159.0373826242376,210.68369025846508,262.2039384966217,313.46724022465486,364.4748772519964,415.22812588356203,465.7282518690064,515.9765236272281,566.61692743776,618.50074185714,670.1257955859318,721.4933841530628,772.6047852018792,821.3680670936182,868.2571240868333,912.4718966812598,956.4661588592733,1000.2410097859404,0.5912197973057811,0.9666748121561463,1.116703393058562,1.2659837404314231,1.4145195865687241,1.5623146444766327,1.7093726079947016,1.8556971519327667,2.001291936918537,2.146160601821161,2.2903067670211477,2.4337340346144756,2.5764459918274127,2.718446206523146,2.859738227421049,3.0003255859550406,3.1402117981996027,3.2794003586803053,3.4178947488143683,3.55569842908425
228,228,12584938.0,0.01006722601582299,99.33222900015029,55.35122823856799,107.24268414786413,158.87534142702904,210.25049677450605,261.8968044087335,313.4170526468901,364.6803543749233,415.68799140226486,466.44124003383047,516.9413660192748,567.1896377774965,617.8300415880284,669.7138560074085,721.3389097362002,772.7064983033312,823.8178993521476,872.5811812438866,919.4702382371017,963.6850108315282,1007.6792730095417,0.4485184908966487,0.5985470717990644,0.7478274191719254,0.8963632653092266,1.0441583232171352,1.1912162867352039,1.3375408306732692,1.4831356156590396,1.6280042805616635,1.7721504457616502,1.9155777133549778,2.0582896705679152,2.2002898852636483,2.3415819061615513,2.482169264695543,2.622055476940105,2.761244037420808,2.8997384275548708,3.0375421078247524,3.1746585230188105
229,229,12585602.0,0.01016433189283691,98.38324943961423,51.95313461878922,103.61161410622145,155.01246161556156,206.61852556174438,258.16454157697916,309.4534773103163,360.4866251324282,411.2652575736973,461.7906369058926,512.0640373018281,562.5153086578657,614.425069171451,666.0759425284873,717.4692166785496,768.6061794785285,817.6037468933005,864.9245229388181,909.1614044786674,953.177668067147,996.9744105654391,0.632630758165353,0.9705178446698554,1.1204714348307638,1.2696771641407416,1.4181387657699513,1.5658599473451005,1.7128444033150265,1.8590958090084426,2.0046178176539837,2.1494140699105526,2.2934881831392935,2.4368437594340793,2.579484382725999,2.721413617416417,2.862635013433705,3.003152100104058,3.142968389625267,3.282087375744121,3.4205125389886835,3.558247338836002
230,230,12586249.0,0.010078305503076129,99.2230290791222,54.89483432495736,106.76035401170479,158.3672003434009,209.71667426381282,261.40320285871354,312.8976979924209,364.13537502435355,415.1175194289459,465.8453971135446,516.3202865552547,566.5434368984523,617.3728817728346,669.2307611832402,720.8300102973509,772.1719189032464,823.0479838001747,871.7868903939305,918.2444478007583,962.437122005317,1006.4093928614586,0.4904627171145042,0.6405663277281414,0.7899213304120902,0.93853145961589,1.086400429107698,1.2335319351563077,1.3799296582651421,1.5255972540211298,1.67053836725793,1.814756619802509,1.958255616914611,2.1010389443591344,2.2431101734197267,2.384472853181376,2.5251305204087005,2.665086688571359,2.804344857817555,2.942908508818035,3.0807811046970452,3.2179660930331724
231,231,12587193.0,0.010017018020684365,99.83010891415765,55.56783731479663,107.58917819856586,159.35107532206266,210.85481943433112,262.29971629491877,313.94891669117214,365.3405296722137,416.475841855532,467.35612524075646,517.9826555909153,568.3566977607439,618.4795099960924,670.0641646111541,721.8184364949643,773.3145982376392,824.5539341814477,874.489809183641,923.1313403315664,967.8650505274956,1011.9694292081946,0.2599020665139471,0.4095560633428839,0.5584636954985014,0.7066286842755328,0.8540547340307683,1.0007455292634644,1.1467047378629374,1.2919360097596824,1.4364429723935994,1.5802292387337993,1.7232984059977745,1.8656540463397586,2.0072997213970707,2.1482389714230083,2.288475317098752,2.428012267943597,2.566853309657142,2.7050019125293114,2.842461531829356,2.979235601553655
232,232,12587721.0,0.010109595159589962,98.91592929430018,54.44151592628958,106.22929747402853,157.75880300660324,209.16335285676087,260.8383852818506,312.25570317473074,363.4165846361298,414.32231226476796,464.97416276939447,515.3733974707471,565.521275801119,616.9172684818259,668.6974224974283,720.2193383105027,771.4842971932543,821.6550431893032,870.3208994507903,915.4852476196075,959.6116863038659,1003.5180508070026,0.6072029820142317,0.7575319051921292,0.9071110975042402,1.0559442982705673,1.2040352265414291,1.3513875858278028,1.4980050581086686,1.6438913086009384,1.7890499859769708,1.9334847162899003,2.0771991125806366,2.2201967656674904,2.3624812506811064,2.5040561241531063,2.6449249242624133,2.785091174351515,2.9245583767581986,3.063330017964571,3.2014095689632285,3.338800477353341
