,index,blocknum,p0vs1,p1vs0,TUSD-slippagemap_01,TUSD-slippagemap_2,TUSD-slippagemap_3,TUSD-slippagemap_4,TUSD-slippagemap_5,TUSD-slippagemap_6,TUSD-slippagemap_7,TUSD-slippagemap_8,TUSD-slippagemap_9,TUSD-slippagemap_10,TUSD-slippagemap_11,TUSD-slippagemap_12,TUSD-slippagemap_13,TUSD-slippagemap_14,TUSD-slippagemap_15,TUSD-slippagemap_16,TUSD-slippagemap_17,TUSD-slippagemap_18,TUSD-slippagemap_19,TUSD-slippagemap_20,WETH-slippagemap_01,WETH-slippagemap_2,WETH-slippagemap_3,WETH-slippagemap_4,WETH-slippagemap_5,WETH-slippagemap_6,WETH-slippagemap_7,WETH-slippagemap_8,WETH-slippagemap_9,WETH-slippagemap_10,WETH-slippagemap_11,WETH-slippagemap_12,WETH-slippagemap_13,WETH-slippagemap_14,WETH-slippagemap_15,WETH-slippagemap_16,WETH-slippagemap_17,WETH-slippagemap_18,WETH-slippagemap_19,WETH-slippagemap_20
700,700,16800838.0,0.0007020984411555598,1424.3016952923783,226.59685823399946,577.9779441804333,927.257161760334,1101.1125036181518,1447.2624639763535,1791.3418490097663,1962.6089488261402,2303.605664996644,2642.5626317551832,2811.2800203818606,3147.200212480598,3481.1110136721436,3647.316656247707,3978.2358923037723,4307.17565688424,4470.906941648982,4796.899677016724,5120.942413381724,5282.236175869533,5603.375752066928,0.4590808321469862,0.7040151429915641,0.8259323230604814,1.068672224921663,1.3099601211573908,1.4300622815529032,1.6691884373882777,1.9068842020881545,2.0251983612221274,2.2607645678280743,2.4949216791037356,2.611474461054053,2.843533718523474,3.074204857143953,3.18902247912521,3.417626995389458,3.6448640576599587,3.7579723545474635,3.9831735616911046,4.207027671705128
701,701,16801573.0,0.0006986667448975895,1431.297549658786,194.8536006610648,547.2903616274335,897.6189355951676,1071.9965984873531,1419.1865177703442,1764.2996405169088,1936.0812857367855,2278.102478101757,2618.077790856759,2787.3020684822027,3124.231481986667,3459.14547086588,3625.850450399163,3957.7638878331227,4287.691904708038,4451.915093611259,4778.887228537665,5103.903500134355,5265.681850108743,5587.7862421135915,0.48034907643720265,0.7245497217299921,0.8461017199680468,1.0881145276503597,1.328679680222414,1.4484220933987317,1.6868319799067388,1.923815759891638,2.0417755317273643,2.276636133581703,2.510091859723564,2.6262955245215474,2.857659679429486,3.087639877794721,3.202113579418843,3.430033344641864,3.6565897532169744,3.7693592484663525,3.9938858959285315,4.217069487360196
702,702,16802670.0,0.0006654585178475716,1502.7232700161449,221.6776334130555,582.6747612270569,941.5124984774603,1120.1256362286776,1475.7484848396884,1829.244086673969,2005.198153340384,2355.526727308118,2703.7597320581212,2877.0943094832946,3222.207432229859,3565.2561772661097,3736.0102698147075,4075.9855825697095,4413.92724882183,4582.139273699618,4917.05326257883,5249.963884687677,5415.671679546073,5745.599696420988,0.45425137047074315,0.6926612569787503,0.8113308778296765,1.0476048087993757,1.282465410653714,1.399368354845258,1.6321248015935585,1.8634889565014974,1.9786515328854752,2.2079428564908543,2.4358626217138752,2.549310733401481,2.775188525538364,2.999715173000543,3.1114743474466504,3.3339894257146954,3.555173474640763,3.6652688518444414,3.884471276106722,4.102362485680627
703,703,16803174.0,0.0007206635024546128,1387.6101628484782,337.55341885108305,683.7033792092847,1027.7827642426976,1199.0498640590715,1540.046580229575,1879.0035469881145,2047.7209356147916,2383.6411277135294,2717.551928905075,2883.7575714806385,3214.6768075367036,3543.616572117172,3707.3478568819132,4033.3405922496554,4357.383328614655,4518.677091102465,4839.816667299859,5159.035274355193,5317.927805629238,5634.286475684451,0.38345747171752453,0.6320933023337925,0.7558529334966861,1.0022611955304386,1.2471955063750164,1.3691126864439338,1.6118525883051151,1.8531404845408432,1.9732426449363556,2.21236880077173,2.4500645654716067,2.5683787246055796,2.8039449312115265,3.0381020424871883,3.1546548244375057,3.3867140819069266,3.6173852205274053,3.7322028425086624,3.96080735877291,4.188044421043411
704,704,16803731.0,0.00069254575543924,1443.947915565175,281.253845154245,634.7494469885255,986.1305329349592,1161.0320876226745,1509.2650923726778,1855.4150527308793,2027.7127925444156,2370.7615375806663,2711.75825375117,2881.4909428842657,3219.4326091363864,3555.352801235124,3722.5586228933867,4055.4692450022335,4386.388481058299,4551.105056735545,4879.059530403508,5205.05226577125,5367.316652161862,5690.38876462406,0.4193933368859933,0.6628625151929654,0.784050418816092,1.02533831505182,1.2651828886236502,1.384566631282707,1.6222623959825837,1.858536326952283,1.9761427617225036,2.210299872998165,2.4430563197464656,2.558911912417903,2.7895830510383823,3.018874374643761,3.133005189283887,3.360242251554388,3.586120043691271,3.698551755585534,3.9224058655995577,4.144920943867603
705,705,16804670.0,0.0007443941744881724,1343.3742958662674,263.10890669826006,604.1056228687636,943.062589627303,1111.7799782539803,1447.7001703527178,1781.6109715442635,1947.8166141198271,2278.735850175892,2607.67561475636,2771.406899521102,3097.399634888844,3421.4423712538432,3582.7361337416532,3903.8757099390473,4223.094316994381,4381.986848268426,4698.345518323639,5012.81181095824,5169.338859110798,5480.987795156938,0.44086975395847944,0.6932630487442671,0.8188929729618117,1.0690250294193435,1.3176608600356114,1.4414204911985051,1.6878287532322576,1.9327630640768354,2.054680244145753,2.2974201460069343,2.538708042242662,2.6588102026381746,2.897936358473549,3.135632123173426,3.253946282307399,3.4895124889133458,3.723669600189007,3.8402223821393244,4.072281639608746,4.3029527782292245
706,706,16805189.0,0.0007136358432794165,1401.2749071075746,277.0228064524832,625.2558112024866,971.4057715606882,1143.7035113742243,1486.752256410475,1827.7489725809787,1997.4816617140746,2335.4233279661953,2671.343520064933,2838.5493417231955,3171.4599638320424,3502.3791998881075,3667.0957755653535,3995.050249233317,4321.042984601059,4483.307370991672,4806.3794834538685,5127.519059651262,5287.367765971422,5605.630197980641,0.42576267702055826,0.6729112362095034,0.7959305702172044,1.0408648810617822,1.2843340593687542,1.4055219629918811,1.646809859227609,1.8866544327994392,2.006038175458496,2.2437339401583727,2.480007871128072,2.5976143058982926,2.831771417173954,3.0645278639222546,3.180383456593692,3.4110545952141713,3.64034591881955,3.754476733459676,3.981713795730177,4.20759158786706
707,707,16806198.0,0.0006965739900007307,1435.5976742670955,285.41709806972807,637.8538590360968,988.1824330038309,1162.5600958960163,1509.7500151790075,1854.863137925572,2026.6447831454489,2368.66597551042,2708.641288265422,2877.8655658908656,3214.79497939533,3549.708968274543,3716.413947807826,4048.327385241786,4378.255402116701,4542.4785910199225,4869.450725946328,5194.466997543019,5356.245347517406,5678.349739522255,0.4171660788524174,0.6613667241452068,0.7829187223832615,1.0249315300655744,1.2654966826376286,1.3852390958139467,1.6236489823219535,1.8606327623068528,1.9785925341425792,2.2134531359969176,2.4469088621387787,2.563112526936762,2.7944766818447007,3.024456880209936,3.1389305818340576,3.3668503470570785,3.593406755632189,3.706176250881567,3.930702898343746,4.153886489775411
708,708,16806831.0,0.0006921303733818111,1444.8145009355828,298.3725872890572,651.8681891233376,1003.2492750697714,1178.1508297574867,1526.38383450749,1872.5337948656916,2044.8315346792278,2387.8802797154785,2728.876995885982,2898.609685019078,3236.5513512711987,3572.471543369936,3739.677365028199,4072.5879871370457,4403.507223193111,4568.223798870357,4896.17827253832,5222.171007906062,5384.4353942966745,5707.507506758872,0.40754119984760506,0.6510103781545771,0.7721982817777039,1.0134861780134319,1.253330751585262,1.3727144942443188,1.6104102589441955,1.8466841899138946,1.9642906246841152,2.198447735959777,2.4312041827080777,2.5470597753795152,2.777730913999994,3.0070222376053732,3.1211530522454987,3.348390114516,3.574267906652883,3.686699618547146,3.9105537285611693,4.133068806829214
709,709,16807415.0,0.000659760396534668,1515.7017687821365,300.3831277980451,662.4648190178123,1022.3806313416502,1201.5303835448483,1558.221649844997,1912.7792774414033,2089.2619717413572,2440.643057687791,2789.9222752676915,2963.7776171255096,3309.927577483711,3654.006962517124,3825.274062333498,4166.270778504002,4505.227745262541,4673.945133889219,5009.865325987956,5343.776127179502,5509.981769755065,5840.90100581113,0.4013321115486454,0.6390278762485221,0.757342035382495,0.9929082419884419,1.2270653532641036,1.3436181352144208,1.5756773926838419,1.8063485313043208,1.921166153285578,2.1497706695498255,2.3770077318203264,2.490116028707831,2.7153172358514723,2.9391713458654958,3.0505957628510534,3.2724443261354947,3.492965850263287,3.602731453958061,3.821277289616424,4.038515836554191
