,index,blocknum,p0vs1,p1vs0,YFI-slippagemap_01,YFI-slippagemap_2,YFI-slippagemap_3,YFI-slippagemap_4,YFI-slippagemap_5,YFI-slippagemap_6,YFI-slippagemap_7,YFI-slippagemap_8,YFI-slippagemap_9,YFI-slippagemap_10,YFI-slippagemap_11,USDC-slippagemap_01,USDC-slippagemap_2,USDC-slippagemap_3,USDC-slippagemap_4,USDC-slippagemap_5,USDC-slippagemap_6,USDC-slippagemap_7,USDC-slippagemap_8,USDC-slippagemap_9,USDC-slippagemap_10
249,249,15837385.0,8400.536475717645,0.0001190400164192575,0.015617170209857433,0.03508826367428082,0.05436562623311439,0.07345118526546568,0.09234684938259383,0.11105450779902296,0.12957603112688051,0.14791327145370733,0.16606806229067989,0.1840422185934829,0.20183753879702507,361.3830853956037,522.6607104428728,682.3336750377684,840.4179476043774,996.9293320569652,1151.8834802620688,1305.2958863969986,1457.181888933383,1607.5566753273424,1756.435281874215
250,250,15839208.0,8416.511868082258,0.00011881406640585594,0.013733530209958756,0.03320462367438214,0.05248198623321571,0.071567545265567,0.09046320938269516,0.10917086779912429,0.12769239112698186,0.14602963145380865,0.1641844222907812,0.18215857859358422,0.19995389879712638,377.2218265933393,538.4994516406084,698.172416235504,856.2566888021131,1012.7680732547008,1167.7222214598044,1321.1346275947342,1473.0206301311189,1623.395416525078,1772.2740230719505
251,251,15842015.0,8158.799433217765,0.00012256705268775164,0.005060642946855652,0.02492505875286614,0.0445918302082988,0.06406292367272219,0.08334028623155576,0.10242584526390704,0.1213215093810352,0.14002916779746433,0.15855069112532189,0.17688793145214868,0.19504272228912126,442.4540553039891,600.5383278705982,757.0497123231859,912.0038605282896,1065.4162666632194,1217.3022691996039,1367.6770555935632,1516.5556621404355,1663.952976438484,1809.8837347613705
252,252,15846987.0,8258.115591717085,0.00012109300104772122,0.012864477884905938,0.032531249340338596,0.052002342804761986,0.07127970536359556,0.09036526439594683,0.10926092851307499,0.1279685869295041,0.1464901102573617,0.1648273505841885,0.18298214142116104,0.20095629772396406,381.78109071443043,541.454055309326,699.5383278759351,856.0497123285229,1011.0038605336265,1164.4162666685563,1316.3022692049408,1466.6770555989,1615.5556621457727,1762.952976443821
253,253,15849568.0,8222.683699398178,0.00012161479591793012,0.017142287684675725,0.03680905914010838,0.05628015260453177,0.07555751516336534,0.09464307419571662,0.11353873831284478,0.1322463967292739,0.15076792005713147,0.1691051603839583,0.18725995122093084,0.20523410752373386,346.529361082677,506.2023256775726,664.2865982441817,820.7979826967694,975.752130901873,1129.1645370368028,1281.0505395731873,1431.4253259671466,1580.3039325140192,1727.7012468120674
254,254,15852885.0,8443.486493735165,0.00011843448802126616,0.010513818777943322,0.029984912242366712,0.04926227480120028,0.06834783383355156,0.08724349795067972,0.10595115636710885,0.12447267969496642,0.1428099200217932,0.16096471085876576,0.1789388671615688,0.19673418736511095,404.36525800501255,565.6428830522817,725.3158476471773,883.4001202137864,1039.9115046663742,1194.8656528714778,1348.2780590064076,1500.164061542792,1650.5388479367514,1799.4174544836237
255,255,15863075.0,8267.20406219441,0.00012095987863332895,0.011761680556284772,0.03142845201171743,0.05089954547614082,0.07017690803497438,0.08926246706732567,0.10815813118445382,0.12686578960088296,0.14538731292874052,0.1637245532555673,0.18187934409253986,0.19985350039534291,390.8933965106842,550.5663611055799,708.650633672189,865.1620181247766,1020.1161663298802,1173.5285724648102,1325.4145750011946,1475.789361395154,1624.6679679420263,1772.0652822400748
256,256,15864096.0,8064.708844671058,0.00012399703687514683,0.016647264750964598,0.03651168055697509,0.056178452012407745,0.07564954547683114,0.09492690803566471,0.11401246706801599,0.13290813118514413,0.15161578960157326,0.17013731292943085,0.18847455325625764,0.2066293440932302,348.46177492807857,506.5460474946877,663.0574319472754,818.011580152379,971.4239862873088,1123.3099888236934,1273.6847752176527,1422.563381764525,1569.9606960625736,1715.89145438546
257,257,15872492.0,8064.708844671058,0.00012399703687514683,0.01664603729370025,0.03651045309971074,0.056177224555143394,0.07564831801956678,0.09492568057840035,0.11401123961075164,0.1329069037278798,0.15161456214430893,0.1701360854721665,0.18847332579899329,0.20662811663596584,348.4716749280794,506.55594749468844,663.0673319472761,818.0214801523798,971.4338862873096,1123.319888823694,1273.6946752176534,1422.573281764526,1569.9705960625743,1715.9013543854608
258,258,15874280.0,8070.355834733479,0.00012391027365809138,0.01596337529267269,0.03582779109868318,0.055494562554115834,0.07496565601853923,0.0942430185773728,0.11332857760972408,0.13222424172685224,0.15093190014328137,0.16945342347113893,0.18779066379796572,0.20594545463493827,353.9795249283761,512.0637974949851,668.5751819475729,823.5293301526765,976.9417362876063,1128.8277388239908,1279.20252521795,1428.0811317648227,1575.478446062871,1721.4092043857577
