,index,blocknum,p0vs1,p1vs0,USDP-slippagemap_01,USDP-slippagemap_2,USDP-slippagemap_3,USDP-slippagemap_4,USDP-slippagemap_5,USDP-slippagemap_6,USDP-slippagemap_7,USDP-slippagemap_8,USDP-slippagemap_9,USDP-slippagemap_10,USDP-slippagemap_11,USDP-slippagemap_12,USDP-slippagemap_13,USDP-slippagemap_14,USDP-slippagemap_15,USDP-slippagemap_16,USDP-slippagemap_17,USDP-slippagemap_18,USDP-slippagemap_19,USDP-slippagemap_20,USDC-slippagemap_01,USDC-slippagemap_2,USDC-slippagemap_3,USDC-slippagemap_4,USDC-slippagemap_5,USDC-slippagemap_6,USDC-slippagemap_7,USDC-slippagemap_8,USDC-slippagemap_9,USDC-slippagemap_10,USDC-slippagemap_11,USDC-slippagemap_12,USDC-slippagemap_13,USDC-slippagemap_14,USDC-slippagemap_15,USDC-slippagemap_16,USDC-slippagemap_17,USDC-slippagemap_18,USDC-slippagemap_19,USDC-slippagemap_20
10,10,13796211.0,0.9999026535686368,1.0000973559086135,8197389.515123295,8197389.515123295,8197389.515123295,8197389.515123295,8197389.515123295,8197389.515123295,8197389.515123295,8197389.515123295,8197389.515123295,8197389.515123295,8197389.515123295,8197389.515123295,8197389.515123295,8197389.515123295,8197389.515123295,8197389.515123295,8197389.515123295,8197389.515123295,8197389.515123295,8197389.515123295,8285283.970252208,8285283.970252208,8285283.970252208,8285283.970252208,8285283.970252208,8285283.970252208,8285283.970252208,8285283.970252208,8285283.970252208,8285283.970252208,8285283.970252208,8285283.970252208,8285283.970252208,8285283.970252208,8285283.970252208,8285283.970252208,8285283.970252208,8285283.970252208,8285283.970252208,8285283.970252208
11,11,13797573.0,0.9998026733013067,1.0001973656442043,8265109.34129431,8265109.34129431,8265109.34129431,8265109.34129431,8265109.34129431,8265109.34129431,8265109.34129431,8265109.34129431,8265109.34129431,8265109.34129431,8265109.34129431,8265109.34129431,8265109.34129431,8265109.34129431,8265109.34129431,8265109.34129431,8265109.34129431,8265109.34129431,8265109.34129431,8265109.34129431,8217570.641481769,8217570.641481769,8217570.641481769,8217570.641481769,8217570.641481769,8217570.641481769,8217570.641481769,8217570.641481769,8217570.641481769,8217570.641481769,8217570.641481769,8217570.641481769,8217570.641481769,8217570.641481769,8217570.641481769,8217570.641481769,8217570.641481769,8217570.641481769,8217570.641481769,8217570.641481769
12,12,13798134.0,0.9999026535686368,1.0000973559086135,7844492.059779201,7844492.059779201,7844492.059779201,7844492.059779201,7844492.059779201,7844492.059779201,7844492.059779201,7844492.059779201,7844492.059779201,7844492.059779201,7844492.059779201,7844492.059779201,7844492.059779201,7844492.059779201,7844492.059779201,7844492.059779201,7844492.059779201,7844492.059779201,7844492.059779201,7844492.059779201,8638157.468415339,8638157.468415339,8638157.468415339,8638157.468415339,8638157.468415339,8638157.468415339,8638157.468415339,8638157.468415339,8638157.468415339,8638157.468415339,8638157.468415339,8638157.468415339,8638157.468415339,8638157.468415339,8638157.468415339,8638157.468415339,8638157.468415339,8638157.468415339,8638157.468415339,8638157.468415339
13,13,13798646.0,0.9999026535686368,1.0000973559086135,7905582.341566465,7905582.341566465,7905582.341566465,7905582.341566465,7905582.341566465,7905582.341566465,7905582.341566465,7905582.341566465,7905582.341566465,7905582.341566465,7905582.341566465,7905582.341566465,7905582.341566465,7905582.341566465,7905582.341566465,7905582.341566465,7905582.341566465,7905582.341566465,7905582.341566465,7905582.341566465,8577070.144678168,8577070.144678168,8577070.144678168,8577070.144678168,8577070.144678168,8577070.144678168,8577070.144678168,8577070.144678168,8577070.144678168,8577070.144678168,8577070.144678168,8577070.144678168,8577070.144678168,8577070.144678168,8577070.144678168,8577070.144678168,8577070.144678168,8577070.144678168,8577070.144678168,8577070.144678168
14,14,13799288.0,0.9998026733013067,1.0001973656442043,8591956.88117548,8591956.88117548,8591956.88117548,8591956.88117548,8591956.88117548,8591956.88117548,8591956.88117548,8591956.88117548,8591956.88117548,8591956.88117548,8591956.88117548,8591956.88117548,8591956.88117548,8591956.88117548,8591956.88117548,8591956.88117548,8591956.88117548,8591956.88117548,8591956.88117548,8591956.88117548,7890763.063459824,7890763.063459824,7890763.063459824,7890763.063459824,7890763.063459824,7890763.063459824,7890763.063459824,7890763.063459824,7890763.063459824,7890763.063459824,7890763.063459824,7890763.063459824,7890763.063459824,7890763.063459824,7890763.063459824,7890763.063459824,7890763.063459824,7890763.063459824,7890763.063459824,7890763.063459824
15,15,13800015.0,0.9998026733013067,1.0001973656442043,8557088.713654038,8557088.713654038,8557088.713654038,8557088.713654038,8557088.713654038,8557088.713654038,8557088.713654038,8557088.713654038,8557088.713654038,8557088.713654038,8557088.713654038,8557088.713654038,8557088.713654038,8557088.713654038,8557088.713654038,8557088.713654038,8557088.713654038,8557088.713654038,8557088.713654038,8557088.713654038,7925626.288758991,7925626.288758991,7925626.288758991,7925626.288758991,7925626.288758991,7925626.288758991,7925626.288758991,7925626.288758991,7925626.288758991,7925626.288758991,7925626.288758991,7925626.288758991,7925626.288758991,7925626.288758991,7925626.288758991,7925626.288758991,7925626.288758991,7925626.288758991,7925626.288758991,7925626.288758991
16,16,13800633.0,0.9998026733013067,1.0001973656442043,8591601.214506278,8591601.214506278,8591601.214506278,8591601.214506278,8591601.214506278,8591601.214506278,8591601.214506278,8591601.214506278,8591601.214506278,8591601.214506278,8591601.214506278,8591601.214506278,8591601.214506278,8591601.214506278,8591601.214506278,8591601.214506278,8591601.214506278,8591601.214506278,8591601.214506278,8591601.214506278,7891118.678897998,7891118.678897998,7891118.678897998,7891118.678897998,7891118.678897998,7891118.678897998,7891118.678897998,7891118.678897998,7891118.678897998,7891118.678897998,7891118.678897998,7891118.678897998,7891118.678897998,7891118.678897998,7891118.678897998,7891118.678897998,7891118.678897998,7891118.678897998,7891118.678897998,7891118.678897998
17,17,13801210.0,0.9998026733013067,1.0001973656442043,8537344.485130336,8537344.485130336,8537344.485130336,8537344.485130336,8537344.485130336,8537344.485130336,8537344.485130336,8537344.485130336,8537344.485130336,8537344.485130336,8537344.485130336,8537344.485130336,8537344.485130336,8537344.485130336,8537344.485130336,8537344.485130336,8537344.485130336,8537344.485130336,8537344.485130336,8537344.485130336,7945367.790653571,7945367.790653571,7945367.790653571,7945367.790653571,7945367.790653571,7945367.790653571,7945367.790653571,7945367.790653571,7945367.790653571,7945367.790653571,7945367.790653571,7945367.790653571,7945367.790653571,7945367.790653571,7945367.790653571,7945367.790653571,7945367.790653571,7945367.790653571,7945367.790653571,7945367.790653571
18,18,13801809.0,0.9998026733013067,1.0001973656442043,8755503.384633645,8755503.384633645,8755503.384633645,8755503.384633645,8755503.384633645,8755503.384633645,8755503.384633645,8755503.384633645,8755503.384633645,8755503.384633645,8755503.384633645,8755503.384633645,8755503.384633645,8755503.384633645,8755503.384633645,8755503.384633645,8755503.384633645,8755503.384633645,8755503.384633645,8755503.384633645,7727241.905543752,7727241.905543752,7727241.905543752,7727241.905543752,7727241.905543752,7727241.905543752,7727241.905543752,7727241.905543752,7727241.905543752,7727241.905543752,7727241.905543752,7727241.905543752,7727241.905543752,7727241.905543752,7727241.905543752,7727241.905543752,7727241.905543752,7727241.905543752,7727241.905543752,7727241.905543752
19,19,13802553.0,0.9998026733013067,1.0001973656442043,8642635.828447439,8642635.828447439,8642635.828447439,8642635.828447439,8642635.828447439,8642635.828447439,8642635.828447439,8642635.828447439,8642635.828447439,8642635.828447439,8642635.828447439,8642635.828447439,8642635.828447439,8642635.828447439,8642635.828447439,8642635.828447439,8642635.828447439,8642635.828447439,8642635.828447439,8642635.828447439,7840091.588610389,7840091.588610389,7840091.588610389,7840091.588610389,7840091.588610389,7840091.588610389,7840091.588610389,7840091.588610389,7840091.588610389,7840091.588610389,7840091.588610389,7840091.588610389,7840091.588610389,7840091.588610389,7840091.588610389,7840091.588610389,7840091.588610389,7840091.588610389,7840091.588610389,7840091.588610389
