block,reserve USDC,reserve DAI,price,volume for slippage 5%
16734099,195576722.307035,178272742.36142722,0.9999562088442759,186769408
16734222,195506421.819826,178589800.62775612,0.9999572369834917,187097088
16734383,195468252.83854,178599799.8191565,0.9999573556899842,187113472
16734565,192819529.965484,178629454.88071057,0.9999638155524758,187146240
16734655,192623514.241687,178668218.6750469,0.9999644008583203,187195392
16734806,189123486.061391,178468267.097957,0.9999724469595842,186998784
16735060,188302698.97398,178467429.14646104,0.9999744856601479,186998784
16735153,184823445.929931,178649451.29488844,0.9999838020451872,187195392
16735242,184988952.428083,178758954.60772204,0.9999836694814513,187310080
16735310,185460189.844914,179277536.2313604,0.9999838446958401,187850752
16735464,185540904.635313,179430828.224235,0.9999840463877012,188014592
16735574,186308711.421337,179372008.15086094,0.9999819266599487,187949056
16735629,186277301.35793,179353276.15105006,0.9999819553391481,187932672
16735651,186298296.203001,179367456.66516325,0.9999819392235763,187949056
16735691,187477396.6266,179353826.67170897,0.9999789042199367,187932672
16735762,188141301.891971,180108741.0460199,0.9999792349308086,188719104
16735857,190052505.339736,179635150.67188504,0.999973175037544,188211200
16736122,190774120.464953,179756617.65760252,0.9999717016277375,188342272
16736224,191017188.673765,179542975.3812616,0.9999705269796523,188112896
16736377,191282856.718963,179407060.14730483,0.99996950585853,187965440
16736524,190093032.944426,179498191.85001287,0.9999726529334813,188063744
16736693,190376411.699533,179412100.54298747,0.9999717136930519,187981824
16736791,190754975.121674,179656517.03751546,0.9999714256741326,188227584
16736954,191067957.324062,179721527.8711524,0.9999708200466629,188293120
16737100,200363517.457228,179474211.04986846,0.9999479005829722,188014592
16737191,200280356.684581,179429506.57266787,0.9999479665860227,187965440
16737311,200903018.015394,179483411.5993478,0.999946637925247,188014592
16737395,200989431.035078,179526777.9429401,0.9999465493005402,188063744
16737496,201251141.638498,179397522.69746584,0.9999455879968178,187932672
16737608,203908691.01035,179377486.45318162,0.9999392848060557,187899904
16737692,201459083.911997,179410384.93009505,0.9999450950718725,187932672
16737772,202708790.780843,179674791.7549564,0.9999428597276308,188211200
16737966,202105048.791887,179665373.21739408,0.9999442287232061,188194816
16738050,201276114.128555,179672787.17938903,0.9999461639269784,188211200
16738221,201785559.666732,179924935.61402148,0.9999456313637943,188473344
16738297,202659711.622211,179670648.91976532,0.9999428881671544,188211200
16738419,200830868.984873,179800332.92966056,0.9999474832979927,188342272
16738514,200479570.564007,180092938.41818166,0.9999490980127725,188653568
16738643,200399430.799274,180120555.86810738,0.9999493641434999,188686336
16738788,200260642.846729,180266208.58208093,0.9999500833456736,188833792
16738995,200367029.503347,180283179.55322447,0.9999498798973803,188850176
16739226,202489446.705955,180320311.17489672,0.9999450402734186,188882944
16739319,204024072.022418,180311978.2850025,0.9999413554140767,188866560
16739460,203786883.581343,180471614.55827755,0.9999423351400887,189046784
16739614,203341888.164584,180553561.02065054,0.9999435785295587,189128704
16739774,203210808.291432,180776521.201505,0.9999444820174189,189358080
16739899,200005362.762813,181008190.3496759,0.9999525401834923,189620224
16739988,199881270.409597,181008190.3496759,0.9999528349001504,189620224
16740061,197645591.501252,181018225.3496759,0.9999581211328638,189636608
16740213,197565697.6136,181023299.69811326,0.9999583234913588,189636608
16740351,197662532.747347,181087371.2460746,0.9999582595456217,189718528
16740575,198082573.158988,181006567.14607868,0.9999570339947785,189620224
16740732,194662804.758991,182931063.09065256,0.999970357948902,191668224
16740950,192935743.159787,183229468.18652993,0.9999753413581887,191979520
16741104,192979113.096437,183229088.66940054,0.9999752337180101,191979520
16741232,194529492.169892,183256734.77470547,0.9999715403149038,192012288
16741390,194480121.062777,183614031.30750462,0.999972595666699,192389120
16741480,203280162.005713,183614031.30750462,0.9999518994167855,192356352
16741574,196905187.121928,183609712.5465984,0.999966816349066,192372736
16741693,193952894.178644,183616347.0226788,0.9999739190900511,192389120
16741950,198374782.513596,183616347.0226788,0.9999633544786153,192372736
16742138,198752956.009228,183616347.0226788,0.9999624675331555,192372736
16742311,199046272.282218,183618135.85883313,0.9999617760124527,192372736
16742464,197413526.504167,183618135.85883313,0.9999656292013634,192372736
16742634,197420112.858758,185866625.2465981,0.9999714814401636,194748416
16742842,197637973.900196,191195700.46951145,0.9999844252249523,200351744
16742980,196691763.271189,191273956.83032832,0.9999868660238103,200450048
16743078,196780122.132549,191159896.84098873,0.9999863737508754,200318976
16743306,198108076.651323,191078027.23014998,0.9999830221706352,200237056
16743461,196528413.44126,194553563.74034294,0.9999952627665567,203890688
16743776,196159801.694881,194342750.62558296,0.9999956325151867,203677696
16743860,209913675.652945,194839558.88658985,0.9999650194881,204136448
16743915,204751709.37594,194845202.24255893,0.9999767673774503,204169216
16744033,201711650.147047,194892887.6360651,0.9999838903250605,204234752
16744218,201513405.116156,194912786.19396064,0.9999843984768094,204251136
16744536,201672067.533575,194782158.07474798,0.9999837141129875,204120064
16744686,201409916.864858,194267820.75807258,0.9999830797672078,203579392
16744748,201305531.764084,194573980.90227342,0.9999840627100185,203907072
16744872,201023979.493031,194906194.7001899,0.9999855195320746,204251136
16744949,206104285.402535,195185076.69421923,0.9999744940056257,204529664
16745015,209290089.368896,195178178.78052202,0.999967245812299,204496896
16745178,208930845.83782,198452969.98782322,0.9999758470864818,207953920
16745263,208181536.545741,198390689.977866,0.9999773900170552,207888384
16745318,207424303.462782,198509237.64864725,0.9999793959029103,208019456
16745388,213120355.695088,198468010.23752114,0.9999664297123432,207937536
16745536,213573213.578167,198468010.23752114,0.9999654041738848,207937536
