block,reserve USDC,reserve DAI,price,volume for slippage 5%
11672692,20641049.560673,20165395.55418966,0.9997663364219147,19304960
11672897,20856227.669673,20191746.385541264,0.9996775959480291,19329536
11673051,20742451.959838,20200244.897858035,0.9997358380302809,19342848
11673161,20676364.617305,20263201.65829465,0.9997985319733174,19410432
11673363,20409156.00861,20153418.6231422,0.9998728800353354,19297792
11673497,20389976.233489,20073290.330162514,0.9998416896746958,19210752
11673620,20646756.803778,20165979.35699067,0.9997636743055816,19303936
11673795,20602835.346553,20119723.35606329,0.9997613439836538,19253760
11673995,20617337.548592,20055537.939740993,0.9997218936231625,19185152
11674127,20610585.312156,20064122.908875577,0.9997292402148903,19193344
11674290,20665395.624616,20020050.96719247,0.9996806119555389,19145216
11674563,20742831.841505,20020050.96719247,0.9996435555055057,19143168
11674704,20655001.549077,19971337.79233151,0.9996604189808688,19091968
11674748,20992730.078304,20297213.555605777,0.999665109592355,19430912
11674862,21182419.6792,20221836.829927452,0.9995394372380543,19343872
11675007,21057849.178858,20218402.304962613,0.9995946655930286,19341824
11675142,21096659.491509,20357437.90040721,0.9996461045400037,19489280
11675278,21160029.193341,20229550.802080814,0.9995527576470504,19348992
11675539,21175746.789446,20275539.575179607,0.9995684536051839,19398144
11675591,21253033.873211,20397345.544797827,0.9995938320498893,19527168
11675772,20965905.423261,20489475.82056796,0.9997720025389653,19634688
11675851,21145256.764699,20458528.653709695,0.9996739508073664,19598848
11676061,21160518.244178,20515957.808575816,0.9996950726818628,19660288
11676246,20996597.469759,20542486.609671723,0.9997842134501634,19696128
11676491,21054744.518605,20547334.359321583,0.9997595777505588,19700224
11676643,20958311.35932,20636613.85896085,0.9998475530829251,19798528
11676776,20991300.426332,20576841.71910362,0.9998034343280936,19734016
11676854,21362890.099397,20428501.654311687,0.999559856980658,19559936
11677058,21279188.782249,20400835.682696227,0.9995840264478696,19532288
11677227,21200223.290665,20574816.72615596,0.9997051161651525,19719680
11677409,21203389.490194,20680576.884146243,0.9997546166689764,19832320
11677658,21080538.153221,20610774.45210835,0.9997771345395452,19757568
11677791,20968935.545385,20779679.220451858,0.9999104802972308,19941888
11678109,21083304.122187,20661926.144414756,0.9998004446072114,19810816
11678339,20623512.237568,18855351.920820907,0.9990955897665876,17949184
11678569,20365993.648326,19303450.808662217,0.999463226584012,18438656
11678685,20028885.563493,19889524.009056404,0.9999305808297592,19077632
11679084,20293066.859072,19881759.34338709,0.9997977151577065,19063296
11679187,20182524.30634,19846840.582838416,0.9998336774965151,19027456
11679477,20203174.443705,19890774.95167335,0.9998457396686898,19074560
11679786,20253130.045321,20008796.560098417,0.999880359974466,19200512
11679955,20517894.278138,20113796.560098417,0.9998053595568438,19303936
11680036,20434597.255309,20230767.64745001,0.9999009699560196,19412480
11680204,20994084.846992,20901127.13168265,0.9999571554604098,20105728
11680434,20169259.841815,20847211.992708463,1.0003219140480715,20091392
11680603,20272779.00374,20301424.535824586,1.00001386021844,19507712
11680771,20391060.432118,20370094.188478064,0.9999899368814397,19576320
11680973,20580780.264524,20622154.51519125,1.0000194985931576,19836416
11681108,20761139.677827,20500197.530149955,0.9998773653613725,19701248
11681189,20878666.523469,20372654.811312713,0.9997626423647717,19566080
11681333,20733913.185073,20296702.14667253,0.9997927733814765,19488256
11681649,21174763.898908,20321140.441749375,0.9996021630612733,19494400
11681917,21664450.319369,20995395.91388222,0.9996998976039146,20174336
11682023,21688334.124379,21604292.88148849,0.9999631157447944,20812800
11682089,21545574.942627,21553627.363720503,1.0000035654909074,20761600
11682229,21547345.114811,21474431.749138582,0.9999676065824251,20677632
11682270,21813794.016349,21658539.428543072,0.9999319435633266,20855808
11682331,21924160.057892,21417922.746119026,0.9997769187006776,20595712
11682425,21973724.748495,21139177.068750754,0.9996278517358126,20293120
11682716,21943213.487577,21092147.864639148,0.9996195368064769,20246016
11682799,22188472.972297,20970956.66241733,0.9994573912634003,20105728
11682967,22041051.610146,21033764.124414686,0.9995498692595266,20178432
11683129,22175984.929658,20797999.526432715,0.9993858815982156,19936768
11683214,22055199.383361,20838891.606866382,0.9994555173526883,19981824
11683347,21991232.352446,21369200.379178636,0.9997267193604656,20546560
11683476,22141890.866363,21462650.180630278,0.9997038300614592,20636672
