block,reserve USDT,reserve USDC,price,volume for slippage 5%
11612695,20632780.530197,23013266.461808,1.0010689725976634,22283264
11612942,20787375.817075,23033164.696543,1.0010003109077126,22299648
11613365,20779687.942554,22945189.540069,1.0009666485725597,22209536
11613392,19191248.595882,23612457.703523,1.0021123387868678,22930432
11613448,19556003.339082,23183979.534387,1.0017245516642086,22471680
11613591,19489557.457154,22881537.224511,1.0016334437219674,22156288
11613837,19466896.85835,22899606.452771,1.0016534072689183,22176768
11614054,19772647.270663,22690971.73135,1.001393157769124,21949440
11614254,19793165.344927,22615779.599275,1.0013485989985136,21871616
11614385,19548531.485806,22592250.613649,1.0014777655764084,21847040
11614545,19560931.69169,22504256.634197,1.0014310465203051,21754880
11614734,19609193.335591,22405555.175612,1.0013570987446039,21656576
11614798,19564293.717259,22407585.18402,1.0013796197768214,21662720
11614924,19237782.33036,22216289.376255,1.0014834598245514,21466112
11615084,19213172.884424,22422752.942631,1.001586008929197,21687296
11615309,19638889.767545,22350246.35786,1.001313449255732,21601280
11615488,19446550.220216,22348032.480596,1.0014217335323867,21601280
11615571,19539294.067352,22107735.654232,1.0012645941699674,21343232
11615697,19690123.022026,21920150.672658,1.0010991778270122,21138432
11615890,19615530.052946,21902494.312507,1.0011324396923498,21120000
11616130,19796458.005812,21673447.856642,1.0009299106556193,20872192
11616200,19786235.895483,21820750.911791,1.0010031614643558,21027840
11616326,19921907.436773,21433957.689745,1.000751635090415,20614144
11616466,20197271.124485,21292913.26568,1.0005408638313091,20455936
11616720,20615613.185868,21777888.773484,1.000547254310805,20974592
11616830,20629664.846134,21832425.939555,1.0005642078838854,21033984
11616986,20686350.129307,22001120.715574,1.000609302925682,21216256
11617181,20537414.851286,21949872.908973,1.000660805797607,21165056
11617384,20608059.010158,21954211.306035,1.0006277246609985,21167104
11617494,20128252.032255,22170149.816801,1.0009668553990172,21406720
11617605,20523275.475741,21928845.685899,1.0006586875764403,21142528
11617802,20391581.65858,21951020.377822,1.0007344593070606,21171200
11618016,20446780.415504,21837416.342477,1.0006561249068509,21048320
11618180,20545504.287781,21936786.618948,1.0006502667713648,21152768
11618313,20524486.531993,21995411.792651,1.0006868150225985,21214208
11618611,20509411.072732,21948605.507647,1.0006738100499926,21165056
11618728,20304227.035928,21900296.766053,1.0007574517955473,21115904
11618858,19621460.674589,21768153.601468,1.0010599096649875,20993024
11618976,19771273.821384,21700675.16104,1.0009481472408384,20917248
11619118,19871059.185751,21841886.485327,1.0009569074540696,21066752
11619248,19926941.806378,21592970.276084,1.000816161667603,20798464
11619459,19980150.664689,21870841.504355,1.0009109326035683,21097472
11619654,19967761.339814,21792139.261219,1.000882194323448,21013504
11619834,19771337.100884,21929742.671787,1.0010487336726213,21165056
11620005,20092983.114259,21815203.952444,1.0008282038393197,21031936
11620148,20257891.329326,21936962.567294,1.0007965357302726,21158912
11620460,20371114.931116,22240944.961393,1.0008701722763613,21482496
11620705,20372697.866785,22168836.340091,1.0008359437717882,21410816
11621031,20498376.680814,22154677.948371,1.0007668441332158,21390336
11621229,20694659.613787,21963755.212521,1.0005843979089282,21189632
11621324,20166114.801022,22243770.706794,1.0009718833589207,21498880
11621576,20167016.743281,22396911.09692,1.0010394253702222,21656576
11621757,19797971.31585,22577871.865643,1.0013125748963096,21855232
11621927,19891948.716654,23066100.003174,1.0014615494096182,22375424
11622054,19964479.655854,23353973.86671,1.0015370632325375,22680576
11622159,19994580.529591,23192936.957351,1.001454766567919,22510592
11622321,19993749.945111,23265845.667612,1.0014848608628537,22588416
11622473,20022265.768306,23251385.284325,1.0014642412143184,22572032
11622595,19869932.236592,23304499.306652,1.0015664536245688,22631424
11622712,19931122.332726,24007193.902404,1.0018214085111332,23360512
11622827,20156682.574116,23950931.074953,1.0016804371896075,23292928
11622923,19922002.096746,24153860.055632,1.0018838817666058,23514112
11623022,19619979.453841,23866418.507719,1.0019408742233016,23215104
11623152,19472288.647306,24114474.500257,1.0021203291389793,23479296
11623305,19689884.192616,23904817.106198,1.0019171041082737,23254016
11623374,19181769.688167,24286002.263681,1.0023560643458769,23665664
11623494,19034763.494767,24123321.024279,1.0023830161010618,23495680
11623638,18757316.567786,24570667.560943,1.0027297918850913,23968768
11623975,18359598.802147,24694314.568168,1.0030337484554848,24103936
11624033,18652623.509396,24505526.952053,1.0027708530630481,23901184
11624270,19764683.639222,24204276.899468,1.002014281814007,23546880
11624442,19256726.234049,24705060.553864,1.0024984974100686,24085504
11624544,19130927.008386,24284630.264958,1.0024158184276053,23641088
11624740,18709631.095274,24569435.34657,1.002788165443288,23948288
11624963,18501252.794702,24685366.217944,1.0029691903029847,24071168
11625069,18592799.423369,24590765.344744,1.0028735268846534,23970816
11625263,18689592.013717,24508723.053361,1.0027797082097423,23882752
11625536,18777188.542078,24530927.305261,1.0027322053577943,23905280
11625799,18836985.362172,24531045.687076,1.002694028840354,23905280
11625882,19012097.376785,24517322.760567,1.002578580006838,23888896
11626086,18982745.065236,24482333.2917,1.0025845260803847,23849984
11626359,19110320.994419,24450783.942724,1.0024938565631814,23815168
11626562,19136515.354506,24458032.899635,1.0024809229243452,23823360
11626743,19444003.808856,24331822.050238,1.0022493545045763,23684096
11626811,19192933.595803,24404447.880107,1.0024387760107476,23755776
11626984,19346243.531209,24214092.975963,1.0022737147403835,23550976
11627103,19451336.781792,24193682.991103,1.0022036803278123,23528448
11627288,19801459.94154,24153487.921839,1.001988286485746,23477248
11627446,19669569.434562,24047668.968196,1.0020316984842883,23358464
11627617,19682366.633592,23884180.816445,1.001960995317513,23184384
11627774,19774324.092559,23911026.682452,1.0019193588719257,23211008
11627934,19829062.971665,23950567.927572,1.0019036334204976,23251968
11628102,19921679.662546,23819148.938633,1.0017951692537088,23116800
11628260,20086638.492613,23811860.281391,1.001700640957216,23106560
11628439,20072101.62459,23692990.694168,1.0016618491534497,22979584
11628560,20322371.079963,23405762.772889,1.0014118102558092,22670336
11628666,20362491.238248,23495784.086211,1.0014255958482012,22766592
11628795,20470716.46431,23327023.568424,1.0013017958596477,22584320
11628989,20662610.90598,23235387.107586,1.0011653962995173,22481920
11629134,20715256.124174,23012897.254349,1.0010469976618352,22244352
11629201,21525420.884693,22399756.660324,1.0003914213928264,21578752
11629240,21457520.775234,22614305.127542,1.0005148860609268,21810176
11629291,22014643.861145,22178840.574187,1.0000725967194355,21328896
11629314,22045911.754196,21757099.522084,0.9998701002191749,20878336
11629378,22210402.066482,22141691.470856,0.9999698279161251,21283840
11629440,22035452.283837,22140330.834935,1.0000460539038059,21302272
11629608,21716739.387688,22584696.591538,1.0003795936432367,21785600
11629760,21715799.871433,22638751.561296,1.000402828742568,21842944
11629916,21518349.183204,22828742.335123,1.0005725589526349,22049792
11630006,21582240.209704,22723221.701281,1.0005042494738392,21916672
11630231,21719100.183548,22686623.931274,1.0004251569284162,21875712
11630296,21881391.823347,22845142.853494,1.0004176885633924,22041600
11630550,21567947.7578,22889856.505959,1.000579449083929,22098944
11630723,21596039.125824,22565087.94472,1.000429979960496,21750784
11630838,21969884.009988,22257984.241388,1.0001273028369166,21414912
11631034,22140040.211687,21979181.44979,0.9999285869125774,21111808
11631125,22277955.421859,21542931.07289,0.9996692045584142,20640768
11631221,22355285.519134,21117995.849262,0.9994337988449131,20181504
11631313,22309866.801401,21296300.59336,0.9995392548544187,20374016
11631448,22316898.355275,21638852.346255,0.9996967791718492,20743168
11631668,22467061.931718,21539171.771211,0.9995858343079248,20630528
11631871,22097279.038785,21697201.6702,0.9998198312033632,20810752
11632015,22188800.819176,21287846.200681,0.9995881173195904,20368896
11632086,22516476.740788,21108676.751575,0.9993600482702103,20167168
11632181,22375096.836988,21264874.646984,0.9994960139215991,20339200
11632282,22812164.933047,21017333.833192,0.999190669213258,20060672
11632473,22970055.462637,21072481.910596,0.9991534981681224,20119040
11632586,23205614.650995,21454261.134397,0.9992394109804084,20519936
11632641,23417819.75687,21387772.400669,0.9991229174822264,20442624
11632714,23048322.407506,21346617.702237,0.9992528545975672,20409856
11632891,22861928.204638,20978541.41305,0.9991610777765694,20041216
11633038,22678071.40971,21062213.137591,0.999277887083398,20137472
11633232,22602756.468538,20937044.178276,0.9992487905243582,20004352
11633338,22519702.416328,20902227.660516,0.9992667948892603,19969536
11633498,22436634.512112,20961210.159674,0.9993306503249885,20035072
11633561,22541400.248038,21171841.797608,0.9993873313483275,20257280
11633619,22640850.291801,21132157.41659,0.9993265979161374,20212224
11633703,22612334.152015,21528154.238283,0.9995240310256448,20636672
11633868,22520508.673707,21514860.703741,0.9995564881415686,20624384
11633934,22340191.596422,20748059.867218,0.9992743886056569,19828224
11634048,22207019.26713,20760069.621203,0.999337323567957,19844608
11634100,22047598.954059,20593642.430151,0.9993240513911966,19670528
11634134,23116857.04037,20131645.915415,0.9986393370243734,19139072
11634225,22400612.872285,20524050.707129,0.9991376201595416,19585536
