block,reserve DAI,reserve USDC,price,volume for slippage 5%
11202446,26574516.104451597,80471233.072118,1.009533694035786,81811456
11202602,26448694.186221637,80874242.789736,1.0097007044493003,82210816
11202767,26565137.85926634,81969922.886451,1.009795743469116,83333120
11202977,26567693.52593354,82371992.782848,1.0098405295466806,83750912
11203100,26554093.21806722,82320757.113823,1.009845861456515,83693568
11203204,26585369.94506722,82359726.651049,1.0098405368600978,83734528
11203280,26382134.063320342,82353882.309121,1.0099969642563862,83709952
11203435,26126628.8915804,82273638.034013,1.0101895553798215,83603456
11203526,26342619.04115989,82156743.983188,1.0100134604122784,83496960
11203755,26264181.19844936,82031062.843707,1.0100477315880545,83365888
11203826,26329113.296740606,81486715.94521,1.0098953527344634,82825216
11203934,26227100.432795413,81463701.649338,1.0099806134014815,82784256
11204080,26078519.98766451,79866544.508471,1.0098132057060407,81156096
11204142,25855095.115175027,80033465.206561,1.0100109666616013,81307648
11204319,25517640.28699273,79605348.432498,1.0101778416166773,80852992
11204462,25665452.18349356,79505694.121894,1.010052611783368,80762880
11204656,26041755.348593872,79449696.027206,1.0097949289136439,80717824
11204891,26091710.3550585,79119063.072074,1.0097077932067005,80386048
11204976,26089392.40963419,79143606.368326,1.0097175535820346,80406528
11205174,23831872.539403502,72054073.660199,1.0096749496868174,73201664
11205286,23931533.214177202,71972879.473734,1.009631375461185,73111552
11205335,23919000.29894073,71800901.69256,1.0096243088045598,72931328
11205443,24345036.119306304,71377891.739617,1.009236884459888,72521728
11205543,24759141.173148546,71339254.083699,1.0088869405016414,72517632
11205618,24754547.675101947,71407851.317661,1.0088946490884605,72591360
11205803,24754108.846899286,73700654.992999,1.0093888070979067,74901504
11205947,24885533.705954824,73403715.79776,1.0092599952043582,74598400
11206070,24354461.946866482,71812279.674619,1.0092579826637555,72980480
11206146,24352501.46217098,71477633.932953,1.0092098323475134,72636416
11206215,24169494.056893382,71125670.886885,1.009335328156066,72251392
11206359,24208707.746807016,71173329.162032,1.009317119618456,72300544
11206490,24025426.422344178,71319172.279654,1.0095024201748146,72431616
11206604,23676156.818325497,72681665.143153,1.010044953942777,73795584
11206759,23687862.532552574,72709537.537135,1.0100405717051122,73824256
11206854,23915565.529909067,72600517.490968,1.009834242566613,73725952
11207022,24030173.41757758,72893998.640983,1.0097922015934855,74033152
11207329,24074243.073588703,76197869.320889,1.0103664412185303,77400064
