block,reserve WBTC,reserve DAI,price,volume for slippage 5%
10216032,0.58379983,5616.477345937907,9620.553239862893,0.03072630684210531
10216103,0.58094234,5644.186345165909,9715.570645386097,0.030575912631578994
10218792,0.58355806,5618.962661192199,9628.797966036489,0.030713582105263093
10219101,0.58917814,5565.523503366486,9446.249148630133,0.031009375789473714
10220713,0.58410472,5614.010102797355,9611.307545669815,0.03074235368421052
10225102,0.58310296,5623.683982584594,9644.409938485982,0.030689629473684255
10225397,0.57689543,5684.378244052797,9853.394477492735,0.030362917368421005
10225630,0.58112922,5643.088307172052,9710.55681414893,0.03058574842105255
10227834,0.58010432,5653.088307172052,9744.951230792509,0.030531806315789445
10229337,0.58610432,5595.389000603178,9546.745877258127,0.030847595789473714
10231741,0.57910432,5663.227520169829,9779.28729692403,0.03047917473684214
