block,reserve UNI,reserve WBTC,price,volume for slippage 5%
10914485,13604.11796853612,5.25855891,0.00038654170172311805,716.0062088703235
10915245,13647.43173608081,5.24191938,0.0003840956658637476,718.285880846357
10915273,13904.568747248155,5.14526609,0.00037004140031443236,731.8194077499029
10915732,13760.84656105267,5.19916641,0.00037782315113629733,724.2550821606674
10916025,13559.596082642527,5.27656423,0.0003891387470423596,713.6629517180263
10916064,13370.079722153287,5.3515828,0.00040026558638485914,703.6884064291207
10916506,13384.809989193027,5.34571092,0.00039938638832498615,704.4636836417394
10916620,13579.98747709068,5.26910723,0.00038800530846504373,714.7361830047721
10916923,13578.204493192834,5.26980121,0.000388107368145907,714.6423417469923
10916928,13366.743751309417,5.35341987,0.0004005029175094027,703.5128290162847
10917091,13400.432309462898,5.3400017,0.0003984947333549146,705.2859110243626
10917183,13575.432309462898,5.27136795,0.0003883020319231777,714.4964373401544
