block,reserve ZRX,reserve DAI,price,volume for slippage 5%
10959608,1072.6287506936235,420.1783806639378,0.39172768806749425,56.45414477334862
10969442,1062.6287506936235,424.14441968288224,0.3991463805266185,55.92782898387486
10969508,1048.706205458503,429.79227287044415,0.40983096183981804,55.19506344518436
10971942,1071.5947383035477,420.6391567118053,0.39253566826739306,56.39972306860773
10982521,1086.5947383035477,414.8495841162177,0.3817886922256811,57.18919675281836
10985902,1088.9923125035477,413.9389667498593,0.3801119273268614,57.31538486860791
10997478,1988.7373658500524,755.942793080209,0.38011192732686144,104.67038767631857
10999607,2003.7453134791492,750.2976801568351,0.3744476282038439,105.46027965679718
11000386,2031.7918054571544,739.9713479953135,0.3641964427693021,106.93641081353485
11004623,2031.7978054571545,739.9691693786073,0.3641942950185017,106.93672660300808
11009070,2131.862962568916,705.335896111841,0.33085423805191694,112.20331381941651
